Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           9380.0,       312.667,        67.178,         1.88665             
2,     30,           4250.0,       141.667,        48.927,         4.00237             
3,     30,           8000.0,       266.667,        89.530,         6.31586             
4,     30,           9860.0,       328.667,        173.104,        7.6419              
5,     30,           12320.0,      410.667,        81.197,         9.18426             
6,     30,           14460.0,      482.000,        191.910,        10.0892             
7,     30,           21120.0,      704.000,        330.864,        10.9201             
8,     30,           18540.0,      618.000,        312.051,        12.1154             
9,     30,           20660.0,      688.667,        275.085,        12.5481             
10,    30,           23320.0,      777.333,        305.319,        13.373              
11,    30,           28030.0,      934.333,        544.167,        14.3408             
12,    30,           24080.0,      802.667,        230.867,        14.9571             
13,    30,           19990.0,      666.333,        214.250,        16.0702             
14,    30,           23030.0,      767.667,        251.683,        15.9805             
15,    30,           31640.0,      1054.667,       311.467,        16.852              
16,    30,           34630.0,      1154.333,       507.357,        17.702              
17,    30,           32960.0,      1098.667,       486.962,        18.3807             
18,    30,           21120.0,      704.000,        251.431,        19.5288             
19,    30,           29400.0,      980.000,        606.767,        19.4532             
20,    30,           31660.0,      1055.333,       356.733,        20.1848             
21,    30,           34000.0,      1133.333,       566.053,        20.5771             
22,    30,           29180.0,      972.667,        431.756,        20.3093             
23,    30,           30810.0,      1027.000,       263.769,        20.5034             
24,    30,           32260.0,      1075.333,       412.664,        20.6328             
25,    30,           29530.0,      984.333,        266.717,        20.2237             
26,    30,           27450.0,      915.000,        261.493,        20.6798             
27,    30,           37470.0,      1249.000,       558.267,        19.9213             
28,    30,           28310.0,      943.667,        339.848,        20.2303             
29,    30,           33890.0,      1129.667,       354.838,        20.0408             
30,    30,           36300.0,      1210.000,       460.283,        20.246              
31,    30,           23720.0,      790.667,        428.501,        20.2541             
32,    30,           36320.0,      1210.667,       417.396,        19.8262             
33,    30,           29130.0,      971.000,        313.011,        19.7032             
34,    30,           30150.0,      1005.000,       484.126,        19.9549             
35,    30,           35400.0,      1180.000,       305.767,        20.0334             
36,    30,           42930.0,      1431.000,       716.363,        20.2072             
37,    30,           36040.0,      1201.333,       448.759,        20.1506             
38,    30,           36990.0,      1233.000,       411.867,        19.7987             
39,    30,           33980.0,      1132.667,       360.073,        19.0795             
40,    30,           39560.0,      1318.667,       560.986,        18.7743             
41,    30,           38300.0,      1276.667,       626.042,        18.8715             
42,    30,           30180.0,      1006.000,       474.402,        18.8545             
43,    30,           46200.0,      1540.000,       468.864,        18.9401             
44,    30,           38810.0,      1293.667,       457.118,        18.7281             
45,    30,           37630.0,      1254.333,       434.401,        18.4571             
46,    30,           20820.0,      694.000,        316.476,        18.3964             
47,    30,           39810.0,      1327.000,       455.208,        18.3286             
48,    30,           49760.0,      1658.667,       626.364,        18.3912             
49,    30,           43360.0,      1445.333,       486.927,        18.3273             
50,    30,           35250.0,      1175.000,       378.847,        19.129              
51,    30,           33080.0,      1102.667,       401.015,        19.368              
52,    30,           41210.0,      1373.667,       485.287,        19.0592             
53,    30,           39030.0,      1301.000,       344.861,        19.0197             
54,    30,           42930.0,      1431.000,       515.806,        18.3024             
55,    30,           29260.0,      975.333,        484.629,        18.5618             
56,    30,           40820.0,      1360.667,       498.176,        18.0418             
57,    30,           39740.0,      1324.667,       720.744,        17.8074             
58,    30,           38760.0,      1292.000,       385.447,        17.8206             
59,    30,           40340.0,      1344.667,       520.088,        17.9154             
60,    30,           40780.0,      1359.333,       427.106,        18.0851             
61,    30,           47220.0,      1574.000,       702.702,        18.2847             
62,    30,           40630.0,      1354.333,       420.941,        18.3466             
63,    30,           34690.0,      1156.333,       444.053,        17.6611             
64,    30,           37500.0,      1250.000,       528.949,        17.906              
65,    30,           40690.0,      1356.333,       566.783,        18.3606             
66,    30,           43910.0,      1463.667,       371.398,        18.8613             
67,    30,           38840.0,      1294.667,       506.081,        18.6649             
68,    30,           44200.0,      1473.333,       758.812,        18.4822             
69,    30,           45880.0,      1529.333,       569.526,        17.8871             
70,    30,           37970.0,      1265.667,       390.074,        17.9105             
71,    30,           46460.0,      1548.667,       514.300,        18.027              
72,    30,           40200.0,      1340.000,       473.498,        17.8815             
73,    30,           32520.0,      1084.000,       461.812,        17.7136             
74,    30,           40400.0,      1346.667,       413.290,        17.3818             
75,    30,           41770.0,      1392.333,       525.399,        17.4497             
76,    30,           38760.0,      1292.000,       550.560,        17.2866             
77,    30,           37430.0,      1247.667,       493.219,        16.6853             
78,    30,           39680.0,      1322.667,       396.862,        16.8366             
79,    30,           48470.0,      1615.667,       612.485,        16.7604             
80,    30,           47760.0,      1592.000,       525.296,        16.317              
81,    30,           39010.0,      1300.333,       306.795,        16.2457             
82,    30,           40150.0,      1338.333,       496.488,        16.5631             
83,    30,           43890.0,      1463.000,       521.371,        16.0553             
84,    30,           37650.0,      1255.000,       330.189,        16.7456             
85,    30,           38390.0,      1279.667,       423.127,        16.8435             
86,    30,           43560.0,      1452.000,       543.215,        17.0975             
87,    30,           44130.0,      1471.000,       476.874,        17.2192             
88,    30,           41660.0,      1388.667,       532.114,        16.6406             
89,    30,           42210.0,      1407.000,       369.027,        16.3916             
90,    30,           36560.0,      1218.667,       453.091,        16.399              
91,    30,           40710.0,      1357.000,       464.451,        16.3847             
92,    30,           44680.0,      1489.333,       604.141,        16.9176             
93,    30,           40690.0,      1356.333,       323.733,        16.6193             
94,    30,           33430.0,      1114.333,       436.568,        16.8195             
95,    30,           44330.0,      1477.667,       467.879,        16.4734             
96,    30,           39230.0,      1307.667,       389.150,        16.1941             
97,    30,           39130.0,      1304.333,       418.232,        16.2978             
98,    30,           48360.0,      1612.000,       706.580,        16.7292             
99,    30,           54970.0,      1832.333,       777.520,        16.6534             
100,   30,           24400.0,      813.333,        303.593,        16.5929             
101,   30,           45990.0,      1533.000,       621.547,        16.2088             
102,   30,           38970.0,      1299.000,       341.461,        15.8037             
103,   30,           36660.0,      1222.000,       301.854,        15.718              
104,   30,           47230.0,      1574.333,       697.666,        15.5047             
105,   30,           42740.0,      1424.667,       548.001,        15.7024             
106,   30,           44470.0,      1482.333,       358.754,        15.5416             
107,   30,           44460.0,      1482.000,       421.777,        15.8845             
108,   30,           44500.0,      1483.333,       587.738,        15.7981             
109,   30,           34210.0,      1140.333,       363.176,        15.8057             
110,   30,           38160.0,      1272.000,       449.988,        15.5734             
111,   30,           39240.0,      1308.000,       433.639,        16.1286             
112,   30,           37590.0,      1253.000,       465.175,        16.3688             
113,   30,           42360.0,      1412.000,       408.815,        16.2992             
114,   30,           28870.0,      962.333,        475.890,        16.3851             
115,   30,           41000.0,      1366.667,       342.426,        16.1783             
116,   30,           46120.0,      1537.333,       608.550,        16.0624             
117,   30,           35660.0,      1188.667,       317.393,        16.139              
118,   30,           40630.0,      1354.333,       500.737,        15.7983             
119,   30,           33360.0,      1112.000,       358.594,        15.5845             
120,   30,           48450.0,      1615.000,       487.475,        15.7911             
121,   30,           43880.0,      1462.667,       527.136,        16.1088             
122,   30,           38570.0,      1285.667,       395.775,        16.2647             
123,   30,           35480.0,      1182.667,       409.055,        16.0336             
124,   30,           33140.0,      1104.667,       295.846,        16.0774             
125,   30,           47200.0,      1573.333,       475.614,        16.2541             
126,   30,           30340.0,      1011.333,       321.846,        16.1299             
127,   30,           34500.0,      1150.000,       383.953,        16.1946             
128,   30,           36000.0,      1200.000,       307.083,        15.7324             
129,   30,           41130.0,      1371.000,       449.884,        15.8433             
130,   30,           46250.0,      1541.667,       375.988,        15.9076             
131,   30,           41750.0,      1391.667,       418.084,        15.8796             
132,   30,           44540.0,      1484.667,       658.391,        16.5019             
133,   30,           35230.0,      1174.333,       240.509,        17.7776             
134,   30,           45480.0,      1516.000,       574.384,        16.9434             
135,   30,           41250.0,      1375.000,       393.681,        16.6759             
136,   30,           38800.0,      1293.333,       486.356,        16.898              
137,   30,           40980.0,      1366.000,       478.495,        16.3782             
138,   30,           39600.0,      1320.000,       399.783,        16.4381             
139,   30,           38890.0,      1296.333,       420.107,        15.996              
140,   30,           36970.0,      1232.333,       343.751,        16.2219             
141,   30,           36670.0,      1222.333,       314.300,        16.413              
142,   30,           42410.0,      1413.667,       481.030,        16.2493             
143,   30,           48210.0,      1607.000,       655.094,        16.0783             
144,   30,           38420.0,      1280.667,       444.559,        16.178              
145,   30,           33070.0,      1102.333,       296.240,        16.1332             
146,   30,           37350.0,      1245.000,       299.218,        15.7071             
147,   30,           41160.0,      1372.000,       512.812,        16.0571             
148,   30,           37860.0,      1262.000,       374.597,        16.223              
149,   30,           44560.0,      1485.333,       542.806,        16.2039             
150,   30,           40880.0,      1362.667,       399.699,        16.1087             
151,   30,           37750.0,      1258.333,       312.240,        16.0509             
152,   30,           35690.0,      1189.667,       297.405,        15.5208             
153,   30,           37820.0,      1260.667,       305.788,        15.0088             
154,   30,           40990.0,      1366.333,       426.970,        15.3821             
155,   30,           39510.0,      1317.000,       498.699,        15.7344             
156,   30,           41100.0,      1370.000,       375.588,        15.7895             
157,   30,           42770.0,      1425.667,       380.067,        15.8864             
158,   30,           26960.0,      898.667,        415.361,        16.0821             
159,   30,           40350.0,      1345.000,       455.007,        15.9605             
160,   30,           41390.0,      1379.667,       457.526,        15.7416             
161,   30,           43350.0,      1445.000,       476.065,        15.4095             
162,   30,           36940.0,      1231.333,       293.095,        15.5128             
163,   30,           39260.0,      1308.667,       396.516,        15.3373             
164,   30,           38810.0,      1293.667,       508.045,        15.3748             
165,   30,           34940.0,      1164.667,       365.365,        15.2004             
166,   30,           52500.0,      1750.000,       872.716,        15.5391             
167,   30,           41690.0,      1389.667,       333.621,        15.617              
168,   30,           39820.0,      1327.333,       442.236,        15.8953             
169,   30,           43170.0,      1439.000,       354.329,        15.2438             
170,   30,           38280.0,      1276.000,       419.099,        15.2082             
171,   30,           43200.0,      1440.000,       428.307,        14.9339             
172,   30,           45860.0,      1528.667,       700.751,        15.1905             
173,   30,           44690.0,      1489.667,       714.775,        15.1736             
174,   30,           37580.0,      1252.667,       399.282,        15.1065             
175,   30,           44810.0,      1493.667,       469.911,        15.4372             
176,   30,           43270.0,      1442.333,       426.948,        15.2581             
177,   30,           43850.0,      1461.667,       497.856,        15.2853             
178,   30,           41120.0,      1370.667,       450.895,        15.4702             
179,   30,           34380.0,      1146.000,       320.683,        15.6563             
180,   30,           40370.0,      1345.667,       406.035,        15.7928             
181,   30,           52370.0,      1745.667,       653.823,        15.7484             
182,   30,           44180.0,      1472.667,       403.740,        15.6494             
183,   30,           41390.0,      1379.667,       474.240,        15.8158             
184,   30,           37300.0,      1243.333,       275.189,        15.3384             
185,   30,           39510.0,      1317.000,       370.181,        15.4371             
186,   30,           39420.0,      1314.000,       417.186,        15.8953             
187,   30,           36150.0,      1205.000,       372.843,        15.3094             
188,   30,           42380.0,      1412.667,       494.240,        15.4886             
189,   30,           44620.0,      1487.333,       474.081,        15.4569             
190,   30,           44470.0,      1482.333,       652.062,        15.3813             
191,   30,           36910.0,      1230.333,       348.315,        15.6203             
192,   30,           45760.0,      1525.333,       424.231,        15.7233             
193,   30,           39210.0,      1307.000,       376.883,        15.7497             
194,   30,           40110.0,      1337.000,       433.129,        15.7325             
195,   30,           37140.0,      1238.000,       467.321,        15.9453             
196,   30,           38820.0,      1294.000,       423.333,        15.6716             
197,   30,           37800.0,      1260.000,       373.595,        15.652              
198,   30,           41310.0,      1377.000,       536.204,        16.0255             
199,   30,           38200.0,      1273.333,       404.049,        15.4737             
200,   30,           36750.0,      1225.000,       392.171,        15.69               
