Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           449.0,        14.967,         23.592,         0.725544            
2,     30,           658.0,        21.933,         24.409,         1.18139             
3,     30,           689.0,        22.967,         11.464,         1.7787              
4,     30,           1501.0,       50.033,         15.200,         2.417               
5,     30,           2138.0,       71.267,         14.695,         3.12496             
6,     30,           2223.0,       74.100,         23.139,         4.12189             
7,     30,           3047.0,       101.567,        25.865,         4.8061              
8,     30,           3158.0,       105.267,        29.774,         5.06481             
9,     30,           3566.0,       118.867,        22.711,         5.66562             
10,    30,           3709.0,       123.633,        38.251,         6.13756             
11,    30,           2996.0,       99.867,         45.501,         6.55403             
12,    30,           4189.0,       139.633,        29.341,         6.62502             
13,    30,           4203.0,       140.100,        26.430,         6.74324             
14,    30,           4596.0,       153.200,        63.754,         6.57195             
15,    30,           2941.0,       98.033,         41.848,         6.50526             
16,    30,           5251.0,       175.033,        60.632,         6.46819             
17,    30,           4290.0,       143.000,        44.017,         6.83004             
18,    30,           3612.0,       120.400,        45.479,         6.71666             
19,    30,           3516.0,       117.200,        54.236,         6.55367             
20,    30,           6793.0,       226.433,        61.955,         6.59057             
21,    30,           6624.0,       220.800,        53.083,         6.65726             
22,    30,           6255.0,       208.500,        96.483,         6.39769             
23,    30,           9462.0,       315.400,        101.664,        6.43922             
24,    30,           7296.0,       243.200,        89.834,         6.60472             
25,    30,           6703.0,       223.433,        65.092,         6.51517             
26,    30,           6138.0,       204.600,        96.049,         6.57371             
27,    30,           7104.0,       236.800,        77.058,         6.7119              
28,    30,           7413.0,       247.100,        83.013,         6.65502             
29,    30,           8591.0,       286.367,        82.819,         6.72673             
30,    30,           10182.0,      339.400,        83.777,         6.61693             
31,    30,           8973.0,       299.100,        103.519,        6.42327             
32,    30,           4923.0,       164.100,        80.443,         6.21769             
33,    30,           7546.0,       251.533,        74.046,         6.19942             
34,    30,           9653.0,       321.767,        167.730,        6.27006             
35,    30,           7834.0,       261.133,        153.029,        6.16765             
36,    30,           9729.0,       324.300,        102.971,        6.35546             
37,    30,           9585.0,       319.500,        110.473,        6.41864             
38,    30,           7952.0,       265.067,        75.659,         6.45359             
39,    30,           7097.0,       236.567,        120.580,        6.5741              
40,    30,           7179.0,       239.300,        92.423,         6.47595             
41,    30,           5776.0,       192.533,        140.634,        6.40287             
42,    30,           10759.0,      358.633,        140.975,        6.31472             
43,    30,           6613.0,       220.433,        100.827,        6.46532             
44,    30,           7282.0,       242.733,        98.820,         6.24026             
45,    30,           5712.0,       190.400,        114.639,        6.30674             
46,    30,           9308.0,       310.267,        104.412,        6.35603             
47,    30,           10809.0,      360.300,        91.905,         6.4531              
48,    30,           11913.0,      397.100,        97.165,         6.52221             
49,    30,           9248.0,       308.267,        90.901,         6.33602             
50,    30,           9307.0,       310.233,        101.495,        6.72361             
51,    30,           7504.0,       250.133,        129.900,        6.73344             
52,    30,           9382.0,       312.733,        85.657,         6.62699             
53,    30,           9258.0,       308.600,        65.675,         6.54466             
54,    30,           9596.0,       319.867,        86.085,         6.78294             
55,    30,           9841.0,       328.033,        111.832,        6.79757             
56,    30,           8235.0,       274.500,        109.314,        6.95096             
57,    30,           6445.0,       214.833,        105.595,        6.85348             
58,    30,           8487.0,       282.900,        114.697,        6.71022             
59,    30,           9119.0,       303.967,        87.321,         6.729               
60,    30,           8450.0,       281.667,        130.506,        6.81628             
61,    30,           8408.0,       280.267,        93.756,         6.88126             
62,    30,           7632.0,       254.400,        137.040,        7.00986             
63,    30,           11292.0,      376.400,        122.227,        6.99854             
64,    30,           10797.0,      359.900,        108.636,        6.69428             
65,    30,           7140.0,       238.000,        136.320,        6.71158             
66,    30,           10402.0,      346.733,        126.554,        6.87682             
67,    30,           10386.0,      346.200,        100.000,        6.86684             
68,    30,           8921.0,       297.367,        125.171,        6.94122             
69,    30,           8849.0,       294.967,        120.512,        6.71721             
70,    30,           8390.0,       279.667,        137.367,        6.69376             
71,    30,           5870.0,       195.667,        115.121,        6.73443             
72,    30,           10349.0,      344.967,        117.729,        6.70003             
73,    30,           10065.0,      335.500,        153.390,        6.76304             
74,    30,           10202.0,      340.067,        78.959,         6.75748             
75,    30,           7769.0,       258.967,        123.705,        6.50979             
76,    30,           11024.0,      367.467,        110.640,        6.54221             
77,    30,           10202.0,      340.067,        168.502,        6.65034             
78,    30,           10782.0,      359.400,        106.981,        6.72601             
79,    30,           6913.0,       230.433,        139.717,        6.85192             
80,    30,           7062.0,       235.400,        113.576,        6.81603             
81,    30,           10680.0,      356.000,        130.808,        6.9607              
82,    30,           9896.0,       329.867,        166.709,        6.89409             
83,    30,           11296.0,      376.533,        129.718,        7.11312             
84,    30,           9809.0,       326.967,        104.975,        6.97922             
85,    30,           9149.0,       304.967,        124.228,        6.95948             
