Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           693.0,        23.100,         19.811,         0.931618            
2,     30,           9597.0,       319.900,        95.880,         1.56188             
3,     30,           13104.0,      436.800,        114.432,        1.96214             
4,     30,           18594.0,      619.800,        86.422,         2.44219             
5,     30,           20391.0,      679.700,        82.851,         3.01083             
6,     30,           31610.0,      1053.667,       553.692,        3.53012             
7,     30,           50163.0,      1672.100,       715.314,        4.21324             
8,     30,           39921.0,      1330.700,       529.186,        4.77271             
9,     30,           51265.0,      1708.833,       652.079,        5.38191             
10,    30,           103392.0,     3446.400,       584.900,        5.76089             
11,    30,           26150.0,      871.667,        172.612,        6.03289             
12,    30,           49952.0,      1665.067,       419.287,        6.17934             
13,    30,           49643.0,      1654.767,       268.089,        6.43021             
14,    30,           38937.0,      1297.900,       287.179,        6.67344             
15,    30,           48155.0,      1605.167,       246.100,        6.81806             
16,    30,           48572.0,      1619.067,       366.686,        6.85769             
17,    30,           39757.0,      1325.233,       269.415,        7.01689             
18,    30,           82926.0,      2764.200,       737.990,        7.062               
19,    30,           38644.0,      1288.133,       309.790,        7.19397             
20,    30,           51692.0,      1723.067,       416.934,        7.29085             
21,    30,           55455.0,      1848.500,       405.639,        7.29159             
22,    30,           33031.0,      1101.033,       232.580,        7.38332             
23,    30,           51956.0,      1731.867,       380.517,        7.53886             
24,    30,           49937.0,      1664.567,       380.825,        7.49314             
25,    30,           33140.0,      1104.667,       241.846,        7.46879             
26,    30,           53471.0,      1782.367,       471.008,        7.47471             
27,    30,           49628.0,      1654.267,       422.728,        7.51514             
28,    30,           35975.0,      1199.167,       251.205,        7.4345              
29,    30,           46731.0,      1557.700,       404.075,        7.4934              
30,    30,           37505.0,      1250.167,       247.528,        7.48026             
31,    30,           32497.0,      1083.233,       263.470,        7.45787             
32,    30,           36098.0,      1203.267,       219.801,        7.4479              
33,    30,           36449.0,      1214.967,       261.515,        7.47871             
34,    30,           90609.0,      3020.300,       541.403,        7.64483             
35,    30,           21432.0,      714.400,        196.016,        7.48553             
36,    30,           38777.0,      1292.567,       273.386,        7.52975             
37,    30,           40128.0,      1337.600,       246.806,        7.60085             
38,    30,           64294.0,      2143.133,       498.941,        7.61278             
39,    30,           88268.0,      2942.267,       979.729,        7.41922             
40,    30,           51962.0,      1732.067,       474.881,        7.43606             
41,    30,           36740.0,      1224.667,       222.171,        7.49392             
42,    30,           47071.0,      1569.033,       404.217,        7.48338             
43,    30,           57985.0,      1932.833,       371.917,        7.36813             
44,    30,           43149.0,      1438.300,       283.241,        7.42346             
45,    30,           35279.0,      1175.967,       219.392,        7.4659              
46,    30,           49168.0,      1638.933,       402.325,        7.52165             
47,    30,           44685.0,      1489.500,       282.804,        7.51637             
48,    30,           57345.0,      1911.500,       510.384,        7.44842             
49,    30,           36234.0,      1207.800,       237.741,        7.29965             
50,    30,           46486.0,      1549.533,       464.750,        7.55053             
51,    30,           46095.0,      1536.500,       353.379,        7.41635             
52,    30,           44265.0,      1475.500,       319.653,        7.42199             
53,    30,           80527.0,      2684.233,       853.304,        7.37084             
54,    30,           33779.0,      1125.967,       229.863,        7.35778             
55,    30,           39894.0,      1329.800,       281.533,        7.3406              
56,    30,           53928.0,      1797.600,       536.523,        7.39808             
57,    30,           40947.0,      1364.900,       286.223,        7.45447             
58,    30,           32950.0,      1098.333,       271.833,        7.45077             
59,    30,           34385.0,      1146.167,       220.808,        7.21678             
60,    30,           42643.0,      1421.433,       332.735,        7.31543             
61,    30,           51346.0,      1711.533,       424.786,        7.4244              
62,    30,           41358.0,      1378.600,       298.920,        7.60477             
63,    30,           27876.0,      929.200,        220.845,        7.53017             
64,    30,           47641.0,      1588.033,       307.742,        7.58007             
65,    30,           43549.0,      1451.633,       377.831,        7.31818             
66,    30,           50983.0,      1699.433,       242.148,        7.42118             
67,    30,           50929.0,      1697.633,       401.868,        7.36369             
68,    30,           34132.0,      1137.733,       255.881,        7.32397             
69,    30,           71767.0,      2392.233,       616.130,        7.25901             
70,    30,           44662.0,      1488.733,       321.809,        7.38612             
71,    30,           39495.0,      1316.500,       433.697,        7.4397              
72,    30,           37905.0,      1263.500,       219.316,        7.49371             
73,    30,           42919.0,      1430.633,       343.432,        7.46379             
74,    30,           45522.0,      1517.400,       260.215,        7.63755             
75,    30,           66476.0,      2215.867,       426.750,        7.47446             
76,    30,           39496.0,      1316.533,       316.840,        7.38947             
77,    30,           49939.0,      1664.633,       433.348,        7.28242             
78,    30,           44781.0,      1492.700,       409.165,        7.21969             
79,    30,           47802.0,      1593.400,       323.531,        7.22519             
80,    30,           54223.0,      1807.433,       396.848,        7.19282             
81,    30,           32707.0,      1090.233,       268.857,        7.21478             
82,    30,           36795.0,      1226.500,       196.771,        7.27302             
83,    30,           37267.0,      1242.233,       214.312,        7.21517             
84,    30,           52435.0,      1747.833,       436.335,        7.37374             
85,    30,           33449.0,      1114.967,       210.825,        7.34963             
86,    30,           32589.0,      1086.300,       235.394,        7.4506              
87,    30,           39149.0,      1304.967,       259.152,        7.3862              
88,    30,           44503.0,      1483.433,       280.612,        7.23409             
89,    30,           41610.0,      1387.000,       332.681,        7.25617             
