Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           5400.0,       180.000,        85.245,         1.29672             
2,     30,           12150.0,      405.000,        157.242,        1.87027             
3,     30,           17750.0,      591.667,        245.996,        2.17093             
4,     30,           23400.0,      780.000,        315.859,        2.74265             
5,     30,           47850.0,      1595.000,       659.084,        3.61375             
6,     30,           62400.0,      2080.000,       561.486,        4.67985             
7,     30,           53500.0,      1783.333,       608.596,        5.58696             
8,     30,           76200.0,      2540.000,       431.161,        6.17979             
9,     30,           68900.0,      2296.667,       548.017,        7.00543             
10,    30,           75850.0,      2528.333,       595.355,        7.1511              
11,    30,           71750.0,      2391.667,       657.024,        7.30928             
12,    30,           67750.0,      2258.333,       700.605,        7.24934             
13,    30,           73050.0,      2435.000,       720.203,        7.65501             
14,    30,           82200.0,      2740.000,       498.899,        7.97805             
15,    30,           75300.0,      2510.000,       689.855,        8.14446             
16,    30,           74700.0,      2490.000,       670.249,        8.1845              
17,    30,           79400.0,      2646.667,       631.260,        8.83446             
18,    30,           70850.0,      2361.667,       676.102,        8.92588             
19,    30,           67200.0,      2240.000,       635.793,        9.45925             
20,    30,           83650.0,      2788.333,       891.598,        9.42814             
21,    30,           77800.0,      2593.333,       679.918,        9.17758             
22,    30,           60900.0,      2030.000,       829.317,        9.44642             
23,    30,           80750.0,      2691.667,       1109.886,       9.39057             
24,    30,           91300.0,      3043.333,       958.535,        9.05359             
25,    30,           65350.0,      2178.333,       658.873,        9.32807             
26,    30,           91700.0,      3056.667,       1072.204,       9.40957             
27,    30,           87250.0,      2908.333,       1005.575,       9.84183             
28,    30,           93100.0,      3103.333,       1432.767,       9.86951             
29,    30,           91250.0,      3041.667,       574.178,        9.82476             
30,    30,           100500.0,     3350.000,       1511.897,       9.70455             
31,    30,           71950.0,      2398.333,       748.831,        9.83276             
32,    30,           80900.0,      2696.667,       907.371,        9.66607             
33,    30,           87400.0,      2913.333,       1432.244,       9.9636              
34,    30,           80400.0,      2680.000,       977.889,        9.70298             
35,    30,           91650.0,      3055.000,       1381.265,       9.5242              
36,    30,           77450.0,      2581.667,       1449.913,       9.5641              
37,    30,           51150.0,      1705.000,       718.604,        9.61997             
38,    30,           48700.0,      1623.333,       685.898,        9.80494             
39,    30,           106750.0,     3558.333,       1297.631,       10.1986             
40,    30,           112600.0,     3753.333,       1224.740,       10.0787             
41,    30,           96500.0,      3216.667,       1200.787,       10.0927             
42,    30,           79100.0,      2636.667,       1255.318,       10.2255             
43,    30,           90500.0,      3016.667,       1419.703,       10.3834             
44,    30,           111100.0,     3703.333,       1783.720,       10.3733             
45,    30,           100450.0,     3348.333,       1723.344,       10.4565             
46,    30,           117300.0,     3910.000,       1928.704,       10.5496             
47,    30,           105300.0,     3510.000,       1778.782,       10.437              
48,    30,           101850.0,     3395.000,       1650.169,       10.4817             
49,    30,           82900.0,      2763.333,       1421.146,       10.5661             
50,    30,           103050.0,     3435.000,       2000.798,       10.5688             
51,    30,           143800.0,     4793.333,       1798.320,       10.5063             
52,    30,           97700.0,      3256.667,       1924.133,       10.6765             
53,    30,           121950.0,     4065.000,       2360.690,       10.6855             
54,    30,           71900.0,      2396.667,       955.679,        10.6657             
55,    30,           133300.0,     4443.333,       1985.310,       10.7494             
56,    30,           96600.0,      3220.000,       1529.847,       10.8304             
57,    30,           124550.0,     4151.667,       1617.173,       10.705              
58,    30,           100450.0,     3348.333,       1798.355,       10.7808             
59,    30,           133150.0,     4438.333,       2098.519,       10.7588             
60,    30,           120900.0,     4030.000,       1685.606,       10.8379             
61,    30,           118600.0,     3953.333,       1802.957,       10.7748             
62,    30,           111100.0,     3703.333,       1497.939,       10.8416             
63,    30,           129800.0,     4326.667,       1977.909,       10.8142             
64,    30,           134600.0,     4486.667,       2054.058,       10.7423             
65,    30,           145900.0,     4863.333,       2157.542,       10.98               
66,    30,           123650.0,     4121.667,       1658.598,       10.9561             
67,    30,           132100.0,     4403.333,       2658.036,       10.8296             
68,    30,           136400.0,     4546.667,       3271.313,       10.5329             
69,    30,           142150.0,     4738.333,       2608.917,       10.8752             
70,    30,           62650.0,      2088.333,       1018.633,       10.9298             
71,    30,           142800.0,     4760.000,       2791.099,       10.732              
72,    30,           102900.0,     3430.000,       2381.792,       10.8292             
73,    30,           135300.0,     4510.000,       2782.127,       10.9199             
