Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           14480.0,      482.667,        191.415,        1.33186             
2,     30,           20470.0,      682.333,        335.347,        2.62077             
3,     30,           18690.0,      623.000,        221.527,        3.31592             
4,     30,           12910.0,      430.333,        223.837,        4.00873             
5,     30,           17210.0,      573.667,        202.739,        4.26306             
6,     30,           18360.0,      612.000,        262.874,        4.66348             
7,     30,           13210.0,      440.333,        197.475,        4.89775             
8,     30,           11510.0,      383.667,        134.746,        4.67687             
9,     30,           9940.0,       331.333,        166.848,        4.40451             
10,    30,           8830.0,       294.333,        184.421,        4.12611             
11,    30,           7240.0,       241.333,        81.761,         4.00821             
12,    30,           11840.0,      394.667,        214.130,        3.76399             
13,    30,           20860.0,      695.333,        345.753,        3.54137             
14,    30,           14810.0,      493.667,        159.133,        3.64722             
15,    30,           28760.0,      958.667,        377.189,        3.51193             
16,    30,           24790.0,      826.333,        379.601,        3.51821             
17,    30,           31180.0,      1039.333,       491.738,        3.63846             
18,    30,           11490.0,      383.000,        219.562,        3.56988             
19,    30,           17390.0,      579.667,        305.957,        3.54863             
20,    30,           16410.0,      547.000,        356.886,        3.77164             
21,    30,           19800.0,      660.000,        306.898,        3.86263             
22,    30,           15690.0,      523.000,        259.617,        3.94824             
23,    30,           20690.0,      689.667,        305.194,        4.11726             
24,    30,           25590.0,      853.000,        337.117,        4.29924             
25,    30,           32770.0,      1092.333,       481.696,        4.43343             
26,    30,           10610.0,      353.667,        156.897,        4.5989              
27,    30,           21460.0,      715.333,        242.841,        4.55227             
28,    30,           27410.0,      913.667,        305.150,        4.49695             
29,    30,           25730.0,      857.667,        515.595,        4.77161             
30,    30,           18600.0,      620.000,        362.234,        4.60657             
31,    30,           20350.0,      678.333,        307.474,        4.70132             
32,    30,           14660.0,      488.667,        226.241,        4.64166             
33,    30,           21580.0,      719.333,        396.257,        4.73248             
34,    30,           30200.0,      1006.667,       324.883,        4.77064             
35,    30,           31670.0,      1055.667,       387.949,        4.74793             
36,    30,           38690.0,      1289.667,       560.669,        4.75118             
37,    30,           23950.0,      798.333,        420.572,        4.71456             
38,    30,           38120.0,      1270.667,       636.689,        4.5653              
39,    30,           22710.0,      757.000,        383.737,        4.64121             
40,    30,           15160.0,      505.333,        222.257,        4.88137             
41,    30,           9570.0,       319.000,        108.023,        4.87732             
42,    30,           14190.0,      473.000,        201.844,        4.95311             
43,    30,           26910.0,      897.000,        417.590,        5.11713             
44,    30,           28380.0,      946.000,        356.806,        5.10762             
45,    30,           16040.0,      534.667,        280.805,        5.173               
46,    30,           26630.0,      887.667,        286.062,        5.05315             
47,    30,           34090.0,      1136.333,       393.035,        4.92635             
48,    30,           22900.0,      763.333,        244.395,        5.07167             
49,    30,           34490.0,      1149.667,       431.397,        5.11488             
50,    30,           27280.0,      909.333,        532.109,        5.1328              
51,    30,           35150.0,      1171.667,       571.075,        5.25818             
52,    30,           29790.0,      993.000,        366.244,        5.39112             
53,    30,           26440.0,      881.333,        401.852,        5.32678             
54,    30,           16620.0,      554.000,        215.710,        5.65769             
55,    30,           18770.0,      625.667,        308.066,        5.68257             
56,    30,           22090.0,      736.333,        306.164,        5.85694             
57,    30,           32590.0,      1086.333,       403.175,        5.76952             
58,    30,           42590.0,      1419.667,       696.206,        6.23454             
59,    30,           20510.0,      683.667,        358.306,        6.33864             
60,    30,           22490.0,      749.667,        300.970,        6.27243             
61,    30,           24990.0,      833.000,        443.006,        6.36193             
62,    30,           16890.0,      563.000,        336.245,        6.627               
63,    30,           21460.0,      715.333,        232.303,        6.46269             
64,    30,           29170.0,      972.333,        434.202,        6.46377             
65,    30,           27550.0,      918.333,        341.927,        6.63985             
66,    30,           22230.0,      741.000,        346.385,        6.58543             
67,    30,           14850.0,      495.000,        262.840,        6.54057             
68,    30,           34400.0,      1146.667,       430.669,        6.37185             
69,    30,           29820.0,      994.000,        321.907,        6.09488             
70,    30,           21630.0,      721.000,        316.642,        6.10934             
71,    30,           23360.0,      778.667,        339.968,        6.07245             
72,    30,           33240.0,      1108.000,       430.197,        5.94786             
73,    30,           16970.0,      565.667,        382.132,        6.05041             
74,    30,           30820.0,      1027.333,       388.123,        5.88429             
75,    30,           35790.0,      1193.000,       491.841,        6.09381             
76,    30,           26070.0,      869.000,        393.127,        6.03215             
77,    30,           27660.0,      922.000,        455.583,        5.99334             
78,    30,           23540.0,      784.667,        404.621,        5.93857             
79,    30,           14560.0,      485.333,        222.317,        6.16308             
80,    30,           25210.0,      840.333,        323.393,        6.16747             
81,    30,           19260.0,      642.000,        315.747,        6.15908             
82,    30,           20360.0,      678.667,        301.869,        6.06996             
83,    30,           20580.0,      686.000,        305.719,        5.89736             
84,    30,           8610.0,       287.000,        136.141,        5.83866             
85,    30,           29240.0,      974.667,        433.741,        5.94411             
86,    30,           19450.0,      648.333,        368.746,        5.98213             
87,    30,           23260.0,      775.333,        297.643,        6.13401             
88,    30,           28750.0,      958.333,        361.802,        6.17792             
89,    30,           24530.0,      817.667,        263.321,        5.98777             
90,    30,           35290.0,      1176.333,       406.042,        5.82997             
91,    30,           27670.0,      922.333,        417.881,        5.77652             
92,    30,           27650.0,      921.667,        424.045,        5.77575             
93,    30,           16330.0,      544.333,        241.422,        5.86168             
94,    30,           14270.0,      475.667,        189.256,        5.96323             
95,    30,           24800.0,      826.667,        315.355,        5.85229             
96,    30,           14400.0,      480.000,        222.321,        5.88856             
97,    30,           21260.0,      708.667,        335.606,        5.99942             
98,    30,           10580.0,      352.667,        195.242,        5.83503             
99,    30,           24140.0,      804.667,        391.448,        6.08561             
100,   30,           12020.0,      400.667,        180.996,        6.04587             
101,   30,           36760.0,      1225.333,       387.003,        6.21874             
102,   30,           28950.0,      965.000,        413.342,        6.16627             
103,   30,           28810.0,      960.333,        375.522,        5.99531             
104,   30,           26070.0,      869.000,        331.455,        5.90943             
105,   30,           34700.0,      1156.667,       314.190,        6.08209             
106,   30,           20740.0,      691.333,        263.435,        6.16597             
107,   30,           28510.0,      950.333,        421.161,        6.25697             
108,   30,           14750.0,      491.667,        363.768,        6.31619             
109,   30,           19830.0,      661.000,        348.160,        6.17827             
110,   30,           13300.0,      443.333,        220.640,        6.09697             
111,   30,           9420.0,       314.000,        149.947,        5.96146             
112,   30,           33710.0,      1123.667,       421.770,        5.95158             
113,   30,           13420.0,      447.333,        148.367,        5.73042             
114,   30,           42060.0,      1402.000,       419.963,        5.6479              
115,   30,           10470.0,      349.000,        167.439,        5.71428             
116,   30,           31100.0,      1036.667,       433.723,        5.85411             
117,   30,           25710.0,      857.000,        427.233,        5.90613             
118,   30,           13630.0,      454.333,        197.951,        5.83977             
119,   30,           13160.0,      438.667,        292.070,        5.73915             
120,   30,           34870.0,      1162.333,       301.061,        5.66164             
121,   30,           10110.0,      337.000,        148.731,        5.57176             
122,   30,           31850.0,      1061.667,       429.023,        5.72444             
123,   30,           19640.0,      654.667,        348.222,        5.81266             
124,   30,           12540.0,      418.000,        228.464,        5.77618             
125,   30,           18800.0,      626.667,        349.441,        5.83359             
126,   30,           18370.0,      612.333,        336.756,        5.83349             
127,   30,           23020.0,      767.333,        301.429,        5.56049             
128,   30,           16060.0,      535.333,        244.332,        5.60392             
129,   30,           12120.0,      404.000,        142.023,        5.8233              
130,   30,           31330.0,      1044.333,       392.290,        5.80319             
131,   30,           32940.0,      1098.000,       415.623,        5.83199             
132,   30,           11770.0,      392.333,        163.945,        5.73076             
133,   30,           29110.0,      970.333,        308.874,        5.77676             
134,   30,           12410.0,      413.667,        206.970,        5.9146              
135,   30,           23620.0,      787.333,        434.073,        5.84982             
136,   30,           19350.0,      645.000,        338.711,        6.07815             
137,   30,           16570.0,      552.333,        269.081,        6.19616             
138,   30,           15930.0,      531.000,        240.878,        6.26146             
139,   30,           33420.0,      1114.000,       373.136,        5.98807             
140,   30,           10870.0,      362.333,        165.322,        5.96406             
141,   30,           30610.0,      1020.333,       444.218,        5.89389             
142,   30,           31890.0,      1063.000,       416.535,        6.03142             
143,   30,           29630.0,      987.667,        320.798,        5.94163             
144,   30,           35600.0,      1186.667,       372.195,        6.11293             
145,   30,           11440.0,      381.333,        118.032,        5.80513             
146,   30,           13350.0,      445.000,        198.289,        5.60375             
147,   30,           26500.0,      883.333,        347.978,        5.51249             
148,   30,           16790.0,      559.667,        309.672,        5.80146             
149,   30,           13970.0,      465.667,        241.077,        5.55132             
150,   30,           18770.0,      625.667,        221.911,        5.58993             
151,   30,           36220.0,      1207.333,       469.062,        5.8133              
152,   30,           27820.0,      927.333,        351.093,        5.77382             
153,   30,           18390.0,      613.000,        235.147,        5.6455              
154,   30,           10530.0,      351.000,        166.780,        5.43874             
155,   30,           13310.0,      443.667,        189.587,        5.9284              
156,   30,           24800.0,      826.667,        326.296,        5.86641             
157,   30,           20890.0,      696.333,        302.473,        5.42411             
158,   30,           21240.0,      708.000,        364.732,        6.12342             
159,   30,           9750.0,       325.000,        116.211,        5.95771             
160,   30,           26140.0,      871.333,        420.553,        5.53422             
161,   30,           14120.0,      470.667,        194.421,        5.90189             
