Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           462600.0,     15420.000,      5282.638,       1.01283             
2,     30,           305900.0,     10196.667,      5455.852,       1.45237             
3,     30,           122100.0,     4070.000,       1569.533,       1.8574              
4,     30,           144500.0,     4816.667,       1993.336,       2.00799             
5,     30,           209400.0,     6980.000,       3275.607,       1.9323              
6,     30,           166700.0,     5556.667,       2014.561,       1.73955             
7,     30,           338800.0,     11293.333,      4139.640,       1.5068              
8,     30,           669400.0,     22313.333,      9015.310,       1.62529             
9,     30,           311300.0,     10376.667,      4403.005,       1.59747             
10,    30,           227500.0,     7583.333,       3144.104,       1.57248             
11,    30,           112600.0,     3753.333,       1431.487,       1.60089             
12,    30,           186800.0,     6226.667,       2751.476,       1.60331             
13,    30,           172700.0,     5756.667,       1822.760,       1.45177             
14,    30,           586300.0,     19543.333,      6911.762,       1.53356             
15,    30,           201200.0,     6706.667,       2987.634,       1.56542             
16,    30,           120800.0,     4026.667,       2009.632,       1.55144             
17,    30,           120400.0,     4013.333,       2194.194,       1.58524             
18,    30,           452400.0,     15080.000,      4979.585,       1.63808             
19,    30,           310400.0,     10346.667,      3642.045,       1.65072             
20,    30,           973000.0,     32433.333,      10475.379,      1.57029             
21,    30,           627700.0,     20923.333,      6215.340,       1.76832             
22,    30,           207900.0,     6930.000,       4748.414,       1.77586             
23,    30,           969900.0,     32330.000,      14372.709,      1.87161             
24,    30,           220700.0,     7356.667,       3582.149,       1.97423             
25,    30,           250400.0,     8346.667,       4219.774,       2.03174             
26,    30,           382500.0,     12750.000,      5179.945,       2.13394             
27,    30,           644500.0,     21483.333,      9520.227,       2.434               
28,    30,           1789300.0,    59643.333,      18221.831,      2.47842             
29,    30,           486100.0,     16203.333,      9442.933,       2.6365              
30,    30,           1639400.0,    54646.667,      19469.784,      2.88128             
31,    30,           1703700.0,    56790.000,      17742.329,      2.9712              
32,    30,           814900.0,     27163.333,      15346.845,      3.06047             
33,    30,           1871400.0,    62380.000,      19042.328,      3.28649             
34,    30,           2034700.0,    67823.333,      23410.734,      3.36796             
35,    30,           1909500.0,    63650.000,      20822.500,      3.48668             
36,    30,           1587500.0,    52916.667,      17338.610,      3.70921             
37,    30,           1708200.0,    56940.000,      23366.266,      3.92328             
38,    30,           2127700.0,    70923.333,      21317.171,      3.97114             
39,    30,           1885700.0,    62856.667,      26387.266,      4.15434             
40,    30,           1970400.0,    65680.000,      18674.018,      4.1988              
41,    30,           1923000.0,    64100.000,      27243.984,      4.14263             
42,    30,           2194400.0,    73146.667,      20524.550,      4.17987             
43,    30,           2844600.0,    94820.000,      13755.978,      4.18782             
44,    30,           2352100.0,    78403.333,      19348.531,      4.34665             
45,    30,           2201700.0,    73390.000,      24342.998,      4.32509             
46,    30,           3115700.0,    103856.667,     5560.676,       4.35787             
47,    30,           2511400.0,    83713.333,      14611.838,      4.26728             
48,    30,           2970500.0,    99016.667,      6513.938,       4.2719              
49,    30,           2449800.0,    81660.000,      23283.021,      4.39314             
50,    30,           2351000.0,    78366.667,      15927.384,      4.26583             
51,    30,           2050700.0,    68356.667,      26540.644,      4.33772             
52,    30,           2779600.0,    92653.333,      9231.133,       4.43856             
53,    30,           1935700.0,    64523.333,      29019.714,      4.47869             
54,    30,           2406500.0,    80216.667,      29903.758,      4.39541             
55,    30,           2898600.0,    96620.000,      8128.772,       4.46999             
56,    30,           2560400.0,    85346.667,      12896.892,      4.46786             
57,    30,           3110200.0,    103673.333,     6870.708,       4.55813             
58,    30,           2503600.0,    83453.333,      15013.721,      4.51574             
59,    30,           2582900.0,    86096.667,      22431.488,      4.50149             
60,    30,           2253700.0,    75123.333,      19281.125,      4.44578             
61,    30,           1874200.0,    62473.333,      28149.718,      4.4648              
62,    30,           2488600.0,    82953.333,      17951.002,      4.50277             
63,    30,           2251200.0,    75040.000,      18421.828,      4.44738             
64,    30,           2488600.0,    82953.333,      11013.378,      4.40264             
65,    30,           2110100.0,    70336.667,      22469.305,      4.38044             
66,    30,           2782600.0,    92753.333,      6390.187,       4.38194             
67,    30,           2207100.0,    73570.000,      17973.205,      4.26242             
