Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           190.0,        6.333,          7.520,          0.944194            
2,     30,           310.0,        10.333,         10.483,         1.21859             
3,     30,           280.0,        9.333,          8.537,          1.17759             
4,     30,           200.0,        6.667,          6.992,          1.10531             
5,     30,           2000.0,       66.667,         29.702,         1.05294             
6,     30,           2320.0,       77.333,         24.891,         1.11479             
7,     30,           2100.0,       70.000,         28.636,         1.20362             
8,     30,           4670.0,       155.667,        31.271,         1.40965             
9,     30,           4420.0,       147.333,        21.124,         1.89288             
10,    30,           5220.0,       174.000,        39.463,         2.26687             
11,    30,           4960.0,       165.333,        46.885,         2.4329              
12,    30,           8990.0,       299.667,        48.407,         2.76302             
13,    30,           8090.0,       269.667,        40.289,         2.83335             
14,    30,           8430.0,       281.000,        58.955,         3.05535             
15,    30,           9040.0,       301.333,        80.114,         3.57136             
16,    30,           11950.0,      398.333,        70.052,         3.85119             
17,    30,           14370.0,      479.000,        79.931,         4.02511             
18,    30,           14410.0,      480.333,        78.506,         4.47607             
19,    30,           13770.0,      459.000,        65.490,         4.7175              
20,    30,           17000.0,      566.667,        96.275,         4.86906             
21,    30,           14500.0,      483.333,        69.346,         5.01759             
22,    30,           16380.0,      546.000,        82.809,         5.03746             
23,    30,           15980.0,      532.667,        108.411,        5.16824             
24,    30,           13730.0,      457.667,        86.706,         5.23631             
25,    30,           9780.0,       326.000,        93.723,         5.25625             
26,    30,           11880.0,      396.000,        58.229,         5.21895             
27,    30,           14060.0,      468.667,        64.225,         5.24965             
28,    30,           12330.0,      411.000,        97.103,         5.39811             
29,    30,           14670.0,      489.000,        75.470,         5.34548             
30,    30,           12940.0,      431.333,        73.699,         5.43517             
31,    30,           12350.0,      411.667,        72.667,         5.53247             
32,    30,           12790.0,      426.333,        78.930,         5.66351             
33,    30,           13580.0,      452.667,        89.254,         5.63018             
34,    30,           12760.0,      425.333,        97.322,         5.40724             
35,    30,           13190.0,      439.667,        116.490,        5.65865             
36,    30,           14630.0,      487.667,        105.536,        5.56832             
37,    30,           13830.0,      461.000,        66.300,         5.53273             
38,    30,           9220.0,       307.333,        98.858,         5.59065             
39,    30,           12770.0,      425.667,        83.134,         5.64258             
40,    30,           16370.0,      545.667,        93.262,         5.63775             
41,    30,           14960.0,      498.667,        98.750,         5.67306             
42,    30,           13790.0,      459.667,        92.933,         5.64502             
43,    30,           14210.0,      473.667,        81.669,         5.72655             
44,    30,           12780.0,      426.000,        99.920,         5.67315             
45,    30,           18660.0,      622.000,        97.036,         5.76775             
46,    30,           13420.0,      447.333,        113.106,        5.64465             
47,    30,           15310.0,      510.333,        90.792,         5.82171             
48,    30,           12090.0,      403.000,        76.905,         5.80061             
49,    30,           9160.0,       305.333,        55.241,         5.71989             
50,    30,           13220.0,      440.667,        101.289,        5.75562             
51,    30,           13480.0,      449.333,        79.496,         5.7277              
52,    30,           16880.0,      562.667,        92.265,         5.61292             
53,    30,           12580.0,      419.333,        105.291,        5.63575             
54,    30,           13370.0,      445.667,        88.645,         5.52749             
55,    30,           12470.0,      415.667,        105.662,        5.60609             
56,    30,           11770.0,      392.333,        103.913,        5.67688             
57,    30,           11310.0,      377.000,        108.786,        5.72573             
58,    30,           13420.0,      447.333,        74.607,         5.59244             
59,    30,           12450.0,      415.000,        80.942,         5.57336             
60,    30,           10700.0,      356.667,        96.999,         5.58933             
61,    30,           12510.0,      417.000,        67.782,         5.57788             
62,    30,           12240.0,      408.000,        93.574,         5.57708             
63,    30,           12000.0,      400.000,        80.042,         5.56368             
64,    30,           10380.0,      346.000,        109.471,        5.47124             
65,    30,           11150.0,      371.667,        101.820,        5.50614             
66,    30,           13200.0,      440.000,        125.672,        5.56065             
67,    30,           12240.0,      408.000,        90.274,         5.42192             
68,    30,           9180.0,       306.000,        98.847,         5.44659             
69,    30,           11490.0,      383.000,        110.850,        5.7748              
70,    30,           13670.0,      455.667,        85.467,         5.69325             
71,    30,           9980.0,       332.667,        114.599,        5.70212             
72,    30,           13690.0,      456.333,        107.222,        5.7541              
73,    30,           13410.0,      447.000,        108.571,        5.86976             
74,    30,           13140.0,      438.000,        88.333,         5.98231             
75,    30,           13170.0,      439.000,        92.136,         5.73131             
76,    30,           9410.0,       313.667,        116.347,        5.82287             
77,    30,           12510.0,      417.000,        127.780,        5.72065             
78,    30,           11780.0,      392.667,        78.057,         5.8957              
79,    30,           13650.0,      455.000,        92.799,         5.6884              
80,    30,           10810.0,      360.333,        126.266,        5.86986             
81,    30,           12750.0,      425.000,        80.819,         5.98342             
82,    30,           9700.0,       323.333,        81.295,         5.88637             
83,    30,           12810.0,      427.000,        88.662,         6.09191             
84,    30,           11500.0,      383.333,        75.777,         5.99932             
85,    30,           10900.0,      363.333,        102.089,        5.98007             
86,    30,           12060.0,      402.000,        112.113,        5.99804             
87,    30,           13370.0,      445.667,        114.911,        5.87585             
88,    30,           6980.0,       232.667,        72.108,         5.82293             
89,    30,           11210.0,      373.667,        94.251,         5.76048             
90,    30,           15250.0,      508.333,        75.810,         5.7042              
91,    30,           13410.0,      447.000,        81.819,         5.70946             
92,    30,           12900.0,      430.000,        83.347,         5.60733             
93,    30,           13300.0,      443.333,        112.675,        5.66623             
94,    30,           13870.0,      462.333,        90.173,         5.63048             
95,    30,           13430.0,      447.667,        108.986,        5.52439             
96,    30,           13230.0,      441.000,        85.804,         5.6599              
97,    30,           12930.0,      431.000,        85.882,         5.73773             
98,    30,           10270.0,      342.333,        67.314,         5.81164             
99,    30,           12080.0,      402.667,        115.150,        5.61327             
100,   30,           14640.0,      488.000,        81.298,         5.69118             
101,   30,           13320.0,      444.000,        88.416,         5.47186             
102,   30,           11940.0,      398.000,        96.830,         5.38681             
103,   30,           13420.0,      447.333,        143.572,        5.52791             
104,   30,           12020.0,      400.667,        91.685,         5.62241             
105,   30,           11410.0,      380.333,        94.533,         5.72155             
106,   30,           14080.0,      469.333,        88.088,         5.52879             
107,   30,           10140.0,      338.000,        94.671,         5.57516             
108,   30,           12180.0,      406.000,        86.317,         5.70387             
109,   30,           13880.0,      462.667,        119.943,        5.72141             
110,   30,           11760.0,      392.000,        89.607,         5.89983             
111,   30,           9480.0,       316.000,        118.310,        5.86424             
112,   30,           12080.0,      402.667,        84.850,         5.77963             
113,   30,           13620.0,      454.000,        97.352,         5.88857             
114,   30,           13330.0,      444.333,        74.997,         5.82151             
115,   30,           11290.0,      376.333,        109.316,        5.80439             
116,   30,           16640.0,      554.667,        88.232,         5.55892             
117,   30,           13350.0,      445.000,        99.624,         5.84702             
118,   30,           10180.0,      339.333,        83.144,         5.73932             
119,   30,           12350.0,      411.667,        120.750,        5.77056             
120,   30,           11570.0,      385.667,        126.983,        5.80495             
121,   30,           10430.0,      347.667,        102.978,        5.93475             
122,   30,           12500.0,      416.667,        102.089,        5.9397              
123,   30,           11640.0,      388.000,        105.243,        6.03061             
124,   30,           10120.0,      337.333,        114.599,        5.92739             
125,   30,           10280.0,      342.667,        105.006,        6.07453             
126,   30,           11310.0,      377.000,        91.548,         6.00338             
127,   30,           13370.0,      445.667,        90.505,         5.96068             
128,   30,           11210.0,      373.667,        103.134,        6.01382             
129,   30,           10030.0,      334.333,        135.713,        6.10318             
130,   30,           12700.0,      423.333,        84.787,         6.06521             
131,   30,           13490.0,      449.667,        86.621,         5.90808             
132,   30,           10320.0,      344.000,        70.833,         5.83237             
133,   30,           14560.0,      485.333,        101.019,        6.00815             
134,   30,           12170.0,      405.667,        82.125,         6.02118             
135,   30,           12070.0,      402.333,        101.281,        6.02136             
136,   30,           10210.0,      340.333,        85.576,         6.01984             
137,   30,           12320.0,      410.667,        81.647,         5.78972             
138,   30,           11870.0,      395.667,        77.489,         5.8855              
139,   30,           11050.0,      368.333,        125.355,        5.95927             
140,   30,           12830.0,      427.667,        78.387,         6.03821             
141,   30,           13280.0,      442.667,        98.959,         6.11409             
142,   30,           11340.0,      378.000,        139.054,        6.09929             
143,   30,           10180.0,      339.333,        89.775,         5.95936             
144,   30,           13620.0,      454.000,        118.254,        6.00008             
145,   30,           10050.0,      335.000,        85.078,         5.76665             
146,   30,           12220.0,      407.333,        66.880,         5.73942             
147,   30,           4220.0,       140.667,        79.033,         5.85161             
148,   30,           13200.0,      440.000,        100.100,        5.81713             
149,   30,           13860.0,      462.000,        109.648,        5.88105             
150,   30,           7910.0,       263.667,        73.959,         5.88639             
151,   30,           11550.0,      385.000,        80.777,         5.82032             
152,   30,           12240.0,      408.000,        97.789,         5.96353             
153,   30,           12600.0,      420.000,        103.987,        6.12147             
154,   30,           9570.0,       319.000,        78.670,         5.90616             
155,   30,           13080.0,      436.000,        88.227,         5.86125             
156,   30,           11280.0,      376.000,        76.924,         5.73154             
157,   30,           10350.0,      345.000,        114.069,        5.87642             
158,   30,           8900.0,       296.667,        91.518,         5.94196             
159,   30,           8920.0,       297.333,        76.852,         5.77218             
160,   30,           12140.0,      404.667,        83.536,         5.91294             
161,   30,           11120.0,      370.667,        87.214,         6.0175              
162,   30,           13010.0,      433.667,        93.184,         6.1376              
163,   30,           10830.0,      361.000,        80.513,         5.95265             
164,   30,           7430.0,       247.667,        82.571,         6.01298             
165,   30,           12630.0,      421.000,        93.322,         6.21133             
166,   30,           16320.0,      544.000,        75.657,         6.32071             
167,   30,           11910.0,      397.000,        127.047,        6.29805             
168,   30,           13020.0,      434.000,        94.749,         6.25705             
169,   30,           15200.0,      506.667,        65.132,         6.25082             
170,   30,           10770.0,      359.000,        117.114,        6.31218             
171,   30,           15280.0,      509.333,        90.219,         6.12129             
172,   30,           14710.0,      490.333,        77.952,         6.04169             
173,   30,           9280.0,       309.333,        76.722,         6.32187             
174,   30,           10860.0,      362.000,        92.894,         6.2138              
175,   30,           10860.0,      362.000,        98.536,         6.10022             
176,   30,           12850.0,      428.333,        102.635,        6.1177              
177,   30,           10560.0,      352.000,        96.173,         6.03498             
178,   30,           10920.0,      364.000,        101.771,        5.9894              
179,   30,           10700.0,      356.667,        121.418,        6.09443             
180,   30,           15790.0,      526.333,        98.910,         6.18888             
181,   30,           11610.0,      387.000,        73.355,         6.0867              
182,   30,           9700.0,       323.333,        106.812,        5.99054             
183,   30,           13190.0,      439.667,        73.778,         6.08441             
184,   30,           13120.0,      437.333,        82.621,         6.13967             
185,   30,           12530.0,      417.667,        90.358,         6.41665             
186,   30,           10290.0,      343.000,        113.171,        6.46963             
187,   30,           11320.0,      377.333,        100.297,        6.49118             
188,   30,           12100.0,      403.333,        90.345,         6.55584             
189,   30,           14320.0,      477.333,        78.313,         6.51596             
190,   30,           12800.0,      426.667,        84.591,         6.3875              
191,   30,           10940.0,      364.667,        120.768,        6.28441             
192,   30,           15480.0,      516.000,        115.603,        6.29518             
193,   30,           13130.0,      437.667,        93.619,         6.30771             
194,   30,           13250.0,      441.667,        96.093,         6.24245             
195,   30,           10320.0,      344.000,        76.271,         6.09647             
196,   30,           9660.0,       322.000,        93.002,         6.20243             
197,   30,           10860.0,      362.000,        93.360,         6.23586             
198,   30,           9090.0,       303.000,        79.630,         6.29509             
199,   30,           13650.0,      455.000,        79.781,         6.4128              
200,   30,           10250.0,      341.667,        108.292,        6.32056             
