Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           148000.0,     4933.333,       3889.587,       0.932572            
2,     30,           79000.0,      2633.333,       2272.786,       1.07254             
3,     30,           161000.0,     5366.667,       3591.502,       1.15113             
4,     30,           113000.0,     3766.667,       3051.593,       1.15216             
5,     30,           98000.0,      3266.667,       2434.931,       1.10352             
6,     30,           244000.0,     8133.333,       3703.452,       1.12274             
7,     30,           207000.0,     6900.000,       4036.087,       1.17496             
8,     30,           322000.0,     10733.333,      5039.400,       1.28277             
9,     30,           356000.0,     11866.667,      4951.319,       1.31171             
10,    30,           120000.0,     4000.000,       4000.000,       1.33326             
11,    30,           144000.0,     4800.000,       4174.526,       1.30853             
12,    30,           246000.0,     8200.000,       4430.199,       1.38853             
13,    30,           413000.0,     13766.667,      4930.743,       1.53329             
14,    30,           254000.0,     8466.667,       3694.440,       1.56996             
15,    30,           328000.0,     10933.333,      4312.256,       1.51401             
16,    30,           399000.0,     13300.000,      4290.688,       1.57573             
17,    30,           321000.0,     10700.000,      5177.837,       1.50342             
18,    30,           487000.0,     16233.333,      6701.658,       1.4973              
19,    30,           173000.0,     5766.667,       4208.589,       1.39039             
20,    30,           574000.0,     19133.333,      5283.517,       1.3707              
21,    30,           463000.0,     15433.333,      4984.532,       1.36798             
22,    30,           369000.0,     12300.000,      5544.667,       1.3313              
23,    30,           429000.0,     14300.000,      4726.874,       1.29687             
24,    30,           455000.0,     15166.667,      5190.269,       1.31423             
25,    30,           469000.0,     15633.333,      6353.389,       1.32346             
26,    30,           374000.0,     12466.667,      3879.290,       1.32179             
27,    30,           336000.0,     11200.000,      4354.308,       1.35147             
28,    30,           324000.0,     10800.000,      3927.680,       1.3114              
29,    30,           285000.0,     9500.000,       3117.157,       1.33842             
30,    30,           376000.0,     12533.333,      4232.677,       1.31424             
31,    30,           507000.0,     16900.000,      4962.190,       1.31744             
32,    30,           362000.0,     12066.667,      3714.237,       1.29267             
33,    30,           425000.0,     14166.667,      6511.955,       1.30695             
34,    30,           430000.0,     14333.333,      6528.570,       1.32225             
35,    30,           552000.0,     18400.000,      5122.499,       1.2949              
36,    30,           426000.0,     14200.000,      4445.222,       1.3525              
37,    30,           393000.0,     13100.000,      4749.386,       1.2744              
38,    30,           494000.0,     16466.667,      4971.474,       1.19629             
39,    30,           452000.0,     15066.667,      5409.457,       1.19883             
40,    30,           458000.0,     15266.667,      4456.705,       1.1901              
41,    30,           527000.0,     17566.667,      5174.832,       1.23857             
42,    30,           589000.0,     19633.333,      4316.506,       1.26704             
43,    30,           438000.0,     14600.000,      4673.329,       1.28755             
44,    30,           427000.0,     14233.333,      4772.723,       1.30699             
45,    30,           684000.0,     22800.000,      5576.140,       1.37659             
46,    30,           364000.0,     12133.333,      4738.026,       1.39214             
47,    30,           361000.0,     12033.333,      5288.247,       1.40413             
48,    30,           488000.0,     16266.667,      5253.147,       1.37739             
49,    30,           480000.0,     16000.000,      9154.234,       1.40108             
50,    30,           420000.0,     14000.000,      4297.286,       1.39225             
