Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           8492.0,       283.067,        129.872,        0.800322            
2,     30,           7656.0,       255.200,        109.794,        1.18913             
3,     30,           17364.0,      578.800,        128.988,        1.72613             
4,     30,           16564.0,      552.133,        160.916,        2.05746             
5,     30,           11220.0,      374.000,        160.162,        2.36032             
6,     30,           63732.0,      2124.400,       364.213,        2.56054             
7,     30,           91846.0,      3061.533,       858.711,        2.80684             
8,     30,           66536.0,      2217.867,       378.644,        2.96506             
9,     30,           120282.0,     4009.400,       598.749,        3.11834             
10,    30,           124234.0,     4141.133,       566.664,        3.17315             
11,    30,           80040.0,      2668.000,       407.263,        3.17708             
12,    30,           51560.0,      1718.667,       415.712,        3.46126             
13,    30,           107974.0,     3599.133,       731.669,        3.54035             
14,    30,           122888.0,     4096.267,       765.740,        3.56497             
15,    30,           148688.0,     4956.267,       848.699,        3.67538             
16,    30,           138496.0,     4616.533,       464.595,        3.71568             
17,    30,           91430.0,      3047.667,       442.671,        3.76423             
18,    30,           159222.0,     5307.400,       644.002,        3.80282             
19,    30,           99834.0,      3327.800,       1053.153,       3.95805             
20,    30,           154716.0,     5157.200,       908.321,        3.95706             
21,    30,           160344.0,     5344.800,       1185.813,       3.80226             
22,    30,           162822.0,     5427.400,       711.823,        3.76472             
23,    30,           168582.0,     5619.400,       701.015,        3.81805             
24,    30,           140444.0,     4681.467,       686.332,        3.7866              
25,    30,           146868.0,     4895.600,       1162.001,       3.67188             
26,    30,           164604.0,     5486.800,       1377.357,       3.64601             
27,    30,           99030.0,      3301.000,       611.170,        3.70883             
28,    30,           151358.0,     5045.267,       1080.939,       3.69762             
29,    30,           152294.0,     5076.467,       799.809,        3.70019             
30,    30,           161844.0,     5394.800,       1539.078,       3.74445             
31,    30,           173622.0,     5787.400,       839.715,        3.70773             
32,    30,           184236.0,     6141.200,       792.548,        3.77076             
33,    30,           145554.0,     4851.800,       1166.122,       3.79181             
34,    30,           137144.0,     4571.467,       930.730,        3.72565             
35,    30,           158294.0,     5276.467,       1119.923,       3.65325             
36,    30,           165480.0,     5516.000,       1303.383,       3.65291             
37,    30,           149298.0,     4976.600,       1110.695,       3.80919             
38,    30,           150090.0,     5003.000,       1286.800,       3.66777             
39,    30,           153598.0,     5119.933,       1517.779,       3.66647             
40,    30,           167042.0,     5568.067,       990.086,        3.64293             
41,    30,           175534.0,     5851.133,       1002.983,       3.75669             
42,    30,           137224.0,     4574.133,       1418.072,       3.81212             
43,    30,           153292.0,     5109.733,       1154.956,       3.70529             
44,    30,           154664.0,     5155.467,       842.806,        3.67854             
45,    30,           174062.0,     5802.067,       1046.576,       3.59731             
46,    30,           173748.0,     5791.600,       1001.724,       3.62477             
47,    30,           191226.0,     6374.200,       1159.756,       3.61199             
48,    30,           120966.0,     4032.200,       1190.984,       3.68518             
49,    30,           170316.0,     5677.200,       1025.117,       3.73757             
50,    30,           160750.0,     5358.333,       859.272,        3.7799              
51,    30,           146676.0,     4889.200,       1341.567,       3.78606             
52,    30,           170924.0,     5697.467,       1492.882,       3.87691             
53,    30,           167148.0,     5571.600,       1102.139,       3.85601             
54,    30,           135128.0,     4504.267,       1040.782,       3.78745             
55,    30,           182814.0,     6093.800,       1055.851,       3.86326             
56,    30,           171992.0,     5733.067,       1327.451,       3.77389             
57,    30,           152406.0,     5080.200,       1367.741,       3.88021             
58,    30,           187066.0,     6235.533,       1236.909,       3.86605             
59,    30,           185374.0,     6179.133,       1445.804,       3.79636             
60,    30,           168386.0,     5612.867,       1179.716,       3.80394             
61,    30,           164026.0,     5467.533,       1715.695,       3.74858             
62,    30,           180140.0,     6004.667,       721.311,        3.69505             
63,    30,           174536.0,     5817.867,       1076.703,       3.70693             
64,    30,           185024.0,     6167.467,       1289.468,       3.62794             
65,    30,           166042.0,     5534.733,       1000.525,       3.56386             
66,    30,           190830.0,     6361.000,       722.001,        3.58938             
67,    30,           201104.0,     6703.467,       1050.486,       3.63258             
68,    30,           191402.0,     6380.067,       994.665,        3.63967             
69,    30,           112700.0,     3756.667,       763.466,        3.63959             
70,    30,           170522.0,     5684.067,       876.451,        3.63983             
71,    30,           171156.0,     5705.200,       1694.813,       3.599               
72,    30,           182234.0,     6074.467,       1487.993,       3.6123              
73,    30,           172930.0,     5764.333,       1656.273,       3.70029             
74,    30,           191290.0,     6376.333,       1014.824,       3.6805              
75,    30,           178562.0,     5952.067,       1040.641,       3.67408             
76,    30,           183432.0,     6114.400,       1015.109,       3.63025             
77,    30,           186870.0,     6229.000,       1342.012,       3.67147             
78,    30,           199636.0,     6654.533,       870.810,        3.71405             
79,    30,           185342.0,     6178.067,       1153.344,       3.80577             
80,    30,           168536.0,     5617.867,       907.033,        3.82635             
81,    30,           177650.0,     5921.667,       1259.786,       3.76704             
82,    30,           179372.0,     5979.067,       1420.688,       3.74731             
83,    30,           199884.0,     6662.800,       873.969,        3.65933             
84,    30,           165910.0,     5530.333,       1417.286,       3.81539             
85,    30,           189650.0,     6321.667,       1681.745,       3.77775             
86,    30,           159248.0,     5308.267,       1132.606,       3.73097             
87,    30,           202252.0,     6741.733,       1178.025,       3.73422             
88,    30,           183660.0,     6122.000,       1499.539,       3.75498             
89,    30,           193038.0,     6434.600,       1409.529,       3.65486             
90,    30,           200044.0,     6668.133,       1021.107,       3.59846             
91,    30,           179554.0,     5985.133,       1219.238,       3.68848             
92,    30,           190170.0,     6339.000,       1533.903,       3.68189             
93,    30,           203116.0,     6770.533,       933.835,        3.65777             
94,    30,           202398.0,     6746.600,       988.040,        3.72321             
95,    30,           176724.0,     5890.800,       1373.042,       3.77226             
96,    30,           177238.0,     5907.933,       933.411,        3.80564             
97,    30,           199732.0,     6657.733,       909.393,        3.80261             
98,    30,           184042.0,     6134.733,       1601.918,       3.74863             
99,    30,           201692.0,     6723.067,       1502.067,       3.71631             
100,   30,           201604.0,     6720.133,       1164.184,       3.71455             
101,   30,           183706.0,     6123.533,       1332.289,       3.81831             
102,   30,           179320.0,     5977.333,       2139.520,       3.82878             
103,   30,           192028.0,     6400.933,       1449.778,       3.84522             
104,   30,           157612.0,     5253.733,       1258.445,       3.77916             
105,   30,           202716.0,     6757.200,       1339.124,       3.77344             
106,   30,           210656.0,     7021.867,       1335.009,       3.70193             
107,   30,           192946.0,     6431.533,       1878.685,       3.71104             
108,   30,           170840.0,     5694.667,       1268.720,       3.69494             
109,   30,           206330.0,     6877.667,       1536.431,       3.56909             
110,   30,           182594.0,     6086.467,       1828.762,       3.64546             
111,   30,           183664.0,     6122.133,       1683.568,       3.64063             
112,   30,           177266.0,     5908.867,       1422.043,       3.68368             
113,   30,           187684.0,     6256.133,       1760.667,       3.60847             
114,   30,           110562.0,     3685.400,       889.387,        3.63748             
115,   30,           187144.0,     6238.133,       1580.070,       3.56659             
116,   30,           174100.0,     5803.333,       1893.458,       3.60439             
117,   30,           171572.0,     5719.067,       1516.905,       3.61692             
118,   30,           185306.0,     6176.867,       1879.335,       3.65598             
119,   30,           142556.0,     4751.867,       853.755,        3.64113             
120,   30,           212646.0,     7088.200,       1052.692,       3.63576             
121,   30,           203512.0,     6783.733,       1803.504,       3.67489             
122,   30,           202686.0,     6756.200,       1023.652,       3.64769             
123,   30,           211320.0,     7044.000,       1610.600,       3.68466             
124,   30,           199574.0,     6652.467,       1348.568,       3.69086             
125,   30,           188024.0,     6267.467,       1133.599,       3.71756             
126,   30,           212688.0,     7089.600,       1054.368,       3.70766             
127,   30,           190372.0,     6345.733,       1230.040,       3.85722             
128,   30,           185430.0,     6181.000,       1455.323,       3.79329             
129,   30,           193644.0,     6454.800,       1657.172,       3.76505             
130,   30,           188060.0,     6268.667,       1253.488,       3.81371             
131,   30,           193672.0,     6455.733,       1955.979,       3.78792             
132,   30,           183196.0,     6106.533,       832.379,        3.74411             
133,   30,           209852.0,     6995.067,       1344.468,       3.72779             
134,   30,           200668.0,     6688.933,       1550.170,       3.7091              
135,   30,           211440.0,     7048.000,       1211.447,       3.68927             
136,   30,           215552.0,     7185.067,       1010.100,       3.72689             
137,   30,           202124.0,     6737.467,       1565.169,       3.80054             
138,   30,           202550.0,     6751.667,       1045.747,       3.79506             
139,   30,           204034.0,     6801.133,       1497.934,       3.80338             
140,   30,           224874.0,     7495.800,       1290.882,       3.77011             
141,   30,           199190.0,     6639.667,       1375.064,       3.77703             
142,   30,           216006.0,     7200.200,       1143.924,       3.80259             
143,   30,           181390.0,     6046.333,       1940.064,       3.84922             
144,   30,           211808.0,     7060.267,       1206.995,       3.83386             
145,   30,           209426.0,     6980.867,       1510.729,       3.84144             
146,   30,           201204.0,     6706.800,       1070.868,       3.80157             
147,   30,           200756.0,     6691.867,       1289.031,       3.72225             
148,   30,           198604.0,     6620.133,       1486.905,       3.76647             
149,   30,           202140.0,     6738.000,       1584.734,       3.71154             
150,   30,           223160.0,     7438.667,       1072.725,       3.77116             
151,   30,           200348.0,     6678.267,       1330.893,       3.81524             
152,   30,           209110.0,     6970.333,       1704.702,       3.82293             
153,   30,           185136.0,     6171.200,       2180.744,       3.81428             
154,   30,           198792.0,     6626.400,       1411.339,       3.81493             
155,   30,           194800.0,     6493.333,       1370.766,       3.86199             
156,   30,           196644.0,     6554.800,       1493.264,       3.79804             
157,   30,           183424.0,     6114.133,       1829.676,       3.76308             
158,   30,           208666.0,     6955.533,       1333.468,       3.82091             
159,   30,           198682.0,     6622.733,       1343.220,       3.7894              
160,   30,           213910.0,     7130.333,       1049.453,       3.82781             
161,   30,           219130.0,     7304.333,       1649.666,       3.71448             
162,   30,           198660.0,     6622.000,       1497.226,       3.67746             
163,   30,           197352.0,     6578.400,       1747.889,       3.63719             
164,   30,           214328.0,     7144.267,       1316.817,       3.70867             
165,   30,           201618.0,     6720.600,       1259.446,       3.75362             
166,   30,           184618.0,     6153.933,       1813.063,       3.80794             
167,   30,           215562.0,     7185.400,       1371.272,       3.77455             
168,   30,           208550.0,     6951.667,       1030.481,       3.75096             
169,   30,           225954.0,     7531.800,       1324.620,       3.7811              
170,   30,           213118.0,     7103.933,       1448.561,       3.77534             
171,   30,           180928.0,     6030.933,       1904.708,       3.78894             
172,   30,           193930.0,     6464.333,       1329.520,       3.73616             
173,   30,           212210.0,     7073.667,       1041.840,       3.75301             
174,   30,           204232.0,     6807.733,       1273.616,       3.8019              
175,   30,           218360.0,     7278.667,       1842.443,       3.85987             
176,   30,           206386.0,     6879.533,       1791.138,       3.79298             
177,   30,           199632.0,     6654.400,       1377.540,       3.79946             
178,   30,           205432.0,     6847.733,       1573.234,       3.85688             
179,   30,           218408.0,     7280.267,       1449.718,       3.9071              
180,   30,           184302.0,     6143.400,       874.566,        3.84681             
181,   30,           182054.0,     6068.467,       1815.071,       3.82342             
182,   30,           214472.0,     7149.067,       1157.998,       3.80513             
183,   30,           195914.0,     6530.467,       1956.250,       3.86206             
184,   30,           225480.0,     7516.000,       1062.874,       3.83034             
185,   30,           212664.0,     7088.800,       1180.522,       3.80278             
186,   30,           210424.0,     7014.133,       1250.835,       3.8199              
187,   30,           197356.0,     6578.533,       1610.885,       3.77737             
188,   30,           222874.0,     7429.133,       950.653,        3.77698             
189,   30,           198442.0,     6614.733,       1985.692,       3.80953             
190,   30,           228858.0,     7628.600,       1585.052,       3.86398             
191,   30,           230830.0,     7694.333,       1120.969,       3.89369             
192,   30,           198330.0,     6611.000,       2309.213,       3.89571             
193,   30,           211108.0,     7036.933,       1565.824,       3.89274             
194,   30,           196182.0,     6539.400,       1521.711,       3.92052             
195,   30,           174838.0,     5827.933,       1977.112,       3.89998             
196,   30,           200864.0,     6695.467,       956.122,        3.8482              
197,   30,           220092.0,     7336.400,       812.798,        3.93893             
198,   30,           215900.0,     7196.667,       1684.058,       3.82286             
199,   30,           203880.0,     6796.000,       1567.455,       3.83795             
200,   30,           209906.0,     6996.867,       982.039,        3.78813             
