Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           30.0,         1.000,          1.612,          0.670828            
2,     30,           783.0,        26.100,         4.847,          0.749484            
3,     30,           848.0,        28.267,         9.465,          0.808419            
4,     30,           705.0,        23.500,         9.962,          0.88877             
5,     30,           827.0,        27.567,         11.360,         0.863136            
6,     30,           21.0,         0.700,          1.487,          0.851231            
7,     30,           771.0,        25.700,         4.755,          0.832738            
8,     30,           894.0,        29.800,         0.748,          0.834724            
9,     30,           903.0,        30.100,         0.539,          0.810463            
10,    30,           730.0,        24.333,         7.157,          0.832772            
11,    30,           898.0,        29.933,         0.359,          0.804726            
12,    30,           936.0,        31.200,         1.990,          0.817497            
13,    30,           923.0,        30.767,         1.606,          0.812943            
14,    30,           900.0,        30.000,         0.000,          0.813962            
15,    30,           898.0,        29.933,         0.359,          0.830526            
16,    30,           900.0,        30.000,         0.000,          0.818839            
17,    30,           966.0,        32.200,         1.327,          0.805984            
18,    30,           899.0,        29.967,         0.752,          0.769025            
19,    30,           858.0,        28.600,         1.497,          0.751823            
20,    30,           914.0,        30.467,         2.109,          0.755697            
21,    30,           910.0,        30.333,         1.011,          0.72603             
22,    30,           904.0,        30.133,         0.718,          0.728888            
23,    30,           945.0,        31.500,         1.500,          0.725112            
24,    30,           1072.0,       35.733,         4.016,          0.70607             
25,    30,           900.0,        30.000,         0.000,          0.699626            
26,    30,           904.0,        30.133,         0.884,          0.720051            
27,    30,           891.0,        29.700,         0.900,          0.713916            
28,    30,           898.0,        29.933,         0.359,          0.702241            
29,    30,           898.0,        29.933,         0.359,          0.709829            
30,    30,           852.0,        28.400,         1.977,          0.706058            
31,    30,           890.0,        29.667,         0.907,          0.683653            
32,    30,           742.0,        24.733,         6.772,          0.655269            
33,    30,           753.0,        25.100,         6.891,          0.667397            
34,    30,           580.0,        19.333,         5.844,          0.675422            
35,    30,           818.0,        27.267,         4.973,          0.658833            
36,    30,           883.0,        29.433,         1.892,          0.650655            
37,    30,           722.0,        24.067,         5.397,          0.671604            
38,    30,           900.0,        30.000,         0.000,          0.651598            
39,    30,           808.0,        26.933,         4.343,          0.662719            
40,    30,           850.0,        28.333,         1.886,          0.645779            
41,    30,           858.0,        28.600,         1.724,          0.625877            
42,    30,           723.0,        24.100,         5.249,          0.636107            
43,    30,           736.0,        24.533,         2.860,          0.665974            
44,    30,           844.0,        28.133,         3.649,          0.672471            
45,    30,           826.0,        27.533,         4.815,          0.656708            
46,    30,           868.0,        28.933,         1.632,          0.63022             
47,    30,           856.0,        28.533,         1.565,          0.630211            
48,    30,           877.0,        29.233,         1.585,          0.637567            
49,    30,           860.0,        28.667,         1.938,          0.654401            
50,    30,           851.0,        28.367,         1.426,          0.633725            
51,    30,           894.0,        29.800,         3.081,          0.608797            
52,    30,           862.0,        28.733,         1.482,          0.611257            
53,    30,           813.0,        27.100,         3.506,          0.6074              
54,    30,           958.0,        31.933,         4.335,          0.6011              
55,    30,           702.0,        23.400,         5.238,          0.605548            
56,    30,           696.0,        23.200,         3.772,          0.61074             
57,    30,           687.0,        22.900,         3.867,          0.608496            
58,    30,           708.0,        23.600,         2.728,          0.605869            
59,    30,           738.0,        24.600,         3.499,          0.631818            
60,    30,           865.0,        28.833,         9.883,          0.64792             
61,    30,           794.0,        26.467,         5.506,          0.634499            
62,    30,           801.0,        26.700,         4.059,          0.677687            
63,    30,           695.0,        23.167,         4.009,          0.696541            
64,    30,           862.0,        28.733,         1.825,          0.708077            
65,    30,           840.0,        28.000,         2.422,          0.706034            
66,    30,           834.0,        27.800,         3.553,          0.694325            
67,    30,           890.0,        29.667,         0.907,          0.669855            
68,    30,           794.0,        26.467,         5.130,          0.695346            
69,    30,           875.0,        29.167,         1.968,          0.659247            
70,    30,           878.0,        29.267,         1.672,          0.667545            
71,    30,           803.0,        26.767,         2.499,          0.69673             
72,    30,           932.0,        31.067,         3.492,          0.701361            
73,    30,           876.0,        29.200,         1.108,          0.717304            
74,    30,           886.0,        29.533,         1.607,          0.730813            
75,    30,           888.0,        29.600,         0.952,          0.739081            
76,    30,           935.0,        31.167,         1.416,          0.732812            
77,    30,           876.0,        29.200,         1.661,          0.727834            
78,    30,           906.0,        30.200,         2.798,          0.709364            
79,    30,           949.0,        31.633,         3.545,          0.697908            
80,    30,           874.0,        29.133,         1.945,          0.66664             
81,    30,           924.0,        30.800,         3.219,          0.67535             
82,    30,           861.0,        28.700,         2.648,          0.655994            
83,    30,           1034.0,       34.467,         6.174,          0.678156            
84,    30,           896.0,        29.867,         2.125,          0.69717             
