Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -740.0,       -24.667,        14.934,         1.58634             
2,     30,           -87.0,        -2.900,         6.930,          2.18675             
3,     30,           -18.0,        -0.600,         5.395,          2.61514             
4,     30,           200.0,        6.667,          7.717,          2.96161             
5,     30,           89.0,         2.967,          5.753,          3.25353             
6,     30,           18.0,         0.600,          2.996,          3.56451             
7,     30,           458.0,        15.267,         9.688,          3.65522             
8,     30,           77.0,         2.567,          4.794,          3.73885             
9,     30,           442.0,        14.733,         8.660,          3.76153             
10,    30,           571.0,        19.033,         7.382,          3.91009             
11,    30,           572.0,        19.067,         9.114,          3.84416             
12,    30,           841.0,        28.033,         11.951,         4.10177             
13,    30,           753.0,        25.100,         11.691,         4.26444             
14,    30,           106.0,        3.533,          14.805,         4.35746             
15,    30,           741.0,        24.700,         14.397,         4.27468             
16,    30,           756.0,        25.200,         10.422,         4.3167              
17,    30,           403.0,        13.433,         11.592,         4.55239             
18,    30,           771.0,        25.700,         10.064,         4.75462             
19,    30,           1012.0,       33.733,         17.025,         4.769               
20,    30,           1507.0,       50.233,         12.159,         4.80683             
21,    30,           496.0,        16.533,         9.777,          4.99151             
22,    30,           1214.0,       40.467,         10.049,         4.98771             
23,    30,           1127.0,       37.567,         15.081,         5.32809             
24,    30,           2034.0,       67.800,         10.281,         5.49516             
25,    30,           1140.0,       38.000,         28.534,         5.7048              
26,    30,           818.0,        27.267,         18.169,         6.26611             
27,    30,           1490.0,       49.667,         20.196,         6.44316             
28,    30,           2457.0,       81.900,         11.184,         6.57546             
29,    30,           2093.0,       69.767,         11.093,         6.74621             
30,    30,           955.0,        31.833,         28.836,         6.9611              
31,    30,           2649.0,       88.300,         6.568,          7.05444             
32,    30,           2680.0,       89.333,         4.269,          7.42319             
33,    30,           2626.0,       87.533,         6.136,          7.75435             
34,    30,           2427.0,       80.900,         6.799,          8.14892             
35,    30,           2656.0,       88.533,         4.646,          8.34041             
36,    30,           2696.0,       89.867,         3.989,          8.44725             
37,    30,           2655.0,       88.500,         7.881,          8.59325             
38,    30,           2504.0,       83.467,         7.293,          8.73247             
39,    30,           2529.0,       84.300,         6.861,          8.8955              
40,    30,           2199.0,       73.300,         13.526,         9.00742             
41,    30,           2579.0,       85.967,         6.113,          9.17216             
42,    30,           1786.0,       59.533,         31.924,         9.07551             
43,    30,           2645.0,       88.167,         5.556,          8.9083              
44,    30,           2623.0,       87.433,         6.302,          8.79708             
45,    30,           2651.0,       88.367,         4.875,          8.78098             
46,    30,           2508.0,       83.600,         6.631,          8.68919             
47,    30,           2733.0,       91.100,         3.727,          8.71988             
48,    30,           2606.0,       86.867,         6.402,          8.65966             
49,    30,           2591.0,       86.367,         7.176,          8.71978             
50,    30,           1747.0,       58.233,         14.816,         8.83702             
51,    30,           2487.0,       82.900,         7.735,          8.93701             
52,    30,           2453.0,       81.767,         7.356,          8.7742              
53,    30,           2498.0,       83.267,         7.384,          8.5533              
54,    30,           2682.0,       89.400,         4.144,          8.71265             
55,    30,           2638.0,       87.933,         4.986,          8.71529             
56,    30,           2624.0,       87.467,         6.397,          8.66347             
57,    30,           2686.0,       89.533,         5.408,          8.66679             
58,    30,           2588.0,       86.267,         8.587,          8.76403             
59,    30,           2593.0,       86.433,         5.673,          8.54028             
60,    30,           2226.0,       74.200,         10.025,         8.53799             
61,    30,           2628.0,       87.600,         5.998,          8.38695             
62,    30,           2460.0,       82.000,         7.755,          8.56771             
63,    30,           2725.0,       90.833,         3.446,          8.60476             
64,    30,           2634.0,       87.800,         4.520,          8.80175             
65,    30,           2642.0,       88.067,         4.358,          8.82847             
66,    30,           2528.0,       84.267,         6.071,          9.03113             
67,    30,           2677.0,       89.233,         5.077,          8.97281             
68,    30,           2585.0,       86.167,         5.751,          8.75738             
69,    30,           2680.0,       89.333,         5.991,          8.88545             
70,    30,           2696.0,       89.867,         5.965,          8.57787             
71,    30,           2628.0,       87.600,         4.923,          8.46469             
72,    30,           2283.0,       76.100,         9.364,          8.39042             
73,    30,           2624.0,       87.467,         5.315,          8.40891             
74,    30,           2560.0,       85.333,         6.358,          8.44272             
75,    30,           2430.0,       81.000,         9.434,          8.68569             
76,    30,           2562.0,       85.400,         4.030,          8.72321             
77,    30,           2649.0,       88.300,         5.490,          8.54283             
78,    30,           2643.0,       88.100,         5.546,          8.41025             
79,    30,           2690.0,       89.667,         4.679,          8.26413             
80,    30,           2574.0,       85.800,         6.872,          8.23567             
81,    30,           2540.0,       84.667,         6.284,          8.23177             
82,    30,           2558.0,       85.267,         6.180,          8.22086             
83,    30,           2481.0,       82.700,         10.050,         8.2517              
84,    30,           2597.0,       86.567,         5.024,          8.46312             
85,    30,           2400.0,       80.000,         10.338,         8.42588             
86,    30,           2458.0,       81.933,         6.361,          8.31051             
87,    30,           2628.0,       87.600,         5.511,          8.26929             
88,    30,           2521.0,       84.033,         6.691,          8.22418             
89,    30,           2587.0,       86.233,         4.828,          8.45781             
90,    30,           2381.0,       79.367,         17.499,         8.42863             
91,    30,           2659.0,       88.633,         6.780,          8.3959              
92,    30,           2519.0,       83.967,         7.282,          8.44422             
93,    30,           2503.0,       83.433,         5.841,          8.355               
94,    30,           2576.0,       85.867,         9.040,          8.34306             
95,    30,           2614.0,       87.133,         6.349,          8.195               
96,    30,           2616.0,       87.200,         5.332,          8.1154              
97,    30,           2590.0,       86.333,         4.407,          8.26776             
98,    30,           2630.0,       87.667,         4.150,          8.05207             
99,    30,           2649.0,       88.300,         4.084,          8.11917             
100,   30,           2544.0,       84.800,         4.806,          8.09554             
101,   30,           2625.0,       87.500,         5.012,          8.10682             
102,   30,           2600.0,       86.667,         4.798,          8.18644             
103,   30,           2658.0,       88.600,         6.221,          8.23132             
104,   30,           2532.0,       84.400,         6.317,          8.33044             
105,   30,           2512.0,       83.733,         6.723,          8.33592             
106,   30,           2605.0,       86.833,         6.176,          8.19725             
107,   30,           2637.0,       87.900,         6.857,          8.25247             
108,   30,           2315.0,       77.167,         7.412,          8.39166             
109,   30,           2551.0,       85.033,         6.014,          8.41972             
110,   30,           2507.0,       83.567,         6.233,          8.40688             
111,   30,           2605.0,       86.833,         5.435,          8.29608             
112,   30,           2398.0,       79.933,         7.307,          8.25061             
113,   30,           2513.0,       83.767,         6.946,          8.38499             
114,   30,           2591.0,       86.367,         5.600,          8.39093             
115,   30,           2575.0,       85.833,         4.465,          8.38428             
116,   30,           2657.0,       88.567,         4.031,          8.41315             
117,   30,           2546.0,       84.867,         6.908,          8.17434             
118,   30,           2480.0,       82.667,         5.844,          8.29713             
119,   30,           2617.0,       87.233,         5.084,          8.44742             
120,   30,           2576.0,       85.867,         6.168,          8.45487             
121,   30,           2672.0,       89.067,         4.633,          8.57465             
122,   30,           2537.0,       84.567,         7.233,          8.42515             
123,   30,           2613.0,       87.100,         7.240,          8.67272             
124,   30,           2570.0,       85.667,         7.604,          8.71703             
125,   30,           2553.0,       85.100,         5.833,          8.55085             
126,   30,           2513.0,       83.767,         7.324,          8.57052             
127,   30,           2597.0,       86.567,         5.149,          8.51072             
