Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           16.0,         0.533,          0.846,          0.443792            
2,     30,           94.0,         3.133,          1.118,          0.60329             
3,     30,           382.0,        12.733,         5.651,          0.973886            
4,     30,           450.0,        15.000,         4.913,          1.32925             
5,     30,           692.0,        23.067,         8.740,          1.60879             
6,     30,           979.0,        32.633,         9.867,          1.9188              
7,     30,           1358.0,       45.267,         14.924,         2.22681             
8,     30,           1825.0,       60.833,         16.761,         2.47738             
9,     30,           2117.0,       70.567,         20.754,         2.76937             
10,    30,           1955.0,       65.167,         22.024,         3.00284             
11,    30,           2616.0,       87.200,         37.030,         3.17636             
12,    30,           3982.0,       132.733,        54.183,         3.50109             
13,    30,           5172.0,       172.400,        78.766,         3.65266             
14,    30,           5488.0,       182.933,        87.370,         3.71649             
15,    30,           6611.0,       220.367,        88.028,         4.02065             
16,    30,           4351.0,       145.033,        95.001,         4.22389             
17,    30,           6234.0,       207.800,        102.593,        4.38784             
18,    30,           8384.0,       279.467,        70.331,         4.66273             
19,    30,           6090.0,       203.000,        111.136,        4.96273             
20,    30,           8708.0,       290.267,        69.039,         5.15228             
21,    30,           2545.0,       84.833,         65.194,         5.4753              
22,    30,           6526.0,       217.533,        107.955,        5.99937             
23,    30,           127.0,        4.233,          7.641,          5.92785             
24,    30,           8155.0,       271.833,        102.218,        6.08308             
25,    30,           6851.0,       228.367,        111.907,        6.41424             
26,    30,           7345.0,       244.833,        108.764,        6.56262             
27,    30,           6737.0,       224.567,        104.472,        6.90696             
28,    30,           6913.0,       230.433,        113.404,        7.01521             
29,    30,           6829.0,       227.633,        113.859,        7.29673             
30,    30,           3458.0,       115.267,        81.405,         7.378               
31,    30,           8469.0,       282.300,        117.272,        7.28804             
32,    30,           3790.0,       126.333,        127.252,        7.3139              
33,    30,           6413.0,       213.767,        113.779,        7.54261             
34,    30,           4728.0,       157.600,        106.365,        7.64528             
35,    30,           5046.0,       168.200,        118.225,        7.58753             
