Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           73286.0,      2442.867,       1214.078,       3.67417             
2,     30,           63194.0,      2106.467,       934.152,        8.16209             
3,     30,           67711.0,      2257.033,       1016.241,       12.554              
4,     30,           63515.0,      2117.167,       1074.226,       13.7425             
5,     30,           79796.0,      2659.867,       1502.943,       14.8802             
6,     30,           109912.0,     3663.733,       1759.943,       15.7455             
7,     30,           144510.0,     4817.000,       2733.798,       16.4653             
8,     30,           118971.0,     3965.700,       2285.581,       16.9888             
9,     30,           102887.0,     3429.567,       1292.537,       16.4751             
10,    30,           87291.0,      2909.700,       1669.194,       16.8706             
11,    30,           122180.0,     4072.667,       1864.950,       17.1524             
12,    30,           88613.0,      2953.767,       1762.216,       17.3759             
13,    30,           155075.0,     5169.167,       2333.194,       17.5419             
14,    30,           121743.0,     4058.100,       2364.424,       17.6066             
15,    30,           121349.0,     4044.967,       2716.226,       17.6734             
16,    30,           145871.0,     4862.367,       2310.404,       17.5259             
17,    30,           125928.0,     4197.600,       1785.579,       17.6395             
18,    30,           188676.0,     6289.200,       3087.156,       17.7352             
19,    30,           118286.0,     3942.867,       1895.482,       17.797              
20,    30,           117311.0,     3910.367,       1940.523,       17.4884             
21,    30,           146143.0,     4871.433,       2212.377,       17.329              
22,    30,           143875.0,     4795.833,       2121.565,       17.8257             
23,    30,           177694.0,     5923.133,       2432.323,       17.492              
24,    30,           142231.0,     4741.033,       2202.704,       17.4072             
25,    30,           124881.0,     4162.700,       1568.333,       17.8189             
26,    30,           153801.0,     5126.700,       2495.270,       17.9302             
27,    30,           122877.0,     4095.900,       1935.201,       17.8514             
28,    30,           141953.0,     4731.767,       2801.583,       18.3342             
29,    30,           128875.0,     4295.833,       1630.829,       18.8631             
30,    30,           176872.0,     5895.733,       3026.836,       18.4684             
31,    30,           172849.0,     5761.633,       4352.755,       18.345              
32,    30,           189767.0,     6325.567,       2074.638,       17.9453             
33,    30,           145245.0,     4841.500,       2206.131,       17.9838             
34,    30,           124715.0,     4157.167,       2134.446,       18.2644             
35,    30,           137697.0,     4589.900,       2133.556,       18.1939             
36,    30,           85987.0,      2866.233,       1269.303,       18.617              
37,    30,           196099.0,     6536.633,       2520.722,       18.6746             
38,    30,           153254.0,     5108.467,       1680.903,       18.2746             
39,    30,           204296.0,     6809.867,       2968.977,       18.1923             
40,    30,           55585.0,      1852.833,       975.605,        17.743              
41,    30,           141432.0,     4714.400,       1863.080,       17.7109             
42,    30,           185080.0,     6169.333,       2829.968,       18.0515             
43,    30,           216523.0,     7217.433,       3406.588,       17.5491             
