Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           21900.0,      730.000,        324.705,        0.630596            
2,     30,           22900.0,      763.333,        325.047,        0.65087             
3,     30,           17400.0,      580.000,        278.568,        0.612442            
4,     30,           6700.0,       223.333,        224.623,        0.627859            
5,     30,           20200.0,      673.333,        270.719,        0.562202            
6,     30,           21100.0,      703.333,        252.301,        0.481484            
7,     30,           8100.0,       270.000,        300.167,        0.431762            
8,     30,           19700.0,      656.667,        271.641,        0.386812            
9,     30,           20000.0,      666.667,        267.499,        0.332768            
10,    30,           16500.0,      550.000,        320.156,        0.31788             
11,    30,           4700.0,       156.667,        181.995,        0.347388            
12,    30,           14100.0,      470.000,        251.860,        0.297047            
13,    30,           11700.0,      390.000,        332.014,        0.271255            
14,    30,           18200.0,      606.667,        252.894,        0.239529            
15,    30,           17700.0,      590.000,        298.161,        0.205172            
16,    30,           19000.0,      633.333,        269.979,        0.229032            
17,    30,           26800.0,      893.333,        271.948,        0.199073            
18,    30,           26200.0,      873.333,        273.171,        0.209553            
19,    30,           13400.0,      446.667,        287.209,        0.185198            
20,    30,           14800.0,      493.333,        217.460,        0.167312            
21,    30,           13000.0,      433.333,        207.096,        0.227085            
22,    30,           12700.0,      423.333,        194.394,        0.236043            
23,    30,           3000.0,       100.000,        157.056,        0.225396            
24,    30,           1600.0,       53.333,         102.415,        0.202688            
25,    30,           600.0,        20.000,         65.320,         0.157531            
26,    30,           1200.0,       40.000,         84.063,         0.155201            
27,    30,           10300.0,      343.333,        145.335,        0.138747            
28,    30,           21300.0,      710.000,        242.693,        0.130621            
29,    30,           15600.0,      520.000,        166.132,        0.13162             
30,    30,           16400.0,      546.667,        210.924,        0.205062            
31,    30,           20300.0,      676.667,        189.180,        0.205206            
32,    30,           15100.0,      503.333,        197.456,        0.212925            
33,    30,           14100.0,      470.000,        153.080,        0.496737            
34,    30,           21800.0,      726.667,        261.958,        0.443507            
35,    30,           19700.0,      656.667,        158.500,        0.41471             
36,    30,           12300.0,      410.000,        122.066,        0.596395            
