Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           102000.0,     3400.000,       0.000,          2.38164             
2,     30,           665000.0,     22166.667,      7470.222,       4.94896             
3,     30,           783300.0,     26110.000,      5479.681,       7.23295             
4,     30,           445600.0,     14853.333,      3236.637,       9.06723             
5,     30,           1251900.0,    41730.000,      19033.132,      10.5698             
6,     30,           608300.0,     20276.667,      6624.132,       11.6027             
7,     30,           689300.0,     22976.667,      5396.646,       12.7047             
8,     30,           1239800.0,    41326.667,      23678.864,      13.8722             
9,     30,           1820600.0,    60686.667,      25125.641,      14.217              
10,    30,           1708800.0,    56960.000,      15612.913,      14.8519             
11,    30,           118700.0,     3956.667,       2162.357,       15.7681             
12,    30,           1148100.0,    38270.000,      17555.439,      16.0797             
13,    30,           1866500.0,    62216.667,      22334.026,      16.8318             
14,    30,           407900.0,     13596.667,      3593.094,       17.3651             
15,    30,           2272500.0,    75750.000,      24940.138,      17.9049             
16,    30,           2064900.0,    68830.000,      20966.817,      18.62               
17,    30,           2025200.0,    67506.667,      26209.120,      18.9887             
18,    30,           2386900.0,    79563.333,      27038.349,      18.7779             
19,    30,           550200.0,     18340.000,      10215.106,      18.8865             
20,    30,           1879300.0,    62643.333,      35083.383,      19.0961             
21,    30,           1793300.0,    59776.667,      18623.743,      18.8447             
22,    30,           1291500.0,    43050.000,      15624.740,      19.0225             
23,    30,           1452400.0,    48413.333,      25340.175,      18.5684             
24,    30,           2517600.0,    83920.000,      16862.787,      18.4349             
25,    30,           2356000.0,    78533.333,      22927.557,      18.1921             
26,    30,           1992000.0,    66400.000,      19543.626,      17.9585             
27,    30,           1536900.0,    51230.000,      21653.424,      17.9039             
28,    30,           2156100.0,    71870.000,      27891.578,      17.9087             
29,    30,           2389700.0,    79656.667,      21995.737,      17.7681             
30,    30,           2287600.0,    76253.333,      25619.052,      17.8702             
31,    30,           1839700.0,    61323.333,      15403.153,      17.4265             
32,    30,           605600.0,     20186.667,      7410.071,       17.4827             
33,    30,           372400.0,     12413.333,      3598.308,       17.4522             
34,    30,           2778300.0,    92610.000,      25505.429,      16.9128             
35,    30,           1639400.0,    54646.667,      18366.722,      17.0426             
36,    30,           1704300.0,    56810.000,      17452.036,      17.3306             
37,    30,           1792900.0,    59763.333,      22779.311,      17.3244             
