Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           2705.0,       90.167,         80.109,         0.940759            
2,     30,           10520.0,      350.667,        315.803,        1.71531             
3,     30,           102175.0,     3405.833,       628.565,        2.47657             
4,     30,           130510.0,     4350.333,       1150.767,       3.2037              
5,     30,           65700.0,      2190.000,       1992.955,       3.81294             
6,     30,           16665.0,      555.500,        481.763,        4.45978             
7,     30,           76310.0,      2543.667,       1468.120,       4.8878              
8,     30,           14300.0,      476.667,        562.305,        5.33342             
9,     30,           112445.0,     3748.167,       1667.670,       5.61223             
10,    30,           120225.0,     4007.500,       2233.504,       5.91851             
11,    30,           28145.0,      938.167,        1206.922,       6.11906             
12,    30,           55800.0,      1860.000,       1901.140,       6.11819             
13,    30,           160510.0,     5350.333,       1291.083,       6.48071             
14,    30,           11270.0,      375.667,        562.085,        6.77048             
15,    30,           121090.0,     4036.333,       3072.712,       6.92548             
16,    30,           40740.0,      1358.000,       1414.455,       6.98622             
17,    30,           17810.0,      593.667,        753.451,        6.83056             
18,    30,           32965.0,      1098.833,       1152.327,       6.89148             
19,    30,           157380.0,     5246.000,       3188.946,       6.8414              
20,    30,           198290.0,     6609.667,       1822.355,       6.97777             
21,    30,           106220.0,     3540.667,       2504.650,       7.02492             
22,    30,           156750.0,     5225.000,       2115.776,       7.00945             
23,    30,           119040.0,     3968.000,       2655.324,       6.92137             
24,    30,           136245.0,     4541.500,       2625.753,       6.95855             
25,    30,           139490.0,     4649.667,       2448.469,       7.108               
26,    30,           189380.0,     6312.667,       2117.872,       7.31176             
27,    30,           185710.0,     6190.333,       2207.855,       7.51598             
28,    30,           41735.0,      1391.167,       1759.317,       7.61943             
29,    30,           89680.0,      2989.333,       2082.318,       7.73773             
30,    30,           112390.0,     3746.333,       2393.553,       7.56429             
31,    30,           157450.0,     5248.333,       2312.791,       7.22314             
32,    30,           159315.0,     5310.500,       1163.918,       7.31723             
33,    30,           164885.0,     5496.167,       2403.049,       7.39133             
34,    30,           164570.0,     5485.667,       1982.065,       7.0819              
35,    30,           67000.0,      2233.333,       1866.765,       7.22068             
36,    30,           152330.0,     5077.667,       2263.371,       7.1057              
37,    30,           112875.0,     3762.500,       2407.795,       7.11306             
38,    30,           131395.0,     4379.833,       2891.144,       7.22355             
39,    30,           21610.0,      720.333,        1438.431,       7.29979             
40,    30,           109900.0,     3663.333,       2353.927,       7.4791              
41,    30,           157600.0,     5253.333,       2529.519,       7.51462             
42,    30,           102255.0,     3408.500,       2550.986,       7.62515             
43,    30,           42940.0,      1431.333,       2213.373,       7.55136             
44,    30,           134610.0,     4487.000,       2724.291,       7.77427             
45,    30,           147210.0,     4907.000,       2470.570,       7.75562             
46,    30,           136385.0,     4546.167,       2394.662,       7.91903             
47,    30,           149710.0,     4990.333,       2298.912,       7.7759              
48,    30,           194575.0,     6485.833,       2034.609,       7.87279             
49,    30,           127120.0,     4237.333,       1835.865,       7.74397             
50,    30,           153550.0,     5118.333,       2147.246,       7.65217             
51,    30,           212725.0,     7090.833,       1550.663,       7.78399             
52,    30,           78460.0,      2615.333,       1577.544,       7.57327             
53,    30,           95855.0,      3195.167,       1999.451,       7.68909             
54,    30,           160945.0,     5364.833,       2449.661,       7.67275             
55,    30,           148305.0,     4943.500,       2516.073,       7.70182             
56,    30,           78660.0,      2622.000,       2339.419,       7.76137             
57,    30,           121775.0,     4059.167,       1958.128,       7.53805             
58,    30,           196370.0,     6545.667,       2146.682,       7.64659             
59,    30,           173650.0,     5788.333,       2219.300,       7.72178             
60,    30,           101735.0,     3391.167,       2445.893,       7.64344             
61,    30,           183200.0,     6106.667,       1888.247,       7.70253             
62,    30,           148055.0,     4935.167,       2472.633,       7.75556             
63,    30,           70170.0,      2339.000,       2223.334,       7.66923             
64,    30,           170570.0,     5685.667,       2680.607,       7.71936             
65,    30,           97095.0,      3236.500,       1737.805,       7.83691             
66,    30,           97705.0,      3256.833,       2438.247,       7.65853             
67,    30,           191320.0,     6377.333,       1994.820,       7.54262             
68,    30,           71750.0,      2391.667,       1823.710,       7.45707             
69,    30,           67715.0,      2257.167,       1418.824,       7.35658             
70,    30,           176880.0,     5896.000,       2484.104,       7.41616             
71,    30,           23900.0,      796.667,        1214.684,       7.50053             
72,    30,           163995.0,     5466.500,       1766.961,       7.5717              
73,    30,           156815.0,     5227.167,       1496.222,       7.43646             
74,    30,           89890.0,      2996.333,       1758.776,       7.57318             
75,    30,           42925.0,      1430.833,       1179.944,       7.63308             
76,    30,           181730.0,     6057.667,       2267.060,       7.52172             
77,    30,           154550.0,     5151.667,       2388.361,       7.5619              
78,    30,           184595.0,     6153.167,       2396.436,       7.77227             
79,    30,           168175.0,     5605.833,       1990.696,       7.56066             
80,    30,           203400.0,     6780.000,       1688.007,       7.48238             
81,    30,           170795.0,     5693.167,       1980.031,       7.47458             
82,    30,           173860.0,     5795.333,       2612.197,       7.52398             
83,    30,           170385.0,     5679.500,       2716.454,       7.52052             
84,    30,           49600.0,      1653.333,       1521.563,       7.4544              
85,    30,           176495.0,     5883.167,       2713.868,       7.36908             
86,    30,           202100.0,     6736.667,       1561.893,       7.40807             
87,    30,           181325.0,     6044.167,       2401.022,       7.37129             
88,    30,           174770.0,     5825.667,       2432.370,       7.39057             
89,    30,           208935.0,     6964.500,       1824.213,       7.32823             
90,    30,           219325.0,     7310.833,       1851.844,       7.37538             
91,    30,           180030.0,     6001.000,       2404.844,       7.40409             
92,    30,           155490.0,     5183.000,       2532.541,       7.16278             
93,    30,           180380.0,     6012.667,       1590.207,       7.13277             
94,    30,           128595.0,     4286.500,       2328.004,       7.35951             
95,    30,           172665.0,     5755.500,       2794.117,       7.38384             
96,    30,           147405.0,     4913.500,       3043.409,       7.45301             
97,    30,           59225.0,      1974.167,       1632.839,       7.48951             
98,    30,           69000.0,      2300.000,       1450.119,       7.4974              
99,    30,           176545.0,     5884.833,       2251.837,       7.48421             
100,   30,           175600.0,     5853.333,       2438.694,       7.56322             
101,   30,           190815.0,     6360.500,       2187.703,       7.5425              
102,   30,           135515.0,     4517.167,       2777.952,       7.6617              
103,   30,           226130.0,     7537.667,       1750.989,       7.72632             
104,   30,           115385.0,     3846.167,       2629.386,       7.63353             
105,   30,           189150.0,     6305.000,       2462.852,       7.54643             
106,   30,           149895.0,     4996.500,       2791.981,       7.42177             
107,   30,           108910.0,     3630.333,       2514.121,       7.49948             
108,   30,           218645.0,     7288.167,       2419.594,       7.53128             
109,   30,           115565.0,     3852.167,       2689.546,       7.56792             
110,   30,           163895.0,     5463.167,       3340.905,       7.55328             
111,   30,           167195.0,     5573.167,       3150.701,       7.5647              
112,   30,           183450.0,     6115.000,       2599.126,       7.69078             
113,   30,           133655.0,     4455.167,       1935.923,       7.82727             
114,   30,           74675.0,      2489.167,       1059.368,       7.92908             
115,   30,           220840.0,     7361.333,       1345.289,       7.98493             
116,   30,           186635.0,     6221.167,       2127.569,       8.06442             
117,   30,           169790.0,     5659.667,       2206.976,       8.04549             
118,   30,           135155.0,     4505.167,       2524.171,       8.0144              
119,   30,           241445.0,     8048.167,       1424.963,       7.96644             
120,   30,           124450.0,     4148.333,       2217.422,       7.7476              
121,   30,           151745.0,     5058.167,       2952.021,       7.70917             
122,   30,           148275.0,     4942.500,       2196.626,       7.66883             
123,   30,           159180.0,     5306.000,       2445.199,       7.71413             
124,   30,           167475.0,     5582.500,       2654.497,       7.7299              
125,   30,           177185.0,     5906.167,       2663.832,       7.7944              
126,   30,           127975.0,     4265.833,       1544.997,       7.6919              
127,   30,           202715.0,     6757.167,       2617.384,       7.58879             
128,   30,           204695.0,     6823.167,       2033.063,       7.68026             
129,   30,           225745.0,     7524.833,       2003.987,       7.50439             
130,   30,           172235.0,     5741.167,       1963.217,       7.68892             
131,   30,           197680.0,     6589.333,       1915.767,       7.76264             
132,   30,           203990.0,     6799.667,       2198.408,       7.76944             
133,   30,           154720.0,     5157.333,       2551.459,       7.70754             
134,   30,           96760.0,      3225.333,       1487.978,       7.69361             
135,   30,           182510.0,     6083.667,       2354.163,       7.67902             
136,   30,           174285.0,     5809.500,       2545.267,       7.45148             
