Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -532.0,       -17.733,        2.909,          0.855862            
2,     30,           -600.0,       -20.000,        2.530,          1.23925             
3,     30,           -616.0,       -20.533,        2.306,          1.44683             
4,     30,           -622.0,       -20.733,        2.657,          1.59578             
5,     30,           -596.0,       -19.867,        2.526,          1.71366             
6,     30,           -650.0,       -21.667,        2.071,          1.53591             
7,     30,           -568.0,       -18.933,        2.863,          1.37261             
8,     30,           -562.0,       -18.733,        2.220,          1.26204             
9,     30,           -566.0,       -18.867,        2.813,          1.13629             
10,    30,           -524.0,       -17.467,        2.918,          1.00709             
11,    30,           -526.0,       -17.533,        3.334,          0.841153            
12,    30,           -580.0,       -19.333,        3.155,          0.75444             
13,    30,           -562.0,       -18.733,        3.076,          0.73727             
14,    30,           -510.0,       -17.000,        3.606,          0.614967            
15,    30,           -540.0,       -18.000,        3.055,          0.507988            
16,    30,           -550.0,       -18.333,        2.785,          0.567592            
17,    30,           -538.0,       -17.933,        2.804,          0.532726            
18,    30,           -572.0,       -19.067,        2.999,          0.491122            
19,    30,           -532.0,       -17.733,        2.909,          0.472398            
20,    30,           -550.0,       -18.333,        3.228,          0.485133            
21,    30,           -540.0,       -18.000,        2.921,          0.506037            
22,    30,           -560.0,       -18.667,        2.700,          0.539325            
23,    30,           -498.0,       -16.600,        3.313,          0.529534            
24,    30,           -548.0,       -18.267,        2.670,          0.490448            
25,    30,           -508.0,       -16.933,        3.255,          0.419478            
26,    30,           -492.0,       -16.400,        2.894,          0.46661             
27,    30,           -562.0,       -18.733,        3.076,          0.460377            
28,    30,           -556.0,       -18.533,        2.872,          0.459417            
29,    30,           -594.0,       -19.800,        2.088,          0.526037            
30,    30,           -554.0,       -18.467,        2.813,          0.491031            
31,    30,           -574.0,       -19.133,        2.566,          0.484756            
32,    30,           -504.0,       -16.800,        3.290,          0.507111            
33,    30,           -522.0,       -17.400,        2.788,          0.446869            
34,    30,           -492.0,       -16.400,        3.029,          0.457838            
35,    30,           -498.0,       -16.600,        3.190,          0.503676            
36,    30,           -552.0,       -18.400,        3.116,          0.588452            
37,    30,           -608.0,       -20.267,        2.670,          0.566378            
38,    30,           -584.0,       -19.467,        2.473,          0.609548            
39,    30,           -433.0,       -14.433,        2.963,          0.616809            
40,    30,           -578.0,       -19.267,        2.943,          0.64217             
41,    30,           -566.0,       -18.867,        3.490,          0.65623             
42,    30,           -630.0,       -21.000,        2.352,          0.699177            
43,    30,           -574.0,       -19.133,        2.860,          0.719378            
44,    30,           -554.0,       -18.467,        2.513,          0.724097            
45,    30,           -534.0,       -17.800,        3.842,          0.790438            
46,    30,           -574.0,       -19.133,        3.334,          0.70401             
47,    30,           -580.0,       -19.333,        2.494,          0.676644            
48,    30,           -490.0,       -16.333,        2.832,          0.672127            
49,    30,           -510.0,       -17.000,        3.000,          0.673801            
50,    30,           -446.0,       -14.867,        3.819,          0.692785            
51,    30,           -588.0,       -19.600,        2.498,          0.712445            
52,    30,           -520.0,       -17.333,        3.239,          0.742049            
53,    30,           -618.0,       -20.600,        2.973,          0.753287            
