Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.478316            
2,     30,           0.0,          0.000,          0.000,          0.503297            
3,     30,           0.0,          0.000,          0.000,          0.492               
4,     30,           0.0,          0.000,          0.000,          0.458361            
5,     30,           0.0,          0.000,          0.000,          0.476955            
6,     30,           428.0,        14.267,         17.305,         0.680997            
7,     30,           428.0,        14.267,         14.043,         1.36585             
8,     30,           3972.0,       132.400,        13.391,         2.96909             
9,     30,           7028.0,       234.267,        45.920,         5.34803             
10,    30,           5600.0,       186.667,        43.768,         7.47208             
11,    30,           6462.0,       215.400,        40.535,         8.88715             
12,    30,           7606.0,       253.533,        42.024,         9.83306             
13,    30,           7835.0,       261.167,        50.533,         10.8686             
14,    30,           7258.0,       241.933,        35.824,         12.1606             
15,    30,           8207.0,       273.567,        32.013,         13.9853             
16,    30,           2963.0,       98.767,         37.820,         14.2997             
17,    30,           7930.0,       264.333,        43.211,         14.9611             
18,    30,           7988.0,       266.267,        26.504,         15.5362             
19,    30,           8064.0,       268.800,        24.267,         15.7645             
20,    30,           8097.0,       269.900,        32.508,         16.141              
21,    30,           6367.0,       212.233,        24.418,         16.8464             
22,    30,           6561.0,       218.700,        39.212,         17.1783             
23,    30,           2469.0,       82.300,         16.761,         17.9252             
24,    30,           4582.0,       152.733,        24.705,         18.0717             
25,    30,           8304.0,       276.800,        28.751,         17.8819             
26,    30,           6506.0,       216.867,        53.424,         17.7097             
27,    30,           5824.0,       194.133,        22.748,         17.5167             
28,    30,           6636.0,       221.200,        44.082,         18.0008             
29,    30,           8246.0,       274.867,        33.496,         17.7748             
30,    30,           8377.0,       279.233,        25.111,         17.355              
31,    30,           6851.0,       228.367,        29.382,         17.4493             
32,    30,           6810.0,       227.000,        57.608,         17.556              
33,    30,           8520.0,       284.000,        26.004,         17.5325             
34,    30,           6851.0,       228.367,        37.314,         17.0519             
35,    30,           7596.0,       253.200,        31.624,         17.4263             
36,    30,           3766.0,       125.533,        27.212,         17.4539             
37,    30,           4367.0,       145.567,        36.111,         17.3302             
38,    30,           8151.0,       271.700,        42.434,         17.5476             
39,    30,           8176.0,       272.533,        34.463,         17.9177             
40,    30,           6744.0,       224.800,        42.774,         17.65               
41,    30,           8387.0,       279.567,        32.343,         17.558              
42,    30,           8717.0,       290.567,        37.823,         17.5374             
43,    30,           6047.0,       201.567,        38.801,         17.4031             
44,    30,           5822.0,       194.067,        25.321,         17.5175             
45,    30,           6107.0,       203.567,        41.260,         17.3021             
46,    30,           8577.0,       285.900,        28.633,         17.1429             
47,    30,           7300.0,       243.333,        56.219,         16.7044             
48,    30,           7709.0,       256.967,        39.534,         16.8365             
49,    30,           8464.0,       282.133,        19.339,         17.0215             
50,    30,           7865.0,       262.167,        35.283,         16.9784             
51,    30,           8445.0,       281.500,        28.295,         17.4392             
52,    30,           2979.0,       99.300,         32.182,         17.4951             
53,    30,           7918.0,       263.933,        39.265,         17.1282             
54,    30,           8307.0,       276.900,        23.535,         16.8632             
55,    30,           7649.0,       254.967,        52.909,         16.8531             
56,    30,           3524.0,       117.467,        18.286,         16.8107             
57,    30,           8806.0,       293.533,        33.402,         17.093              
58,    30,           8476.0,       282.533,        21.302,         16.9936             
59,    30,           7704.0,       256.800,        23.751,         17.359              
60,    30,           5479.0,       182.633,        47.701,         17.2495             
61,    30,           8315.0,       277.167,        38.008,         16.8831             
62,    30,           8011.0,       267.033,        47.427,         17.0276             
63,    30,           8068.0,       268.933,        55.562,         16.9759             
64,    30,           8538.0,       284.600,        22.303,         16.8016             
65,    30,           6826.0,       227.533,        47.206,         16.8286             
66,    30,           8056.0,       268.533,        33.802,         16.8034             
67,    30,           7680.0,       256.000,        38.601,         17.1898             
68,    30,           8968.0,       298.933,        25.202,         17.039              
69,    30,           5647.0,       188.233,        24.396,         17.1165             
70,    30,           7751.0,       258.367,        43.491,         17.276              
71,    30,           7230.0,       241.000,        63.248,         17.4959             
72,    30,           5520.0,       184.000,        30.817,         17.2648             
73,    30,           5660.0,       188.667,        33.466,         17.078              
74,    30,           6885.0,       229.500,        54.661,         17.1106             
75,    30,           5605.0,       186.833,        2.396,          16.9805             
76,    30,           8472.0,       282.400,        31.958,         16.9077             
77,    30,           5971.0,       199.033,        43.919,         16.7624             
78,    30,           7905.0,       263.500,        42.236,         16.5858             
79,    30,           8435.0,       281.167,        31.739,         16.8051             
80,    30,           6976.0,       232.533,        34.514,         16.8563             
81,    30,           8328.0,       277.600,        49.839,         17.1048             
82,    30,           5586.0,       186.200,        31.932,         16.7538             
83,    30,           4753.0,       158.433,        34.517,         16.5663             
84,    30,           8470.0,       282.333,        34.204,         16.6504             
85,    30,           8550.0,       285.000,        36.356,         16.8878             
86,    30,           8810.0,       293.667,        37.016,         16.6033             
87,    30,           7056.0,       235.200,        53.847,         16.4644             
88,    30,           8123.0,       270.767,        31.518,         16.2695             
89,    30,           7696.0,       256.533,        31.127,         16.2217             
90,    30,           6878.0,       229.267,        43.747,         15.9946             
91,    30,           8287.0,       276.233,        29.087,         15.9785             
92,    30,           8553.0,       285.100,        24.970,         16.0772             
93,    30,           8223.0,       274.100,        45.948,         16.3322             
94,    30,           7855.0,       261.833,        32.296,         16.1027             
95,    30,           6111.0,       203.700,        47.241,         15.8917             
96,    30,           7952.0,       265.067,        29.255,         16.2181             
97,    30,           8742.0,       291.400,        24.947,         15.9983             
98,    30,           9017.0,       300.567,        24.935,         16.3278             
99,    30,           6426.0,       214.200,        41.073,         16.2178             
100,   30,           8819.0,       293.967,        31.511,         16.1012             
101,   30,           9001.0,       300.033,        24.712,         16.2449             
102,   30,           6646.0,       221.533,        46.295,         15.8759             
103,   30,           3176.0,       105.867,        23.653,         15.7697             
104,   30,           5072.0,       169.067,        52.839,         15.8737             
105,   30,           7429.0,       247.633,        50.486,         15.6358             
