Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -2864.0,      -95.467,        3.748,          0.677081            
2,     30,           -2446.0,      -81.533,        8.082,          0.39747             
3,     30,           -2644.0,      -88.133,        6.103,          0.56801             
4,     30,           -2744.0,      -91.467,        4.581,          0.28451             
5,     30,           -2798.0,      -93.267,        2.670,          0.0951353           
6,     30,           -2682.0,      -89.400,        7.838,          -0.148657           
7,     30,           -2654.0,      -88.467,        7.864,          -0.350648           
8,     30,           -2722.0,      -90.733,        4.885,          -0.379058           
9,     30,           -2596.0,      -86.533,        6.627,          -0.498764           
10,    30,           -2574.0,      -85.800,        5.969,          -0.404804           
11,    30,           -2376.0,      -79.200,        8.949,          -0.373203           
12,    30,           -2248.0,      -74.933,        9.444,          -0.11879            
13,    30,           -2154.0,      -71.800,        9.820,          -0.102476           
14,    30,           -1442.0,      -48.067,        17.991,         0.266369            
15,    30,           -1116.0,      -37.200,        21.320,         0.964836            
16,    30,           -1033.0,      -34.433,        18.917,         1.70337             
17,    30,           -765.0,       -25.500,        17.637,         3.01738             
18,    30,           -1321.0,      -44.033,        14.634,         4.06519             
19,    30,           -1354.0,      -45.133,        14.921,         4.94997             
20,    30,           -860.0,       -28.667,        16.232,         5.4429              
21,    30,           -1234.0,      -41.133,        17.335,         5.75262             
22,    30,           -378.0,       -12.600,        19.019,         5.91775             
23,    30,           63.0,         2.100,          14.591,         6.18185             
24,    30,           -508.0,       -16.933,        22.021,         6.37892             
25,    30,           -124.0,       -4.133,         20.464,         6.81641             
26,    30,           -601.0,       -20.033,        26.100,         7.14633             
27,    30,           -817.0,       -27.233,        15.903,         7.33384             
28,    30,           -429.0,       -14.300,        22.231,         7.55706             
29,    30,           -380.0,       -12.667,        22.950,         7.96848             
30,    30,           -1150.0,      -38.333,        17.036,         8.22798             
31,    30,           -454.0,       -15.133,        16.305,         8.47805             
32,    30,           -467.0,       -15.567,        16.358,         7.92033             
33,    30,           -881.0,       -29.367,        22.326,         8.35404             
34,    30,           -642.0,       -21.400,        16.463,         7.9801              
35,    30,           -71.0,        -2.367,         19.340,         7.98602             
36,    30,           -341.0,       -11.367,        18.999,         7.74535             
37,    30,           -1076.0,      -35.867,        17.357,         7.79078             
38,    30,           -389.0,       -12.967,        26.576,         7.7526              
39,    30,           -18.0,        -0.600,         21.094,         7.83261             
40,    30,           -832.0,       -27.733,        18.232,         8.0206              
41,    30,           144.0,        4.800,          18.521,         7.9713              
42,    30,           -1522.0,      -50.733,        16.205,         7.91578             
43,    30,           183.0,        6.100,          18.720,         7.99897             
44,    30,           -844.0,       -28.133,        20.544,         7.89862             
45,    30,           -15.0,        -0.500,         17.770,         7.64411             
