Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           5410.0,       180.333,        24.831,         1.8175              
2,     30,           6600.0,       220.000,        15.706,         3.86824             
3,     30,           6730.0,       224.333,        17.452,         5.34598             
4,     30,           7230.0,       241.000,        19.553,         5.94225             
5,     30,           7120.0,       237.333,        22.794,         5.81121             
6,     30,           7690.0,       256.333,        14.020,         5.50534             
7,     30,           7700.0,       256.667,        13.499,         4.81531             
8,     30,           7740.0,       258.000,        13.515,         4.0167              
9,     30,           7810.0,       260.333,        16.829,         3.67124             
10,    30,           7790.0,       259.667,        13.780,         3.66735             
11,    30,           7390.0,       246.333,        20.894,         3.58292             
12,    30,           9220.0,       307.333,        184.697,        3.55542             
13,    30,           12030.0,      401.000,        315.144,        3.72073             
14,    30,           12630.0,      421.000,        376.611,        3.71305             
15,    30,           7900.0,       263.333,        19.889,         4.0265              
16,    30,           7910.0,       263.667,        14.020,         4.48075             
17,    30,           6470.0,       215.667,        52.261,         5.21232             
18,    30,           9500.0,       316.667,        325.303,        5.69221             
19,    30,           9260.0,       308.667,        241.657,        6.26251             
20,    30,           7600.0,       253.333,        141.075,        6.93359             
21,    30,           6390.0,       213.000,        32.879,         8.16012             
22,    30,           6010.0,       200.333,        45.423,         10.2284             
23,    30,           5000.0,       166.667,        23.570,         13.1689             
24,    30,           5000.0,       166.667,        15.776,         15.3436             
25,    30,           6050.0,       201.667,        152.798,        20.6629             
26,    30,           4850.0,       161.667,        21.461,         26.7835             
27,    30,           5440.0,       181.333,        24.322,         32.5847             
28,    30,           6540.0,       218.000,        159.696,        39.9639             
29,    30,           4980.0,       166.000,        15.832,         47.7202             
30,    30,           5020.0,       167.333,        17.308,         58.2986             
31,    30,           4660.0,       155.333,        18.025,         66.5698             
32,    30,           5500.0,       183.333,        192.879,        71.7984             
33,    30,           4950.0,       165.000,        14.318,         79.4315             
34,    30,           4590.0,       153.000,        21.779,         76.4509             
35,    30,           8150.0,       271.667,        243.408,        71.2924             
36,    30,           5830.0,       194.333,        185.287,        66.0939             
37,    30,           5430.0,       181.000,        183.963,        66.4574             
38,    30,           3720.0,       124.000,        44.242,         64.4425             
39,    30,           5140.0,       171.333,        33.836,         61.9914             
40,    30,           5630.0,       187.667,        156.795,        59.1644             
41,    30,           4420.0,       147.333,        26.825,         55.8471             
42,    30,           9080.0,       302.667,        280.724,        54.8637             
43,    30,           5380.0,       179.333,        47.675,         49.4766             
44,    30,           9200.0,       306.667,        268.692,        46.605              
45,    30,           5460.0,       182.000,        36.914,         45.1062             
46,    30,           4680.0,       156.000,        30.288,         44.9427             
47,    30,           4910.0,       163.667,        40.040,         44.1054             
48,    30,           5060.0,       168.667,        44.701,         40.3328             
49,    30,           5290.0,       176.333,        124.619,        38.331              
50,    30,           4690.0,       156.333,        32.709,         34.8804             
51,    30,           5150.0,       171.667,        32.566,         31.3792             
52,    30,           6250.0,       208.333,        32.154,         28.415              
53,    30,           6410.0,       213.667,        21.830,         26.3602             
54,    30,           12530.0,      417.667,        335.467,        25.0462             
55,    30,           7090.0,       236.333,        159.572,        23.7006             
56,    30,           5780.0,       192.667,        34.442,         23.9923             
57,    30,           5360.0,       178.667,        49.915,         23.1802             
58,    30,           5950.0,       198.333,        39.840,         21.9919             
59,    30,           6580.0,       219.333,        121.297,        20.7999             
60,    30,           5190.0,       173.000,        33.779,         20.1128             
61,    30,           6440.0,       214.667,        116.067,        19.713              
62,    30,           4870.0,       162.333,        28.365,         19.4812             
63,    30,           5620.0,       187.333,        36.691,         18.9658             
64,    30,           5230.0,       174.333,        22.757,         19.8272             
65,    30,           6950.0,       231.667,        146.130,        17.8565             
66,    30,           4730.0,       157.667,        47.867,         16.8695             
67,    30,           5750.0,       191.667,        36.156,         15.3333             
68,    30,           6150.0,       205.000,        29.297,         14.9384             
69,    30,           6300.0,       210.000,        35.777,         14.6355             
70,    30,           4860.0,       162.000,        34.390,         14.8508             
71,    30,           5040.0,       168.000,        27.374,         17.4265             
72,    30,           4920.0,       164.000,        26.783,         19.6034             
73,    30,           5240.0,       174.667,        15.649,         20.9354             
74,    30,           8150.0,       271.667,        311.620,        18.283              
75,    30,           5570.0,       185.667,        124.410,        16.3765             
76,    30,           5840.0,       194.667,        26.297,         15.3823             
77,    30,           5770.0,       192.333,        19.093,         14.3635             
78,    30,           5520.0,       184.000,        30.067,         13.2946             
79,    30,           5180.0,       172.667,        31.510,         12.4047             
80,    30,           5190.0,       173.000,        33.382,         11.1459             
81,    30,           8210.0,       273.667,        348.497,        10.7941             
82,    30,           4570.0,       152.333,        37.831,         10.2984             
83,    30,           4710.0,       157.000,        115.446,        10.055              
84,    30,           4490.0,       149.667,        34.495,         9.5246              
85,    30,           5810.0,       193.667,        104.674,        9.11889             
86,    30,           4500.0,       150.000,        27.325,         9.00664             
87,    30,           4040.0,       134.667,        16.680,         8.67378             
88,    30,           4730.0,       157.667,        41.286,         8.57901             
89,    30,           4850.0,       161.667,        30.668,         7.82745             
90,    30,           6320.0,       210.667,        198.392,        7.00239             
91,    30,           5860.0,       195.333,        46.385,         5.99427             
92,    30,           6300.0,       210.000,        33.367,         5.37578             
93,    30,           6780.0,       226.000,        118.788,        4.84059             
94,    30,           6210.0,       207.000,        57.628,         5.31052             
95,    30,           6100.0,       203.333,        37.889,         5.81495             
96,    30,           5900.0,       196.667,        67.594,         6.54556             
97,    30,           9520.0,       317.333,        273.080,        7.958               
98,    30,           7910.0,       263.667,        281.798,        10.1233             
99,    30,           7630.0,       254.333,        19.267,         12.7525             
100,   30,           7570.0,       252.333,        103.817,        18.1557             
101,   30,           11680.0,      389.333,        284.873,        23.3814             
102,   30,           3820.0,       127.333,        49.929,         28.7724             
103,   30,           6450.0,       215.000,        15.438,         32.0147             
104,   30,           6600.0,       220.000,        92.772,         33.6273             
105,   30,           9690.0,       323.000,        237.377,        32.1354             
106,   30,           9250.0,       308.333,        338.753,        27.6447             
107,   30,           6050.0,       201.667,        28.992,         25.0286             
108,   30,           6970.0,       232.333,        89.543,         22.587              
109,   30,           6250.0,       208.333,        17.904,         20.4188             
110,   30,           6450.0,       215.000,        131.320,        18.5651             
111,   30,           5980.0,       199.333,        31.721,         16.7642             
112,   30,           9270.0,       309.000,        234.227,        14.9416             
113,   30,           5200.0,       173.333,        39.271,         13.8883             
114,   30,           6460.0,       215.333,        92.511,         13.0948             
115,   30,           6290.0,       209.667,        117.601,        13.0254             
116,   30,           5710.0,       190.333,        25.753,         12.5041             
117,   30,           2880.0,       96.000,         20.913,         12.9453             
118,   30,           3530.0,       117.667,        33.634,         13.9355             
119,   30,           3580.0,       119.333,        11.813,         14.729              
120,   30,           4440.0,       148.000,        23.861,         14.4771             
121,   30,           3310.0,       110.333,        28.223,         13.8919             
122,   30,           3590.0,       119.667,        58.223,         13.2108             
123,   30,           5220.0,       174.000,        27.276,         13.1315             
124,   30,           5520.0,       184.000,        21.848,         13.0145             
125,   30,           5680.0,       189.333,        172.953,        13.6055             
126,   30,           7050.0,       235.000,        155.858,        13.5837             
127,   30,           7670.0,       255.667,        147.302,        13.0165             
128,   30,           5780.0,       192.667,        28.158,         13.2898             
129,   30,           5530.0,       184.333,        27.771,         14.0711             
130,   30,           6350.0,       211.667,        23.250,         14.0718             
131,   30,           11100.0,      370.000,        271.698,        13.5636             
132,   30,           8150.0,       271.667,        216.981,        13.2493             
133,   30,           20590.0,      686.333,        455.547,        12.318              
134,   30,           6910.0,       230.333,        14.020,         12.5893             
135,   30,           6080.0,       202.667,        31.084,         13.1635             
136,   30,           6840.0,       228.000,        25.612,         13.4694             
137,   30,           6540.0,       218.000,        106.283,        13.8748             
138,   30,           14520.0,      484.000,        322.455,        14.192              
139,   30,           18130.0,      604.333,        447.599,        14.7422             
140,   30,           5960.0,       198.667,        36.673,         16.0483             
141,   30,           5580.0,       186.000,        42.237,         16.3241             
142,   30,           6110.0,       203.667,        35.165,         16.1128             
143,   30,           6530.0,       217.667,        21.242,         14.6325             
144,   30,           5890.0,       196.333,        27.747,         13.3483             
145,   30,           9130.0,       304.333,        215.711,        12.2424             
146,   30,           5190.0,       173.000,        45.691,         10.6776             
147,   30,           6250.0,       208.333,        134.265,        10.4598             
148,   30,           9450.0,       315.000,        245.163,        10.2811             
149,   30,           10690.0,      356.333,        265.261,        10.6742             
150,   30,           6530.0,       217.667,        17.641,         11.2029             
151,   30,           5810.0,       193.667,        27.262,         12.0913             
152,   30,           6940.0,       231.333,        27.777,         13.0042             
153,   30,           7930.0,       264.333,        238.910,        14.508              
154,   30,           4310.0,       143.667,        128.724,        15.3436             
155,   30,           6160.0,       205.333,        30.412,         16.0274             
156,   30,           5800.0,       193.333,        29.702,         16.5972             
157,   30,           5830.0,       194.333,        29.516,         18.1073             
158,   30,           6030.0,       201.000,        19.382,         18.7704             
159,   30,           6240.0,       208.000,        24.685,         19.0728             
160,   30,           4480.0,       149.333,        43.737,         20.6132             
161,   30,           6790.0,       226.333,        197.931,        20.8927             
162,   30,           5670.0,       189.000,        32.696,         22.5211             
163,   30,           4790.0,       159.667,        107.098,        24.264              
164,   30,           5960.0,       198.667,        21.250,         24.1688             
165,   30,           5780.0,       192.667,        38.291,         24.9891             
166,   30,           3920.0,       130.667,        58.648,         26.6131             
167,   30,           4710.0,       157.000,        20.518,         26.8237             
168,   30,           5270.0,       175.667,        27.530,         27.3269             
169,   30,           4990.0,       166.333,        36.376,         28.1257             
170,   30,           9990.0,       333.000,        402.419,        27.8963             
171,   30,           6820.0,       227.333,        157.880,        28.634              
172,   30,           12490.0,      416.333,        297.473,        31.2122             
173,   30,           5680.0,       189.333,        13.888,         35.7455             
174,   30,           6110.0,       203.667,        27.986,         37.9604             
175,   30,           4350.0,       145.000,        42.012,         40.7085             
176,   30,           5830.0,       194.333,        29.853,         42.4338             
177,   30,           4780.0,       159.333,        32.448,         45.8638             
