Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           6400.0,       213.333,        158.605,        1.25496             
2,     30,           7040.0,       234.667,        236.019,        2.904               
3,     30,           13760.0,      458.667,        288.626,        4.65771             
4,     30,           7100.0,       236.667,        161.747,        6.43223             
5,     30,           46280.0,      1542.667,       590.271,        7.97612             
6,     30,           14580.0,      486.000,        237.102,        8.41839             
7,     30,           44720.0,      1490.667,       966.419,        8.45806             
8,     30,           25700.0,      856.667,        366.500,        8.49278             
9,     30,           31340.0,      1044.667,       549.441,        8.85084             
10,    30,           18240.0,      608.000,        377.839,        8.71116             
11,    30,           51180.0,      1706.000,       881.713,        8.77629             
12,    30,           21680.0,      722.667,        370.647,        8.76051             
13,    30,           20260.0,      675.333,        352.124,        8.68973             
14,    30,           39020.0,      1300.667,       635.494,        8.6571              
15,    30,           39040.0,      1301.333,       709.158,        8.81539             
16,    30,           19680.0,      656.000,        299.618,        8.96813             
17,    30,           48120.0,      1604.000,       652.245,        8.81809             
18,    30,           25500.0,      850.000,        498.391,        8.77125             
19,    30,           32160.0,      1072.000,       499.562,        8.84133             
20,    30,           21460.0,      715.333,        358.280,        8.99212             
21,    30,           50820.0,      1694.000,       594.332,        9.01208             
22,    30,           39760.0,      1325.333,       674.862,        9.12212             
23,    30,           26800.0,      893.333,        444.982,        9.19828             
24,    30,           41980.0,      1399.333,       619.107,        9.3847              
25,    30,           29220.0,      974.000,        501.309,        9.4434              
26,    30,           24940.0,      831.333,        597.008,        9.78129             
27,    30,           23980.0,      799.333,        419.380,        9.80955             
28,    30,           53860.0,      1795.333,       1076.534,       9.79908             
29,    30,           42040.0,      1401.333,       805.993,        9.84996             
30,    30,           48660.0,      1622.000,       863.317,        9.82632             
31,    30,           82400.0,      2746.667,       1011.169,       9.92981             
32,    30,           24420.0,      814.000,        439.034,        9.94669             
33,    30,           38900.0,      1296.667,       585.243,        9.90418             
34,    30,           38520.0,      1284.000,       749.033,        9.70528             
35,    30,           101740.0,     3391.333,       1153.172,       9.68198             
36,    30,           71940.0,      2398.000,       1070.120,       9.77392             
37,    30,           86860.0,      2895.333,       874.081,        10.2415             
38,    30,           77340.0,      2578.000,       988.579,        10.2571             
39,    30,           99380.0,      3312.667,       1135.271,       10.2594             
40,    30,           103860.0,     3462.000,       1390.610,       10.5622             
41,    30,           94640.0,      3154.667,       1242.202,       10.4251             
42,    30,           76100.0,      2536.667,       1253.423,       10.7937             
43,    30,           147020.0,     4900.667,       1853.864,       10.6845             
44,    30,           117980.0,     3932.667,       1861.422,       10.7672             
45,    30,           54020.0,      1800.667,       792.658,        11.1009             
46,    30,           123780.0,     4126.000,       2076.421,       11.2492             
47,    30,           125240.0,     4174.667,       1379.168,       11.3831             
48,    30,           138580.0,     4619.333,       2087.860,       11.8578             
49,    30,           111280.0,     3709.333,       1962.955,       12.0359             
50,    30,           112140.0,     3738.000,       1485.390,       12.0471             
51,    30,           71920.0,      2397.333,       1556.070,       11.9762             
52,    30,           80720.0,      2690.667,       1146.365,       12.3337             
53,    30,           59900.0,      1996.667,       783.957,        12.1011             
54,    30,           89660.0,      2988.667,       1035.100,       12.0042             
55,    30,           139120.0,     4637.333,       2363.448,       12.2171             
56,    30,           169000.0,     5633.333,       2510.157,       12.2567             
57,    30,           182380.0,     6079.333,       2818.834,       12.1558             
58,    30,           169920.0,     5664.000,       2660.513,       12.1303             
59,    30,           184300.0,     6143.333,       2801.824,       12.3238             
60,    30,           189540.0,     6318.000,       2246.689,       12.5841             
61,    30,           222160.0,     7405.333,       3263.450,       12.5472             
62,    30,           123800.0,     4126.667,       1895.267,       12.7392             
63,    30,           140460.0,     4682.000,       2860.855,       12.8649             
64,    30,           195320.0,     6510.667,       3399.724,       12.8733             
65,    30,           202760.0,     6758.667,       2870.038,       12.9656             
66,    30,           152300.0,     5076.667,       2785.434,       13.4694             
67,    30,           142640.0,     4754.667,       2163.355,       13.4616             
68,    30,           168140.0,     5604.667,       3105.113,       13.3066             
69,    30,           146060.0,     4868.667,       2489.705,       13.4725             
70,    30,           241880.0,     8062.667,       3099.483,       12.9706             
71,    30,           219480.0,     7316.000,       3191.586,       13.1991             
72,    30,           141960.0,     4732.000,       2093.046,       13.3653             
73,    30,           138100.0,     4603.333,       2112.743,       13.4532             
74,    30,           163580.0,     5452.667,       2466.725,       13.6411             
75,    30,           188520.0,     6284.000,       2922.973,       13.6552             
76,    30,           131180.0,     4372.667,       2228.808,       13.3155             
77,    30,           158600.0,     5286.667,       2480.007,       13.6178             
78,    30,           121780.0,     4059.333,       1858.619,       13.3752             
79,    30,           145940.0,     4864.667,       2541.064,       13.2615             
80,    30,           229020.0,     7634.000,       3377.680,       13.3985             
81,    30,           203460.0,     6782.000,       3368.776,       13.299              
82,    30,           105360.0,     3512.000,       1456.348,       13.2476             
83,    30,           210320.0,     7010.667,       3788.321,       13.1427             
84,    30,           226000.0,     7533.333,       3311.041,       12.9023             
85,    30,           247280.0,     8242.667,       3103.275,       13.0057             
86,    30,           186160.0,     6205.333,       2391.462,       12.9665             
87,    30,           220560.0,     7352.000,       2376.382,       13.0697             
88,    30,           166500.0,     5550.000,       2352.869,       13.3787             
89,    30,           183900.0,     6130.000,       2183.799,       13.1622             
90,    30,           203900.0,     6796.667,       2716.935,       13.1013             
91,    30,           207160.0,     6905.333,       2652.586,       13.1526             
92,    30,           149740.0,     4991.333,       2145.946,       13.0507             
93,    30,           183340.0,     6111.333,       2913.434,       13.3305             
94,    30,           255140.0,     8504.667,       3337.223,       13.5106             
95,    30,           285680.0,     9522.667,       3867.963,       13.6517             
96,    30,           140760.0,     4692.000,       1924.097,       13.554              
97,    30,           161060.0,     5368.667,       2239.159,       13.6558             
98,    30,           225480.0,     7516.000,       3123.308,       13.5808             
99,    30,           175460.0,     5848.667,       2329.462,       13.2913             
100,   30,           209120.0,     6970.667,       3070.812,       13.3857             
101,   30,           138040.0,     4601.333,       3196.769,       13.7755             
102,   30,           108400.0,     3613.333,       1407.365,       13.3662             
103,   30,           172000.0,     5733.333,       2614.602,       13.3739             
104,   30,           210000.0,     7000.000,       2848.181,       13.3211             
105,   30,           127560.0,     4252.000,       2202.814,       13.2825             
106,   30,           207280.0,     6909.333,       2926.175,       13.2159             
107,   30,           178420.0,     5947.333,       2180.578,       13.054              
108,   30,           167320.0,     5577.333,       2418.637,       12.9761             
109,   30,           112200.0,     3740.000,       1863.566,       13.119              
110,   30,           193960.0,     6465.333,       2506.764,       13.3302             
111,   30,           272640.0,     9088.000,       3360.800,       13.1201             
112,   30,           229760.0,     7658.667,       3156.977,       13.1151             
113,   30,           193640.0,     6454.667,       2861.757,       13.155              
114,   30,           153820.0,     5127.333,       2750.789,       13.4148             
115,   30,           185820.0,     6194.000,       2493.379,       13.3806             
116,   30,           157360.0,     5245.333,       1645.770,       13.4891             
117,   30,           150720.0,     5024.000,       1874.285,       13.237              
118,   30,           184980.0,     6166.000,       2772.970,       13.3                
119,   30,           105700.0,     3523.333,       2235.520,       13.4975             
120,   30,           170840.0,     5694.667,       2900.377,       13.351              
121,   30,           120160.0,     4005.333,       1501.963,       13.3778             
122,   30,           207460.0,     6915.333,       3200.011,       13.3655             
123,   30,           196400.0,     6546.667,       3179.934,       13.1083             
124,   30,           191780.0,     6392.667,       2982.471,       13.0225             
125,   30,           179920.0,     5997.333,       2638.412,       13.0301             
126,   30,           193120.0,     6437.333,       3044.679,       13.2559             
127,   30,           213740.0,     7124.667,       3303.807,       13.2825             
128,   30,           207880.0,     6929.333,       2469.341,       13.0734             
129,   30,           236060.0,     7868.667,       3517.646,       13.073              
130,   30,           182800.0,     6093.333,       2773.654,       13.1313             
131,   30,           180980.0,     6032.667,       2529.008,       12.795              
132,   30,           247700.0,     8256.667,       2854.704,       12.6789             
133,   30,           204340.0,     6811.333,       2898.614,       12.8713             
134,   30,           210920.0,     7030.667,       3411.161,       12.9718             
135,   30,           206540.0,     6884.667,       3389.162,       13.1554             
136,   30,           210120.0,     7004.000,       3155.441,       13.1222             
137,   30,           228760.0,     7625.333,       3474.409,       13.0974             
138,   30,           164380.0,     5479.333,       2623.608,       13.1343             
139,   30,           158080.0,     5269.333,       2460.817,       13.2033             
140,   30,           196440.0,     6548.000,       2679.356,       13.1537             
141,   30,           85480.0,      2849.333,       1913.808,       13.3427             
142,   30,           172980.0,     5766.000,       2661.249,       13.4118             
143,   30,           104060.0,     3468.667,       1700.782,       13.2581             
144,   30,           192060.0,     6402.000,       2337.511,       13.3317             
145,   30,           59740.0,      1991.333,       834.756,        13.5447             
146,   30,           170280.0,     5676.000,       2074.367,       13.0982             
147,   30,           136640.0,     4554.667,       2333.243,       13.0681             
148,   30,           189440.0,     6314.667,       3087.061,       12.8942             
149,   30,           110760.0,     3692.000,       1851.735,       13.0241             
150,   30,           194780.0,     6492.667,       3009.290,       12.9676             
151,   30,           204440.0,     6814.667,       2915.851,       13.1097             
152,   30,           284720.0,     9490.667,       3994.959,       13.1313             
153,   30,           166800.0,     5560.000,       2339.373,       13.1472             
154,   30,           178440.0,     5948.000,       2603.012,       13.0738             
155,   30,           181960.0,     6065.333,       3016.908,       12.9833             
156,   30,           113640.0,     3788.000,       1421.563,       12.781              
157,   30,           236840.0,     7894.667,       3243.812,       12.8135             
158,   30,           168320.0,     5610.667,       2089.662,       13.0046             
159,   30,           143480.0,     4782.667,       2202.573,       13.0686             
160,   30,           135380.0,     4512.667,       2180.541,       13.2044             
161,   30,           174060.0,     5802.000,       3444.971,       13.1504             
162,   30,           218820.0,     7294.000,       2567.760,       13.1303             
163,   30,           128460.0,     4282.000,       1802.201,       12.9989             
164,   30,           215120.0,     7170.667,       2820.230,       12.8635             
165,   30,           155020.0,     5167.333,       2230.082,       12.7123             
166,   30,           155440.0,     5181.333,       2574.573,       12.928              
167,   30,           131100.0,     4370.000,       2221.596,       12.9161             
168,   30,           170580.0,     5686.000,       2357.813,       12.9958             
169,   30,           171880.0,     5729.333,       2320.579,       13.0854             
170,   30,           195800.0,     6526.667,       3051.467,       12.9085             
171,   30,           182600.0,     6086.667,       3294.631,       13.0076             
172,   30,           156240.0,     5208.000,       2252.901,       12.9077             
173,   30,           304160.0,     10138.667,      3990.134,       12.9485             
174,   30,           208260.0,     6942.000,       3434.392,       12.8405             
175,   30,           271140.0,     9038.000,       3318.274,       12.8822             
176,   30,           276900.0,     9230.000,       3537.101,       12.8407             
177,   30,           188200.0,     6273.333,       2501.340,       13.2299             
178,   30,           201560.0,     6718.667,       2503.267,       13.1852             
179,   30,           100220.0,     3340.667,       2076.686,       12.9678             
180,   30,           155620.0,     5187.333,       2485.400,       12.8961             
181,   30,           169840.0,     5661.333,       2348.372,       12.8441             
182,   30,           199240.0,     6641.333,       2046.343,       12.6701             
183,   30,           213860.0,     7128.667,       3316.716,       12.816              
184,   30,           199700.0,     6656.667,       2980.909,       12.6406             
185,   30,           156120.0,     5204.000,       2438.187,       12.9334             
186,   30,           195540.0,     6518.000,       2787.794,       12.8168             
187,   30,           135380.0,     4512.667,       2507.825,       12.7048             
188,   30,           150140.0,     5004.667,       3011.412,       12.5597             
189,   30,           175860.0,     5862.000,       3087.754,       12.453              
190,   30,           186260.0,     6208.667,       3542.333,       12.6964             
191,   30,           204660.0,     6822.000,       2812.763,       12.9579             
192,   30,           192020.0,     6400.667,       3713.710,       13.0254             
193,   30,           75080.0,      2502.667,       1093.956,       13.5619             
194,   30,           175400.0,     5846.667,       2237.584,       12.8842             
195,   30,           227360.0,     7578.667,       3116.699,       13.2439             
196,   30,           184240.0,     6141.333,       2950.602,       13.2196             
197,   30,           120180.0,     4006.000,       1759.842,       13.1395             
198,   30,           233360.0,     7778.667,       3634.398,       13.1914             
199,   30,           177280.0,     5909.333,       2273.123,       13.0741             
200,   30,           151000.0,     5033.333,       2088.510,       13.1753             
