Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           3400.0,       113.333,        149.406,        0.62218             
2,     30,           2100.0,       70.000,         136.991,        0.916369            
3,     30,           2800.0,       93.333,         126.973,        1.00271             
4,     30,           800.0,        26.667,         66.750,         1.14587             
5,     30,           3600.0,       120.000,        193.907,        1.29634             
6,     30,           1300.0,       43.333,         107.806,        1.19419             
7,     30,           3150.0,       105.000,        146.828,        1.11988             
8,     30,           400.0,        13.333,         33.993,         1.15106             
9,     30,           4500.0,       150.000,        188.856,        1.15167             
10,    30,           3950.0,       131.667,        146.903,        1.13725             
11,    30,           2050.0,       68.333,         129.411,        1.04908             
12,    30,           7350.0,       245.000,        201.804,        0.990005            
13,    30,           5450.0,       181.667,        188.628,        0.940164            
14,    30,           3100.0,       103.333,        161.727,        0.90513             
15,    30,           2600.0,       86.667,         153.261,        0.899927            
16,    30,           5300.0,       176.667,        187.853,        0.871181            
17,    30,           2800.0,       93.333,         146.477,        0.817959            
18,    30,           6800.0,       226.667,        207.257,        0.749959            
19,    30,           4600.0,       153.333,        208.540,        0.657276            
20,    30,           5650.0,       188.333,        203.176,        0.619593            
21,    30,           10300.0,      343.333,        294.882,        0.55974             
22,    30,           4550.0,       151.667,        204.321,        0.508098            
23,    30,           7550.0,       251.667,        221.165,        0.482748            
24,    30,           6100.0,       203.333,        225.068,        0.454418            
25,    30,           6900.0,       230.000,        223.830,        0.449976            
26,    30,           4350.0,       145.000,        181.820,        0.443308            
27,    30,           4300.0,       143.333,        156.383,        0.458121            
28,    30,           3000.0,       100.000,        135.401,        0.449103            
29,    30,           8400.0,       280.000,        266.333,        0.454095            
30,    30,           3800.0,       126.667,        176.887,        0.479232            
31,    30,           6350.0,       211.667,        196.080,        0.489255            
32,    30,           4500.0,       150.000,        184.391,        0.521164            
33,    30,           5950.0,       198.333,        378.480,        0.545258            
34,    30,           7050.0,       235.000,        252.372,        0.618815            
35,    30,           7700.0,       256.667,        217.460,        0.604538            
36,    30,           9700.0,       323.333,        219.747,        0.608355            
37,    30,           4950.0,       165.000,        219.146,        0.651685            
38,    30,           2100.0,       70.000,         106.145,        0.684951            
39,    30,           6400.0,       213.333,        225.068,        0.668188            
40,    30,           8550.0,       285.000,        263.360,        0.7161              
41,    30,           1050.0,       35.000,         77.621,         0.750912            
42,    30,           3450.0,       115.000,        117.011,        0.761477            
43,    30,           4300.0,       143.333,        189.620,        0.765024            
44,    30,           3350.0,       111.667,        189.157,        0.811159            
45,    30,           1900.0,       63.333,         118.275,        0.788709            
46,    30,           5700.0,       190.000,        181.384,        0.74683             
47,    30,           8650.0,       288.333,        220.107,        0.731949            
48,    30,           3300.0,       110.000,        156.205,        0.733393            
49,    30,           7950.0,       265.000,        261.135,        0.785833            
50,    30,           2800.0,       93.333,         137.679,        0.765737            
51,    30,           4100.0,       136.667,        152.169,        0.776714            
52,    30,           6000.0,       200.000,        200.832,        0.793               
53,    30,           3400.0,       113.333,        144.875,        0.825469            
54,    30,           10800.0,      360.000,        207.123,        0.812965            
55,    30,           6550.0,       218.333,        270.642,        0.851582            
56,    30,           6000.0,       200.000,        170.783,        0.873922            
57,    30,           7150.0,       238.333,        213.964,        0.882723            
58,    30,           6200.0,       206.667,        196.949,        0.874898            
59,    30,           5550.0,       185.000,        192.851,        0.887221            
60,    30,           3800.0,       126.667,        143.604,        0.905933            
61,    30,           6750.0,       225.000,        209.265,        0.899122            
62,    30,           3550.0,       118.333,        155.179,        0.929981            
63,    30,           8600.0,       286.667,        210.528,        0.903553            
64,    30,           5700.0,       190.000,        194.679,        0.894981            
65,    30,           4700.0,       156.667,        187.853,        0.95993             
66,    30,           6100.0,       203.333,        188.827,        0.957876            
67,    30,           5450.0,       181.667,        220.788,        0.931184            
68,    30,           6300.0,       210.000,        191.224,        0.875895            
69,    30,           3600.0,       120.000,        146.969,        0.880431            
70,    30,           6450.0,       215.000,        224.778,        0.862912            
71,    30,           9850.0,       328.333,        255.501,        0.871916            
72,    30,           5250.0,       175.000,        213.600,        0.855946            
73,    30,           4000.0,       133.333,        181.353,        0.875996            
74,    30,           6000.0,       200.000,        184.842,        0.890567            
75,    30,           5750.0,       191.667,        183.523,        0.888817            
