Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           11770.0,      392.333,        805.295,        2.01749             
2,     30,           79635.0,      2654.500,       693.821,        7.96552             
3,     30,           6800.0,       226.667,        30.231,         16.3677             
4,     30,           2325.0,       77.500,         13.463,         22.1226             
5,     30,           3075.0,       102.500,        45.346,         31.4832             
6,     30,           6595.0,       219.833,        516.889,        37.3189             
7,     30,           6975.0,       232.500,        55.958,         41.1828             
8,     30,           13310.0,      443.667,        681.420,        37.9522             
9,     30,           60470.0,      2015.667,       585.703,        32.9004             
10,    30,           1125.0,       37.500,         42.205,         27.1449             
11,    30,           68400.0,      2280.000,       248.177,        22.503              
12,    30,           71265.0,      2375.500,       1025.178,       18.6822             
13,    30,           18700.0,      623.333,        989.580,        16.1012             
14,    30,           12580.0,      419.333,        820.398,        19.0035             
15,    30,           9125.0,       304.167,        807.870,        21.3975             
16,    30,           85405.0,      2846.833,       75.349,         19.3768             
17,    30,           85055.0,      2835.167,       27.279,         16.4416             
18,    30,           88820.0,      2960.667,       44.380,         13.878              
19,    30,           92140.0,      3071.333,       58.835,         9.23176             
20,    30,           85245.0,      2841.500,       164.302,        7.21668             
21,    30,           89720.0,      2990.667,       107.042,        6.0966              
22,    30,           99420.0,      3314.000,       594.970,        5.27799             
23,    30,           93455.0,      3115.167,       104.079,        4.75894             
24,    30,           127695.0,     4256.500,       1257.964,       4.3946              
25,    30,           307095.0,     10236.500,      1462.479,       4.14848             
26,    30,           173840.0,     5794.667,       2042.749,       5.06005             
27,    30,           216875.0,     7229.167,       1103.212,       5.91558             
28,    30,           95645.0,      3188.167,       95.555,         6.03342             
29,    30,           97795.0,      3259.833,       96.949,         5.56009             
30,    30,           97445.0,      3248.167,       100.129,        4.59768             
31,    30,           100285.0,     3342.833,       96.382,         4.69917             
32,    30,           211725.0,     7057.500,       373.003,        4.73872             
33,    30,           173445.0,     5781.500,       1836.188,       5.84398             
34,    30,           172245.0,     5741.500,       2935.792,       6.85165             
35,    30,           213575.0,     7119.167,       282.094,        6.91269             
36,    30,           180600.0,     6020.000,       999.854,        6.86389             
37,    30,           97690.0,      3256.333,       693.274,        7.51263             
38,    30,           215640.0,     7188.000,       909.912,        7.42619             
39,    30,           161245.0,     5374.833,       1571.928,       7.5413              
40,    30,           248555.0,     8285.167,       1762.044,       7.87314             
41,    30,           107710.0,     3590.333,       998.561,        7.67513             
42,    30,           255560.0,     8518.667,       2996.050,       6.88269             
43,    30,           228280.0,     7609.333,       1397.622,       6.92264             
44,    30,           98895.0,      3296.500,       820.123,        6.6396              
45,    30,           169475.0,     5649.167,       2614.717,       7.13574             
46,    30,           386585.0,     12886.167,      1477.543,       7.43345             
47,    30,           242615.0,     8087.167,       1227.353,       8.93965             
48,    30,           318665.0,     10622.167,      1615.869,       9.26045             
49,    30,           104470.0,     3482.333,       899.463,        10.1071             
50,    30,           208220.0,     6940.667,       3221.317,       10.4067             
51,    30,           165040.0,     5501.333,       3028.568,       10.9354             
52,    30,           158585.0,     5286.167,       2272.586,       10.6919             
53,    30,           231555.0,     7718.500,       678.134,        10.6885             
54,    30,           273500.0,     9116.667,       2139.006,       11.6022             
55,    30,           309065.0,     10302.167,      1751.762,       13.3238             
56,    30,           129455.0,     4315.167,       1072.197,       15.1102             
57,    30,           8990.0,       299.667,        1213.463,       16.3536             
58,    30,           206150.0,     6871.667,       1031.957,       16.324              
59,    30,           385925.0,     12864.167,      459.090,        14.8552             
60,    30,           323895.0,     10796.500,      1938.539,       14.5549             
61,    30,           300355.0,     10011.833,      2215.371,       13.5214             
62,    30,           182805.0,     6093.500,       4007.363,       13.5175             
63,    30,           274485.0,     9149.500,       3579.843,       13.9533             
64,    30,           398015.0,     13267.167,      92.490,         14.2436             
65,    30,           309595.0,     10319.833,      2516.883,       13.8008             
66,    30,           390835.0,     13027.833,      521.104,        13.1488             
67,    30,           392305.0,     13076.833,      1260.148,       12.1563             
68,    30,           401265.0,     13375.500,      162.908,        11.4606             
69,    30,           402755.0,     13425.167,      147.995,        10.7494             
70,    30,           401180.0,     13372.667,      326.542,        10.0964             
71,    30,           403755.0,     13458.500,      360.800,        9.59652             
72,    30,           412645.0,     13754.833,      108.800,        8.96714             
73,    30,           412415.0,     13747.167,      107.794,        8.21121             
74,    30,           410980.0,     13699.333,      130.810,        8.48065             
75,    30,           411120.0,     13704.000,      154.496,        8.31139             
76,    30,           412215.0,     13740.500,      138.205,        8.19911             
77,    30,           406470.0,     13549.000,      204.908,        8.21579             
78,    30,           410030.0,     13667.667,      151.425,        7.68993             
79,    30,           415060.0,     13835.333,      50.628,         7.93828             
80,    30,           405490.0,     13516.333,      82.784,         8.81426             
81,    30,           404160.0,     13472.000,      537.214,        9.21725             
82,    30,           407360.0,     13578.667,      151.762,        9.92402             
83,    30,           412905.0,     13763.500,      149.372,        10.6553             
