Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -472.0,       -15.733,        3.530,          0.720519            
2,     30,           -340.0,       -11.333,        3.798,          0.777607            
3,     30,           -637.0,       -21.233,        4.185,          0.858046            
4,     30,           -287.0,       -9.567,         3.180,          0.847394            
5,     30,           -473.0,       -15.767,        3.509,          0.792024            
6,     30,           -550.0,       -18.333,        3.197,          0.75537             
7,     30,           -417.0,       -13.900,        3.771,          0.751808            
8,     30,           -624.0,       -20.800,        3.535,          0.755878            
9,     30,           -238.0,       -7.933,         2.898,          0.730161            
10,    30,           -197.0,       -6.567,         3.127,          0.747367            
11,    30,           -319.0,       -10.633,        3.391,          0.772794            
12,    30,           -500.0,       -16.667,        2.687,          0.788464            
13,    30,           -442.0,       -14.733,        3.245,          0.770711            
14,    30,           -226.0,       -7.533,         2.377,          0.725748            
15,    30,           -273.0,       -9.100,         3.187,          0.722696            
16,    30,           -212.0,       -7.067,         2.620,          0.741221            
17,    30,           -170.0,       -5.667,         2.948,          0.799749            
18,    30,           -340.0,       -11.333,        3.197,          0.83898             
19,    30,           -275.0,       -9.167,         3.588,          0.862313            
20,    30,           -356.0,       -11.867,        2.667,          0.831329            
21,    30,           -544.0,       -18.133,        2.907,          0.785608            
22,    30,           -278.0,       -9.267,         2.988,          0.769286            
23,    30,           -699.0,       -23.300,        3.174,          0.819429            
24,    30,           -305.0,       -10.167,        2.829,          0.827806            
25,    30,           -387.0,       -12.900,        3.218,          0.790788            
26,    30,           -247.0,       -8.233,         2.741,          0.770305            
27,    30,           -283.0,       -9.433,         3.148,          0.803235            
28,    30,           -105.0,       -3.500,         2.187,          0.833157            
29,    30,           -245.0,       -8.167,         2.368,          0.782459            
30,    30,           -446.0,       -14.867,        3.585,          0.864122            
31,    30,           -408.0,       -13.600,        3.756,          0.848719            
32,    30,           -167.0,       -5.567,         2.216,          0.847474            
33,    30,           -242.0,       -8.067,         2.250,          0.908287            
34,    30,           -176.0,       -5.867,         2.630,          0.914397            
35,    30,           -199.0,       -6.633,         2.168,          0.904965            
36,    30,           -506.0,       -16.867,        2.446,          0.917478            
37,    30,           -452.0,       -15.067,        3.032,          0.941685            
38,    30,           -609.0,       -20.300,        2.452,          0.992537            
39,    30,           -241.0,       -8.033,         2.983,          0.98458             
40,    30,           -386.0,       -12.867,        3.557,          1.02551             
41,    30,           -208.0,       -6.933,         2.792,          0.962911            
42,    30,           -574.0,       -19.133,        2.963,          0.969343            
43,    30,           -506.0,       -16.867,        2.093,          0.98974             
44,    30,           -109.0,       -3.633,         2.510,          1.04404             
45,    30,           -368.0,       -12.267,        2.594,          1.00051             
46,    30,           -93.0,        -3.100,         2.271,          1.00799             
47,    30,           -126.0,       -4.200,         2.301,          0.987226            
48,    30,           -376.0,       -12.533,        3.106,          0.956204            
49,    30,           -406.0,       -13.533,        2.790,          1.00894             
50,    30,           -324.0,       -10.800,        2.993,          1.03835             
51,    30,           -415.0,       -13.833,        2.282,          1.03601             
52,    30,           -431.0,       -14.367,        2.994,          0.989686            
53,    30,           -397.0,       -13.233,        2.445,          0.958581            
54,    30,           -217.0,       -7.233,         2.499,          0.979355            
55,    30,           -285.0,       -9.500,         1.586,          0.973425            
56,    30,           -86.0,        -2.867,         2.045,          1.01139             
57,    30,           -84.0,        -2.800,         2.428,          1.03715             
58,    30,           -257.0,       -8.567,         2.654,          1.04624             
59,    30,           -389.0,       -12.967,        2.373,          1.05213             
60,    30,           -323.0,       -10.767,        3.383,          1.00951             
61,    30,           -358.0,       -11.933,        3.614,          0.972082            
62,    30,           -213.0,       -7.100,         2.413,          1.00702             
