Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           1500.0,       50.000,         50.000,         0.80381             
2,     30,           1200.0,       40.000,         47.258,         0.898607            
3,     30,           2400.0,       80.000,         43.970,         0.94011             
4,     30,           1600.0,       53.333,         51.532,         0.9454              
5,     30,           3600.0,       120.000,        82.260,         0.875019            
6,     30,           7400.0,       246.667,        92.135,         0.893033            
7,     30,           6450.0,       215.000,        104.203,        0.975884            
8,     30,           8400.0,       280.000,        134.536,        0.986414            
9,     30,           8550.0,       285.000,        104.203,        1.04072             
10,    30,           9500.0,       316.667,        98.601,         1.05961             
11,    30,           9000.0,       300.000,        122.474,        1.11402             
12,    30,           10800.0,      360.000,        106.771,        1.1034              
13,    30,           9600.0,       320.000,        116.619,        1.07993             
14,    30,           12700.0,      423.333,        104.669,        1.10312             
15,    30,           10400.0,      346.667,        107.186,        1.14229             
16,    30,           9000.0,       300.000,        95.743,         1.04682             
17,    30,           12100.0,      403.333,        135.974,        1.09717             
18,    30,           11750.0,      391.667,        125.886,        1.06087             
19,    30,           11800.0,      393.333,        144.760,        1.07131             
20,    30,           9500.0,       316.667,        123.378,        1.13274             
21,    30,           10500.0,      350.000,        116.905,        1.0879              
22,    30,           8850.0,       295.000,        112.805,        1.1097              
23,    30,           7550.0,       251.667,        97.025,         1.07126             
24,    30,           10800.0,      360.000,        112.101,        1.09288             
25,    30,           11600.0,      386.667,        103.226,        1.05084             
26,    30,           10750.0,      358.333,        128.506,        1.07086             
27,    30,           11050.0,      368.333,        108.385,        1.07286             
28,    30,           11450.0,      381.667,        123.480,        1.07262             
29,    30,           9900.0,       330.000,        85.245,         1.08336             
30,    30,           12100.0,      403.333,        125.122,        1.08762             
31,    30,           13150.0,      438.333,        78.191,         1.1002              
32,    30,           12450.0,      415.000,        121.209,        1.09663             
33,    30,           13400.0,      446.667,        109.494,        1.10711             
34,    30,           12150.0,      405.000,        140.446,        1.13494             
35,    30,           12100.0,      403.333,        134.743,        1.13401             
36,    30,           12100.0,      403.333,        103.226,        1.12358             
37,    30,           12200.0,      406.667,        78.245,         1.11764             
38,    30,           13000.0,      433.333,        128.019,        1.15057             
39,    30,           12000.0,      400.000,        127.802,        1.166               
40,    30,           14600.0,      486.667,        125.786,        1.13848             
