Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           400.0,        13.333,         49.889,         0.642901            
2,     30,           600.0,        20.000,         60.000,         0.755428            
3,     30,           0.0,          0.000,          0.000,          0.899577            
4,     30,           2800.0,       93.333,         143.604,        0.868249            
5,     30,           2600.0,       86.667,         99.107,         0.875795            
6,     30,           4600.0,       153.333,        133.500,        0.802406            
7,     30,           13800.0,      460.000,        207.525,        0.798746            
8,     30,           9200.0,       306.667,        204.831,        0.739115            
9,     30,           8000.0,       266.667,        202.210,        0.809182            
10,    30,           17000.0,      566.667,        137.437,        0.873469            
11,    30,           15400.0,      513.333,        294.090,        0.896283            
12,    30,           19000.0,      633.333,        205.480,        0.911958            
13,    30,           800.0,        26.667,         85.375,         1.02841             
14,    30,           18300.0,      610.000,        208.726,        1.1222              
15,    30,           25600.0,      853.333,        330.387,        1.26045             
16,    30,           25700.0,      856.667,        297.415,        1.41629             
17,    30,           23100.0,      770.000,        272.213,        1.49295             
18,    30,           19600.0,      653.333,        105.620,        1.68439             
19,    30,           18000.0,      600.000,        143.759,        1.75903             
20,    30,           23300.0,      776.667,        270.411,        1.76951             
21,    30,           28500.0,      950.000,        368.556,        1.82643             
22,    30,           26300.0,      876.667,        380.073,        1.77312             
23,    30,           34000.0,      1133.333,       379.766,        1.77237             
24,    30,           29100.0,      970.000,        342.685,        1.76362             
25,    30,           43200.0,      1440.000,       417.612,        1.83192             
26,    30,           40000.0,      1333.333,       557.574,        1.89334             
27,    30,           31100.0,      1036.667,       336.138,        1.94519             
28,    30,           76200.0,      2540.000,       1226.812,       2.00668             
29,    30,           79200.0,      2640.000,       1227.083,       2.08608             
30,    30,           90400.0,      3013.333,       1465.090,       2.0896              
31,    30,           106000.0,     3533.333,       1770.373,       2.21333             
32,    30,           83500.0,      2783.333,       1231.553,       2.19449             
33,    30,           84900.0,      2830.000,       1615.787,       2.24365             
34,    30,           105500.0,     3516.667,       2274.069,       2.27561             
35,    30,           209200.0,     6973.333,       2440.346,       2.29802             
36,    30,           198800.0,     6626.667,       2036.162,       2.37307             
37,    30,           98600.0,      3286.667,       1606.598,       2.34762             
38,    30,           178400.0,     5946.667,       2462.483,       2.2982              
39,    30,           167100.0,     5570.000,       2383.296,       2.22903             
40,    30,           141300.0,     4710.000,       1722.276,       2.22244             
41,    30,           175600.0,     5853.333,       1766.868,       2.18614             
42,    30,           130700.0,     4356.667,       1960.558,       2.20304             
43,    30,           159500.0,     5316.667,       2656.575,       2.18052             
44,    30,           163600.0,     5453.333,       2470.052,       2.20938             
45,    30,           162200.0,     5406.667,       1898.935,       2.17682             
46,    30,           200400.0,     6680.000,       2298.173,       2.15693             
47,    30,           106300.0,     3543.333,       1789.168,       2.20393             
48,    30,           133000.0,     4433.333,       2207.613,       2.17659             
49,    30,           86200.0,      2873.333,       1507.964,       2.19052             
50,    30,           153000.0,     5100.000,       2575.138,       2.17393             
51,    30,           195800.0,     6526.667,       2337.225,       2.15391             
52,    30,           229700.0,     7656.667,       2207.666,       2.15754             
53,    30,           181500.0,     6050.000,       1906.262,       2.20282             
54,    30,           196100.0,     6536.667,       2972.707,       2.21669             
55,    30,           188800.0,     6293.333,       1932.000,       2.24723             
56,    30,           188600.0,     6286.667,       2458.283,       2.27052             
57,    30,           101500.0,     3383.333,       1545.549,       2.33846             
58,    30,           146200.0,     4873.333,       1674.103,       2.27336             
59,    30,           171200.0,     5706.667,       3088.142,       2.34047             
60,    30,           145000.0,     4833.333,       1829.086,       2.34206             
61,    30,           197900.0,     6596.667,       2442.606,       2.33551             
62,    30,           167700.0,     5590.000,       1827.813,       2.42655             
63,    30,           189800.0,     6326.667,       2583.787,       2.41781             
64,    30,           166800.0,     5560.000,       2478.656,       2.44488             
65,    30,           165500.0,     5516.667,       1932.025,       2.4387              
66,    30,           100200.0,     3340.000,       1934.528,       2.47951             
67,    30,           137800.0,     4593.333,       1830.106,       2.51882             
68,    30,           125200.0,     4173.333,       1807.011,       2.59884             
69,    30,           233600.0,     7786.667,       2897.094,       2.57225             
70,    30,           195100.0,     6503.333,       2675.380,       2.53038             
71,    30,           162800.0,     5426.667,       2065.742,       2.5827              
72,    30,           128100.0,     4270.000,       2035.706,       2.56567             
73,    30,           185000.0,     6166.667,       2740.722,       2.5807              
74,    30,           178800.0,     5960.000,       2289.774,       2.55593             
75,    30,           152000.0,     5066.667,       1845.415,       2.57073             
76,    30,           201200.0,     6706.667,       2755.713,       2.57379             
77,    30,           142200.0,     4740.000,       2252.791,       2.56705             
78,    30,           249900.0,     8330.000,       2248.726,       2.55605             
79,    30,           169500.0,     5650.000,       2815.759,       2.57644             
80,    30,           142100.0,     4736.667,       2330.448,       2.60332             
81,    30,           222400.0,     7413.333,       2518.562,       2.58621             
82,    30,           167600.0,     5586.667,       2287.172,       2.57225             
83,    30,           158100.0,     5270.000,       2354.733,       2.64948             
84,    30,           179400.0,     5980.000,       2555.830,       2.66793             
85,    30,           188800.0,     6293.333,       2662.572,       2.62997             
86,    30,           188800.0,     6293.333,       1999.656,       2.63181             
87,    30,           208400.0,     6946.667,       2487.667,       2.65879             
88,    30,           205400.0,     6846.667,       2087.380,       2.62694             
89,    30,           181000.0,     6033.333,       2863.603,       2.63016             
90,    30,           212800.0,     7093.333,       3098.272,       2.60642             
91,    30,           198700.0,     6623.333,       2890.984,       2.55994             
92,    30,           190300.0,     6343.333,       2723.929,       2.61159             
93,    30,           221600.0,     7386.667,       2744.659,       2.65172             
94,    30,           249300.0,     8310.000,       2730.733,       2.64456             
95,    30,           215700.0,     7190.000,       2897.165,       2.67497             
96,    30,           184100.0,     6136.667,       2389.907,       2.64908             
97,    30,           152700.0,     5090.000,       2780.929,       2.66221             
98,    30,           130700.0,     4356.667,       2544.495,       2.65195             
99,    30,           154000.0,     5133.333,       2595.809,       2.63208             
100,   30,           166800.0,     5560.000,       1880.886,       2.61789             
101,   30,           191900.0,     6396.667,       2404.785,       2.61029             
102,   30,           175800.0,     5860.000,       1872.894,       2.64419             
103,   30,           171300.0,     5710.000,       2434.249,       2.62265             
104,   30,           164400.0,     5480.000,       2115.719,       2.59665             
105,   30,           205100.0,     6836.667,       2247.292,       2.60157             
106,   30,           196400.0,     6546.667,       2745.995,       2.67877             
107,   30,           135200.0,     4506.667,       1759.912,       2.70474             
108,   30,           209400.0,     6980.000,       2515.870,       2.69747             
109,   30,           180300.0,     6010.000,       2201.870,       2.62827             
110,   30,           185900.0,     6196.667,       2343.001,       2.58329             
111,   30,           175000.0,     5833.333,       1848.483,       2.62758             
112,   30,           153400.0,     5113.333,       2476.117,       2.59929             
113,   30,           180400.0,     6013.333,       3075.791,       2.61396             
114,   30,           165600.0,     5520.000,       2519.444,       2.60105             
115,   30,           153600.0,     5120.000,       2183.178,       2.62002             
116,   30,           177300.0,     5910.000,       2357.732,       2.67506             
117,   30,           193600.0,     6453.333,       3142.688,       2.6198              
118,   30,           238800.0,     7960.000,       2866.194,       2.60734             
119,   30,           156800.0,     5226.667,       2385.922,       2.66529             
120,   30,           194300.0,     6476.667,       1917.582,       2.6486              
121,   30,           105900.0,     3530.000,       2034.232,       2.69936             
122,   30,           191600.0,     6386.667,       2236.773,       2.7407              
123,   30,           188500.0,     6283.333,       2652.556,       2.79378             
124,   30,           182500.0,     6083.333,       2769.125,       2.82512             
125,   30,           169800.0,     5660.000,       2753.253,       2.85835             
126,   30,           166100.0,     5536.667,       2524.742,       2.85608             
127,   30,           171600.0,     5720.000,       2427.399,       2.89115             
128,   30,           128500.0,     4283.333,       2278.462,       2.871               
129,   30,           163800.0,     5460.000,       2017.523,       2.86357             
