Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           46940.0,      1564.667,       436.484,        7.27779             
2,     30,           71770.0,      2392.333,       556.403,        13.7784             
3,     30,           85470.0,      2849.000,       498.968,        19.9576             
4,     30,           99690.0,      3323.000,       749.956,        24.5018             
5,     30,           105650.0,     3521.667,       1511.415,       27.2014             
6,     30,           107870.0,     3595.667,       708.419,        29.8041             
7,     30,           112100.0,     3736.667,       784.654,        30.6453             
8,     30,           118780.0,     3959.333,       491.046,        32.2734             
9,     30,           182310.0,     6077.000,       1253.124,       32.9881             
10,    30,           107400.0,     3580.000,       678.764,        32.609              
11,    30,           112310.0,     3743.667,       910.624,        32.9484             
12,    30,           176930.0,     5897.667,       927.720,        34.4378             
13,    30,           211310.0,     7043.667,       1163.906,       39.749              
14,    30,           214580.0,     7152.667,       643.376,        44.2149             
15,    30,           216020.0,     7200.667,       1211.286,       48.2205             
16,    30,           230340.0,     7678.000,       1318.649,       50.3915             
17,    30,           196720.0,     6557.333,       911.113,        53.7003             
18,    30,           149290.0,     4976.333,       1073.712,       55.4637             
19,    30,           202460.0,     6748.667,       1074.001,       56.907              
20,    30,           224970.0,     7499.000,       1176.439,       59.0252             
21,    30,           173640.0,     5788.000,       1569.653,       58.416              
22,    30,           209640.0,     6988.000,       1251.565,       59.373              
23,    30,           193370.0,     6445.667,       1963.855,       62.0062             
24,    30,           219360.0,     7312.000,       1465.065,       62.1713             
25,    30,           223410.0,     7447.000,       1286.113,       62.7798             
26,    30,           218130.0,     7271.000,       820.721,        63.0291             
27,    30,           165260.0,     5508.667,       810.612,        62.8183             
28,    30,           192520.0,     6417.333,       1456.990,       62.8028             
29,    30,           153140.0,     5104.667,       884.672,        62.2381             
30,    30,           145870.0,     4862.333,       2214.143,       64.378              
31,    30,           141860.0,     4728.667,       889.463,        62.8006             
32,    30,           165720.0,     5524.000,       1480.206,       61.6422             
33,    30,           178070.0,     5935.667,       1614.368,       61.7932             
34,    30,           214740.0,     7158.000,       1322.690,       63.5377             
35,    30,           192360.0,     6412.000,       1320.524,       62.8247             
36,    30,           136910.0,     4563.667,       949.514,        62.9247             
37,    30,           149790.0,     4993.000,       900.641,        64.0365             
38,    30,           188490.0,     6283.000,       1207.880,       63.7749             
39,    30,           209250.0,     6975.000,       1076.128,       63.2094             
