Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           6600.0,       220.000,        225.684,        0.891709            
2,     30,           62900.0,      2096.667,       826.835,        1.53682             
3,     30,           270800.0,     9026.667,       1596.858,       2.70094             
4,     30,           318700.0,     10623.333,      2572.765,       3.75465             
5,     30,           291700.0,     9723.333,       2249.546,       4.943               
6,     30,           559900.0,     18663.333,      4576.570,       6.22194             
7,     30,           337800.0,     11260.000,      2924.221,       7.36422             
8,     30,           636500.0,     21216.667,      4219.406,       8.1944              
9,     30,           515100.0,     17170.000,      4385.062,       8.31516             
10,    30,           171400.0,     5713.333,       2844.496,       8.77936             
11,    30,           891100.0,     29703.333,      4122.255,       9.13608             
12,    30,           1001600.0,    33386.667,      3069.064,       9.65846             
13,    30,           497700.0,     16590.000,      3982.323,       10.0685             
14,    30,           473900.0,     15796.667,      3243.402,       10.2258             
15,    30,           706200.0,     23540.000,      4188.444,       10.4302             
16,    30,           940900.0,     31363.333,      5042.121,       10.5017             
17,    30,           358600.0,     11953.333,      5225.306,       10.7082             
18,    30,           638700.0,     21290.000,      4891.717,       10.7195             
19,    30,           641900.0,     21396.667,      5051.566,       11.0516             
20,    30,           894300.0,     29810.000,      5592.158,       11.1386             
21,    30,           324200.0,     10806.667,      2827.123,       11.3229             
22,    30,           556100.0,     18536.667,      4633.032,       11.4762             
23,    30,           716000.0,     23866.667,      5970.781,       11.2237             
24,    30,           582700.0,     19423.333,      4822.840,       11.0747             
25,    30,           266800.0,     8893.333,       2813.531,       11.1394             
26,    30,           460500.0,     15350.000,      4218.037,       11.2621             
27,    30,           372700.0,     12423.333,      4813.847,       11.3913             
28,    30,           465000.0,     15500.000,      5035.276,       11.4652             
29,    30,           237600.0,     7920.000,       3264.904,       11.2544             
30,    30,           98800.0,      3293.333,       1714.047,       11.6941             
31,    30,           241200.0,     8040.000,       4338.172,       12.4042             
32,    30,           153500.0,     5116.667,       2663.091,       12.5963             
33,    30,           91500.0,      3050.000,       1864.359,       12.9037             
34,    30,           146000.0,     4866.667,       2025.394,       13.1455             
35,    30,           148700.0,     4956.667,       2143.313,       13.5036             
36,    30,           195300.0,     6510.000,       2579.709,       13.4978             
37,    30,           242800.0,     8093.333,       2044.983,       13.7221             
38,    30,           286900.0,     9563.333,       3879.990,       13.5057             
39,    30,           160600.0,     5353.333,       1776.651,       13.1891             
40,    30,           113500.0,     3783.333,       1320.375,       13.0359             
41,    30,           116400.0,     3880.000,       1828.187,       12.9583             
42,    30,           158500.0,     5283.333,       1585.788,       12.7878             
43,    30,           202300.0,     6743.333,       4678.296,       12.7795             
44,    30,           107000.0,     3566.667,       1667.200,       12.6771             
45,    30,           111200.0,     3706.667,       1331.148,       12.7672             
46,    30,           172100.0,     5736.667,       1965.957,       12.6813             
47,    30,           403100.0,     13436.667,      4364.438,       12.5851             
48,    30,           265200.0,     8840.000,       2745.736,       12.7137             
49,    30,           173200.0,     5773.333,       1799.061,       12.6336             
50,    30,           286100.0,     9536.667,       3356.336,       12.6252             
51,    30,           168500.0,     5616.667,       2013.469,       12.3692             
52,    30,           396300.0,     13210.000,      4901.588,       12.5859             
53,    30,           131500.0,     4383.333,       1484.157,       12.1878             
54,    30,           194700.0,     6490.000,       2783.924,       12.1375             
55,    30,           76400.0,      2546.667,       856.634,        11.9086             
56,    30,           174300.0,     5810.000,       2418.174,       12.0452             
57,    30,           195900.0,     6530.000,       2286.941,       11.9179             
58,    30,           318700.0,     10623.333,      3409.857,       11.8757             
59,    30,           207700.0,     6923.333,       3180.218,       12.0476             
60,    30,           67200.0,      2240.000,       1045.498,       12.2074             
61,    30,           254800.0,     8493.333,       3341.151,       12.2594             
62,    30,           268900.0,     8963.333,       3329.313,       12.2683             
63,    30,           341200.0,     11373.333,      3664.872,       12.0494             
64,    30,           194600.0,     6486.667,       2500.631,       11.9115             
65,    30,           294700.0,     9823.333,       4400.961,       11.9413             
66,    30,           301000.0,     10033.333,      2682.205,       11.783              
67,    30,           185900.0,     6196.667,       1915.982,       11.4538             
68,    30,           461100.0,     15370.000,      5452.409,       11.6009             
69,    30,           267700.0,     8923.333,       3431.684,       11.6334             
70,    30,           168800.0,     5626.667,       2214.939,       11.6792             
71,    30,           340800.0,     11360.000,      4810.793,       11.6117             
72,    30,           339700.0,     11323.333,      2897.089,       11.3899             
73,    30,           366900.0,     12230.000,      3285.843,       11.2583             
74,    30,           506000.0,     16866.667,      6211.781,       11.1406             
75,    30,           268700.0,     8956.667,       2859.450,       11.1853             
76,    30,           488200.0,     16273.333,      6435.834,       11.3092             
77,    30,           150100.0,     5003.333,       2043.116,       11.0374             
78,    30,           129100.0,     4303.333,       2157.388,       11.0979             
79,    30,           147400.0,     4913.333,       2390.639,       11.1761             
80,    30,           199600.0,     6653.333,       2425.522,       11.1704             
81,    30,           252500.0,     8416.667,       3054.732,       11.1835             
82,    30,           391500.0,     13050.000,      5186.955,       10.9187             
83,    30,           165000.0,     5500.000,       1963.670,       10.8936             
84,    30,           233200.0,     7773.333,       2244.539,       10.8653             
85,    30,           211500.0,     7050.000,       2031.051,       10.9754             
86,    30,           353500.0,     11783.333,      3044.020,       11.0332             
87,    30,           318800.0,     10626.667,      3586.636,       10.6663             
88,    30,           415000.0,     13833.333,      3857.489,       10.79               
89,    30,           396000.0,     13200.000,      3394.898,       10.5644             
90,    30,           316700.0,     10556.667,      3573.764,       10.5091             
91,    30,           334900.0,     11163.333,      3968.332,       10.6227             
92,    30,           271400.0,     9046.667,       3121.616,       10.7564             
93,    30,           274100.0,     9136.667,       4233.319,       10.9255             
94,    30,           385200.0,     12840.000,      3808.552,       10.9327             
95,    30,           571000.0,     19033.333,      5168.387,       10.7709             
96,    30,           534300.0,     17810.000,      6366.074,       10.6907             
97,    30,           375200.0,     12506.667,      2944.026,       10.6172             
98,    30,           391600.0,     13053.333,      4275.023,       10.7602             
99,    30,           287500.0,     9583.333,       3914.765,       10.5081             
100,   30,           526100.0,     17536.667,      5289.328,       10.5329             
101,   30,           337700.0,     11256.667,      3747.504,       10.8146             
102,   30,           159700.0,     5323.333,       2349.565,       10.8413             
103,   30,           103600.0,     3453.333,       1281.596,       11.0107             
104,   30,           63200.0,      2106.667,       593.820,        10.9929             
105,   30,           188400.0,     6280.000,       2809.911,       10.953              
106,   30,           301000.0,     10033.333,      3320.475,       10.8024             
107,   30,           216300.0,     7210.000,       2350.652,       10.8423             
108,   30,           174500.0,     5816.667,       2437.770,       10.519              
109,   30,           373600.0,     12453.333,      3945.946,       10.5368             
110,   30,           323600.0,     10786.667,      4254.310,       10.5113             
111,   30,           303900.0,     10130.000,      3102.596,       10.4281             
