Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           16080.0,      536.000,        371.928,        2.17943             
2,     30,           18680.0,      622.667,        281.140,        4.09464             
3,     30,           29720.0,      990.667,        280.808,        6.2036              
4,     30,           26920.0,      897.333,        414.045,        8.0038              
5,     30,           22980.0,      766.000,        206.019,        8.82839             
6,     30,           39470.0,      1315.667,       466.281,        11.0752             
7,     30,           42680.0,      1422.667,       362.914,        12.7972             
8,     30,           45340.0,      1511.333,       441.284,        14.4699             
9,     30,           45620.0,      1520.667,       434.488,        16.2823             
10,    30,           57160.0,      1905.333,       707.148,        16.6142             
11,    30,           50080.0,      1669.333,       475.478,        16.6006             
12,    30,           57580.0,      1919.333,       487.968,        17.2883             
13,    30,           47800.0,      1593.333,       458.005,        17.6365             
14,    30,           46830.0,      1561.000,       446.664,        17.5606             
15,    30,           49130.0,      1637.667,       586.712,        17.7124             
16,    30,           57110.0,      1903.667,       470.712,        18.0452             
17,    30,           56990.0,      1899.667,       460.453,        18.293              
18,    30,           52390.0,      1746.333,       677.375,        18.763              
19,    30,           62630.0,      2087.667,       843.831,        18.984              
20,    30,           69390.0,      2313.000,       410.294,        19.2998             
21,    30,           40360.0,      1345.333,       496.157,        19.7484             
22,    30,           57600.0,      1920.000,       414.206,        20.5832             
23,    30,           32160.0,      1072.000,       479.301,        20.2076             
24,    30,           61700.0,      2056.667,       469.293,        20.3922             
25,    30,           67880.0,      2262.667,       681.699,        19.8478             
26,    30,           62450.0,      2081.667,       541.560,        19.3936             
27,    30,           61100.0,      2036.667,       538.785,        19.2986             
28,    30,           65380.0,      2179.333,       695.495,        19.5045             
29,    30,           47160.0,      1572.000,       736.607,        19.1431             
30,    30,           59240.0,      1974.667,       656.058,        19.2408             
31,    30,           70190.0,      2339.667,       661.853,        19.1791             
32,    30,           59740.0,      1991.333,       659.968,        19.0389             
33,    30,           68700.0,      2290.000,       522.162,        20.0375             
34,    30,           68450.0,      2281.667,       509.589,        18.9253             
35,    30,           65350.0,      2178.333,       394.124,        19.6208             
36,    30,           68640.0,      2288.000,       433.224,        18.871              
37,    30,           64590.0,      2153.000,       358.777,        19.5371             
38,    30,           71990.0,      2399.667,       585.107,        19.3572             
