Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           27420.0,      914.000,        466.166,        1.37561             
2,     30,           34130.0,      1137.667,       495.619,        2.52281             
3,     30,           41070.0,      1369.000,       559.972,        3.23499             
4,     30,           119330.0,     3977.667,       907.240,        3.89954             
5,     30,           154290.0,     5143.000,       1127.502,       4.5171              
6,     30,           146530.0,     4884.333,       720.965,        5.14404             
7,     30,           194400.0,     6480.000,       758.015,        6.13905             
8,     30,           166020.0,     5534.000,       743.589,        6.70632             
9,     30,           107290.0,     3576.333,       1040.367,       7.8184              
10,    30,           185850.0,     6195.000,       1014.064,       8.76401             
11,    30,           195460.0,     6515.333,       1081.816,       9.45089             
12,    30,           146880.0,     4896.000,       1110.935,       9.78883             
13,    30,           149230.0,     4974.333,       1142.000,       10.9731             
14,    30,           71090.0,      2369.667,       981.086,        11.5746             
15,    30,           73220.0,      2440.667,       849.706,        12.0882             
16,    30,           76320.0,      2544.000,       882.370,        11.8561             
17,    30,           120160.0,     4005.333,       797.545,        11.8217             
18,    30,           53060.0,      1768.667,       755.274,        11.5847             
19,    30,           192510.0,     6417.000,       631.744,        11.9807             
20,    30,           160810.0,     5360.333,       951.257,        12.281              
21,    30,           180590.0,     6019.667,       558.835,        12.0945             
22,    30,           172590.0,     5753.000,       930.448,        12.5375             
23,    30,           183700.0,     6123.333,       864.277,        12.0325             
24,    30,           178330.0,     5944.333,       742.045,        12.8407             
25,    30,           188280.0,     6276.000,       560.789,        12.9126             
26,    30,           188200.0,     6273.333,       834.835,        12.9931             
27,    30,           162290.0,     5409.667,       1009.860,       13.1747             
28,    30,           192440.0,     6414.667,       755.388,        13.0276             
29,    30,           163810.0,     5460.333,       1050.563,       12.8281             
30,    30,           191700.0,     6390.000,       1186.420,       13.0104             
31,    30,           207020.0,     6900.667,       1043.216,       13.1887             
32,    30,           181170.0,     6039.000,       932.553,        13.5512             
33,    30,           197610.0,     6587.000,       759.895,        13.3114             
34,    30,           180490.0,     6016.333,       788.875,        13.1597             
35,    30,           152290.0,     5076.333,       1428.527,       12.613              
36,    30,           180580.0,     6019.333,       852.885,        13.0153             
37,    30,           192620.0,     6420.667,       916.613,        13.1978             
38,    30,           185250.0,     6175.000,       941.848,        12.7596             
39,    30,           182110.0,     6070.333,       911.685,        12.8234             
40,    30,           153810.0,     5127.000,       960.639,        12.8981             
41,    30,           164950.0,     5498.333,       1140.275,       13.1176             
42,    30,           160800.0,     5360.000,       908.710,        12.963              
43,    30,           190810.0,     6360.333,       929.783,        12.8578             
44,    30,           210420.0,     7014.000,       850.269,        13.1999             
45,    30,           178950.0,     5965.000,       738.294,        13.2201             
46,    30,           198680.0,     6622.667,       646.446,        13.506              
47,    30,           192530.0,     6417.667,       647.074,        13.2001             
48,    30,           199870.0,     6662.333,       1130.208,       13.8477             
49,    30,           207760.0,     6925.333,       700.389,        13.5809             
50,    30,           198020.0,     6600.667,       582.838,        13.291              
51,    30,           205940.0,     6864.667,       963.811,        13.0793             
52,    30,           166810.0,     5560.333,       961.920,        13.2904             
53,    30,           166840.0,     5561.333,       888.942,        13.1571             
54,    30,           176020.0,     5867.333,       1328.851,       13.1394             
55,    30,           200590.0,     6686.333,       797.331,        12.9484             
56,    30,           111950.0,     3731.667,       1535.860,       12.7143             
