Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           12450.0,      415.000,        283.628,        1.3365              
2,     30,           11480.0,      382.667,        227.493,        2.15824             
3,     30,           70670.0,      2355.667,       838.879,        2.80294             
4,     30,           91280.0,      3042.667,       1174.527,       3.36165             
5,     30,           147970.0,     4932.333,       1336.427,       4.03068             
6,     30,           130630.0,     4354.333,       1232.273,       4.35981             
7,     30,           111190.0,     3706.333,       1197.922,       4.38634             
8,     30,           154920.0,     5164.000,       371.498,        4.3136              
9,     30,           163930.0,     5464.333,       1207.169,       4.42279             
10,    30,           152200.0,     5073.333,       529.001,        4.6116              
11,    30,           143570.0,     4785.667,       1020.780,       4.49258             
12,    30,           145620.0,     4854.000,       458.364,        4.33467             
13,    30,           156060.0,     5202.000,       835.653,        4.20427             
14,    30,           158350.0,     5278.333,       1295.256,       4.27051             
15,    30,           157440.0,     5248.000,       615.280,        4.1526              
16,    30,           134600.0,     4486.667,       953.881,        4.4845              
17,    30,           102780.0,     3426.000,       1159.947,       4.45752             
18,    30,           171210.0,     5707.000,       2204.772,       4.33209             
19,    30,           138640.0,     4621.333,       1481.339,       4.62334             
20,    30,           199900.0,     6663.333,       2240.663,       4.68541             
21,    30,           185520.0,     6184.000,       2399.172,       4.97267             
22,    30,           85540.0,      2851.333,       1455.678,       5.11966             
23,    30,           176640.0,     5888.000,       1896.420,       5.36091             
24,    30,           172400.0,     5746.667,       1875.927,       5.54902             
25,    30,           165910.0,     5530.333,       1693.916,       5.66268             
26,    30,           159940.0,     5331.333,       880.124,        5.91513             
27,    30,           66530.0,      2217.667,       2068.790,       5.86359             
28,    30,           135260.0,     4508.667,       887.460,        5.77381             
29,    30,           57640.0,      1921.333,       1327.106,       5.84012             
30,    30,           81360.0,      2712.000,       1458.482,       5.71176             
31,    30,           132410.0,     4413.667,       1996.479,       5.71776             
32,    30,           172910.0,     5763.667,       1673.915,       5.95257             
33,    30,           129850.0,     4328.333,       1573.139,       6.15494             
34,    30,           159500.0,     5316.667,       2124.342,       5.99526             
35,    30,           203880.0,     6796.000,       3035.140,       5.94978             
36,    30,           136850.0,     4561.667,       756.060,        5.73539             
37,    30,           176280.0,     5876.000,       2075.772,       5.66027             
38,    30,           133200.0,     4440.000,       1366.287,       5.58138             
39,    30,           219360.0,     7312.000,       2504.345,       5.72502             
40,    30,           148780.0,     4959.333,       1580.740,       5.78451             
41,    30,           145520.0,     4850.667,       1664.125,       6.12913             
42,    30,           141020.0,     4700.667,       858.716,        6.03433             
43,    30,           113840.0,     3794.667,       1141.314,       6.16907             
44,    30,           149220.0,     4974.000,       1146.402,       5.88952             
45,    30,           128750.0,     4291.667,       1226.776,       5.8632              
46,    30,           140000.0,     4666.667,       961.379,        5.6774              
47,    30,           144730.0,     4824.333,       965.504,        5.30373             
48,    30,           156240.0,     5208.000,       1652.669,       5.34233             
49,    30,           144800.0,     4826.667,       1836.091,       5.31835             
50,    30,           116440.0,     3881.333,       2500.693,       5.66298             
51,    30,           148020.0,     4934.000,       1789.915,       5.78816             
52,    30,           186100.0,     6203.333,       2469.551,       5.91744             
53,    30,           68810.0,      2293.667,       1017.715,       5.84165             
54,    30,           179610.0,     5987.000,       1877.236,       5.86558             
55,    30,           166280.0,     5542.667,       2481.658,       5.92593             
56,    30,           66320.0,      2210.667,       1835.772,       5.92297             
57,    30,           132110.0,     4403.667,       1092.790,       6.00973             
58,    30,           108540.0,     3618.000,       2332.489,       6.18031             
59,    30,           162920.0,     5430.667,       1878.313,       6.15001             
60,    30,           169290.0,     5643.000,       1961.738,       6.04812             
61,    30,           162390.0,     5413.000,       2258.624,       6.02262             
62,    30,           137310.0,     4577.000,       1159.152,       5.93711             
63,    30,           159850.0,     5328.333,       2035.811,       5.8363              
64,    30,           177760.0,     5925.333,       1736.991,       5.79048             
65,    30,           126710.0,     4223.667,       1212.368,       5.75314             
66,    30,           123490.0,     4116.333,       1061.403,       5.96033             
67,    30,           159460.0,     5315.333,       1731.074,       5.72562             
68,    30,           101890.0,     3396.333,       1396.330,       5.5146              
69,    30,           136910.0,     4563.667,       2104.760,       5.78089             
70,    30,           149250.0,     4975.000,       1997.428,       5.74883             
71,    30,           199940.0,     6664.667,       2455.566,       5.87955             
72,    30,           159350.0,     5311.667,       2199.536,       6.12707             
73,    30,           124310.0,     4143.667,       1680.991,       5.97513             
74,    30,           116580.0,     3886.000,       1640.137,       5.9701              
75,    30,           145440.0,     4848.000,       1536.736,       5.98921             
76,    30,           108440.0,     3614.667,       1315.297,       5.87506             
77,    30,           144730.0,     4824.333,       2465.823,       5.82831             
78,    30,           92240.0,      3074.667,       1031.904,       5.80722             
79,    30,           143610.0,     4787.000,       1161.893,       6.00656             
80,    30,           135570.0,     4519.000,       693.779,        6.14735             
81,    30,           130950.0,     4365.000,       1554.350,       6.17617             
82,    30,           219740.0,     7324.667,       2720.702,       6.28482             
83,    30,           145710.0,     4857.000,       1630.904,       6.11287             
84,    30,           177290.0,     5909.667,       2483.305,       6.34389             
85,    30,           119320.0,     3977.333,       926.110,        6.26972             
86,    30,           171620.0,     5720.667,       2631.646,       6.3078              
87,    30,           260960.0,     8698.667,       2849.159,       6.35702             
88,    30,           119110.0,     3970.333,       1536.395,       6.45508             
89,    30,           122060.0,     4068.667,       1985.042,       6.5128              
90,    30,           210480.0,     7016.000,       2916.221,       6.38092             
91,    30,           92820.0,      3094.000,       1406.787,       6.27187             
92,    30,           139240.0,     4641.333,       1519.644,       6.05305             
93,    30,           223770.0,     7459.000,       3091.316,       5.93386             
94,    30,           93760.0,      3125.333,       1369.642,       6.12595             
