Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -621.0,       -20.700,        0.458,          0.0123363           
2,     30,           -630.0,       -21.000,        0.000,          -0.161525           
3,     30,           -579.0,       -19.300,        1.100,          -0.335322           
4,     30,           -565.0,       -18.833,        1.934,          -0.412434           
5,     30,           -529.0,       -17.633,        2.429,          -0.39268            
6,     30,           -582.0,       -19.400,        1.114,          -0.347637           
7,     30,           -522.0,       -17.400,        1.890,          -0.247856           
8,     30,           -474.0,       -15.800,        2.428,          -0.170196           
9,     30,           -315.0,       -10.500,        5.626,          -0.114554           
10,    30,           -290.0,       -9.667,         4.384,          -0.0650149          
11,    30,           -161.0,       -5.367,         4.119,          -0.072547           
12,    30,           -146.0,       -4.867,         3.393,          0.0495204           
13,    30,           -162.0,       -5.400,         4.807,          0.151011            
14,    30,           -143.0,       -4.767,         4.617,          0.156116            
15,    30,           -104.0,       -3.467,         4.264,          0.112435            
16,    30,           -24.0,        -0.800,         3.449,          0.135105            
17,    30,           -65.0,        -2.167,         5.113,          0.230333            
18,    30,           -90.0,        -3.000,         7.685,          0.244106            
19,    30,           15.0,         0.500,          2.930,          0.248132            
20,    30,           -51.0,        -1.700,         3.653,          0.228118            
21,    30,           22.0,         0.733,          2.932,          0.233736            
22,    30,           -49.0,        -1.633,         4.416,          0.293864            
23,    30,           2.0,          0.067,          2.235,          0.291238            
24,    30,           59.0,         1.967,          2.881,          0.317058            
25,    30,           89.0,         2.967,          2.331,          0.319414            
26,    30,           10.0,         0.333,          6.477,          0.331161            
27,    30,           -44.0,        -1.467,         3.879,          0.317648            
28,    30,           46.0,         1.533,          3.201,          0.328742            
29,    30,           15.0,         0.500,          8.827,          0.337135            
30,    30,           51.0,         1.700,          4.306,          0.33948             
31,    30,           102.0,        3.400,          2.859,          0.336673            
32,    30,           75.0,         2.500,          2.680,          0.336611            
33,    30,           96.0,         3.200,          2.948,          0.337526            
34,    30,           219.0,        7.300,          3.943,          0.355049            
35,    30,           270.0,        9.000,          4.913,          0.373399            
36,    30,           411.0,        13.700,         3.089,          0.420936            
37,    30,           380.0,        12.667,         7.841,          0.486299            
38,    30,           458.0,        15.267,         3.890,          0.538621            
39,    30,           369.0,        12.300,         4.811,          0.585122            
40,    30,           433.0,        14.433,         3.518,          0.62938             
41,    30,           476.0,        15.867,         3.594,          0.6447              
42,    30,           487.0,        16.233,         2.472,          0.696986            
43,    30,           523.0,        17.433,         2.319,          0.729536            
44,    30,           475.0,        15.833,         3.550,          0.72227             
45,    30,           519.0,        17.300,         2.178,          0.7426              
46,    30,           517.0,        17.233,         2.093,          0.769475            
47,    30,           553.0,        18.433,         1.667,          0.820026            
48,    30,           423.0,        14.100,         6.794,          0.875089            
49,    30,           548.0,        18.267,         2.190,          0.921193            
50,    30,           455.0,        15.167,         3.397,          0.918303            
51,    30,           513.0,        17.100,         2.256,          0.90935             
52,    30,           540.0,        18.000,         2.017,          0.911401            
53,    30,           527.0,        17.567,         2.044,          0.909286            
54,    30,           546.0,        18.200,         2.821,          0.92656             
55,    30,           547.0,        18.233,         2.654,          0.895881            
56,    30,           521.0,        17.367,         1.906,          0.95907             
57,    30,           543.0,        18.100,         2.468,          0.933228            
58,    30,           517.0,        17.233,         3.106,          0.96062             
59,    30,           471.0,        15.700,         4.157,          0.953675            
60,    30,           564.0,        18.800,         1.400,          0.920614            
61,    30,           556.0,        18.533,         1.875,          0.930054            
62,    30,           576.0,        19.200,         1.600,          0.914989            
63,    30,           568.0,        18.933,         2.015,          0.917987            
64,    30,           531.0,        17.700,         2.492,          0.916705            
65,    30,           529.0,        17.633,         2.168,          0.89021             
66,    30,           459.0,        15.300,         4.691,          0.870779            
67,    30,           559.0,        18.633,         2.345,          0.934402            
68,    30,           558.0,        18.600,         1.781,          0.940934            
69,    30,           566.0,        18.867,         2.012,          0.939064            
70,    30,           535.0,        17.833,         2.222,          0.935432            
71,    30,           525.0,        17.500,         3.274,          0.951719            
72,    30,           562.0,        18.733,         1.548,          0.947487            
73,    30,           565.0,        18.833,         1.344,          0.943741            
74,    30,           519.0,        17.300,         2.584,          0.956554            
75,    30,           570.0,        19.000,         1.633,          0.952655            
76,    30,           557.0,        18.567,         1.667,          0.944758            
77,    30,           547.0,        18.233,         2.432,          0.942473            
78,    30,           517.0,        17.233,         2.729,          0.920318            
79,    30,           578.0,        19.267,         1.236,          0.925443            
80,    30,           542.0,        18.067,         2.828,          0.941129            
81,    30,           528.0,        17.600,         2.403,          0.939967            
82,    30,           466.0,        15.533,         7.168,          0.941856            
83,    30,           573.0,        19.100,         1.578,          0.916952            
84,    30,           406.0,        13.533,         5.971,          0.879724            
85,    30,           574.0,        19.133,         1.477,          0.865663            
86,    30,           533.0,        17.767,         2.060,          0.86403             
87,    30,           435.0,        14.500,         5.130,          0.901149            
88,    30,           567.0,        18.900,         1.955,          0.906882            
89,    30,           563.0,        18.767,         1.585,          0.899976            
90,    30,           538.0,        17.933,         1.652,          0.910859            
91,    30,           528.0,        17.600,         1.993,          0.928557            
92,    30,           553.0,        18.433,         1.892,          0.95682             
93,    30,           567.0,        18.900,         1.904,          0.938443            
94,    30,           565.0,        18.833,         1.614,          0.932957            
95,    30,           588.0,        19.600,         1.332,          0.910073            
96,    30,           558.0,        18.600,         3.292,          0.899208            
