Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          1.17727             
2,     30,           -18881.0,     -629.367,       489.012,        1.39774             
3,     30,           0.0,          0.000,          0.000,          1.40838             
4,     30,           0.0,          0.000,          0.000,          1.43638             
5,     30,           -1700.0,      -56.667,        158.500,        1.55105             
6,     30,           -4627.0,      -154.233,       379.502,        1.61158             
7,     30,           800.0,        26.667,         44.222,         1.53583             
8,     30,           0.0,          0.000,          0.000,          1.49137             
9,     30,           2500.0,       83.333,         37.268,         1.41355             
10,    30,           3000.0,       100.000,        0.000,          1.30689             
11,    30,           3000.0,       100.000,        0.000,          1.23915             
12,    30,           3000.0,       100.000,        0.000,          1.12238             
13,    30,           2025.0,       67.500,         132.368,        1.00553             
14,    30,           3000.0,       100.000,        0.000,          0.881449            
15,    30,           3000.0,       100.000,        0.000,          0.756079            
16,    30,           3000.0,       100.000,        0.000,          0.65284             
17,    30,           3000.0,       100.000,        0.000,          0.596585            
18,    30,           0.0,          0.000,          0.000,          0.563567            
19,    30,           3000.0,       100.000,        0.000,          0.561237            
20,    30,           -162.0,       -5.400,         70.751,         0.558942            
21,    30,           3000.0,       100.000,        0.000,          0.547301            
22,    30,           3000.0,       100.000,        0.000,          0.608903            
23,    30,           1737.0,       57.900,         1583.396,       0.622595            
24,    30,           800.0,        26.667,         274.388,        0.613335            
25,    30,           2700.0,       90.000,         30.000,         0.601285            
26,    30,           2800.0,       93.333,         24.944,         0.58802             
27,    30,           100.0,        3.333,          17.951,         0.568501            
28,    30,           3000.0,       100.000,        0.000,          0.561344            
29,    30,           2920.0,       97.333,         9.634,          0.543752            
30,    30,           2206.0,       73.533,         110.156,        0.537602            
31,    30,           -800.0,       -26.667,        112.349,        0.540538            
32,    30,           103629.0,     3454.300,       6265.622,       0.538979            
33,    30,           3000.0,       100.000,        0.000,          0.548984            
34,    30,           2900.0,       96.667,         17.951,         0.569932            
35,    30,           3000.0,       100.000,        0.000,          0.546842            
36,    30,           0.0,          0.000,          0.000,          0.52982             
37,    30,           3000.0,       100.000,        0.000,          0.52081             
38,    30,           1603.0,       53.433,         205.845,        0.511002            
39,    30,           0.0,          0.000,          0.000,          0.511505            
40,    30,           2300.0,       76.667,         125.654,        0.516036            
41,    30,           3055.0,       101.833,        9.873,          0.503932            
42,    30,           -1341.0,      -44.700,        148.256,        0.511612            
43,    30,           -925.0,       -30.833,        300.831,        0.510721            
44,    30,           -4759.0,      -158.633,       382.260,        0.52582             
45,    30,           3000.0,       100.000,        0.000,          0.514817            
46,    30,           2944.0,       98.133,         10.963,         0.506931            
47,    30,           -3730.0,      -124.333,       319.550,        0.509711            
48,    30,           3000.0,       100.000,        0.000,          0.491214            
49,    30,           -16962.0,     -565.400,       1234.313,       0.534676            
50,    30,           3000.0,       100.000,        0.000,          0.561929            
51,    30,           -11194.0,     -373.133,       363.807,        0.561842            
52,    30,           3000.0,       100.000,        0.000,          0.562387            
53,    30,           0.0,          0.000,          0.000,          0.530386            
54,    30,           1681.0,       56.033,         57.701,         0.502925            
55,    30,           3000.0,       100.000,        0.000,          0.466823            
56,    30,           3054.0,       101.800,        41.159,         0.505735            
57,    30,           2546.0,       84.867,         78.220,         0.513741            
58,    30,           3000.0,       100.000,        0.000,          0.505747            
59,    30,           5241.0,       174.700,        738.789,        0.492543            
60,    30,           1483.0,       49.433,         112.615,        0.496919            
61,    30,           0.0,          0.000,          0.000,          0.479093            
62,    30,           -979.0,       -32.633,        256.737,        0.485529            
63,    30,           2247.0,       74.900,         133.956,        0.481984            
64,    30,           -4605.0,      -153.500,       417.579,        0.470282            
65,    30,           -7936.0,      -264.533,       1249.697,       0.466107            
66,    30,           -3200.0,      -106.667,       363.257,        0.467841            
67,    30,           -3790.0,      -126.333,       84.701,         0.464653            
68,    30,           -652.0,       -21.733,        295.365,        0.463468            
69,    30,           1343.0,       44.767,         197.856,        0.481081            
70,    30,           -1900.0,      -63.333,        237.323,        0.49932             
71,    30,           3000.0,       100.000,        0.000,          0.511335            
72,    30,           3000.0,       100.000,        0.000,          0.490631            
73,    30,           1200.0,       40.000,         142.829,        0.505963            
74,    30,           3000.0,       100.000,        0.000,          0.509762            
75,    30,           3000.0,       100.000,        0.000,          0.50026             
76,    30,           -7158.0,      -238.600,       394.521,        0.515459            
77,    30,           426.0,        14.200,         49.862,         0.501907            
78,    30,           3000.0,       100.000,        0.000,          0.494891            
79,    30,           3000.0,       100.000,        0.000,          0.493655            
80,    30,           3000.0,       100.000,        0.000,          0.503111            
81,    30,           2959.0,       98.633,         7.360,          0.484157            
82,    30,           3000.0,       100.000,        0.000,          0.467268            
83,    30,           5746.0,       191.533,        1640.628,       0.466042            
84,    30,           37733.0,      1257.767,       2372.965,       0.470478            
85,    30,           3000.0,       100.000,        0.000,          0.487281            
86,    30,           3503.0,       116.767,        41.639,         0.477389            
87,    30,           3000.0,       100.000,        0.000,          0.483748            
88,    30,           3000.0,       100.000,        0.000,          0.45886             
89,    30,           -2144.0,      -71.467,        426.797,        0.46572             
90,    30,           3000.0,       100.000,        0.000,          0.463871            
91,    30,           3688.0,       122.933,        39.650,         0.464688            
92,    30,           -13845.0,     -461.500,       1266.683,       0.451921            
93,    30,           3000.0,       100.000,        0.000,          0.460825            
94,    30,           2995.0,       99.833,         0.898,          0.463767            
95,    30,           2918.0,       97.267,         16.703,         0.486825            
96,    30,           3000.0,       100.000,        0.000,          0.474213            
97,    30,           3000.0,       100.000,        0.000,          0.497821            
98,    30,           3000.0,       100.000,        0.000,          0.498224            
99,    30,           800.0,        26.667,         44.222,         0.516746            
100,   30,           3000.0,       100.000,        0.000,          0.502092            
101,   30,           3000.0,       100.000,        0.000,          0.493181            
102,   30,           5799.0,       193.300,        17.057,         0.487579            
103,   30,           3244.0,       108.133,        26.729,         0.512121            
104,   30,           4059.0,       135.300,        45.111,         0.536725            
105,   30,           2539.0,       84.633,         41.445,         0.499014            
106,   30,           -9666.0,      -322.200,       374.228,        0.567659            
107,   30,           1667.0,       55.567,         269.619,        0.555729            
108,   30,           88.0,         2.933,          18.153,         0.572264            
109,   30,           3000.0,       100.000,        0.000,          0.570288            
110,   30,           2041.0,       68.033,         215.399,        0.568869            
111,   30,           3400.0,       113.333,        33.993,         0.577303            
112,   30,           400.0,        13.333,         71.802,         0.572071            
113,   30,           -856.0,       -28.533,        160.413,        0.595738            
114,   30,           2574.0,       85.800,         71.723,         0.605091            
115,   30,           -20197.0,     -673.233,       920.451,        0.592433            
116,   30,           1438.0,       47.933,         63.859,         0.603331            
117,   30,           0.0,          0.000,          0.000,          0.666872            
118,   30,           -1934.0,      -64.467,        162.625,        0.697915            
119,   30,           701.0,        23.367,         124.069,        0.771095            
120,   30,           -4098.0,      -136.600,       393.558,        0.811903            
121,   30,           -351.0,       -11.700,        201.637,        0.824788            
122,   30,           -400.0,       -13.333,        192.758,        0.835451            
123,   30,           3198.0,       106.600,        43.578,         0.81507             
124,   30,           2114.0,       70.467,         809.490,        0.753921            
125,   30,           3000.0,       100.000,        0.000,          0.858293            
126,   30,           0.0,          0.000,          0.000,          0.864856            
127,   30,           3801.0,       126.700,        192.807,        0.845096            
128,   30,           1759.0,       58.633,         28.814,         0.912145            
129,   30,           3000.0,       100.000,        0.000,          1.03075             
130,   30,           -966.0,       -32.200,        190.956,        1.03305             
131,   30,           -6167.0,      -205.567,       301.530,        1.05441             
132,   30,           1340.0,       44.667,         58.225,         1.00944             
133,   30,           3000.0,       100.000,        0.000,          1.13901             
134,   30,           -176.0,       -5.867,         145.978,        1.16254             
135,   30,           2600.0,       86.667,         33.993,         1.23064             
136,   30,           37.0,         1.233,          63.307,         1.1691              
137,   30,           -393.0,       -13.100,        56.404,         1.16623             
138,   30,           -7569.0,      -252.300,       293.336,        1.31003             
139,   30,           170.0,        5.667,          194.701,        1.33536             
140,   30,           -1291.0,      -43.033,        203.977,        1.20318             
141,   30,           -4320.0,      -144.000,       93.446,         1.12786             
142,   30,           3000.0,       100.000,        0.000,          1.07845             
143,   30,           217.0,        7.233,          57.425,         1.08791             
144,   30,           2579.0,       85.967,         41.278,         1.0184              
145,   30,           -12449.0,     -414.967,       468.638,        1.03674             
146,   30,           967.0,        32.233,         56.721,         1.00641             
147,   30,           1472.0,       49.067,         34.746,         0.973825            
148,   30,           1700.0,       56.667,         197.793,        1.02761             
149,   30,           2916.0,       97.200,         10.480,         1.07305             
150,   30,           -1069.0,      -35.633,        59.085,         1.05339             
151,   30,           3031.0,       101.033,        45.327,         1.00704             
152,   30,           -1153.0,      -38.433,        325.268,        1.02451             
153,   30,           361.0,        12.033,         52.438,         1.0018              
154,   30,           2500.0,       83.333,         37.268,         0.999862            
155,   30,           393.0,        13.100,         229.846,        0.939978            
156,   30,           -2174.0,      -72.467,        180.146,        0.957565            
157,   30,           3000.0,       100.000,        0.000,          0.948091            
158,   30,           10777.0,      359.233,        1085.450,       0.943943            
159,   30,           -1915.0,      -63.833,        66.484,         0.916374            
160,   30,           986.0,        32.867,         28.424,         0.982866            
161,   30,           1553.0,       51.767,         150.263,        0.949128            
162,   30,           -243.0,       -8.100,         67.940,         0.965879            
163,   30,           986.0,        32.867,         210.387,        0.967712            
164,   30,           -771.0,       -25.700,        66.080,         0.896855            
165,   30,           3557.0,       118.567,        33.247,         0.881375            
166,   30,           -699.0,       -23.300,        42.862,         0.908506            
167,   30,           126.0,        4.200,          43.814,         0.902189            
168,   30,           837.0,        27.900,         193.874,        0.957143            
169,   30,           -25069.0,     -835.633,       191.156,        0.918071            
170,   30,           -9550.0,      -318.333,       328.817,        0.837278            
171,   30,           23093.0,      769.767,        3667.623,       0.870193            
172,   30,           -544.0,       -18.133,        148.838,        0.831559            
173,   30,           1339.0,       44.633,         141.366,        0.807898            
174,   30,           1821.0,       60.700,         47.743,         0.673251            
175,   30,           3000.0,       100.000,        0.000,          0.625943            
176,   30,           17321.0,      577.367,        2697.050,       0.63181             
177,   30,           2247.0,       74.900,         78.579,         0.628793            
178,   30,           4390.0,       146.333,        90.146,         0.637894            
179,   30,           -5218.0,      -173.933,       474.004,        0.624153            
180,   30,           2778.0,       92.600,         80.952,         0.658776            
181,   30,           781.0,        26.033,         274.240,        0.656674            
182,   30,           -3444.0,      -114.800,       222.217,        0.634668            
183,   30,           786.0,        26.200,         79.362,         0.628067            
184,   30,           3000.0,       100.000,        0.000,          0.642353            
185,   30,           3162.0,       105.400,        78.811,         0.685449            
186,   30,           1593.0,       53.100,         156.989,        0.714406            
187,   30,           -538.0,       -17.933,        90.281,         0.738159            
188,   30,           -1071.0,      -35.700,        138.042,        0.733088            
189,   30,           14627.0,      487.567,        2671.184,       0.701493            
190,   30,           3000.0,       100.000,        0.000,          0.672033            
191,   30,           1696.0,       56.533,         210.141,        0.69079             
192,   30,           4009.0,       133.633,        3736.138,       0.717924            
193,   30,           3000.0,       100.000,        0.000,          0.73357             
194,   30,           -7301.0,      -243.367,       295.773,        0.764748            
195,   30,           -9214.0,      -307.133,       512.820,        0.735702            
196,   30,           -11610.0,     -387.000,       201.711,        0.682366            
197,   30,           2200.0,       73.333,         44.222,         0.656427            
198,   30,           -7057.0,      -235.233,       129.911,        0.705486            
199,   30,           1886.0,       62.867,         223.164,        0.668717            
200,   30,           4967.0,       165.567,        38.572,         0.695736            
