Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           16950.0,      565.000,        180.116,        1.00796             
2,     30,           8625.0,       287.500,        121.920,        1.51797             
3,     30,           17500.0,      583.333,        144.962,        2.21442             
4,     30,           20425.0,      680.833,        156.083,        3.4034              
5,     30,           12650.0,      421.667,        187.053,        4.38374             
6,     30,           8225.0,       274.167,        173.624,        4.51929             
7,     30,           19425.0,      647.500,        273.050,        4.53264             
8,     30,           25475.0,      849.167,        647.961,        4.29906             
9,     30,           24675.0,      822.500,        799.280,        4.36598             
10,    30,           27225.0,      907.500,        964.520,        4.19731             
11,    30,           17025.0,      567.500,        231.404,        4.11752             
12,    30,           31950.0,      1065.000,       1131.014,       4.44037             
13,    30,           55875.0,      1862.500,       1651.398,       4.49699             
14,    30,           67375.0,      2245.833,       1645.665,       5.06621             
15,    30,           45375.0,      1512.500,       1490.816,       5.05619             
16,    30,           58975.0,      1965.833,       1771.175,       5.448               
17,    30,           28050.0,      935.000,        1221.962,       6.02643             
18,    30,           38300.0,      1276.667,       1421.207,       6.564               
19,    30,           89950.0,      2998.333,       1680.488,       7.7092              
20,    30,           91375.0,      3045.833,       1570.749,       8.79353             
21,    30,           56625.0,      1887.500,       1809.866,       10.3086             
22,    30,           36300.0,      1210.000,       1548.341,       11.2126             
23,    30,           59350.0,      1978.333,       1864.892,       12.0662             
24,    30,           93625.0,      3120.833,       1544.696,       13.3251             
25,    30,           56050.0,      1868.333,       1859.177,       14.1847             
26,    30,           79600.0,      2653.333,       1731.422,       15.3978             
27,    30,           59300.0,      1976.667,       1777.310,       16.1695             
28,    30,           43250.0,      1441.667,       1717.027,       16.5629             
29,    30,           80575.0,      2685.833,       1944.144,       16.487              
30,    30,           52025.0,      1734.167,       1779.097,       15.896              
31,    30,           36100.0,      1203.333,       1745.598,       15.419              
32,    30,           98775.0,      3292.500,       1937.773,       15.3818             
33,    30,           124850.0,     4161.667,       1201.435,       15.1043             
34,    30,           125775.0,     4192.500,       722.269,        14.7558             
35,    30,           117675.0,     3922.500,       1843.664,       14.9824             
36,    30,           112850.0,     3761.667,       1932.828,       15.8898             
37,    30,           86625.0,      2887.500,       2065.437,       17.6511             
38,    30,           108975.0,     3632.500,       2087.823,       19.0391             
39,    30,           55575.0,      1852.500,       1642.310,       20.3471             
40,    30,           50750.0,      1691.667,       1684.789,       23.502              
41,    30,           64425.0,      2147.500,       1786.936,       25.1146             
42,    30,           55075.0,      1835.833,       1861.045,       26.6758             
43,    30,           22225.0,      740.833,        727.968,        26.3606             
44,    30,           66600.0,      2220.000,       2036.668,       25.9052             
45,    30,           95050.0,      3168.333,       2277.663,       23.4511             
46,    30,           85550.0,      2851.667,       2131.030,       21.6878             
47,    30,           62175.0,      2072.500,       1775.673,       19.9769             
48,    30,           122175.0,     4072.500,       1868.983,       17.9774             
49,    30,           133675.0,     4455.833,       1234.077,       17.1973             
50,    30,           136750.0,     4558.333,       2144.483,       16.741              
51,    30,           136050.0,     4535.000,       2163.885,       16.4377             
52,    30,           116800.0,     3893.333,       2859.290,       16.4835             
53,    30,           137600.0,     4586.667,       2689.600,       16.3065             
54,    30,           134750.0,     4491.667,       1753.489,       16.5042             
55,    30,           163175.0,     5439.167,       2458.579,       16.7132             
56,    30,           197700.0,     6590.000,       1809.519,       17.0264             
