Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           14240.0,      474.667,        89.284,         2.00755             
2,     30,           46550.0,      1551.667,       99.031,         4.36169             
3,     30,           66770.0,      2225.667,       401.901,        5.95244             
4,     30,           59310.0,      1977.000,       228.811,        7.98612             
5,     30,           65130.0,      2171.000,       287.893,        8.9792              
6,     30,           59010.0,      1967.000,       386.593,        9.53109             
7,     30,           71230.0,      2374.333,       353.258,        9.81508             
8,     30,           21310.0,      710.333,        439.776,        10.6162             
9,     30,           102830.0,     3427.667,       937.961,        11.3761             
10,    30,           108520.0,     3617.333,       505.417,        11.2325             
11,    30,           130160.0,     4338.667,       743.392,        11.9126             
12,    30,           148800.0,     4960.000,       963.546,        13.1826             
13,    30,           118320.0,     3944.000,       849.802,        13.8511             
14,    30,           131680.0,     4389.333,       880.556,        14.6922             
15,    30,           61970.0,      2065.667,       550.822,        15.1209             
16,    30,           130330.0,     4344.333,       931.099,        16.1259             
17,    30,           122940.0,     4098.000,       1317.433,       16.2456             
18,    30,           126160.0,     4205.333,       1186.597,       16.3628             
19,    30,           135600.0,     4520.000,       1263.988,       16.4413             
20,    30,           108410.0,     3613.667,       908.814,        16.4174             
21,    30,           148850.0,     4961.667,       893.827,        16.0463             
22,    30,           122880.0,     4096.000,       1388.142,       16.211              
23,    30,           173400.0,     5780.000,       1436.496,       15.8386             
24,    30,           143890.0,     4796.333,       1197.596,       15.5142             
25,    30,           115540.0,     3851.333,       987.643,        15.4547             
26,    30,           153200.0,     5106.667,       1484.790,       15.5569             
27,    30,           151460.0,     5048.667,       1548.091,       15.8201             
28,    30,           101740.0,     3391.333,       826.590,        15.5942             
29,    30,           77660.0,      2588.667,       765.161,        15.0747             
30,    30,           157150.0,     5238.333,       1183.405,       15.3241             
31,    30,           172990.0,     5766.333,       1624.095,       14.9982             
32,    30,           130300.0,     4343.333,       1148.205,       14.6796             
33,    30,           145570.0,     4852.333,       1086.584,       14.7192             
34,    30,           151990.0,     5066.333,       929.683,        14.5199             
35,    30,           195090.0,     6503.000,       1180.495,       14.361              
36,    30,           122250.0,     4075.000,       752.377,        14.5479             
37,    30,           148600.0,     4953.333,       1275.294,       14.741              
38,    30,           170780.0,     5692.667,       1776.753,       14.8059             
39,    30,           152250.0,     5075.000,       1486.322,       14.4527             
40,    30,           197650.0,     6588.333,       1486.356,       14.677              
41,    30,           151360.0,     5045.333,       2001.646,       14.658              
42,    30,           125720.0,     4190.667,       1166.847,       15.1771             
43,    30,           195570.0,     6519.000,       1286.218,       14.7812             
44,    30,           130290.0,     4343.000,       1328.812,       14.9427             
45,    30,           103040.0,     3434.667,       1440.985,       14.8094             
46,    30,           161220.0,     5374.000,       1539.244,       14.5511             
47,    30,           190270.0,     6342.333,       1278.811,       14.8909             
48,    30,           156380.0,     5212.667,       1550.875,       14.8929             
49,    30,           121960.0,     4065.333,       1006.077,       14.5765             
50,    30,           145520.0,     4850.667,       1372.482,       14.0937             
51,    30,           154660.0,     5155.333,       1469.237,       13.9476             
52,    30,           148060.0,     4935.333,       1178.628,       13.628              
53,    30,           154500.0,     5150.000,       1334.464,       13.8                
54,    30,           147420.0,     4914.000,       1550.498,       13.9025             
55,    30,           200230.0,     6674.333,       1758.730,       13.9383             
56,    30,           175520.0,     5850.667,       1664.970,       14.3062             
57,    30,           139640.0,     4654.667,       1067.279,       14.1339             
58,    30,           169050.0,     5635.000,       1266.067,       14.032              
59,    30,           195620.0,     6520.667,       1386.160,       14.5416             
60,    30,           135700.0,     4523.333,       1831.090,       14.3153             
61,    30,           196660.0,     6555.333,       1537.820,       13.9575             
62,    30,           183740.0,     6124.667,       1430.477,       14.1441             
63,    30,           165660.0,     5522.000,       2000.161,       14.0395             
64,    30,           177240.0,     5908.000,       1320.597,       14.176              
65,    30,           110770.0,     3692.333,       1139.961,       13.976              
66,    30,           136200.0,     4540.000,       1367.394,       14.258              
67,    30,           191510.0,     6383.667,       1338.040,       14.0123             
68,    30,           187290.0,     6243.000,       1624.176,       13.9385             
69,    30,           156760.0,     5225.333,       1113.836,       14.3171             
70,    30,           170000.0,     5666.667,       1238.928,       14.2225             
71,    30,           164180.0,     5472.667,       1285.688,       14.0891             
72,    30,           139440.0,     4648.000,       1738.770,       14.0834             
73,    30,           181480.0,     6049.333,       1349.602,       14.1237             
74,    30,           154430.0,     5147.667,       812.567,        14.1339             
75,    30,           170960.0,     5698.667,       1151.610,       14.2103             
76,    30,           146260.0,     4875.333,       1634.133,       14.0775             
77,    30,           142470.0,     4749.000,       1749.810,       14.223              
78,    30,           155500.0,     5183.333,       1878.784,       13.9606             
79,    30,           187560.0,     6252.000,       1422.824,       13.9035             
80,    30,           143650.0,     4788.333,       1130.210,       14.0541             
81,    30,           128790.0,     4293.000,       1420.700,       14.1385             
82,    30,           147260.0,     4908.667,       1535.990,       13.9592             
83,    30,           108280.0,     3609.333,       977.626,        13.7272             
84,    30,           113190.0,     3773.000,       1178.030,       13.3183             
85,    30,           150890.0,     5029.667,       2214.241,       13.4196             
86,    30,           174170.0,     5805.667,       1299.561,       13.3211             
87,    30,           172500.0,     5750.000,       1627.352,       13.3186             
88,    30,           204930.0,     6831.000,       1269.644,       13.8733             
89,    30,           139500.0,     4650.000,       1756.918,       13.8877             
90,    30,           162610.0,     5420.333,       1600.476,       13.8705             
91,    30,           163890.0,     5463.000,       1140.103,       13.9523             
92,    30,           144590.0,     4819.667,       1172.111,       13.7665             
93,    30,           63250.0,      2108.333,       710.756,        13.7792             
94,    30,           171280.0,     5709.333,       1726.206,       13.8535             
95,    30,           154290.0,     5143.000,       1129.177,       13.7254             
96,    30,           221520.0,     7384.000,       1937.567,       13.6336             
97,    30,           196210.0,     6540.333,       1543.020,       13.55               
98,    30,           172180.0,     5739.333,       1592.455,       13.5259             
99,    30,           201740.0,     6724.667,       1009.507,       13.4106             
100,   30,           190070.0,     6335.667,       1632.547,       13.5079             
101,   30,           141680.0,     4722.667,       1094.988,       13.4043             
102,   30,           137110.0,     4570.333,       1483.358,       13.3436             
103,   30,           160660.0,     5355.333,       1385.120,       13.3616             
104,   30,           123570.0,     4119.000,       1354.153,       13.687              
105,   30,           164430.0,     5481.000,       1900.767,       13.268              
106,   30,           183490.0,     6116.333,       1535.240,       13.5854             
107,   30,           144380.0,     4812.667,       1467.885,       13.345              
108,   30,           197280.0,     6576.000,       1322.829,       13.2988             
109,   30,           181740.0,     6058.000,       1118.607,       13.4378             
110,   30,           140790.0,     4693.000,       1185.727,       13.3671             
111,   30,           190340.0,     6344.667,       1386.554,       13.3023             
112,   30,           175930.0,     5864.333,       1229.438,       13.2299             
113,   30,           123130.0,     4104.333,       1631.616,       12.7544             
114,   30,           156390.0,     5213.000,       1830.222,       13.1604             
115,   30,           195480.0,     6516.000,       1529.568,       13.1738             
116,   30,           202820.0,     6760.667,       1608.187,       12.9916             
117,   30,           133480.0,     4449.333,       1516.179,       13.065              
118,   30,           210110.0,     7003.667,       1379.571,       12.9756             
119,   30,           144890.0,     4829.667,       1309.726,       12.9321             
120,   30,           161560.0,     5385.333,       1303.546,       13.035              
121,   30,           146060.0,     4868.667,       1503.003,       13.0554             
122,   30,           176690.0,     5889.667,       1416.894,       13.0678             
123,   30,           192700.0,     6423.333,       1688.564,       13.0036             
124,   30,           192590.0,     6419.667,       1087.387,       13.2008             
125,   30,           142150.0,     4738.333,       1672.577,       13.2708             
126,   30,           116580.0,     3886.000,       824.838,        13.5731             
127,   30,           182950.0,     6098.333,       1714.690,       13.6002             
128,   30,           125960.0,     4198.667,       954.550,        13.0563             
129,   30,           169900.0,     5663.333,       1641.685,       13.0301             
130,   30,           196370.0,     6545.667,       2142.047,       12.8252             
131,   30,           140550.0,     4685.000,       1657.333,       13.0078             
132,   30,           152590.0,     5086.333,       1487.375,       13.0443             
133,   30,           136310.0,     4543.667,       1309.350,       12.9678             
134,   30,           183220.0,     6107.333,       1618.320,       13.1949             
135,   30,           196140.0,     6538.000,       1459.330,       13.0069             
136,   30,           185740.0,     6191.333,       1635.069,       13.1142             
137,   30,           141360.0,     4712.000,       1092.152,       13.0562             
138,   30,           211040.0,     7034.667,       767.258,        12.8942             
139,   30,           143590.0,     4786.333,       1359.565,       12.8368             
140,   30,           169960.0,     5665.333,       1542.158,       12.8855             
141,   30,           140720.0,     4690.667,       1658.684,       13.267              
142,   30,           164880.0,     5496.000,       1393.936,       12.9                
143,   30,           179330.0,     5977.667,       2006.718,       12.9367             
144,   30,           149460.0,     4982.000,       1684.756,       12.9608             
145,   30,           132410.0,     4413.667,       1470.296,       12.7719             
146,   30,           157500.0,     5250.000,       1836.600,       13.0776             
147,   30,           173910.0,     5797.000,       1595.876,       13.023              
148,   30,           165450.0,     5515.000,       1430.067,       12.7528             
149,   30,           55060.0,      1835.333,       1251.321,       12.6417             
150,   30,           140560.0,     4685.333,       1826.462,       12.8458             
151,   30,           174940.0,     5831.333,       1192.174,       13.1173             
152,   30,           199120.0,     6637.333,       1375.972,       12.8277             
153,   30,           156990.0,     5233.000,       1344.183,       12.8961             
154,   30,           169930.0,     5664.333,       1435.081,       12.9962             
155,   30,           157490.0,     5249.667,       1367.717,       13.0539             
156,   30,           230440.0,     7681.333,       1239.819,       12.8919             
157,   30,           119470.0,     3982.333,       1379.717,       13.0557             
