Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           16600.0,      553.333,        191.021,        0.811758            
2,     30,           29300.0,      976.667,        976.962,        1.11735             
3,     30,           19800.0,      660.000,        207.525,        1.51817             
4,     30,           8700.0,       290.000,        403.609,        1.91354             
5,     30,           600.0,        20.000,         107.703,        2.3171              
6,     30,           65800.0,      2193.333,       1694.881,       2.7764              
7,     30,           246500.0,     8216.667,       3110.314,       4.10154             
8,     30,           381300.0,     12710.000,      2883.210,       5.1518              
9,     30,           482400.0,     16080.000,      3052.911,       6.58554             
10,    30,           448200.0,     14940.000,      3811.614,       8.0119              
11,    30,           179900.0,     5996.667,       3127.031,       9.16834             
12,    30,           744300.0,     24810.000,      5034.637,       10.718              
13,    30,           581800.0,     19393.333,      3682.747,       11.5595             
14,    30,           569000.0,     18966.667,      9567.665,       12.972              
15,    30,           590700.0,     19690.000,      3381.947,       13.5339             
16,    30,           597400.0,     19913.333,      5452.017,       14.18               
17,    30,           790300.0,     26343.333,      4824.084,       15.3335             
18,    30,           744700.0,     24823.333,      4351.987,       16.1783             
19,    30,           692600.0,     23086.667,      8742.796,       16.4361             
20,    30,           675900.0,     22530.000,      5989.610,       16.878              
21,    30,           647600.0,     21586.667,      11004.082,      16.9437             
22,    30,           816100.0,     27203.333,      5457.868,       17.5056             
23,    30,           275800.0,     9193.333,       5794.649,       17.6833             
24,    30,           756900.0,     25230.000,      9871.412,       17.895              
25,    30,           801900.0,     26730.000,      6167.828,       18.6712             
26,    30,           614600.0,     20486.667,      4163.551,       19.1957             
27,    30,           798200.0,     26606.667,      6971.988,       19.277              
28,    30,           762800.0,     25426.667,      4596.371,       19.1683             
29,    30,           808500.0,     26950.000,      6188.470,       19.3385             
30,    30,           712300.0,     23743.333,      11931.937,      19.7365             
31,    30,           978000.0,     32600.000,      7542.281,       19.7186             
32,    30,           767900.0,     25596.667,      6623.115,       19.6447             
33,    30,           480600.0,     16020.000,      9007.530,       19.2937             
34,    30,           845700.0,     28190.000,      4992.952,       19.042              
35,    30,           1005200.0,    33506.667,      5471.924,       19.1564             
36,    30,           788900.0,     26296.667,      7995.602,       18.9467             
37,    30,           842000.0,     28066.667,      7056.313,       18.8772             
38,    30,           814600.0,     27153.333,      9683.516,       19.12               
39,    30,           226800.0,     7560.000,       5927.090,       18.8432             
40,    30,           910800.0,     30360.000,      6326.062,       18.7694             
41,    30,           714400.0,     23813.333,      7099.048,       18.7938             
42,    30,           791700.0,     26390.000,      8892.857,       18.7997             
43,    30,           747600.0,     24920.000,      5966.484,       18.9633             
44,    30,           929800.0,     30993.333,      5590.106,       18.7554             
45,    30,           791600.0,     26386.667,      11131.449,      18.8082             
46,    30,           614000.0,     20466.667,      7985.793,       19.0426             
47,    30,           511800.0,     17060.000,      7337.511,       19.6884             
48,    30,           335600.0,     11186.667,      8336.176,       20.0415             
49,    30,           741000.0,     24700.000,      6576.777,       20.2598             
50,    30,           945500.0,     31516.667,      7871.302,       20.1698             
51,    30,           975700.0,     32523.333,      6887.510,       20.8393             
52,    30,           791500.0,     26383.333,      8415.980,       20.9927             
53,    30,           857000.0,     28566.667,      4706.119,       20.6725             
54,    30,           665000.0,     22166.667,      10636.081,      20.4059             
55,    30,           729400.0,     24313.333,      4689.686,       20.3309             
56,    30,           847500.0,     28250.000,      4945.014,       20.3196             
57,    30,           969600.0,     32320.000,      7123.407,       20.1946             
58,    30,           784300.0,     26143.333,      6157.850,       20.3816             
59,    30,           392000.0,     13066.667,      6480.449,       20.2835             
60,    30,           812100.0,     27070.000,      9538.069,       20.223              
61,    30,           794600.0,     26486.667,      9822.279,       20.3405             
62,    30,           876900.0,     29230.000,      6286.024,       19.9287             
63,    30,           754000.0,     25133.333,      9183.621,       19.718              
64,    30,           791800.0,     26393.333,      14341.058,      19.9914             
65,    30,           962600.0,     32086.667,      9964.294,       19.5384             
66,    30,           935700.0,     31190.000,      8772.356,       19.5913             
67,    30,           873500.0,     29116.667,      5578.774,       19.7342             
68,    30,           724700.0,     24156.667,      8273.882,       19.7638             
69,    30,           841300.0,     28043.333,      5688.567,       19.8783             
70,    30,           848100.0,     28270.000,      7083.368,       19.5214             
71,    30,           989400.0,     32980.000,      7352.161,       19.5516             
72,    30,           461400.0,     15380.000,      6591.732,       19.6593             
73,    30,           762200.0,     25406.667,      11987.436,      19.5919             
74,    30,           736200.0,     24540.000,      7837.925,       19.4352             
75,    30,           884300.0,     29476.667,      14396.265,      19.8509             
76,    30,           862300.0,     28743.333,      9430.719,       19.969              
77,    30,           91000.0,      3033.333,       4215.395,       19.841              
78,    30,           764900.0,     25496.667,      6881.060,       20.0281             
79,    30,           754500.0,     25150.000,      12876.095,      20.1229             
80,    30,           193300.0,     6443.333,       5149.154,       20.3813             
81,    30,           862900.0,     28763.333,      6106.962,       20.6605             
82,    30,           1051200.0,    35040.000,      6615.467,       20.6918             
83,    30,           804500.0,     26816.667,      8238.693,       20.8516             
84,    30,           766900.0,     25563.333,      13691.420,      20.7714             
85,    30,           889800.0,     29660.000,      6910.456,       20.6339             
86,    30,           954900.0,     31830.000,      6908.939,       20.358              
87,    30,           1095300.0,    36510.000,      6617.973,       20.5657             
88,    30,           945800.0,     31526.667,      6551.231,       20.8206             
89,    30,           1087500.0,    36250.000,      8342.332,       20.7191             
90,    30,           896900.0,     29896.667,      7632.059,       20.7541             
91,    30,           812400.0,     27080.000,      9940.067,       20.6294             
92,    30,           822600.0,     27420.000,      8788.303,       20.5589             
93,    30,           973600.0,     32453.333,      4662.741,       20.978              
94,    30,           966600.0,     32220.000,      5885.655,       20.5812             
95,    30,           770200.0,     25673.333,      10270.830,      20.0954             
96,    30,           1074600.0,    35820.000,      8147.818,       20.4136             
97,    30,           765900.0,     25530.000,      6595.157,       20.5495             
98,    30,           1032300.0,    34410.000,      9900.651,       20.8459             
99,    30,           878600.0,     29286.667,      7166.949,       20.6011             
100,   30,           713000.0,     23766.667,      5051.292,       20.8803             
101,   30,           1046800.0,    34893.333,      9448.666,       20.5141             
102,   30,           654500.0,     21816.667,      11184.605,      20.2713             
103,   30,           844100.0,     28136.667,      11962.733,      20.0663             
104,   30,           880500.0,     29350.000,      8412.600,       20.2109             
105,   30,           846500.0,     28216.667,      7187.632,       19.9489             
106,   30,           1050000.0,    35000.000,      8491.957,       20.5274             
107,   30,           967900.0,     32263.333,      10123.224,      20.9232             
108,   30,           698500.0,     23283.333,      6400.004,       20.4878             
109,   30,           981100.0,     32703.333,      13056.071,      20.2762             
110,   30,           1092900.0,    36430.000,      7279.155,       20.6234             
111,   30,           994300.0,     33143.333,      6677.658,       20.1796             
112,   30,           1017000.0,    33900.000,      5969.534,       20.2168             
113,   30,           356800.0,     11893.333,      12131.088,      20.3305             
114,   30,           926700.0,     30890.000,      7756.947,       20.821              
115,   30,           904800.0,     30160.000,      12511.744,      20.4475             
116,   30,           972700.0,     32423.333,      9872.341,       20.7522             
117,   30,           697700.0,     23256.667,      12170.393,      20.6304             
118,   30,           893400.0,     29780.000,      5562.877,       20.7206             
119,   30,           816300.0,     27210.000,      11925.109,      20.802              
120,   30,           850900.0,     28363.333,      6727.629,       21.0655             
121,   30,           936100.0,     31203.333,      5867.963,       21.3588             
122,   30,           852400.0,     28413.333,      7701.460,       21.37               
123,   30,           995900.0,     33196.667,      9932.018,       21.3323             
124,   30,           721700.0,     24056.667,      6499.009,       21.0112             
125,   30,           1064200.0,    35473.333,      9933.980,       20.6871             
126,   30,           998700.0,     33290.000,      12023.320,      20.5283             
127,   30,           1005700.0,    33523.333,      6190.298,       20.8833             
128,   30,           766400.0,     25546.667,      11581.961,      20.9591             
129,   30,           546200.0,     18206.667,      10733.311,      20.6252             
130,   30,           974500.0,     32483.333,      8811.586,       20.9111             
131,   30,           249700.0,     8323.333,       7502.652,       20.3378             
132,   30,           1128500.0,    37616.667,      5876.568,       19.92               
133,   30,           1060600.0,    35353.333,      6558.340,       19.8652             
134,   30,           834200.0,     27806.667,      14241.955,      20.3855             
135,   30,           879100.0,     29303.333,      7763.139,       20.4477             
136,   30,           941800.0,     31393.333,      8715.424,       21.104              
137,   30,           1014000.0,    33800.000,      8473.291,       20.8811             
138,   30,           860100.0,     28670.000,      6671.539,       20.6873             
139,   30,           1071400.0,    35713.333,      7720.912,       20.9177             
140,   30,           896400.0,     29880.000,      6632.868,       20.7317             
141,   30,           1070200.0,    35673.333,      11164.286,      20.7529             
142,   30,           1028600.0,    34286.667,      6967.148,       20.8964             
143,   30,           750600.0,     25020.000,      14689.960,      21.5666             
144,   30,           825500.0,     27516.667,      10134.136,      21.4452             
145,   30,           901100.0,     30036.667,      5935.457,       21.0425             
146,   30,           1036900.0,    34563.333,      8277.539,       21.34               
147,   30,           972800.0,     32426.667,      9989.125,       21.0327             
148,   30,           1087500.0,    36250.000,      6679.908,       20.8693             
149,   30,           970400.0,     32346.667,      6610.332,       21.0609             
150,   30,           764900.0,     25496.667,      8845.243,       20.9674             
151,   30,           997700.0,     33256.667,      5109.252,       20.978              
152,   30,           1113400.0,    37113.333,      6449.276,       21.3217             
153,   30,           970600.0,     32353.333,      9260.228,       21.4623             
154,   30,           960600.0,     32020.000,      6125.488,       21.1132             
155,   30,           994700.0,     33156.667,      9692.770,       21.2831             
156,   30,           1011400.0,    33713.333,      7462.963,       21.3739             
157,   30,           1044200.0,    34806.667,      5815.665,       20.3134             
158,   30,           3100.0,       103.333,        222.835,        20.934              
159,   30,           496400.0,     16546.667,      4649.712,       21.13               
160,   30,           751600.0,     25053.333,      6361.642,       20.8834             
161,   30,           1042000.0,    34733.333,      6425.747,       20.9926             
162,   30,           1053900.0,    35130.000,      8114.027,       21.1492             
163,   30,           1014300.0,    33810.000,      8400.490,       21.066              
164,   30,           1085200.0,    36173.333,      7827.939,       20.9957             
165,   30,           1022900.0,    34096.667,      8926.682,       21.1265             
166,   30,           901200.0,     30040.000,      7146.962,       20.983              
167,   30,           788400.0,     26280.000,      15714.142,      20.8527             
168,   30,           236500.0,     7883.333,       10136.472,      20.9388             
169,   30,           1049200.0,    34973.333,      8511.441,       21.0618             
170,   30,           1070700.0,    35690.000,      11567.666,      21.1887             
171,   30,           982400.0,     32746.667,      7324.149,       21.6322             
172,   30,           1043300.0,    34776.667,      7488.377,       21.3609             
173,   30,           833300.0,     27776.667,      5758.743,       21.3972             
174,   30,           950600.0,     31686.667,      6811.399,       21.3442             
175,   30,           1041900.0,    34730.000,      6428.175,       21.3799             
176,   30,           808800.0,     26960.000,      15239.261,      21.4779             
177,   30,           962600.0,     32086.667,      5827.849,       21.6442             
178,   30,           971100.0,     32370.000,      7843.730,       21.9326             
179,   30,           842500.0,     28083.333,      6944.738,       21.8018             
180,   30,           1010200.0,    33673.333,      8185.024,       21.8555             
181,   30,           832700.0,     27756.667,      6993.601,       22.1524             
182,   30,           1071700.0,    35723.333,      11805.103,      21.7295             
183,   30,           984900.0,     32830.000,      6369.152,       21.8414             
184,   30,           1007000.0,    33566.667,      7799.587,       21.6549             
185,   30,           1089000.0,    36300.000,      7921.448,       21.183              
186,   30,           428200.0,     14273.333,      11894.843,      21.4575             
187,   30,           999200.0,     33306.667,      8454.897,       20.9673             
188,   30,           750400.0,     25013.333,      11726.316,      21.0861             
189,   30,           931100.0,     31036.667,      6214.471,       20.4983             
190,   30,           727600.0,     24253.333,      12138.417,      20.3942             
191,   30,           1085700.0,    36190.000,      5587.447,       20.5444             
192,   30,           1020800.0,    34026.667,      6404.943,       19.5703             
193,   30,           475700.0,     15856.667,      8788.048,       19.6329             
194,   30,           484000.0,     16133.333,      10083.595,      19.9077             
195,   30,           979300.0,     32643.333,      10653.534,      20.0323             
196,   30,           1082400.0,    36080.000,      7412.305,       20.9499             
197,   30,           961900.0,     32063.333,      7658.567,       21.1864             
198,   30,           1048700.0,    34956.667,      13519.016,      21.1867             
199,   30,           957400.0,     31913.333,      6746.196,       20.7321             
200,   30,           458700.0,     15290.000,      10234.691,      20.855              
