Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           128.0,        4.267,          2.205,          0.971296            
2,     30,           32.0,         1.067,          0.892,          1.25643             
3,     30,           120.0,        4.000,          3.066,          1.32453             
4,     30,           86.0,         2.867,          1.765,          1.56516             
5,     30,           11.0,         0.367,          0.547,          1.56687             
6,     30,           30.0,         1.000,          0.816,          1.53337             
7,     30,           80.0,         2.667,          2.071,          1.64001             
8,     30,           99.0,         3.300,          2.673,          1.63216             
9,     30,           13.0,         0.433,          0.616,          1.50004             
10,    30,           315.0,        10.500,         3.612,          1.46977             
11,    30,           57.0,         1.900,          1.557,          1.52627             
12,    30,           229.0,        7.633,          1.906,          1.49608             
13,    30,           384.0,        12.800,         1.833,          1.54178             
14,    30,           310.0,        10.333,         2.773,          1.53419             
15,    30,           303.0,        10.100,         3.015,          1.50463             
16,    30,           363.0,        12.100,         1.868,          1.43267             
17,    30,           386.0,        12.867,         2.884,          1.51864             
18,    30,           377.0,        12.567,         2.432,          1.51149             
19,    30,           420.0,        14.000,         3.454,          1.44657             
20,    30,           306.0,        10.200,         2.688,          1.53073             
21,    30,           103.0,        3.433,          1.476,          1.53001             
22,    30,           448.0,        14.933,         2.435,          1.54965             
23,    30,           234.0,        7.800,          2.574,          1.52422             
24,    30,           527.0,        17.567,         2.918,          1.52163             
25,    30,           166.0,        5.533,          2.680,          1.51965             
26,    30,           403.0,        13.433,         1.687,          1.48696             
27,    30,           440.0,        14.667,         3.187,          1.44654             
28,    30,           134.0,        4.467,          2.276,          1.46127             
29,    30,           353.0,        11.767,         3.783,          1.54417             
30,    30,           455.0,        15.167,         3.045,          1.58589             
31,    30,           476.0,        15.867,         2.604,          1.56451             
32,    30,           423.0,        14.100,         2.868,          1.61234             
33,    30,           565.0,        18.833,         2.829,          1.67508             
34,    30,           479.0,        15.967,         3.125,          1.70697             
35,    30,           548.0,        18.267,         3.705,          1.74862             
36,    30,           433.0,        14.433,         1.764,          1.67291             
37,    30,           442.0,        14.733,         2.097,          1.6248              
38,    30,           584.0,        19.467,         3.471,          1.65697             
39,    30,           460.0,        15.333,         2.357,          1.63156             
40,    30,           438.0,        14.600,         1.908,          1.65967             
41,    30,           418.0,        13.933,         3.172,          1.67804             
42,    30,           462.0,        15.400,         2.917,          1.6946              
43,    30,           598.0,        19.933,         4.057,          1.75648             
44,    30,           688.0,        22.933,         3.777,          1.77431             
45,    30,           579.0,        19.300,         2.584,          1.78929             
46,    30,           538.0,        17.933,         3.043,          1.81655             
47,    30,           599.0,        19.967,         4.301,          1.88634             
48,    30,           219.0,        7.300,          2.354,          1.8508              
49,    30,           534.0,        17.800,         3.341,          1.88024             
50,    30,           688.0,        22.933,         2.645,          1.82575             
51,    30,           621.0,        20.700,         3.475,          1.91543             
52,    30,           553.0,        18.433,         3.116,          1.91097             
53,    30,           182.0,        6.067,          2.542,          2.00813             
54,    30,           729.0,        24.300,         3.848,          2.0851              
55,    30,           580.0,        19.333,         3.771,          2.08171             
56,    30,           454.0,        15.133,         2.941,          2.10501             
57,    30,           549.0,        18.300,         2.818,          2.05684             
58,    30,           260.0,        8.667,          1.850,          2.03245             
59,    30,           179.0,        5.967,          1.643,          1.98533             
60,    30,           643.0,        21.433,         3.451,          1.97495             
61,    30,           532.0,        17.733,         2.657,          1.98243             
62,    30,           554.0,        18.467,         2.432,          2.00538             
63,    30,           558.0,        18.600,         2.564,          2.00367             
64,    30,           585.0,        19.500,         3.253,          1.97965             
65,    30,           589.0,        19.633,         2.738,          1.95197             
66,    30,           539.0,        17.967,         3.903,          1.93418             
67,    30,           378.0,        12.600,         4.917,          1.88393             
68,    30,           677.0,        22.567,         3.639,          1.89997             
69,    30,           697.0,        23.233,         2.813,          1.91132             
70,    30,           397.0,        13.233,         3.127,          1.88252             
71,    30,           611.0,        20.367,         3.851,          1.94283             
72,    30,           575.0,        19.167,         3.874,          1.96038             
73,    30,           555.0,        18.500,         2.680,          2.01162             
74,    30,           584.0,        19.467,         3.263,          1.99837             
75,    30,           476.0,        15.867,         2.604,          2.00525             
76,    30,           746.0,        24.867,         3.827,          1.9464              
77,    30,           585.0,        19.500,         3.324,          1.93127             
78,    30,           794.0,        26.467,         3.547,          1.93644             
79,    30,           755.0,        25.167,         4.321,          1.96863             
80,    30,           657.0,        21.900,         3.525,          1.91164             
81,    30,           605.0,        20.167,         3.153,          1.97174             
82,    30,           511.0,        17.033,         2.983,          1.98097             
83,    30,           533.0,        17.767,         3.353,          1.9911              
84,    30,           741.0,        24.700,         3.635,          2.10686             
85,    30,           653.0,        21.767,         4.153,          2.11994             
86,    30,           730.0,        24.333,         3.390,          2.10216             
87,    30,           767.0,        25.567,         5.038,          2.10506             
88,    30,           137.0,        4.567,          2.201,          2.11964             
89,    30,           598.0,        19.933,         3.265,          2.07864             
90,    30,           533.0,        17.767,         2.906,          2.09041             
91,    30,           577.0,        19.233,         3.148,          2.06268             
92,    30,           566.0,        18.867,         2.642,          2.0602              
93,    30,           761.0,        25.367,         4.045,          2.08829             
94,    30,           439.0,        14.633,         3.060,          2.07307             
95,    30,           771.0,        25.700,         4.181,          2.09952             
96,    30,           505.0,        16.833,         2.596,          2.10206             
97,    30,           150.0,        5.000,          1.932,          2.0338              
98,    30,           435.0,        14.500,         2.790,          2.14692             
99,    30,           292.0,        9.733,          2.365,          2.10352             
100,   30,           605.0,        20.167,         3.426,          2.11014             
101,   30,           161.0,        5.367,          2.273,          2.10675             
102,   30,           620.0,        20.667,         3.004,          2.11743             
103,   30,           544.0,        18.133,         2.813,          2.04942             
104,   30,           606.0,        20.200,         3.390,          2.06188             
105,   30,           665.0,        22.167,         2.829,          2.07526             
106,   30,           556.0,        18.533,         3.998,          2.08055             
107,   30,           436.0,        14.533,         2.860,          2.03738             
108,   30,           639.0,        21.300,         3.185,          2.10552             
109,   30,           627.0,        20.900,         3.218,          2.07143             
110,   30,           546.0,        18.200,         3.016,          2.07697             
111,   30,           573.0,        19.100,         3.467,          2.05781             
112,   30,           452.0,        15.067,         2.159,          2.12428             
113,   30,           387.0,        12.900,         2.135,          2.21679             
114,   30,           767.0,        25.567,         2.974,          2.17931             
115,   30,           466.0,        15.533,         2.391,          2.21298             
116,   30,           582.0,        19.400,         3.147,          2.28136             
117,   30,           354.0,        11.800,         2.971,          2.27015             
118,   30,           205.0,        6.833,          2.853,          2.26221             
