Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           6000.0,       200.000,        60.663,         1.51773             
2,     30,           12960.0,      432.000,        118.614,        3.38053             
3,     30,           7080.0,       236.000,        75.613,         5.1917              
4,     30,           4680.0,       156.000,        67.211,         6.38303             
5,     30,           10520.0,      350.667,        108.534,        7.88172             
6,     30,           15940.0,      531.333,        96.841,         8.00193             
7,     30,           6360.0,       212.000,        81.584,         8.5894              
8,     30,           12140.0,      404.667,        86.823,         9.33898             
9,     30,           20820.0,      694.000,        82.000,         9.63698             
10,    30,           17380.0,      579.333,        225.595,        10.4589             
11,    30,           6460.0,       215.333,        61.684,         10.5911             
12,    30,           2060.0,       68.667,         35.283,         10.4358             
13,    30,           8720.0,       290.667,        91.758,         10.2532             
14,    30,           9320.0,       310.667,        168.818,        9.96402             
15,    30,           20100.0,      670.000,        304.007,        9.97539             
16,    30,           25080.0,      836.000,        311.786,        9.80253             
17,    30,           13660.0,      455.333,        217.604,        9.72337             
18,    30,           27040.0,      901.333,        265.728,        9.72454             
19,    30,           54800.0,      1826.667,       611.977,        9.56199             
20,    30,           62930.0,      2097.667,       708.932,        9.5806              
21,    30,           35680.0,      1189.333,       869.283,        9.73987             
22,    30,           44250.0,      1475.000,       565.513,        9.97712             
23,    30,           15480.0,      516.000,        203.529,        10.458              
24,    30,           34480.0,      1149.333,       419.579,        10.4612             
25,    30,           82000.0,      2733.333,       664.331,        10.884              
26,    30,           26620.0,      887.333,        336.630,        11.3178             
27,    30,           87680.0,      2922.667,       1118.284,       11.564              
28,    30,           46540.0,      1551.333,       659.448,        12.0065             
29,    30,           62200.0,      2073.333,       842.019,        11.9867             
30,    30,           60250.0,      2008.333,       753.552,        12.1249             
31,    30,           50580.0,      1686.000,       635.634,        12.5556             
32,    30,           58280.0,      1942.667,       1123.301,       12.7582             
33,    30,           89040.0,      2968.000,       1430.295,       13.4139             
34,    30,           27400.0,      913.333,        369.769,        13.5291             
35,    30,           92340.0,      3078.000,       1219.304,       13.9122             
36,    30,           75730.0,      2524.333,       891.903,        14.2079             
37,    30,           77700.0,      2590.000,       610.765,        14.6009             
38,    30,           54300.0,      1810.000,       1043.072,       14.7188             
39,    30,           43500.0,      1450.000,       685.016,        14.8546             
40,    30,           22660.0,      755.333,        449.464,        15.0499             
41,    30,           38140.0,      1271.333,       405.057,        14.6764             
42,    30,           83460.0,      2782.000,       833.472,        14.5673             
43,    30,           44610.0,      1487.000,       661.650,        14.3175             
44,    30,           126650.0,     4221.667,       1750.486,       14.4529             
45,    30,           74000.0,      2466.667,       1024.869,       14.6287             
46,    30,           57180.0,      1906.000,       826.110,        14.5047             
47,    30,           50300.0,      1676.667,       932.736,        14.5839             
48,    30,           68200.0,      2273.333,       937.491,        15.0386             
49,    30,           28220.0,      940.667,        358.645,        15.1519             
50,    30,           76920.0,      2564.000,       945.490,        15.1113             
51,    30,           91190.0,      3039.667,       1502.148,       14.7808             
52,    30,           54650.0,      1821.667,       637.673,        14.7735             
53,    30,           26280.0,      876.000,        463.621,        15.2453             
54,    30,           77480.0,      2582.667,       1311.630,       15.2429             
55,    30,           88340.0,      2944.667,       1109.218,       14.9023             
56,    30,           51230.0,      1707.667,       669.436,        14.8825             
57,    30,           35100.0,      1170.000,       817.847,        14.7471             
58,    30,           78180.0,      2606.000,       925.752,        14.7823             
59,    30,           82350.0,      2745.000,       1022.838,       14.4548             
60,    30,           41140.0,      1371.333,       559.468,        14.7333             
61,    30,           122570.0,     4085.667,       1647.104,       15.1149             
62,    30,           64870.0,      2162.333,       852.051,        15.0765             
63,    30,           61400.0,      2046.667,       798.346,        14.6029             
64,    30,           14760.0,      492.000,        433.670,        14.5233             
65,    30,           116330.0,     3877.667,       913.377,        14.4887             
66,    30,           20600.0,      686.667,        347.230,        14.3377             
67,    30,           96580.0,      3219.333,       1018.832,       14.7299             
68,    30,           82700.0,      2756.667,       1372.582,       14.7465             
69,    30,           92210.0,      3073.667,       1078.760,       14.5272             
70,    30,           51120.0,      1704.000,       1136.948,       14.6615             
71,    30,           104920.0,     3497.333,       1572.908,       14.8274             
72,    30,           49920.0,      1664.000,       658.127,        14.6766             
73,    30,           87940.0,      2931.333,       1047.109,       14.5373             
74,    30,           40880.0,      1362.667,       834.406,        14.6991             
75,    30,           77130.0,      2571.000,       1053.690,       14.7707             
76,    30,           77990.0,      2599.667,       947.982,        14.7137             
77,    30,           89250.0,      2975.000,       802.350,        14.6328             
78,    30,           61840.0,      2061.333,       1060.989,       14.4576             
79,    30,           15020.0,      500.667,        221.659,        14.4329             
80,    30,           125580.0,     4186.000,       1418.479,       14.8747             
81,    30,           101610.0,     3387.000,       1276.804,       14.7446             
82,    30,           100300.0,     3343.333,       1314.576,       14.6392             
83,    30,           51730.0,      1724.333,       655.580,        14.6741             
84,    30,           46260.0,      1542.000,       499.075,        14.5901             
85,    30,           63050.0,      2101.667,       853.440,        14.8643             
86,    30,           83850.0,      2795.000,       1170.620,       15.1433             
87,    30,           87740.0,      2924.667,       1282.076,       15.0212             
88,    30,           120360.0,     4012.000,       1567.687,       15.2187             
89,    30,           95300.0,      3176.667,       1424.447,       15.1965             
90,    30,           79180.0,      2639.333,       1221.802,       15.0362             
91,    30,           49760.0,      1658.667,       691.543,        15.2179             
