Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           6075.0,       202.500,        139.569,        1.09105             
2,     30,           5555.0,       185.167,        139.604,        1.66706             
3,     30,           2750.0,       91.667,         103.661,        2.42572             
4,     30,           2925.0,       97.500,         116.080,        3.07515             
5,     30,           11230.0,      374.333,        144.030,        3.38745             
6,     30,           10690.0,      356.333,        121.078,        3.71776             
7,     30,           17385.0,      579.500,        268.906,        4.28427             
8,     30,           14830.0,      494.333,        192.444,        4.90463             
9,     30,           15025.0,      500.833,        134.469,        5.26143             
10,    30,           17980.0,      599.333,        177.856,        5.53693             
11,    30,           16175.0,      539.167,        173.124,        5.55011             
12,    30,           18555.0,      618.500,        144.828,        6.17881             
13,    30,           18555.0,      618.500,        155.119,        6.20918             
14,    30,           16210.0,      540.333,        168.824,        6.61386             
15,    30,           11415.0,      380.500,        151.928,        6.56036             
16,    30,           19165.0,      638.833,        173.179,        6.91708             
17,    30,           18635.0,      621.167,        125.663,        6.92699             
18,    30,           21735.0,      724.500,        233.493,        6.85506             
19,    30,           21080.0,      702.667,        256.543,        6.91101             
20,    30,           17865.0,      595.500,        248.272,        6.98607             
21,    30,           19835.0,      661.167,        223.594,        6.63168             
22,    30,           20545.0,      684.833,        209.795,        6.66856             
23,    30,           22700.0,      756.667,        257.544,        6.78582             
24,    30,           21515.0,      717.167,        211.127,        6.64354             
25,    30,           22705.0,      756.833,        285.226,        6.5103              
26,    30,           26670.0,      889.000,        303.017,        6.49348             
27,    30,           20325.0,      677.500,        205.980,        6.49197             
28,    30,           16975.0,      565.833,        191.002,        6.57723             
29,    30,           27755.0,      925.167,        355.050,        6.66065             
30,    30,           21235.0,      707.833,        253.455,        6.50769             
31,    30,           16140.0,      538.000,        236.723,        6.22027             
32,    30,           20415.0,      680.500,        261.755,        6.1508              
33,    30,           20765.0,      692.167,        342.699,        6.22248             
34,    30,           22640.0,      754.667,        263.543,        6.23578             
35,    30,           24350.0,      811.667,        304.260,        6.43591             
36,    30,           25290.0,      843.000,        303.910,        6.39451             
37,    30,           26510.0,      883.667,        348.934,        6.23328             
38,    30,           24710.0,      823.667,        272.247,        6.34563             
39,    30,           26690.0,      889.667,        373.283,        6.52507             
40,    30,           24880.0,      829.333,        327.574,        6.22575             
41,    30,           17890.0,      596.333,        304.726,        6.2801              
42,    30,           27910.0,      930.333,        306.575,        6.47735             
43,    30,           31245.0,      1041.500,       318.214,        6.60988             
44,    30,           27805.0,      926.833,        326.710,        6.69842             
45,    30,           23110.0,      770.333,        295.288,        6.7949              
46,    30,           30030.0,      1001.000,       300.880,        6.64069             
47,    30,           31210.0,      1040.333,       390.982,        6.71403             
48,    30,           24395.0,      813.167,        300.368,        6.80835             
49,    30,           34920.0,      1164.000,       424.769,        6.86567             
50,    30,           29510.0,      983.667,        343.397,        7.06261             
51,    30,           27750.0,      925.000,        438.847,        7.02272             
52,    30,           25545.0,      851.500,        398.855,        6.91477             
53,    30,           26705.0,      890.167,        285.057,        7.1927              
54,    30,           29030.0,      967.667,        366.385,        7.18659             
55,    30,           27810.0,      927.000,        411.760,        7.31223             
56,    30,           24970.0,      832.333,        360.152,        7.26693             
57,    30,           26380.0,      879.333,        285.916,        7.40927             
58,    30,           29345.0,      978.167,        367.332,        7.34842             
59,    30,           20720.0,      690.667,        294.456,        7.2276              
60,    30,           24305.0,      810.167,        385.896,        6.98504             
61,    30,           25465.0,      848.833,        398.593,        7.20289             
62,    30,           27930.0,      931.000,        346.240,        7.17475             
63,    30,           27405.0,      913.500,        306.624,        7.20301             
64,    30,           26380.0,      879.333,        392.740,        7.4524              
65,    30,           28445.0,      948.167,        313.506,        7.40506             
66,    30,           15240.0,      508.000,        250.784,        7.49993             
67,    30,           34060.0,      1135.333,       322.309,        7.54571             
68,    30,           26685.0,      889.500,        343.495,        7.53148             
69,    30,           25900.0,      863.333,        441.258,        7.59454             
70,    30,           34660.0,      1155.333,       541.742,        7.60383             
71,    30,           27165.0,      905.500,        303.256,        7.8006              
72,    30,           31665.0,      1055.500,       409.891,        7.7836              
