Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           4700.0,       156.667,        147.611,        0.928759            
2,     30,           14000.0,      466.667,        227.058,        1.52459             
3,     30,           24100.0,      803.333,        288.078,        1.99597             
4,     30,           25400.0,      846.667,        289.521,        2.29758             
5,     30,           18300.0,      610.000,        250.799,        2.25607             
6,     30,           19700.0,      656.667,        291.757,        2.10653             
7,     30,           11600.0,      386.667,        172.691,        1.88714             
8,     30,           14500.0,      483.333,        228.157,        1.75844             
9,     30,           18700.0,      623.333,        260.363,        1.56649             
10,    30,           16300.0,      543.333,        256.493,        1.3931              
11,    30,           15600.0,      520.000,        221.209,        1.25513             
12,    30,           28000.0,      933.333,        293.636,        1.14047             
13,    30,           19800.0,      660.000,        192.527,        1.07908             
14,    30,           29500.0,      983.333,        480.336,        1.09119             
15,    30,           32600.0,      1086.667,       277.769,        1.10369             
16,    30,           17600.0,      586.667,        192.758,        1.14501             
17,    30,           14900.0,      496.667,        192.325,        1.22524             
18,    30,           25000.0,      833.333,        258.629,        1.3091              
19,    30,           12500.0,      416.667,        93.393,         1.44536             
20,    30,           33700.0,      1123.333,       298.533,        1.45606             
21,    30,           40200.0,      1340.000,       492.341,        1.56516             
22,    30,           46100.0,      1536.667,       676.010,        1.71714             
23,    30,           39900.0,      1330.000,       326.752,        1.90557             
24,    30,           61800.0,      2060.000,       886.040,        2.00525             
25,    30,           51900.0,      1730.000,       744.379,        2.19845             
26,    30,           39000.0,      1300.000,       781.878,        2.28761             
27,    30,           44500.0,      1483.333,       641.396,        2.38991             
28,    30,           62500.0,      2083.333,       973.681,        2.40842             
29,    30,           72600.0,      2420.000,       1243.758,       2.49879             
30,    30,           91100.0,      3036.667,       1116.089,       2.71443             
31,    30,           83100.0,      2770.000,       946.273,        2.87706             
32,    30,           127000.0,     4233.333,       1451.972,       3.15945             
33,    30,           119300.0,     3976.667,       985.794,        3.4399              
34,    30,           71100.0,      2370.000,       1146.051,       3.6019              
35,    30,           111400.0,     3713.333,       1332.600,       3.86212             
36,    30,           97500.0,      3250.000,       1903.637,       4.06175             
37,    30,           114300.0,     3810.000,       1894.439,       4.21847             
38,    30,           136300.0,     4543.333,       1777.017,       4.40556             
39,    30,           118800.0,     3960.000,       2280.146,       4.5437              
40,    30,           130800.0,     4360.000,       2021.320,       4.80621             
41,    30,           109500.0,     3650.000,       1252.664,       4.97811             
42,    30,           231900.0,     7730.000,       4911.493,       5.17272             
43,    30,           257300.0,     8576.667,       3666.305,       5.47119             
44,    30,           232100.0,     7736.667,       3614.737,       5.58346             
45,    30,           205800.0,     6860.000,       4102.487,       5.89289             
46,    30,           192900.0,     6430.000,       3602.328,       6.00331             
47,    30,           239500.0,     7983.333,       3350.730,       6.19941             
48,    30,           317200.0,     10573.333,      4281.895,       6.51505             
49,    30,           306300.0,     10210.000,      4224.559,       6.88896             
50,    30,           358500.0,     11950.000,      5353.363,       7.54376             
51,    30,           261000.0,     8700.000,       4212.996,       7.76203             
52,    30,           240500.0,     8016.667,       3984.811,       8.01585             
53,    30,           218400.0,     7280.000,       3584.355,       8.2766              
54,    30,           184600.0,     6153.333,       3262.896,       8.11671             
55,    30,           424500.0,     14150.000,      6801.703,       8.10333             
56,    30,           216200.0,     7206.667,       2608.695,       8.2155              
57,    30,           279600.0,     9320.000,       4185.403,       8.0497              
58,    30,           135300.0,     4510.000,       2474.988,       8.46152             
59,    30,           561400.0,     18713.333,      8115.448,       8.66846             
60,    30,           151900.0,     5063.333,       2205.067,       8.70703             
61,    30,           657400.0,     21913.333,      7002.225,       8.80071             
62,    30,           276800.0,     9226.667,       4915.617,       9.10981             
63,    30,           308100.0,     10270.000,      5034.557,       9.00492             
64,    30,           229000.0,     7633.333,       3533.208,       9.03526             
65,    30,           363400.0,     12113.333,      6425.664,       9.08684             
66,    30,           415700.0,     13856.667,      6379.012,       9.24717             
67,    30,           444400.0,     14813.333,      7589.674,       9.29457             
68,    30,           142700.0,     4756.667,       2751.810,       9.56266             
69,    30,           206500.0,     6883.333,       3370.073,       9.57593             
70,    30,           354500.0,     11816.667,      7705.629,       9.80043             
71,    30,           179600.0,     5986.667,       3481.736,       9.54801             
72,    30,           462100.0,     15403.333,      6553.548,       9.50945             
73,    30,           269200.0,     8973.333,       4664.542,       9.70253             
74,    30,           399200.0,     13306.667,      4624.711,       9.70664             
75,    30,           244900.0,     8163.333,       4670.723,       10.4192             
76,    30,           291700.0,     9723.333,       4810.453,       10.2764             
77,    30,           154600.0,     5153.333,       2323.178,       10.5031             
78,    30,           534700.0,     17823.333,      8110.351,       10.4755             
79,    30,           405300.0,     13510.000,      4627.624,       10.1975             
80,    30,           451000.0,     15033.333,      8475.586,       10.2998             
81,    30,           309200.0,     10306.667,      3617.359,       10.5833             
82,    30,           365000.0,     12166.667,      5017.791,       10.5966             
83,    30,           313600.0,     10453.333,      5358.652,       10.8008             
84,    30,           254500.0,     8483.333,       4504.966,       10.7734             
85,    30,           378400.0,     12613.333,      4592.366,       10.5568             
86,    30,           431400.0,     14380.000,      5671.708,       10.4536             
87,    30,           189400.0,     6313.333,       3199.868,       10.6913             
88,    30,           289900.0,     9663.333,       4209.551,       10.6987             
89,    30,           210000.0,     7000.000,       3485.876,       11.0812             
90,    30,           490400.0,     16346.667,      7763.149,       11.0954             
91,    30,           222100.0,     7403.333,       4360.847,       11.1376             
92,    30,           129100.0,     4303.333,       3781.224,       10.8874             
93,    30,           107000.0,     3566.667,       1317.405,       10.5956             
94,    30,           201600.0,     6720.000,       3348.870,       10.2788             
95,    30,           281300.0,     9376.667,       4212.892,       10.3214             
96,    30,           171100.0,     5703.333,       4239.220,       10.4218             
97,    30,           98900.0,      3296.667,       1120.858,       10.2763             
98,    30,           176900.0,     5896.667,       3604.486,       10.1846             
99,    30,           443600.0,     14786.667,      6128.552,       10.4842             
100,   30,           56700.0,      1890.000,       1610.455,       10.6508             
101,   30,           18600.0,      620.000,        216.641,        10.5521             
102,   30,           136600.0,     4553.333,       2742.837,       10.477              
103,   30,           295500.0,     9850.000,       4341.332,       10.3923             
104,   30,           286200.0,     9540.000,       4400.803,       10.2414             
105,   30,           185800.0,     6193.333,       3375.888,       10.6831             
106,   30,           244400.0,     8146.667,       3839.595,       10.4758             
107,   30,           231600.0,     7720.000,       3659.180,       10.1146             
108,   30,           113400.0,     3780.000,       1470.465,       10.5645             
109,   30,           135800.0,     4526.667,       2378.646,       10.7011             
110,   30,           186100.0,     6203.333,       3234.964,       10.712              
111,   30,           252500.0,     8416.667,       4314.324,       10.9239             
112,   30,           183800.0,     6126.667,       3316.116,       10.8463             
113,   30,           274300.0,     9143.333,       4107.447,       10.8499             
114,   30,           416500.0,     13883.333,      4801.950,       10.8616             
115,   30,           226800.0,     7560.000,       3458.478,       10.5417             
116,   30,           184300.0,     6143.333,       3602.840,       10.5408             
117,   30,           84500.0,      2816.667,       880.183,        10.6253             
118,   30,           293500.0,     9783.333,       4460.948,       10.8514             
119,   30,           203900.0,     6796.667,       3574.212,       11.1744             
120,   30,           286900.0,     9563.333,       4537.583,       10.862              
121,   30,           132500.0,     4416.667,       1830.316,       10.8296             
122,   30,           174800.0,     5826.667,       2686.625,       11.04               
123,   30,           123400.0,     4113.333,       2448.228,       11.2509             
124,   30,           173900.0,     5796.667,       3000.720,       10.921              
125,   30,           279100.0,     9303.333,       4264.542,       11.111              
126,   30,           104100.0,     3470.000,       1850.432,       11.01               
127,   30,           166000.0,     5533.333,       3725.259,       11.1892             
128,   30,           72400.0,      2413.333,       1000.911,       11.0492             
129,   30,           191600.0,     6386.667,       3295.930,       10.6629             
130,   30,           206100.0,     6870.000,       4248.698,       10.8594             
131,   30,           190500.0,     6350.000,       3623.511,       10.5737             
132,   30,           52700.0,      1756.667,       843.676,        10.675              
133,   30,           273700.0,     9123.333,       3249.788,       10.5627             
134,   30,           188200.0,     6273.333,       3833.096,       10.6866             
135,   30,           135600.0,     4520.000,       1693.202,       10.5394             
136,   30,           212800.0,     7093.333,       4113.225,       10.4395             
137,   30,           129500.0,     4316.667,       2950.377,       10.4173             
138,   30,           53400.0,      1780.000,       693.494,        10.6198             
139,   30,           148400.0,     4946.667,       2472.075,       10.3186             
140,   30,           201200.0,     6706.667,       3715.906,       10.3124             
141,   30,           109500.0,     3650.000,       1922.108,       10.3435             
142,   30,           111700.0,     3723.333,       1754.553,       10.3957             
143,   30,           100000.0,     3333.333,       1139.396,       10.6261             
144,   30,           136100.0,     4536.667,       2669.517,       10.4218             
145,   30,           112300.0,     3743.333,       2055.997,       10.6463             
146,   30,           173100.0,     5770.000,       3020.944,       10.9737             
147,   30,           136700.0,     4556.667,       2713.507,       10.6798             
148,   30,           127600.0,     4253.333,       1868.285,       10.9081             
149,   30,           145600.0,     4853.333,       2541.356,       10.9581             
150,   30,           154300.0,     5143.333,       2774.128,       11.1713             
151,   30,           101200.0,     3373.333,       2238.889,       11.2426             
152,   30,           135900.0,     4530.000,       2694.457,       11.3594             
