Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -711.0,       -23.700,        0.640,          0.496546            
2,     30,           -720.0,       -24.000,        0.000,          0.486565            
3,     30,           -223.0,       -7.433,         7.540,          0.592487            
4,     30,           -719.0,       -23.967,        0.180,          0.745118            
5,     30,           -645.0,       -21.500,        5.246,          0.918076            
6,     30,           -472.0,       -15.733,        8.892,          0.947681            
7,     30,           -720.0,       -24.000,        0.000,          1.01567             
8,     30,           -320.0,       -10.667,        4.437,          1.03569             
9,     30,           -146.0,       -4.867,         4.225,          1.10874             
10,    30,           -395.0,       -13.167,        7.862,          1.06344             
11,    30,           -155.0,       -5.167,         5.774,          1.05904             
12,    30,           -196.0,       -6.533,         6.801,          0.949399            
13,    30,           -162.0,       -5.400,         6.349,          0.881446            
14,    30,           -68.0,        -2.267,         3.768,          0.823464            
15,    30,           -131.0,       -4.367,         5.307,          0.728859            
16,    30,           -173.0,       -5.767,         6.275,          0.615612            
17,    30,           -52.0,        -1.733,         1.413,          0.531276            
18,    30,           -138.0,       -4.600,         4.454,          0.478907            
19,    30,           -126.0,       -4.200,         5.924,          0.429351            
20,    30,           -54.0,        -1.800,         1.956,          0.39879             
21,    30,           -130.0,       -4.333,         3.350,          0.372644            
22,    30,           -81.0,        -2.700,         2.923,          0.35442             
23,    30,           -76.0,        -2.533,         2.895,          0.318605            
24,    30,           -82.0,        -2.733,         3.235,          0.302279            
25,    30,           -150.0,       -5.000,         5.483,          0.315035            
26,    30,           -165.0,       -5.500,         5.590,          0.340622            
27,    30,           -187.0,       -6.233,         6.391,          0.364354            
28,    30,           -84.0,        -2.800,         3.361,          0.402927            
29,    30,           -45.0,        -1.500,         0.847,          0.463623            
30,    30,           -148.0,       -4.933,         7.038,          0.500437            
31,    30,           -216.0,       -7.200,         5.884,          0.5154              
32,    30,           -179.0,       -5.967,         6.036,          0.518338            
33,    30,           -280.0,       -9.333,         7.964,          0.501387            
34,    30,           -86.0,        -2.867,         3.008,          0.480578            
35,    30,           -224.0,       -7.467,         4.870,          0.526164            
36,    30,           -445.0,       -14.833,        8.922,          0.523732            
37,    30,           -384.0,       -12.800,        8.183,          0.557418            
38,    30,           -185.0,       -6.167,         6.558,          0.575658            
39,    30,           -378.0,       -12.600,        8.285,          0.543086            
40,    30,           -110.0,       -3.667,         4.784,          0.578152            
41,    30,           -341.0,       -11.367,        8.155,          0.582823            
42,    30,           -91.0,        -3.033,         4.231,          0.639924            
43,    30,           -350.0,       -11.667,        8.688,          0.658859            
44,    30,           -112.0,       -3.733,         4.049,          0.643692            
