Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           76300.0,      2543.333,       1711.273,       1.04733             
2,     30,           69500.0,      2316.667,       1668.948,       1.56239             
3,     30,           66700.0,      2223.333,       1705.224,       1.96563             
4,     30,           78500.0,      2616.667,       1761.455,       2.12869             
5,     30,           17400.0,      580.000,        101.325,        2.1315              
6,     30,           25600.0,      853.333,        822.489,        2.04382             
7,     30,           70000.0,      2333.333,       1653.750,       2.04097             
8,     30,           75700.0,      2523.333,       1767.802,       1.99117             
9,     30,           95600.0,      3186.667,       1853.237,       1.95231             
10,    30,           85100.0,      2836.667,       1702.054,       1.90802             
11,    30,           17200.0,      573.333,        145.907,        1.90589             
12,    30,           42400.0,      1413.333,       1422.377,       1.76734             
13,    30,           87300.0,      2910.000,       1726.914,       1.75312             
14,    30,           78900.0,      2630.000,       1914.880,       1.736               
15,    30,           68200.0,      2273.333,       1627.664,       1.72237             
16,    30,           113200.0,     3773.333,       1806.827,       1.79141             
17,    30,           43400.0,      1446.667,       1434.511,       1.83161             
18,    30,           38000.0,      1266.667,       1236.752,       1.72979             
19,    30,           38100.0,      1270.000,       1290.258,       1.74122             
20,    30,           33300.0,      1110.000,       1165.719,       1.71186             
21,    30,           39400.0,      1313.333,       1398.984,       1.78573             
22,    30,           24200.0,      806.667,        875.189,        1.82258             
23,    30,           46400.0,      1546.667,       1464.180,       1.72998             
24,    30,           18800.0,      626.667,        136.463,        1.66332             
25,    30,           48600.0,      1620.000,       1591.100,       1.73104             
26,    30,           59700.0,      1990.000,       1663.400,       1.79867             
27,    30,           115300.0,     3843.333,       1468.941,       1.92205             
28,    30,           29500.0,      983.333,        1061.472,       1.85334             
29,    30,           16300.0,      543.333,        140.673,        1.88359             
30,    30,           22800.0,      760.000,        615.142,        1.90945             
31,    30,           17900.0,      596.667,        164.283,        1.87502             
32,    30,           33000.0,      1100.000,       1127.239,       1.93579             
33,    30,           57600.0,      1920.000,       1665.613,       1.96469             
34,    30,           97000.0,      3233.333,       1569.359,       2.11996             
35,    30,           70600.0,      2353.333,       1793.643,       2.10247             
36,    30,           23800.0,      793.333,        837.032,        2.132               
37,    30,           95700.0,      3190.000,       1809.300,       2.09943             
38,    30,           22000.0,      733.333,        580.995,        2.06341             
39,    30,           18200.0,      606.667,        628.190,        2.12481             
40,    30,           31800.0,      1060.000,       1164.646,       2.07189             
41,    30,           135800.0,     4526.667,       1407.109,       2.13748             
42,    30,           112700.0,     3756.667,       1313.947,       2.19327             
43,    30,           60200.0,      2006.667,       1670.316,       2.16126             
44,    30,           50700.0,      1690.000,       1542.800,       2.20505             
45,    30,           29100.0,      970.000,        1024.744,       2.2177              
46,    30,           86400.0,      2880.000,       1708.489,       2.14021             
47,    30,           73400.0,      2446.667,       1739.872,       2.21853             
48,    30,           128500.0,     4283.333,       1788.497,       2.15792             
49,    30,           133100.0,     4436.667,       1324.508,       2.17604             
50,    30,           29700.0,      990.000,        1022.530,       2.2341              
51,    30,           123800.0,     4126.667,       1819.328,       2.17487             
52,    30,           120400.0,     4013.333,       1950.852,       2.13743             
53,    30,           160800.0,     5360.000,       1802.147,       2.09383             
54,    30,           134100.0,     4470.000,       1742.441,       2.16736             
55,    30,           20400.0,      680.000,        619.355,        2.1529              
56,    30,           112900.0,     3763.333,       1691.643,       2.09525             
57,    30,           23500.0,      783.333,        824.251,        2.11896             
58,    30,           24700.0,      823.333,        878.895,        2.23967             
59,    30,           133400.0,     4446.667,       1613.016,       2.09625             
60,    30,           136600.0,     4553.333,       1470.087,       2.03831             
61,    30,           127200.0,     4240.000,       1561.324,       2.03053             
62,    30,           80300.0,      2676.667,       1849.087,       2.09594             
63,    30,           116200.0,     3873.333,       977.048,        2.14936             
64,    30,           84700.0,      2823.333,       1769.874,       2.17721             
65,    30,           30500.0,      1016.667,       1163.066,       2.17924             
66,    30,           159000.0,     5300.000,       1681.071,       2.11502             
67,    30,           170000.0,     5666.667,       1954.368,       2.17281             
68,    30,           63800.0,      2126.667,       1802.393,       2.24998             
