Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           1542.0,       51.400,         31.052,         0.896586            
2,     30,           2601.0,       86.700,         22.738,         1.87789             
3,     30,           373.0,        12.433,         19.549,         2.76731             
4,     30,           1043.0,       34.767,         22.429,         3.56071             
5,     30,           415.0,        13.833,         37.474,         4.81723             
6,     30,           4386.0,       146.200,        43.660,         5.63655             
7,     30,           3143.0,       104.767,        71.406,         7.30637             
8,     30,           1714.0,       57.133,         56.795,         8.72116             
9,     30,           1879.0,       62.633,         34.358,         10.8493             
10,    30,           631.0,        21.033,         31.971,         11.5788             
11,    30,           1414.0,       47.133,         34.807,         11.9198             
12,    30,           3217.0,       107.233,        34.403,         12.6584             
13,    30,           1245.0,       41.500,         27.291,         12.2436             
14,    30,           1124.0,       37.467,         33.287,         12.783              
15,    30,           1180.0,       39.333,         18.776,         13.2407             
16,    30,           558.0,        18.600,         25.300,         13.3608             
17,    30,           1209.0,       40.300,         20.745,         14.021              
18,    30,           1095.0,       36.500,         24.400,         14.4237             
19,    30,           1502.0,       50.067,         18.954,         14.3827             
20,    30,           981.0,        32.700,         18.540,         15.3845             
21,    30,           2569.0,       85.633,         34.438,         15.4225             
22,    30,           3097.0,       103.233,        41.401,         15.1392             
23,    30,           2491.0,       83.033,         36.115,         14.9635             
24,    30,           57.0,         1.900,          1.758,          14.9288             
25,    30,           2272.0,       75.733,         45.751,         15.3447             
26,    30,           195.0,        6.500,          7.051,          15.7456             
27,    30,           4419.0,       147.300,        47.895,         15.9151             
28,    30,           2232.0,       74.400,         37.634,         16.3902             
29,    30,           2421.0,       80.700,         26.823,         16.22               
30,    30,           1089.0,       36.300,         31.469,         16.9137             
31,    30,           2584.0,       86.133,         61.768,         16.1257             
32,    30,           3022.0,       100.733,        49.853,         17.3622             
33,    30,           1195.0,       39.833,         32.670,         17.7467             
34,    30,           3623.0,       120.767,        49.521,         18.3488             
35,    30,           1080.0,       36.000,         28.587,         18.1465             
36,    30,           2314.0,       77.133,         30.737,         19.1226             
37,    30,           2344.0,       78.133,         38.002,         17.5835             
38,    30,           2103.0,       70.100,         45.674,         17.1392             
39,    30,           2147.0,       71.567,         46.309,         16.4005             
40,    30,           1841.0,       61.367,         42.564,         15.2072             
41,    30,           1252.0,       41.733,         38.744,         15.0396             
42,    30,           3771.0,       125.700,        54.729,         15.644              
43,    30,           2739.0,       91.300,         54.103,         16.3717             
44,    30,           2648.0,       88.267,         48.334,         16.9657             
45,    30,           2917.0,       97.233,         42.809,         18.0571             
46,    30,           3563.0,       118.767,        35.774,         18.0367             
47,    30,           2453.0,       81.767,         54.620,         17.4453             
48,    30,           1657.0,       55.233,         34.777,         17.5591             
49,    30,           849.0,        28.300,         29.384,         16.9803             
50,    30,           822.0,        27.400,         15.785,         17.0979             
51,    30,           1269.0,       42.300,         43.941,         16.4637             
52,    30,           2370.0,       79.000,         55.684,         16.3205             
53,    30,           3061.0,       102.033,        51.812,         16.7947             
54,    30,           2738.0,       91.267,         55.583,         15.6753             
55,    30,           2058.0,       68.600,         49.117,         15.502              
56,    30,           36.0,         1.200,          1.720,          15.7278             
57,    30,           1802.0,       60.067,         48.098,         15.6795             
58,    30,           1262.0,       42.067,         27.794,         16.0926             
59,    30,           2657.0,       88.567,         41.081,         16.5658             
60,    30,           1041.0,       34.700,         21.968,         16.2113             
61,    30,           3816.0,       127.200,        59.999,         15.9461             
62,    30,           2096.0,       69.867,         53.098,         16.1406             
63,    30,           4301.0,       143.367,        47.957,         16.7741             
64,    30,           3164.0,       105.467,        40.714,         16.574              
65,    30,           1920.0,       64.000,         48.719,         17.1574             
66,    30,           2387.0,       79.567,         47.530,         17.9197             
67,    30,           2469.0,       82.300,         62.452,         17.3018             
68,    30,           1934.0,       64.467,         55.261,         16.9822             
69,    30,           1391.0,       46.367,         25.228,         16.678              
70,    30,           1208.0,       40.267,         41.540,         16.4043             
71,    30,           773.0,        25.767,         29.498,         16.4569             
72,    30,           997.0,        33.233,         38.044,         16.4663             
73,    30,           2788.0,       92.933,         52.783,         15.8604             
74,    30,           1849.0,       61.633,         33.771,         16.2208             
75,    30,           3679.0,       122.633,        58.902,         16.0101             
76,    30,           4565.0,       152.167,        49.408,         15.9998             
77,    30,           3151.0,       105.033,        56.710,         16.8201             
78,    30,           3696.0,       123.200,        42.436,         16.506              
79,    30,           2880.0,       96.000,         45.472,         15.7917             
80,    30,           1734.0,       57.800,         35.683,         16.308              
81,    30,           2506.0,       83.533,         39.368,         14.9465             
82,    30,           1424.0,       47.467,         29.660,         15.3513             
83,    30,           3371.0,       112.367,        52.515,         15.4139             
84,    30,           1581.0,       52.700,         62.106,         16.3181             
85,    30,           4048.0,       134.933,        55.958,         17.0646             
86,    30,           2552.0,       85.067,         59.875,         16.2259             
87,    30,           3575.0,       119.167,        56.689,         14.5655             
88,    30,           2026.0,       67.533,         45.884,         13.8208             
89,    30,           2683.0,       89.433,         39.084,         12.5114             
90,    30,           1118.0,       37.267,         34.216,         11.8107             
91,    30,           3714.0,       123.800,        49.477,         13.1987             
92,    30,           3529.0,       117.633,        65.825,         12.8861             
93,    30,           3223.0,       107.433,        51.751,         14.6292             
94,    30,           3107.0,       103.567,        48.850,         15.4747             
95,    30,           2912.0,       97.067,         68.797,         16.4922             
96,    30,           876.0,        29.200,         53.356,         16.0074             
97,    30,           1310.0,       43.667,         37.215,         15.1815             
98,    30,           2252.0,       75.067,         45.362,         15.4604             
99,    30,           1884.0,       62.800,         52.667,         15.0368             
100,   30,           3914.0,       130.467,        62.906,         15.6739             
101,   30,           2177.0,       72.567,         44.479,         16.9275             
102,   30,           3742.0,       124.733,        64.276,         17.0275             
103,   30,           2177.0,       72.567,         55.971,         16.3187             
104,   30,           1156.0,       38.533,         29.250,         15.0182             
105,   30,           2865.0,       95.500,         51.440,         14.7969             
106,   30,           3822.0,       127.400,        67.116,         14.4029             
107,   30,           2425.0,       80.833,         59.247,         14.312              
108,   30,           1186.0,       39.533,         19.991,         15.6536             
109,   30,           2326.0,       77.533,         51.420,         15.1834             
110,   30,           2996.0,       99.867,         62.976,         15.5757             
111,   30,           2991.0,       99.700,         50.992,         13.5907             
112,   30,           1748.0,       58.267,         43.210,         13.0346             
113,   30,           1620.0,       54.000,         51.526,         14.0399             
114,   30,           2217.0,       73.900,         43.970,         13.9528             
115,   30,           3108.0,       103.600,        55.082,         15.949              
116,   30,           2872.0,       95.733,         71.200,         15.8447             
117,   30,           1669.0,       55.633,         41.413,         14.798              
118,   30,           2093.0,       69.767,         34.689,         14.3385             
119,   30,           3317.0,       110.567,        60.341,         14.0689             
120,   30,           2759.0,       91.967,         63.117,         14.7447             
121,   30,           3336.0,       111.200,        57.665,         13.9379             
122,   30,           1177.0,       39.233,         47.943,         13.6415             
123,   30,           1298.0,       43.267,         20.116,         14.4154             
124,   30,           2153.0,       71.767,         49.689,         15.7299             
125,   30,           2438.0,       81.267,         43.949,         15.8629             
126,   30,           3280.0,       109.333,        65.518,         15.9034             
127,   30,           3327.0,       110.900,        70.666,         14.6629             
128,   30,           2316.0,       77.200,         57.136,         14.7116             
129,   30,           1907.0,       63.567,         58.155,         14.4614             
130,   30,           4151.0,       138.367,        61.919,         14.5933             
131,   30,           1655.0,       55.167,         46.137,         14.3835             
132,   30,           2948.0,       98.267,         54.762,         15.1723             
133,   30,           2749.0,       91.633,         67.317,         14.704              
134,   30,           991.0,        33.033,         31.313,         14.7597             
135,   30,           1257.0,       41.900,         37.432,         14.4813             
136,   30,           1993.0,       66.433,         54.360,         14.6868             
137,   30,           2462.0,       82.067,         75.360,         14.142              
138,   30,           2613.0,       87.100,         53.805,         13.5835             
139,   30,           2633.0,       87.767,         47.451,         12.9585             
140,   30,           1407.0,       46.900,         49.833,         13.7938             
141,   30,           1351.0,       45.033,         34.172,         13.7945             
142,   30,           1810.0,       60.333,         40.270,         13.7041             
143,   30,           2320.0,       77.333,         40.196,         13.3307             
144,   30,           3205.0,       106.833,        54.091,         13.3823             
145,   30,           2609.0,       86.967,         51.777,         13.7348             
146,   30,           2915.0,       97.167,         51.871,         14.0347             
147,   30,           2585.0,       86.167,         45.846,         15.4171             
148,   30,           2767.0,       92.233,         47.153,         15.2287             
149,   30,           2021.0,       67.367,         47.489,         14.8414             
150,   30,           3343.0,       111.433,        77.440,         14.6265             
151,   30,           2693.0,       89.767,         58.105,         13.2884             
152,   30,           935.0,        31.167,         34.157,         13.1746             
153,   30,           2862.0,       95.400,         41.568,         12.9846             
154,   30,           3271.0,       109.033,        65.511,         13.1712             
155,   30,           1907.0,       63.567,         41.150,         12.5892             
156,   30,           2739.0,       91.300,         58.686,         11.9807             
157,   30,           1901.0,       63.367,         38.991,         11.8779             
158,   30,           2015.0,       67.167,         35.625,         10.8275             
159,   30,           1959.0,       65.300,         57.165,         10.8288             
160,   30,           2703.0,       90.100,         64.667,         10.8502             
161,   30,           3279.0,       109.300,        61.957,         11.4199             
162,   30,           2472.0,       82.400,         78.885,         13.446              
163,   30,           3323.0,       110.767,        70.574,         13.1306             
164,   30,           136.0,        4.533,          8.917,          11.3647             
165,   30,           451.0,        15.033,         14.416,         11.0949             
166,   30,           2481.0,       82.700,         54.710,         8.56269             
167,   30,           3179.0,       105.967,        64.129,         9.12191             
168,   30,           3318.0,       110.600,        71.331,         11.9253             
169,   30,           3048.0,       101.600,        65.335,         11.5496             
170,   30,           1479.0,       49.300,         63.667,         13.2378             
171,   30,           2158.0,       71.933,         68.848,         14.739              
172,   30,           3105.0,       103.500,        55.928,         14.942              
173,   30,           2591.0,       86.367,         58.724,         15.765              
174,   30,           2492.0,       83.067,         82.570,         15.555              
175,   30,           1789.0,       59.633,         45.712,         15.7944             
176,   30,           1489.0,       49.633,         54.801,         15.0197             
177,   30,           2498.0,       83.267,         71.864,         15.0909             
178,   30,           2599.0,       86.633,         58.099,         14.7753             
179,   30,           3378.0,       112.600,        46.505,         14.4005             
180,   30,           3692.0,       123.067,        72.153,         14.638              
181,   30,           3605.0,       120.167,        79.586,         15.6238             
182,   30,           2613.0,       87.100,         77.265,         14.488              
183,   30,           148.0,        4.933,          11.753,         14.8205             
184,   30,           2105.0,       70.167,         56.030,         14.3528             
185,   30,           2418.0,       80.600,         69.975,         13.0951             
186,   30,           1740.0,       58.000,         43.872,         13.6473             
187,   30,           1721.0,       57.367,         45.136,         13.392              
188,   30,           2368.0,       78.933,         64.708,         13.7162             
189,   30,           2398.0,       79.933,         66.676,         15.1942             
190,   30,           2578.0,       85.933,         64.628,         16.6778             
191,   30,           567.0,        18.900,         10.454,         17.6192             
192,   30,           1881.0,       62.700,         40.742,         16.732              
193,   30,           2780.0,       92.667,         67.333,         16.4923             
194,   30,           3565.0,       118.833,        81.907,         16.1578             
195,   30,           2736.0,       91.200,         71.985,         15.8534             
196,   30,           3309.0,       110.300,        58.887,         15.3901             
197,   30,           2112.0,       70.400,         45.330,         14.1182             
198,   30,           1499.0,       49.967,         40.039,         13.0005             
199,   30,           2861.0,       95.367,         54.985,         13.354              
200,   30,           4587.0,       152.900,        77.625,         13.9917             
