Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           28940.0,      964.667,        483.161,        1.42052             
2,     30,           36790.0,      1226.333,       989.921,        2.37862             
3,     30,           49250.0,      1641.667,       671.521,        3.10599             
4,     30,           140590.0,     4686.333,       1278.831,       4.11071             
5,     30,           86480.0,      2882.667,       1293.187,       5.44641             
6,     30,           142950.0,     4765.000,       3568.527,       6.27319             
7,     30,           107780.0,     3592.667,       1456.704,       7.16255             
8,     30,           123510.0,     4117.000,       1681.002,       8.10863             
9,     30,           165280.0,     5509.333,       2906.243,       8.43163             
10,    30,           197600.0,     6586.667,       1973.106,       9.05995             
11,    30,           169800.0,     5660.000,       1936.616,       9.53429             
12,    30,           167850.0,     5595.000,       2325.351,       9.4767              
13,    30,           60970.0,      2032.333,       911.924,        9.6945              
14,    30,           201760.0,     6725.333,       2636.311,       9.93314             
15,    30,           167020.0,     5567.333,       2111.942,       10.1492             
16,    30,           61900.0,      2063.333,       1190.051,       10.1443             
17,    30,           75480.0,      2516.000,       1250.631,       10.5903             
18,    30,           198130.0,     6604.333,       2936.364,       10.5833             
19,    30,           59580.0,      1986.000,       879.597,        11.1568             
20,    30,           99160.0,      3305.333,       1263.199,       11.583              
21,    30,           187880.0,     6262.667,       3313.076,       11.4291             
22,    30,           117190.0,     3906.333,       1687.611,       11.3115             
23,    30,           123650.0,     4121.667,       2234.780,       11.1072             
24,    30,           68670.0,      2289.000,       1464.935,       11.1472             
25,    30,           76890.0,      2563.000,       1088.094,       11.1222             
26,    30,           314720.0,     10490.667,      4721.597,       11.0376             
27,    30,           303550.0,     10118.333,      3336.364,       11.1528             
28,    30,           126650.0,     4221.667,       1955.284,       11.1059             
29,    30,           242600.0,     8086.667,       3431.612,       11.0372             
30,    30,           129340.0,     4311.333,       2693.838,       11.0344             
31,    30,           109730.0,     3657.667,       1177.853,       10.7524             
32,    30,           320150.0,     10671.667,      4096.158,       10.561              
33,    30,           191230.0,     6374.333,       2320.502,       10.6419             
34,    30,           126190.0,     4206.333,       1330.758,       10.5186             
35,    30,           66560.0,      2218.667,       887.937,        10.5572             
36,    30,           279400.0,     9313.333,       4992.313,       10.4818             
37,    30,           254860.0,     8495.333,       4159.004,       10.5653             
38,    30,           222160.0,     7405.333,       3033.152,       10.731              
39,    30,           232030.0,     7734.333,       2625.282,       10.7165             
40,    30,           203880.0,     6796.000,       2758.285,       10.4396             
41,    30,           9200.0,       306.667,        328.383,        10.4013             
42,    30,           275390.0,     9179.667,       4039.788,       10.6559             
43,    30,           55990.0,      1866.333,       1344.189,       10.6636             
44,    30,           93070.0,      3102.333,       1431.847,       10.7061             
45,    30,           142670.0,     4755.667,       2408.568,       10.8963             
46,    30,           43720.0,      1457.333,       854.513,        10.8608             
47,    30,           90530.0,      3017.667,       1120.062,       11.2096             
48,    30,           177770.0,     5925.667,       2729.766,       10.8803             
49,    30,           154250.0,     5141.667,       1189.375,       10.8458             
50,    30,           150840.0,     5028.000,       2438.313,       10.7657             
51,    30,           91890.0,      3063.000,       1316.696,       10.8642             
52,    30,           101720.0,     3390.667,       1942.229,       10.8066             
53,    30,           195460.0,     6515.333,       2691.070,       10.9561             
54,    30,           354780.0,     11826.000,      4078.778,       10.6949             
55,    30,           100130.0,     3337.667,       1613.811,       10.8088             
56,    30,           209830.0,     6994.333,       2050.380,       10.7078             
57,    30,           114740.0,     3824.667,       1916.437,       10.2536             
58,    30,           110300.0,     3676.667,       1863.370,       10.5618             
59,    30,           258940.0,     8631.333,       3041.401,       10.2392             
60,    30,           224110.0,     7470.333,       2333.762,       10.1393             
61,    30,           287070.0,     9569.000,       2800.869,       10.116              
62,    30,           56050.0,      1868.333,       1117.232,       10.121              
63,    30,           133260.0,     4442.000,       1816.982,       10.3015             
64,    30,           168210.0,     5607.000,       2720.103,       10.0347             
65,    30,           197530.0,     6584.333,       2281.923,       10.0493             
66,    30,           50480.0,      1682.667,       1000.510,       10.202              
67,    30,           115470.0,     3849.000,       2240.710,       9.87991             
68,    30,           190720.0,     6357.333,       2955.759,       10.2154             
69,    30,           229350.0,     7645.000,       3556.709,       10.2599             
70,    30,           129280.0,     4309.333,       1479.009,       10.1694             
71,    30,           282450.0,     9415.000,       4462.070,       10.0486             
72,    30,           118380.0,     3946.000,       2012.813,       10.1952             
73,    30,           88870.0,      2962.333,       1432.412,       10.1348             
74,    30,           122170.0,     4072.333,       1929.647,       9.88541             
75,    30,           254610.0,     8487.000,       2752.972,       10.0956             
76,    30,           40210.0,      1340.333,       870.730,        10.1008             
77,    30,           107640.0,     3588.000,       1962.591,       9.97601             
78,    30,           207720.0,     6924.000,       2816.603,       9.66681             
79,    30,           141630.0,     4721.000,       2001.382,       9.36026             
80,    30,           63120.0,      2104.000,       1158.550,       9.38201             
81,    30,           90370.0,      3012.333,       1123.778,       9.51857             
82,    30,           134500.0,     4483.333,       3188.678,       9.39589             
83,    30,           186880.0,     6229.333,       2190.953,       9.32611             
84,    30,           171810.0,     5727.000,       2012.831,       9.41423             
85,    30,           190900.0,     6363.333,       2183.060,       9.40206             
86,    30,           181940.0,     6064.667,       2220.939,       9.45084             
87,    30,           166090.0,     5536.333,       1627.043,       9.52285             
88,    30,           82510.0,      2750.333,       1266.682,       9.51506             
89,    30,           220310.0,     7343.667,       3079.620,       9.56444             
90,    30,           146390.0,     4879.667,       1973.058,       9.76256             
91,    30,           121580.0,     4052.667,       1576.883,       9.50941             
92,    30,           123080.0,     4102.667,       1812.626,       9.36766             
93,    30,           91170.0,      3039.000,       1383.677,       9.20061             
94,    30,           104010.0,     3467.000,       1352.065,       9.07202             
95,    30,           111240.0,     3708.000,       1791.261,       9.58418             
96,    30,           119740.0,     3991.333,       1646.375,       9.44783             
97,    30,           43020.0,      1434.000,       516.711,        9.71299             
98,    30,           182320.0,     6077.333,       2001.601,       9.25313             
99,    30,           132730.0,     4424.333,       1682.284,       9.13974             
100,   30,           123100.0,     4103.333,       1586.132,       9.26603             
101,   30,           76780.0,      2559.333,       1359.495,       9.14826             
102,   30,           156490.0,     5216.333,       1609.668,       9.10286             
103,   30,           131330.0,     4377.667,       2112.232,       8.95527             
104,   30,           169130.0,     5637.667,       1529.668,       9.27552             
105,   30,           44780.0,      1492.667,       817.476,        9.15223             
106,   30,           116350.0,     3878.333,       1981.188,       9.04209             
107,   30,           70180.0,      2339.333,       1045.737,       9.29698             
108,   30,           184460.0,     6148.667,       2089.633,       8.89801             
109,   30,           57470.0,      1915.667,       1161.596,       8.94149             
110,   30,           161890.0,     5396.333,       1790.005,       8.8447              
111,   30,           57290.0,      1909.667,       1403.976,       8.74686             
112,   30,           398490.0,     13283.000,      6977.266,       8.76139             
113,   30,           55210.0,      1840.333,       1156.038,       8.6172              
114,   30,           56190.0,      1873.000,       776.686,        8.8176              
115,   30,           129560.0,     4318.667,       1567.454,       8.88967             
116,   30,           105200.0,     3506.667,       2357.153,       8.82189             
117,   30,           138610.0,     4620.333,       1734.880,       8.87448             
118,   30,           98790.0,      3293.000,       1222.762,       8.63845             
119,   30,           193750.0,     6458.333,       1705.053,       8.73989             
120,   30,           186440.0,     6214.667,       2600.166,       8.68578             
121,   30,           126270.0,     4209.000,       1302.547,       8.56418             
122,   30,           94260.0,      3142.000,       1700.591,       8.97175             
123,   30,           156920.0,     5230.667,       1586.289,       8.72244             
124,   30,           130360.0,     4345.333,       1364.311,       8.59626             
125,   30,           151640.0,     5054.667,       1720.873,       8.53159             
