Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.549178            
2,     30,           0.0,          0.000,          0.000,          0.579289            
3,     30,           500.0,        16.667,         63.683,         0.550565            
4,     30,           0.0,          0.000,          0.000,          0.513744            
5,     30,           0.0,          0.000,          0.000,          0.457068            
6,     30,           0.0,          0.000,          0.000,          0.399844            
7,     30,           0.0,          0.000,          0.000,          0.343139            
8,     30,           1000.0,       33.333,         86.923,         0.288041            
9,     30,           600.0,        20.000,         60.000,         0.2538              
10,    30,           200.0,        6.667,          35.901,         0.223271            
11,    30,           1200.0,       40.000,         91.652,         0.198584            
12,    30,           1200.0,       40.000,         95.219,         0.181163            
13,    30,           0.0,          0.000,          0.000,          0.173376            
14,    30,           700.0,        23.333,         88.255,         0.167951            
15,    30,           200.0,        6.667,          35.901,         0.168467            
16,    30,           0.0,          0.000,          0.000,          0.188481            
17,    30,           6400.0,       213.333,        185.712,        0.193268            
18,    30,           200.0,        6.667,          35.901,         0.202624            
19,    30,           1700.0,       56.667,         105.462,        0.204681            
20,    30,           3400.0,       113.333,        180.247,        0.208583            
21,    30,           400.0,        13.333,         49.889,         0.208171            
22,    30,           0.0,          0.000,          0.000,          0.213701            
23,    30,           600.0,        20.000,         60.000,         0.221167            
24,    30,           0.0,          0.000,          0.000,          0.238199            
25,    30,           0.0,          0.000,          0.000,          0.26426             
26,    30,           0.0,          0.000,          0.000,          0.282782            
27,    30,           0.0,          0.000,          0.000,          0.278322            
28,    30,           0.0,          0.000,          0.000,          0.278033            
29,    30,           2100.0,       70.000,         121.518,        0.258997            
30,    30,           0.0,          0.000,          0.000,          0.243393            
31,    30,           0.0,          0.000,          0.000,          0.229739            
32,    30,           0.0,          0.000,          0.000,          0.215246            
33,    30,           0.0,          0.000,          0.000,          0.204532            
34,    30,           1800.0,       60.000,         105.198,        0.195955            
35,    30,           0.0,          0.000,          0.000,          0.181277            
36,    30,           800.0,        26.667,         67.987,         0.168923            
37,    30,           0.0,          0.000,          0.000,          0.157363            
38,    30,           0.0,          0.000,          0.000,          0.147063            
39,    30,           0.0,          0.000,          0.000,          0.138743            
40,    30,           200.0,        6.667,          35.901,         0.129466            
41,    30,           0.0,          0.000,          0.000,          0.120459            
42,    30,           0.0,          0.000,          0.000,          0.122859            
43,    30,           200.0,        6.667,          35.901,         0.123381            
44,    30,           800.0,        26.667,         67.987,         0.128268            
45,    30,           200.0,        6.667,          35.901,         0.130926            
46,    30,           2600.0,       86.667,         108.730,        0.130453            
47,    30,           1800.0,       60.000,         101.980,        0.13326             
48,    30,           200.0,        6.667,          35.901,         0.137101            
49,    30,           0.0,          0.000,          0.000,          0.13854             
50,    30,           600.0,        20.000,         60.000,         0.136149            
51,    30,           2900.0,       96.667,         116.857,        0.128616            
52,    30,           2500.0,       83.333,         103.548,        0.138623            
53,    30,           2200.0,       73.333,         106.249,        0.141838            
54,    30,           0.0,          0.000,          0.000,          0.157361            
55,    30,           2700.0,       90.000,         135.031,        0.167465            
56,    30,           0.0,          0.000,          0.000,          0.187942            
57,    30,           400.0,        13.333,         71.802,         0.184412            
58,    30,           0.0,          0.000,          0.000,          0.188249            
59,    30,           200.0,        6.667,          35.901,         0.187107            
60,    30,           4600.0,       153.333,        130.979,        0.216683            
61,    30,           3500.0,       116.667,        150.739,        0.228292            
62,    30,           0.0,          0.000,          0.000,          0.2557              
63,    30,           1600.0,       53.333,         99.107,         0.253135            
64,    30,           3700.0,       123.333,        187.409,        0.246911            
65,    30,           2600.0,       86.667,         154.344,        0.24996             
66,    30,           6000.0,       200.000,        161.245,        0.245909            
67,    30,           1500.0,       50.000,         92.195,         0.244438            
68,    30,           3500.0,       116.667,        152.934,        0.247775            
69,    30,           8000.0,       266.667,        203.852,        0.229146            
70,    30,           0.0,          0.000,          0.000,          0.222187            
71,    30,           200.0,        6.667,          35.901,         0.223309            
72,    30,           0.0,          0.000,          0.000,          0.231648            
73,    30,           1400.0,       46.667,         99.107,         0.243928            
74,    30,           8200.0,       273.333,        239.351,        0.236552            
75,    30,           6000.0,       200.000,        187.972,        0.232728            
76,    30,           500.0,        16.667,         63.683,         0.238622            
77,    30,           1100.0,       36.667,         83.600,         0.236               
78,    30,           4900.0,       163.333,        166.300,        0.240112            
79,    30,           4200.0,       140.000,        183.666,        0.243337            
80,    30,           800.0,        26.667,         67.987,         0.250407            
81,    30,           1400.0,       46.667,         125.786,        0.253303            
82,    30,           0.0,          0.000,          0.000,          0.255632            
83,    30,           1800.0,       60.000,         111.355,        0.265317            
84,    30,           6400.0,       213.333,        202.868,        0.272284            
85,    30,           1100.0,       36.667,         83.600,         0.263498            
86,    30,           0.0,          0.000,          0.000,          0.249205            
87,    30,           600.0,        20.000,         60.000,         0.256049            
88,    30,           9400.0,       313.333,        191.021,        0.264686            
89,    30,           1300.0,       43.333,         125.654,        0.28649             
90,    30,           1500.0,       50.000,         164.823,        0.277209            
91,    30,           1100.0,       36.667,         111.006,        0.288906            
92,    30,           7700.0,       256.667,        170.652,        0.28682             
93,    30,           1800.0,       60.000,         122.746,        0.286865            
94,    30,           4900.0,       163.333,        231.637,        0.281223            
95,    30,           0.0,          0.000,          0.000,          0.291618            
96,    30,           1600.0,       53.333,         111.754,        0.276736            
97,    30,           8600.0,       286.667,        229.105,        0.268689            
98,    30,           0.0,          0.000,          0.000,          0.273222            
99,    30,           4300.0,       143.333,        192.671,        0.265581            
100,   30,           3700.0,       123.333,        170.652,        0.27022             
101,   30,           10100.0,      336.667,        254.929,        0.308434            
102,   30,           4600.0,       153.333,        194.479,        0.323565            
103,   30,           10000.0,      333.333,        224.103,        0.346827            
