Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           382748.0,     12758.267,      9079.892,       1.80542             
2,     30,           126991.0,     4233.033,       4241.180,       3.86702             
3,     30,           359100.0,     11970.000,      10395.497,      5.481               
4,     30,           14228.0,      474.267,        469.198,        6.48153             
5,     30,           558811.0,     18627.033,      11217.718,      6.79779             
6,     30,           186078.0,     6202.600,       4422.464,       6.74191             
7,     30,           1102.0,       36.733,         79.650,         6.05676             
8,     30,           187740.0,     6258.000,       4601.547,       5.90871             
9,     30,           823902.0,     27463.400,      16071.136,      6.06383             
10,    30,           805272.0,     26842.400,      17364.594,      6.58881             
11,    30,           21637.0,      721.233,        1401.742,       6.82635             
12,    30,           132727.0,     4424.233,       6277.225,       6.95179             
13,    30,           156909.0,     5230.300,       2853.748,       6.62053             
14,    30,           682450.0,     22748.333,      27326.861,      6.42149             
15,    30,           344014.0,     11467.133,      7687.608,       5.8747              
16,    30,           122292.0,     4076.400,       2791.515,       5.62252             
17,    30,           74357.0,      2478.567,       2355.921,       5.94098             
18,    30,           14809.0,      493.633,        383.328,        5.87549             
19,    30,           551955.0,     18398.500,      13883.864,      6.61699             
20,    30,           921264.0,     30708.800,      28922.712,      6.78466             
21,    30,           59917.0,      1997.233,       2901.540,       7.19766             
22,    30,           84382.0,      2812.733,       4742.864,       7.2266              
23,    30,           19030.0,      634.333,        880.045,        6.96026             
24,    30,           192823.0,     6427.433,       7757.613,       7.96105             
25,    30,           3902.0,       130.067,        208.445,        8.41859             
26,    30,           117632.0,     3921.067,       5443.635,       8.91645             
27,    30,           211065.0,     7035.500,       5347.235,       9.3699              
28,    30,           2080227.0,    69340.900,      37990.508,      8.53283             
29,    30,           1096499.0,    36549.967,      36516.675,      8.70231             
30,    30,           1856369.0,    61878.967,      34573.914,      9.22389             
31,    30,           1915917.0,    63863.900,      47421.517,      8.83728             
32,    30,           1248207.0,    41606.900,      42045.173,      10.3419             
33,    30,           908577.0,     30285.900,      27018.424,      10.583              
34,    30,           296131.0,     9871.033,       15388.516,      10.978              
35,    30,           4200542.0,    140018.067,     65976.959,      12.0561             
36,    30,           1058676.0,    35289.200,      44994.110,      11.5825             
37,    30,           1570778.0,    52359.267,      50289.824,      10.9248             
38,    30,           4478946.0,    149298.200,     145802.594,     10.7672             
39,    30,           2084448.0,    69481.600,      51055.245,      11.8288             
40,    30,           6106.0,       203.533,        688.608,        12.8928             
41,    30,           2151409.0,    71713.633,      61349.324,      14.8383             
