Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           10500.0,      350.000,        80.623,         0.705237            
2,     30,           16100.0,      536.667,        400.403,        0.922297            
3,     30,           9800.0,       326.667,        248.909,        1.01913             
4,     30,           13500.0,      450.000,        271.723,        1.0476              
5,     30,           8500.0,       283.333,        124.052,        1.07788             
6,     30,           22300.0,      743.333,        489.682,        1.10028             
7,     30,           17600.0,      586.667,        386.207,        1.09428             
8,     30,           16300.0,      543.333,        345.141,        1.04971             
9,     30,           19500.0,      650.000,        369.459,        1.07381             
10,    30,           20200.0,      673.333,        373.214,        1.09249             
11,    30,           32000.0,      1066.667,       590.668,        1.03613             
12,    30,           11800.0,      393.333,        206.452,        1.05994             
13,    30,           15800.0,      526.667,        432.769,        0.99095             
14,    30,           23600.0,      786.667,        504.469,        1.0528              
15,    30,           32300.0,      1076.667,       493.750,        1.03883             
16,    30,           24800.0,      826.667,        680.163,        0.985627            
17,    30,           32400.0,      1080.000,       560.000,        1.03386             
18,    30,           25500.0,      850.000,        593.717,        1.02198             
19,    30,           20400.0,      680.000,        649.820,        1.01354             
20,    30,           23400.0,      780.000,        550.394,        0.941903            
21,    30,           27000.0,      900.000,        531.037,        0.975537            
22,    30,           33400.0,      1113.333,       501.819,        1.01701             
23,    30,           26700.0,      890.000,        635.269,        0.967262            
24,    30,           29700.0,      990.000,        775.177,        0.929985            
25,    30,           29900.0,      996.667,        479.919,        0.945668            
26,    30,           36600.0,      1220.000,       543.691,        0.969757            
27,    30,           37500.0,      1250.000,       598.192,        1.04877             
28,    30,           39500.0,      1316.667,       539.804,        1.02631             
29,    30,           35300.0,      1176.667,       501.121,        1.10374             
30,    30,           44900.0,      1496.667,       841.223,        1.12633             
31,    30,           29700.0,      990.000,        516.624,        1.16777             
32,    30,           34300.0,      1143.333,       538.320,        1.13388             
33,    30,           36200.0,      1206.667,       468.994,        1.17147             
34,    30,           32800.0,      1093.333,       530.367,        1.24013             
35,    30,           48600.0,      1620.000,       847.899,        1.25213             
36,    30,           59100.0,      1970.000,       943.451,        1.2852              
37,    30,           42900.0,      1430.000,       679.779,        1.45174             
38,    30,           38200.0,      1273.333,       456.021,        1.35041             
39,    30,           31800.0,      1060.000,       430.194,        1.44006             
40,    30,           37600.0,      1253.333,       742.399,        1.39639             
41,    30,           28500.0,      950.000,        670.199,        1.35106             
42,    30,           47800.0,      1593.333,       993.289,        1.3571              
43,    30,           21000.0,      700.000,        250.333,        1.38716             
44,    30,           40900.0,      1363.333,       700.230,        1.40445             
45,    30,           38200.0,      1273.333,       510.512,        1.51496             
46,    30,           38400.0,      1280.000,       540.617,        2.99217             
47,    30,           15700.0,      523.333,        526.424,        4.4518              
48,    30,           22700.0,      756.667,        452.168,        2.64412             
49,    30,           26700.0,      890.000,        471.416,        1.8379              
50,    30,           31400.0,      1046.667,       491.754,        60.3913             
51,    30,           12300.0,      410.000,        272.458,        1.92183             
52,    30,           30000.0,      1000.000,       539.135,        1.97131             
53,    30,           36900.0,      1230.000,       920.923,        2.11168             
54,    30,           38100.0,      1270.000,       1117.184,       2.06527             
55,    30,           35600.0,      1186.667,       479.398,        2.08579             
56,    30,           45300.0,      1510.000,       375.366,        2.10307             
57,    30,           50400.0,      1680.000,       637.391,        2.08308             
58,    30,           35000.0,      1166.667,       566.471,        2.01013             
59,    30,           45900.0,      1530.000,       674.364,        2.05796             
60,    30,           32100.0,      1070.000,       492.037,        23.5023             
61,    30,           12300.0,      410.000,        325.935,        46.1923             
62,    30,           13900.0,      463.333,        339.100,        9.13352             
63,    30,           10400.0,      346.667,        366.727,        2.28336             
64,    30,           2200.0,       73.333,         128.927,        3.29528             
65,    30,           9700.0,       323.333,        202.786,        3.70945             
66,    30,           6500.0,       216.667,        131.867,        3.84993             
67,    30,           10800.0,      360.000,        310.483,        3.96489             
68,    30,           8800.0,       293.333,        120.922,        3.39712             
69,    30,           8700.0,       290.000,        157.797,        3.05901             
70,    30,           13800.0,      460.000,        346.987,        2.51985             
71,    30,           18300.0,      610.000,        415.812,        2.22193             
72,    30,           19000.0,      633.333,        499.555,        1.96804             
73,    30,           12200.0,      406.667,        427.343,        1.79963             
74,    30,           28600.0,      953.333,        476.608,        1.59663             
75,    30,           17500.0,      583.333,        445.034,        1.50265             
76,    30,           14000.0,      466.667,        369.083,        1.41901             
77,    30,           19600.0,      653.333,        466.000,        1.4105              
78,    30,           11200.0,      373.333,        204.831,        1.3717              
79,    30,           14200.0,      473.333,        136.463,        1.34537             
80,    30,           22500.0,      750.000,        493.119,        1.38079             
81,    30,           29700.0,      990.000,        548.544,        1.55808             
82,    30,           16800.0,      560.000,        465.904,        1.83785             
83,    30,           11900.0,      396.667,        367.408,        2.18838             
84,    30,           19700.0,      656.667,        521.973,        2.81008             
85,    30,           7700.0,       256.667,        284.820,        3.07399             
86,    30,           6600.0,       220.000,        119.443,        3.2214              
87,    30,           7100.0,       236.667,        137.800,        4.03552             
88,    30,           8100.0,       270.000,        263.502,        3.90633             
89,    30,           10900.0,      363.333,        335.145,        3.45063             
90,    30,           16200.0,      540.000,        390.384,        3.94921             
91,    30,           31000.0,      1033.333,       573.488,        4.22643             
92,    30,           16300.0,      543.333,        461.652,        7.84894             
