Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.672369            
2,     30,           400.0,        13.333,         71.802,         0.751782            
3,     30,           7000.0,       233.333,        498.219,        0.831621            
4,     30,           17400.0,      580.000,        871.550,        0.883777            
5,     30,           400.0,        13.333,         49.889,         0.875382            
6,     30,           0.0,          0.000,          0.000,          0.884016            
7,     30,           0.0,          0.000,          0.000,          0.870503            
8,     30,           30200.0,      1006.667,       343.447,        0.932084            
9,     30,           0.0,          0.000,          0.000,          1.17039             
10,    30,           2400.0,       80.000,         234.379,        1.37567             
11,    30,           4600.0,       153.333,        325.303,        1.65121             
12,    30,           46800.0,      1560.000,       710.680,        1.68993             
13,    30,           53300.0,      1776.667,       840.112,        1.72476             
14,    30,           800.0,        26.667,         67.987,         1.79193             
15,    30,           25200.0,      840.000,        427.083,        1.8846              
16,    30,           41600.0,      1386.667,       707.923,        2.23139             
17,    30,           53600.0,      1786.667,       518.802,        2.60885             
18,    30,           96900.0,      3230.000,       1201.984,       2.69929             
19,    30,           59400.0,      1980.000,       773.908,        3.08516             
20,    30,           6500.0,       216.667,        534.842,        3.07823             
21,    30,           21900.0,      730.000,        568.126,        3.28911             
22,    30,           60800.0,      2026.667,       817.693,        3.41092             
23,    30,           40300.0,      1343.333,       638.584,        3.71182             
24,    30,           68900.0,      2296.667,       746.763,        3.8608              
25,    30,           83100.0,      2770.000,       1240.739,       4.14599             
26,    30,           55900.0,      1863.333,       1448.789,       4.33233             
27,    30,           10600.0,      353.333,        583.514,        4.37021             
28,    30,           57100.0,      1903.333,       1061.911,       4.45826             
29,    30,           100700.0,     3356.667,       1372.512,       4.43192             
30,    30,           70000.0,      2333.333,       827.983,        4.39482             
31,    30,           56200.0,      1873.333,       936.281,        4.40891             
32,    30,           79300.0,      2643.333,       1260.339,       4.45372             
33,    30,           99600.0,      3320.000,       1666.813,       4.44796             
34,    30,           86000.0,      2866.667,       1210.877,       4.66597             
35,    30,           92000.0,      3066.667,       985.337,        4.55063             
36,    30,           89100.0,      2970.000,       1614.755,       4.70937             
37,    30,           87200.0,      2906.667,       954.265,        4.67693             
38,    30,           94900.0,      3163.333,       2098.965,       4.87223             
39,    30,           99800.0,      3326.667,       1032.451,       5.0734              
40,    30,           135700.0,     4523.333,       1991.429,       5.09105             
41,    30,           64100.0,      2136.667,       1490.746,       5.09873             
42,    30,           99400.0,      3313.333,       1181.449,       5.09825             
43,    30,           136900.0,     4563.333,       1180.814,       4.99136             
44,    30,           177400.0,     5913.333,       1362.775,       4.94759             
45,    30,           70200.0,      2340.000,       1181.976,       5.11915             
46,    30,           34000.0,      1133.333,       723.571,        5.22923             
47,    30,           142200.0,     4740.000,       2059.061,       5.35776             
48,    30,           138200.0,     4606.667,       1744.694,       5.53733             
49,    30,           37900.0,      1263.333,       1070.042,       5.56832             
50,    30,           132100.0,     4403.333,       2008.396,       5.68553             
51,    30,           37800.0,      1260.000,       845.616,        5.61591             
52,    30,           145300.0,     4843.333,       1172.940,       5.63153             
53,    30,           165800.0,     5526.667,       1557.334,       5.72414             
54,    30,           129300.0,     4310.000,       1407.918,       5.72367             
55,    30,           84800.0,      2826.667,       1325.125,       5.82294             
56,    30,           74200.0,      2473.333,       2403.599,       5.85229             
57,    30,           97000.0,      3233.333,       1763.582,       5.96881             
58,    30,           159200.0,     5306.667,       1812.720,       5.95762             
59,    30,           90700.0,      3023.333,       982.406,        5.92981             
60,    30,           153800.0,     5126.667,       2174.540,       5.94341             
61,    30,           58700.0,      1956.667,       1676.044,       5.94958             
62,    30,           149000.0,     4966.667,       1346.931,       6.01566             
63,    30,           120500.0,     4016.667,       1088.756,       5.99658             
64,    30,           92700.0,      3090.000,       990.067,        6.02224             
65,    30,           99200.0,      3306.667,       2272.727,       6.16845             
66,    30,           49100.0,      1636.667,       1176.572,       6.5872              
67,    30,           152000.0,     5066.667,       1573.813,       6.53749             
68,    30,           180300.0,     6010.000,       1284.355,       6.65993             
69,    30,           125500.0,     4183.333,       1563.774,       6.81869             
70,    30,           43400.0,      1446.667,       936.566,        6.93208             
71,    30,           79900.0,      2663.333,       1332.287,       6.78847             
72,    30,           173600.0,     5786.667,       1718.863,       6.60705             
73,    30,           43500.0,      1450.000,       908.020,        6.58038             
74,    30,           203600.0,     6786.667,       2015.892,       6.44877             
75,    30,           92300.0,      3076.667,       1836.788,       6.38572             
76,    30,           178100.0,     5936.667,       2078.699,       6.48056             
77,    30,           39600.0,      1320.000,       1049.889,       6.61282             
78,    30,           57600.0,      1920.000,       1103.147,       6.53428             
79,    30,           195900.0,     6530.000,       1557.808,       6.37436             
80,    30,           168400.0,     5613.333,       2366.394,       6.44962             
81,    30,           205200.0,     6840.000,       1885.488,       6.39882             
82,    30,           182700.0,     6090.000,       1968.307,       6.41381             
83,    30,           184100.0,     6136.667,       2284.511,       6.45366             
84,    30,           12400.0,      413.333,        503.146,        6.47492             
85,    30,           29600.0,      986.667,        753.982,        6.32342             
86,    30,           139500.0,     4650.000,       1351.727,       6.43999             
87,    30,           168000.0,     5600.000,       1477.385,       6.52962             
88,    30,           59000.0,      1966.667,       1272.880,       6.6023              
89,    30,           0.0,          0.000,          0.000,          6.61922             
90,    30,           126900.0,     4230.000,       1670.559,       6.72451             
91,    30,           136200.0,     4540.000,       1590.933,       6.53123             
92,    30,           133500.0,     4450.000,       1349.506,       6.50598             
93,    30,           99800.0,      3326.667,       1592.050,       6.59951             
94,    30,           59600.0,      1986.667,       782.617,        6.66527             
95,    30,           165500.0,     5516.667,       1395.011,       6.52225             
96,    30,           142400.0,     4746.667,       1769.319,       6.61972             
97,    30,           145900.0,     4863.333,       954.108,        6.57084             
98,    30,           49900.0,      1663.333,       966.948,        6.45284             
99,    30,           72700.0,      2423.333,       1344.540,       6.31641             
100,   30,           104000.0,     3466.667,       1504.733,       6.14954             
101,   30,           44400.0,      1480.000,       939.291,        6.04762             
102,   30,           146300.0,     4876.667,       1161.804,       6.10905             
103,   30,           59000.0,      1966.667,       1006.424,       6.28573             
104,   30,           103400.0,     3446.667,       1771.766,       6.30072             
105,   30,           59800.0,      1993.333,       1064.873,       6.29093             
106,   30,           156600.0,     5220.000,       2265.598,       6.153               
107,   30,           80400.0,      2680.000,       1684.320,       6.30405             
108,   30,           210700.0,     7023.333,       1875.932,       6.32178             
109,   30,           71900.0,      2396.667,       1216.959,       6.27827             
110,   30,           140800.0,     4693.333,       2613.801,       6.37739             
111,   30,           62700.0,      2090.000,       1485.788,       6.33823             
112,   30,           123600.0,     4120.000,       2366.066,       6.28796             
113,   30,           157300.0,     5243.333,       2058.427,       6.33181             
114,   30,           167100.0,     5570.000,       1915.228,       6.29744             
115,   30,           179800.0,     5993.333,       2214.939,       6.28362             
116,   30,           152900.0,     5096.667,       2054.829,       6.26328             
117,   30,           100400.0,     3346.667,       1411.083,       6.44193             
118,   30,           131500.0,     4383.333,       1382.530,       6.37028             
119,   30,           144700.0,     4823.333,       1430.078,       6.41718             
120,   30,           111200.0,     3706.667,       1689.563,       6.55162             
121,   30,           92600.0,      3086.667,       1497.717,       6.48877             
122,   30,           66400.0,      2213.333,       1664.479,       6.3223              
123,   30,           136500.0,     4550.000,       1167.833,       6.3789              
124,   30,           107500.0,     3583.333,       1209.706,       6.46085             
125,   30,           82600.0,      2753.333,       1524.627,       6.38572             
126,   30,           36400.0,      1213.333,       1099.919,       6.50074             
127,   30,           143500.0,     4783.333,       2245.452,       6.44367             
128,   30,           77500.0,      2583.333,       1128.150,       6.47517             
129,   30,           130000.0,     4333.333,       2027.039,       6.33597             
130,   30,           130700.0,     4356.667,       1620.840,       6.52248             
131,   30,           69200.0,      2306.667,       1699.399,       6.54743             
132,   30,           122000.0,     4066.667,       2185.152,       6.77495             
133,   30,           21400.0,      713.333,        1033.677,       6.96947             
134,   30,           192000.0,     6400.000,       1878.475,       6.91677             
135,   30,           138800.0,     4626.667,       1440.818,       6.97235             
136,   30,           161800.0,     5393.333,       2016.917,       7.03712             
137,   30,           116700.0,     3890.000,       2641.004,       7.07013             
138,   30,           144300.0,     4810.000,       1851.369,       7.09878             
139,   30,           0.0,          0.000,          0.000,          7.13246             
140,   30,           109900.0,     3663.333,       1549.297,       7.19944             
141,   30,           147100.0,     4903.333,       1472.296,       7.31589             
142,   30,           68100.0,      2270.000,       1168.518,       7.08524             
143,   30,           127100.0,     4236.667,       1610.276,       7.06914             
144,   30,           30400.0,      1013.333,       701.776,        7.0693              
145,   30,           153700.0,     5123.333,       1765.160,       7.14117             
146,   30,           155000.0,     5166.667,       1737.111,       7.09049             
147,   30,           174500.0,     5816.667,       1865.312,       7.07164             
148,   30,           106500.0,     3550.000,       1454.361,       7.10614             
149,   30,           115100.0,     3836.667,       1711.429,       6.96928             
150,   30,           147100.0,     4903.333,       2477.160,       6.82719             
151,   30,           72400.0,      2413.333,       1409.665,       6.72884             
152,   30,           83800.0,      2793.333,       1512.158,       6.7008              
153,   30,           143400.0,     4780.000,       2765.550,       6.70286             
154,   30,           143500.0,     4783.333,       1399.782,       6.70987             
155,   30,           151900.0,     5063.333,       1781.289,       6.68277             
156,   30,           50600.0,      1686.667,       1270.888,       6.76152             
157,   30,           155700.0,     5190.000,       2400.743,       6.67472             
158,   30,           153200.0,     5106.667,       1766.717,       6.79537             
159,   30,           101700.0,     3390.000,       1695.553,       6.71536             
160,   30,           122700.0,     4090.000,       971.030,        6.86142             
161,   30,           19600.0,      653.333,        1154.624,       6.92021             
162,   30,           56300.0,      1876.667,       1026.542,       7.01193             
163,   30,           14700.0,      490.000,        365.468,        7.02305             
164,   30,           172100.0,     5736.667,       2527.909,       7.16939             
165,   30,           100700.0,     3356.667,       1484.067,       7.04986             
166,   30,           105800.0,     3526.667,       1622.741,       7.2162              
167,   30,           117900.0,     3930.000,       1349.111,       7.08067             
168,   30,           175100.0,     5836.667,       1770.590,       7.0916              
169,   30,           170300.0,     5676.667,       1659.053,       7.17864             
170,   30,           162100.0,     5403.333,       1807.666,       7.34006             
171,   30,           143900.0,     4796.667,       2524.478,       7.19404             
172,   30,           133200.0,     4440.000,       2173.108,       7.11975             
173,   30,           42000.0,      1400.000,       1775.200,       6.97367             
174,   30,           148100.0,     4936.667,       1666.230,       7.21944             
175,   30,           202400.0,     6746.667,       1961.417,       7.33072             
176,   30,           169900.0,     5663.333,       1663.026,       7.42631             
177,   30,           230300.0,     7676.667,       2312.529,       7.45067             
178,   30,           21600.0,      720.000,        895.693,        7.29633             
179,   30,           50100.0,      1670.000,       949.438,        7.26316             
180,   30,           187900.0,     6263.333,       1603.846,       7.32269             
181,   30,           161100.0,     5370.000,       2472.805,       7.36649             
182,   30,           94600.0,      3153.333,       2172.669,       7.28346             
183,   30,           129900.0,     4330.000,       2001.524,       7.18222             
184,   30,           134500.0,     4483.333,       1689.592,       7.20843             
185,   30,           137300.0,     4576.667,       1413.432,       7.22524             
186,   30,           161800.0,     5393.333,       1754.980,       7.05512             
187,   30,           186700.0,     6223.333,       2849.641,       7.00643             
188,   30,           34300.0,      1143.333,       787.690,        7.15114             
189,   30,           107000.0,     3566.667,       1794.498,       7.04029             
190,   30,           151100.0,     5036.667,       1405.817,       6.95833             
191,   30,           138200.0,     4606.667,       2105.221,       7.13432             
192,   30,           184100.0,     6136.667,       2473.928,       7.34787             
193,   30,           54500.0,      1816.667,       1255.145,       7.26341             
194,   30,           59900.0,      1996.667,       1063.793,       7.29902             
195,   30,           103100.0,     3436.667,       2206.579,       7.17718             
196,   30,           21200.0,      706.667,        513.766,        7.23008             
197,   30,           145500.0,     4850.000,       2045.279,       7.18909             
198,   30,           107400.0,     3580.000,       2448.319,       7.09586             
199,   30,           24900.0,      830.000,        1318.370,       7.19516             
200,   30,           188400.0,     6280.000,       1671.207,       7.24896             
