Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           3276.0,       109.200,        45.817,         2.14269             
2,     30,           9765.0,       325.500,        132.455,        3.43373             
3,     30,           12138.0,      404.600,        99.084,         4.293               
4,     30,           12306.0,      410.200,        111.483,        4.40109             
5,     30,           10279.0,      342.633,        147.525,        4.74358             
6,     30,           22766.0,      758.867,        101.394,        5.50897             
7,     30,           24658.0,      821.933,        157.359,        6.08556             
8,     30,           41021.0,      1367.367,       533.664,        6.65767             
9,     30,           71044.0,      2368.133,       667.589,        7.12528             
10,    30,           58833.0,      1961.100,       610.410,        7.69811             
11,    30,           70948.0,      2364.933,       617.021,        8.19796             
12,    30,           48897.0,      1629.900,       471.706,        8.32892             
13,    30,           53949.0,      1798.300,       746.060,        8.36812             
14,    30,           85206.0,      2840.200,       782.385,        8.82759             
15,    30,           41257.0,      1375.233,       315.781,        8.81893             
16,    30,           35391.0,      1179.700,       352.825,        9.09311             
17,    30,           74960.0,      2498.667,       587.725,        9.77036             
18,    30,           41892.0,      1396.400,       384.551,        9.83539             
19,    30,           49854.0,      1661.800,       584.793,        10.1047             
20,    30,           47793.0,      1593.100,       456.651,        10.257              
21,    30,           20425.0,      680.833,        208.886,        10.5213             
22,    30,           32736.0,      1091.200,       284.821,        10.7272             
23,    30,           32958.0,      1098.600,       262.339,        10.5262             
24,    30,           29599.0,      986.633,        229.535,        10.4941             
25,    30,           42104.0,      1403.467,       275.591,        10.6018             
26,    30,           34742.0,      1158.067,       295.022,        10.5979             
27,    30,           58007.0,      1933.567,       409.838,        10.4914             
28,    30,           28719.0,      957.300,        183.891,        10.831              
29,    30,           28952.0,      965.067,        177.146,        10.6669             
30,    30,           34758.0,      1158.600,       257.772,        10.6055             
31,    30,           31827.0,      1060.900,       207.603,        10.4902             
32,    30,           46605.0,      1553.500,       405.604,        10.6239             
33,    30,           45301.0,      1510.033,       260.211,        10.4545             
34,    30,           37306.0,      1243.533,       190.450,        10.4282             
35,    30,           50850.0,      1695.000,       288.697,        10.5059             
36,    30,           32781.0,      1092.700,       186.155,        10.6962             
37,    30,           29485.0,      982.833,        258.568,        11.0278             
38,    30,           33274.0,      1109.133,       209.765,        10.8619             
39,    30,           27702.0,      923.400,        168.974,        10.5716             
40,    30,           29574.0,      985.800,        176.258,        10.5195             
41,    30,           29304.0,      976.800,        202.679,        10.4937             
42,    30,           34813.0,      1160.433,       184.780,        10.5862             
43,    30,           34069.0,      1135.633,       264.290,        10.4932             
44,    30,           29855.0,      995.167,        201.530,        10.427              
45,    30,           57820.0,      1927.333,       464.500,        10.6823             
46,    30,           32425.0,      1080.833,       244.519,        10.6095             
47,    30,           44151.0,      1471.700,       334.213,        10.379              
48,    30,           37687.0,      1256.233,       367.309,        10.433              
49,    30,           22188.0,      739.600,        159.241,        10.3498             
50,    30,           30032.0,      1001.067,       229.352,        10.2797             
51,    30,           24264.0,      808.800,        150.309,        10.0786             
52,    30,           27116.0,      903.867,        141.351,        10.2169             
53,    30,           32568.0,      1085.600,       224.164,        10.1045             
54,    30,           23843.0,      794.767,        143.668,        9.94088             
55,    30,           28073.0,      935.767,        177.537,        9.77507             
56,    30,           40278.0,      1342.600,       273.225,        9.72445             
57,    30,           39085.0,      1302.833,       230.945,        9.5605              
58,    30,           36844.0,      1228.133,       236.433,        9.52244             
59,    30,           28066.0,      935.533,        184.296,        9.55731             
60,    30,           47314.0,      1577.133,       329.068,        9.56905             
61,    30,           26006.0,      866.867,        154.309,        9.45129             
62,    30,           34365.0,      1145.500,       207.214,        9.65916             
63,    30,           22383.0,      746.100,        147.934,        9.5873              
64,    30,           25521.0,      850.700,        125.877,        9.31996             
65,    30,           37683.0,      1256.100,       224.063,        9.51753             
66,    30,           36320.0,      1210.667,       195.724,        9.55671             
67,    30,           29113.0,      970.433,        162.493,        9.69594             
68,    30,           41118.0,      1370.600,       237.716,        9.76956             
69,    30,           34599.0,      1153.300,       212.197,        9.78343             
70,    30,           36018.0,      1200.600,       228.989,        9.75029             
71,    30,           37802.0,      1260.067,       289.376,        9.64487             
