Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           1860.0,       62.000,         22.862,         1.48997             
2,     30,           2990.0,       99.667,         49.614,         2.75734             
3,     30,           27590.0,      919.667,        537.125,        3.82485             
4,     30,           53200.0,      1773.333,       1070.478,       5.12404             
5,     30,           145370.0,     4845.667,       1324.717,       6.29249             
6,     30,           113125.0,     3770.833,       2709.282,       7.07667             
7,     30,           104265.0,     3475.500,       1511.902,       7.88088             
8,     30,           55335.0,      1844.500,       1516.346,       8.43856             
9,     30,           57185.0,      1906.167,       1912.726,       8.87921             
10,    30,           65200.0,      2173.333,       1220.246,       8.96167             
11,    30,           90535.0,      3017.833,       1973.093,       9.46949             
12,    30,           38150.0,      1271.667,       1462.397,       10.0181             
13,    30,           21760.0,      725.333,        887.724,        10.3499             
14,    30,           49940.0,      1664.667,       1648.776,       10.9537             
15,    30,           35725.0,      1190.833,       1340.363,       11.1979             
16,    30,           40435.0,      1347.833,       1670.187,       11.3391             
17,    30,           104980.0,     3499.333,       1832.672,       11.5076             
18,    30,           85810.0,      2860.333,       2421.756,       12.0012             
19,    30,           7655.0,       255.167,        210.252,        12.3415             
20,    30,           3500.0,       116.667,        65.782,         11.9689             
21,    30,           142055.0,     4735.167,       1974.404,       11.904              
22,    30,           155405.0,     5180.167,       2145.554,       12.0304             
23,    30,           70850.0,      2361.667,       1306.994,       11.9454             
24,    30,           71460.0,      2382.000,       1124.630,       12.0102             
25,    30,           150815.0,     5027.167,       1980.262,       11.9511             
26,    30,           83215.0,      2773.833,       1854.083,       11.8921             
27,    30,           46395.0,      1546.500,       1349.344,       11.8935             
28,    30,           126535.0,     4217.833,       2038.563,       11.6858             
29,    30,           143100.0,     4770.000,       1834.578,       11.6305             
30,    30,           98520.0,      3284.000,       2297.497,       11.3517             
31,    30,           93300.0,      3110.000,       1944.484,       11.5378             
32,    30,           15985.0,      532.833,        353.534,        11.8372             
33,    30,           125330.0,     4177.667,       1645.184,       11.5644             
34,    30,           70125.0,      2337.500,       1802.713,       11.9417             
35,    30,           92025.0,      3067.500,       1940.365,       12.0297             
36,    30,           143825.0,     4794.167,       1952.066,       11.8072             
37,    30,           35475.0,      1182.500,       1092.267,       11.7895             
38,    30,           135670.0,     4522.333,       1877.350,       11.6587             
39,    30,           88125.0,      2937.500,       2182.555,       11.5446             
40,    30,           2705.0,       90.167,         52.638,         11.4834             
41,    30,           98985.0,      3299.500,       1887.601,       11.2814             
42,    30,           87060.0,      2902.000,       2317.540,       11.2134             
43,    30,           140515.0,     4683.833,       2263.741,       10.9641             
44,    30,           112920.0,     3764.000,       1654.187,       10.8689             
45,    30,           145185.0,     4839.500,       2013.056,       11.2318             
46,    30,           81315.0,      2710.500,       1983.038,       11.3257             
47,    30,           74935.0,      2497.833,       1658.062,       11.3071             
48,    30,           20670.0,      689.000,        741.981,        11.5279             
49,    30,           164060.0,     5468.667,       1371.546,       11.5224             
50,    30,           158180.0,     5272.667,       2156.849,       11.6008             
51,    30,           5220.0,       174.000,        290.010,        11.8369             
52,    30,           131980.0,     4399.333,       2384.891,       11.7353             
53,    30,           59490.0,      1983.000,       1564.965,       11.7501             
54,    30,           81695.0,      2723.167,       1912.488,       11.847              
55,    30,           104980.0,     3499.333,       1975.469,       11.8321             
56,    30,           62810.0,      2093.667,       1395.460,       11.914              
57,    30,           76955.0,      2565.167,       1718.879,       11.9094             
58,    30,           75400.0,      2513.333,       2287.323,       11.8867             
59,    30,           50520.0,      1684.000,       1850.757,       12.2169             
60,    30,           70275.0,      2342.500,       1564.143,       12.1847             
61,    30,           112880.0,     3762.667,       1851.005,       12.1548             
62,    30,           88075.0,      2935.833,       2112.418,       12.0324             
63,    30,           134300.0,     4476.667,       2096.743,       12.1626             
64,    30,           143155.0,     4771.833,       1535.954,       12.1552             
65,    30,           109975.0,     3665.833,       2091.200,       12.2279             
66,    30,           114340.0,     3811.333,       2091.964,       12.1766             
67,    30,           172440.0,     5748.000,       2785.827,       12.134              
68,    30,           135875.0,     4529.167,       2712.811,       11.8986             
69,    30,           137050.0,     4568.333,       2723.552,       11.7583             
70,    30,           62295.0,      2076.500,       1717.421,       11.719              
71,    30,           112335.0,     3744.500,       1634.946,       11.7417             
72,    30,           113705.0,     3790.167,       2963.211,       11.5592             
73,    30,           134000.0,     4466.667,       1749.109,       11.4678             
74,    30,           121125.0,     4037.500,       2352.547,       11.5959             
75,    30,           72180.0,      2406.000,       1789.536,       11.6204             
76,    30,           70065.0,      2335.500,       2456.097,       11.4376             
77,    30,           161240.0,     5374.667,       1933.272,       11.6754             
78,    30,           44385.0,      1479.500,       1545.693,       11.6695             
79,    30,           46750.0,      1558.333,       1885.775,       11.9497             
