Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           57.0,         1.900,          3.280,          0.840578            
2,     30,           7.0,          0.233,          0.955,          0.976002            
3,     30,           50.0,         1.667,          2.856,          1.34241             
4,     30,           217.0,        7.233,          8.245,          2.39029             
5,     30,           3245.0,       108.167,        26.150,         4.1779              
6,     30,           5465.0,       182.167,        35.507,         7.19283             
7,     30,           6840.0,       228.000,        60.246,         10.2098             
8,     30,           7952.0,       265.067,        47.427,         11.8193             
9,     30,           6762.0,       225.400,        45.010,         13.0876             
10,    30,           7891.0,       263.033,        35.709,         14.6955             
11,    30,           6777.0,       225.900,        51.099,         15.9088             
12,    30,           8430.0,       281.000,        26.820,         17.3468             
13,    30,           7686.0,       256.200,        43.470,         17.5994             
14,    30,           5875.0,       195.833,        52.568,         19.1566             
15,    30,           8256.0,       275.200,        30.255,         20.5391             
16,    30,           3347.0,       111.567,        26.553,         21.092              
17,    30,           7201.0,       240.033,        45.451,         22.2268             
18,    30,           8748.0,       291.600,        27.478,         22.9237             
19,    30,           7731.0,       257.700,        23.365,         23.4737             
20,    30,           8681.0,       289.367,        27.692,         23.9753             
21,    30,           7621.0,       254.033,        46.156,         24.5218             
22,    30,           9040.0,       301.333,        20.452,         24.6598             
23,    30,           8749.0,       291.633,        28.164,         23.7318             
24,    30,           6843.0,       228.100,        44.883,         23.7837             
25,    30,           8460.0,       282.000,        29.734,         23.4158             
26,    30,           8198.0,       273.267,        22.952,         23.5671             
27,    30,           8866.0,       295.533,        28.094,         23.9901             
28,    30,           8894.0,       296.467,        28.108,         24.5907             
29,    30,           6030.0,       201.000,        47.308,         23.9994             
30,    30,           8403.0,       280.100,        23.213,         24.6668             
31,    30,           7233.0,       241.100,        52.387,         24.6015             
32,    30,           8469.0,       282.300,        35.583,         25.1437             
33,    30,           8345.0,       278.167,        27.731,         25.0871             
34,    30,           8881.0,       296.033,        23.542,         24.5383             
35,    30,           8493.0,       283.100,        26.367,         24.4182             
36,    30,           7726.0,       257.533,        36.292,         24.3486             
37,    30,           5377.0,       179.233,        69.877,         24.5436             
38,    30,           8398.0,       279.933,        25.088,         25.0225             
39,    30,           7234.0,       241.133,        39.966,         24.6436             
40,    30,           7891.0,       263.033,        28.926,         24.8299             
41,    30,           7457.0,       248.567,        35.952,         24.475              
42,    30,           9047.0,       301.567,        26.632,         24.2759             
43,    30,           7545.0,       251.500,        51.407,         24.2084             
44,    30,           8612.0,       287.067,        31.370,         23.9027             
45,    30,           8713.0,       290.433,        21.607,         24.2541             
46,    30,           8739.0,       291.300,        37.033,         23.6592             
47,    30,           8024.0,       267.467,        23.537,         23.531              
48,    30,           6668.0,       222.267,        50.815,         23.8305             
49,    30,           7097.0,       236.567,        33.306,         23.1594             
50,    30,           9365.0,       312.167,        31.054,         23.7694             
51,    30,           8342.0,       278.067,        25.210,         23.4916             
52,    30,           8572.0,       285.733,        19.580,         23.9321             
53,    30,           8111.0,       270.367,        29.890,         24.177              
54,    30,           8487.0,       282.900,        30.803,         23.7671             
