Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           4380.0,       146.000,        154.588,        1.76718             
2,     30,           10680.0,      356.000,        254.684,        3.84758             
3,     30,           20320.0,      677.333,        368.989,        6.12434             
4,     30,           16360.0,      545.333,        239.885,        9.04558             
5,     30,           22420.0,      747.333,        427.909,        10.0031             
6,     30,           25580.0,      852.667,        460.535,        10.919              
7,     30,           13360.0,      445.333,        237.090,        11.7504             
8,     30,           36740.0,      1224.667,       525.527,        12.0145             
9,     30,           10780.0,      359.333,        216.732,        12.0514             
10,    30,           13060.0,      435.333,        215.077,        12.3357             
11,    30,           20720.0,      690.667,        343.501,        12.6937             
12,    30,           16020.0,      534.000,        243.702,        12.4253             
13,    30,           18620.0,      620.667,        316.375,        12.3855             
14,    30,           18100.0,      603.333,        362.034,        12.4294             
15,    30,           18480.0,      616.000,        318.471,        12.286              
16,    30,           20320.0,      677.333,        377.632,        12.4411             
17,    30,           20440.0,      681.333,        387.158,        12.3728             
18,    30,           28680.0,      956.000,        492.325,        12.4703             
19,    30,           22800.0,      760.000,        582.615,        12.3355             
20,    30,           33460.0,      1115.333,       579.026,        12.4652             
21,    30,           13580.0,      452.667,        300.554,        12.5812             
22,    30,           36220.0,      1207.333,       642.692,        12.74               
23,    30,           37900.0,      1263.333,       583.554,        12.7347             
24,    30,           23880.0,      796.000,        433.264,        12.9793             
25,    30,           25960.0,      865.333,        492.664,        12.8327             
26,    30,           9280.0,       309.333,        244.499,        12.9223             
27,    30,           13660.0,      455.333,        258.802,        13.2581             
28,    30,           12440.0,      414.667,        237.427,        13.1177             
29,    30,           26180.0,      872.667,        603.534,        12.8443             
30,    30,           41060.0,      1368.667,       747.167,        12.8164             
31,    30,           35820.0,      1194.000,       540.374,        12.726              
32,    30,           24200.0,      806.667,        373.964,        12.8504             
33,    30,           46860.0,      1562.000,       880.323,        12.6568             
34,    30,           29480.0,      982.667,        564.901,        12.2009             
35,    30,           37880.0,      1262.667,       541.374,        12.4269             
36,    30,           45340.0,      1511.333,       762.831,        12.1911             
37,    30,           25520.0,      850.667,        373.835,        12.4205             
38,    30,           15320.0,      510.667,        246.670,        12.5294             
39,    30,           57020.0,      1900.667,       685.400,        12.3834             
40,    30,           12360.0,      412.000,        268.805,        12.3757             
41,    30,           22580.0,      752.667,        392.071,        12.7969             
42,    30,           13200.0,      440.000,        261.126,        12.6515             
43,    30,           54700.0,      1823.333,       812.060,        12.8645             
44,    30,           42420.0,      1414.000,       629.670,        12.6672             
45,    30,           15800.0,      526.667,        360.567,        12.8554             
46,    30,           51720.0,      1724.000,       777.867,        12.7188             
47,    30,           30120.0,      1004.000,       546.563,        12.8884             
48,    30,           18680.0,      622.667,        312.910,        12.9396             
49,    30,           51440.0,      1714.667,       902.750,        12.99               
50,    30,           11180.0,      372.667,        206.655,        13.0483             
51,    30,           81200.0,      2706.667,       836.872,        13.1529             
52,    30,           23620.0,      787.333,        452.533,        13.2285             
53,    30,           46120.0,      1537.333,       866.529,        13.1592             
54,    30,           64340.0,      2144.667,       924.174,        13.1189             
55,    30,           17480.0,      582.667,        445.054,        13.2103             
56,    30,           33140.0,      1104.667,       551.693,        13.261              
57,    30,           15700.0,      523.333,        332.990,        13.5125             
58,    30,           21020.0,      700.667,        387.418,        13.4142             
59,    30,           28800.0,      960.000,        489.299,        13.1143             
60,    30,           49080.0,      1636.000,       815.833,        13.0708             
61,    30,           56500.0,      1883.333,       800.135,        13.2136             
62,    30,           40100.0,      1336.667,       668.293,        13.4228             
63,    30,           23780.0,      792.667,        527.446,        13.3224             
64,    30,           42820.0,      1427.333,       508.422,        13.5249             
65,    30,           65200.0,      2173.333,       1034.258,       13.6098             
66,    30,           66460.0,      2215.333,       666.687,        13.4505             
67,    30,           40940.0,      1364.667,       693.680,        13.184              
68,    30,           30160.0,      1005.333,       553.846,        13.2001             
69,    30,           42440.0,      1414.667,       672.923,        13.4489             
70,    30,           48840.0,      1628.000,       932.132,        13.3128             
71,    30,           44440.0,      1481.333,       689.114,        13.244              
72,    30,           42960.0,      1432.000,       588.254,        13.4574             
73,    30,           25380.0,      846.000,        499.043,        13.354              
74,    30,           38360.0,      1278.667,       570.425,        13.4029             
75,    30,           42520.0,      1417.333,       522.296,        13.193              
76,    30,           68420.0,      2280.667,       937.208,        13.0622             
77,    30,           17760.0,      592.000,        365.243,        12.9411             
78,    30,           58800.0,      1960.000,       925.246,        13.0143             
79,    30,           23460.0,      782.000,        391.522,        13.4966             
80,    30,           61000.0,      2033.333,       908.806,        13.6056             
81,    30,           85000.0,      2833.333,       1200.315,       13.8908             
82,    30,           74940.0,      2498.000,       983.360,        13.8062             
83,    30,           82700.0,      2756.667,       996.207,        14.2024             
84,    30,           40880.0,      1362.667,       674.818,        14.343              
85,    30,           55140.0,      1838.000,       737.751,        14.3697             
86,    30,           58940.0,      1964.667,       779.755,        14.1999             
87,    30,           80680.0,      2689.333,       1079.923,       14.1484             
88,    30,           40220.0,      1340.667,       769.770,        14.086              
89,    30,           44500.0,      1483.333,       501.307,        13.7854             
90,    30,           67960.0,      2265.333,       1093.239,       13.9398             
91,    30,           57220.0,      1907.333,       721.988,        14.0855             
92,    30,           40980.0,      1366.000,       599.114,        13.9821             
