Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           11720.0,      390.667,        175.707,        1.44511             
2,     30,           21010.0,      700.333,        488.641,        3.48406             
3,     30,           10080.0,      336.000,        251.523,        4.35713             
4,     30,           72950.0,      2431.667,       984.009,        5.30976             
5,     30,           152370.0,     5079.000,       1108.342,       6.45334             
6,     30,           79800.0,      2660.000,       1510.704,       7.32324             
7,     30,           143630.0,     4787.667,       776.521,        7.18665             
8,     30,           62240.0,      2074.667,       1724.088,       7.01089             
9,     30,           177040.0,     5901.333,       1857.096,       7.21609             
10,    30,           65770.0,      2192.333,       2335.768,       7.28565             
11,    30,           151540.0,     5051.333,       328.641,        7.41872             
12,    30,           152320.0,     5077.333,       489.128,        7.64482             
13,    30,           299550.0,     9985.000,       3134.661,       7.50499             
14,    30,           151480.0,     5049.333,       1493.158,       7.76408             
15,    30,           128000.0,     4266.667,       2532.177,       7.60327             
16,    30,           148830.0,     4961.000,       1539.834,       7.73563             
17,    30,           47860.0,      1595.333,       1259.748,       8.16276             
18,    30,           220940.0,     7364.667,       2560.375,       8.21264             
19,    30,           154550.0,     5151.667,       893.092,        8.66492             
20,    30,           141480.0,     4716.000,       2092.351,       8.60159             
21,    30,           195860.0,     6528.667,       2522.780,       8.62849             
22,    30,           99580.0,      3319.333,       1791.323,       8.81809             
23,    30,           115630.0,     3854.333,       1374.069,       8.45817             
24,    30,           184870.0,     6162.333,       2240.772,       8.1918              
25,    30,           202570.0,     6752.333,       2800.915,       8.13535             
26,    30,           75670.0,      2522.333,       2109.386,       8.12516             
27,    30,           64160.0,      2138.667,       1388.361,       8.37312             
28,    30,           61400.0,      2046.667,       1362.731,       8.51376             
29,    30,           176210.0,     5873.667,       2678.590,       8.88078             
30,    30,           115590.0,     3853.000,       2024.291,       9.24052             
31,    30,           223930.0,     7464.333,       2971.207,       9.3351              
32,    30,           181950.0,     6065.000,       1968.043,       9.47437             
33,    30,           137800.0,     4593.333,       2160.067,       9.7322              
34,    30,           177400.0,     5913.333,       2197.129,       9.80137             
35,    30,           117860.0,     3928.667,       1327.297,       9.7923              
36,    30,           60630.0,      2021.000,       1995.806,       9.92922             
37,    30,           193320.0,     6444.000,       2545.253,       9.82463             
38,    30,           120400.0,     4013.333,       1494.749,       9.66338             
39,    30,           39290.0,      1309.667,       1686.135,       9.34286             
40,    30,           115420.0,     3847.333,       1425.375,       9.2067              
41,    30,           100510.0,     3350.333,       1466.448,       9.52499             
42,    30,           131300.0,     4376.667,       1986.941,       9.45883             
43,    30,           82590.0,      2753.000,       1590.078,       9.29687             
44,    30,           78890.0,      2629.667,       2174.411,       9.60169             
45,    30,           167450.0,     5581.667,       2149.442,       9.46723             
46,    30,           134340.0,     4478.000,       830.259,        9.52147             
47,    30,           150500.0,     5016.667,       2978.673,       9.44089             
48,    30,           54970.0,      1832.333,       780.733,        9.25596             
49,    30,           69900.0,      2330.000,       2067.514,       9.20514             
50,    30,           36060.0,      1202.000,       909.859,        9.2657              
51,    30,           255150.0,     8505.000,       3771.599,       9.15762             
52,    30,           126440.0,     4214.667,       1396.648,       9.34258             
53,    30,           54750.0,      1825.000,       1077.886,       9.1963              
54,    30,           113980.0,     3799.333,       1367.640,       9.53151             
55,    30,           139150.0,     4638.333,       1069.564,       9.4487              
56,    30,           167200.0,     5573.333,       1782.033,       9.48539             
57,    30,           156830.0,     5227.667,       1636.471,       9.43427             
58,    30,           120800.0,     4026.667,       1073.733,       9.34977             
59,    30,           201740.0,     6724.667,       2293.111,       9.61988             
60,    30,           123970.0,     4132.333,       1110.053,       9.73301             
61,    30,           93750.0,      3125.000,       1449.220,       9.67362             
62,    30,           128590.0,     4286.333,       1256.515,       9.99329             
63,    30,           66990.0,      2233.000,       1340.751,       10.3192             
64,    30,           158290.0,     5276.333,       2219.218,       10.111              
65,    30,           131670.0,     4389.000,       1499.263,       10.1987             
66,    30,           100550.0,     3351.667,       1644.168,       10.5081             
67,    30,           43320.0,      1444.000,       1693.749,       10.3297             
68,    30,           112950.0,     3765.000,       1196.313,       10.4293             
69,    30,           137000.0,     4566.667,       1758.889,       10.1662             
70,    30,           34530.0,      1151.000,       1466.475,       10.1709             
71,    30,           103870.0,     3462.333,       1840.956,       10.0111             
72,    30,           115150.0,     3838.333,       1929.119,       9.97613             
73,    30,           19540.0,      651.333,        1094.382,       9.87533             
74,    30,           86450.0,      2881.667,       1231.858,       9.52113             
75,    30,           125720.0,     4190.667,       977.087,        10.0605             
76,    30,           72360.0,      2412.000,       1121.964,       10.0607             
77,    30,           65320.0,      2177.333,       1316.275,       9.97674             
78,    30,           134340.0,     4478.000,       1430.511,       10.034              
79,    30,           73830.0,      2461.000,       1390.464,       9.80189             
80,    30,           137570.0,     4585.667,       1201.340,       9.90381             
81,    30,           93040.0,      3101.333,       1687.787,       9.5091              
82,    30,           82950.0,      2765.000,       1516.632,       8.32336             
83,    30,           115200.0,     3840.000,       1094.772,       8.71501             
84,    30,           69650.0,      2321.667,       1139.807,       8.96713             
85,    30,           45270.0,      1509.000,       1236.801,       9.2091              
86,    30,           155820.0,     5194.000,       2887.881,       9.61066             
87,    30,           106520.0,     3550.667,       1531.709,       10.1774             
88,    30,           162820.0,     5427.333,       1765.588,       9.85648             
89,    30,           135730.0,     4524.333,       1730.011,       9.80407             
90,    30,           141880.0,     4729.333,       1544.303,       9.90158             
91,    30,           46130.0,      1537.667,       803.976,        9.7551              
92,    30,           119060.0,     3968.667,       1527.143,       9.91721             
93,    30,           28470.0,      949.000,        562.947,        10.1042             
94,    30,           134310.0,     4477.000,       1626.467,       10.2831             
95,    30,           34300.0,      1143.333,       838.126,        10.3329             
96,    30,           64060.0,      2135.333,       850.195,        10.3139             
97,    30,           103810.0,     3460.333,       1500.832,       10.3926             
98,    30,           141880.0,     4729.333,       2294.524,       10.3749             
99,    30,           124920.0,     4164.000,       1354.451,       10.4384             
100,   30,           166470.0,     5549.000,       2336.976,       10.2883             
