Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -630.0,       -21.000,        0.000,          0.622757            
2,     30,           -610.0,       -20.333,        0.745,          0.447437            
3,     30,           -616.0,       -20.533,        0.670,          0.286616            
4,     30,           -589.0,       -19.633,        1.251,          0.150897            
5,     30,           -546.0,       -18.200,        2.120,          0.205763            
6,     30,           -571.0,       -19.033,        1.560,          0.323107            
7,     30,           -451.0,       -15.033,        2.401,          0.445705            
8,     30,           -459.0,       -15.300,        3.078,          0.553243            
9,     30,           -559.0,       -18.633,        1.622,          0.553125            
10,    30,           -559.0,       -18.633,        2.008,          0.662302            
11,    30,           -535.0,       -17.833,        2.051,          0.686977            
12,    30,           -477.0,       -15.900,        2.737,          0.747487            
13,    30,           -334.0,       -11.133,        3.998,          0.776826            
14,    30,           -493.0,       -16.433,        2.011,          0.787581            
15,    30,           -396.0,       -13.200,        3.781,          0.859488            
16,    30,           -318.0,       -10.600,        4.071,          0.967348            
17,    30,           -485.0,       -16.167,        4.865,          1.03636             
18,    30,           -326.0,       -10.867,        5.439,          1.09173             
19,    30,           -351.0,       -11.700,        3.689,          1.11158             
20,    30,           -312.0,       -10.400,        6.726,          1.07547             
21,    30,           -110.0,       -3.667,         5.582,          1.11004             
22,    30,           -126.0,       -4.200,         9.541,          1.14903             
23,    30,           89.0,         2.967,          4.231,          1.21067             
24,    30,           170.0,        5.667,          10.018,         1.32829             
25,    30,           215.0,        7.167,          4.001,          1.38489             
26,    30,           354.0,        11.800,         4.069,          1.60813             
27,    30,           513.0,        17.100,         2.226,          1.7121              
28,    30,           492.0,        16.400,         1.744,          1.78952             
29,    30,           512.0,        17.067,         2.874,          1.83057             
30,    30,           505.0,        16.833,         4.108,          1.91606             
31,    30,           530.0,        17.667,         2.087,          1.88711             
32,    30,           536.0,        17.867,         1.727,          1.82182             
33,    30,           532.0,        17.733,         2.032,          1.86893             
34,    30,           516.0,        17.200,         2.833,          1.79865             
35,    30,           533.0,        17.767,         1.407,          1.78301             
36,    30,           512.0,        17.067,         1.611,          1.76156             
37,    30,           539.0,        17.967,         1.853,          1.76304             
38,    30,           510.0,        17.000,         2.017,          1.74387             
39,    30,           543.0,        18.100,         1.300,          1.75485             
40,    30,           517.0,        17.233,         2.305,          1.77031             
41,    30,           492.0,        16.400,         6.621,          1.73269             
42,    30,           491.0,        16.367,         2.738,          1.71062             
43,    30,           475.0,        15.833,         3.215,          1.72379             
44,    30,           545.0,        18.167,         1.614,          1.69051             
45,    30,           527.0,        17.567,         1.627,          1.7076              
46,    30,           471.0,        15.700,         3.348,          1.69365             
47,    30,           540.0,        18.000,         1.612,          1.67104             
48,    30,           499.0,        16.633,         3.945,          1.70252             
49,    30,           530.0,        17.667,         1.491,          1.65086             
50,    30,           532.0,        17.733,         1.632,          1.66455             
51,    30,           253.0,        8.433,          12.598,         1.66688             
52,    30,           458.0,        15.267,         5.259,          1.65086             
53,    30,           530.0,        17.667,         2.625,          1.63737             
54,    30,           537.0,        17.900,         1.955,          1.70141             
55,    30,           533.0,        17.767,         2.186,          1.66075             
56,    30,           525.0,        17.500,         2.172,          1.68206             
57,    30,           548.0,        18.267,         1.825,          1.65656             
58,    30,           539.0,        17.967,         2.168,          1.63358             
59,    30,           510.0,        17.000,         2.543,          1.65027             
60,    30,           546.0,        18.200,         1.275,          1.66991             
61,    30,           494.0,        16.467,         6.747,          1.61028             
62,    30,           525.0,        17.500,         2.156,          1.64954             
63,    30,           533.0,        17.767,         2.692,          1.63517             
64,    30,           527.0,        17.567,         2.578,          1.61988             
65,    30,           538.0,        17.933,         2.632,          1.5804              
66,    30,           439.0,        14.633,         8.811,          1.59662             
67,    30,           523.0,        17.433,         2.231,          1.65058             
68,    30,           479.0,        15.967,         5.388,          1.63306             
69,    30,           545.0,        18.167,         1.635,          1.65384             
70,    30,           576.0,        19.200,         1.641,          1.64121             
71,    30,           547.0,        18.233,         3.138,          1.64593             
72,    30,           453.0,        15.100,         6.007,          1.63527             
73,    30,           551.0,        18.367,         1.703,          1.63001             
74,    30,           544.0,        18.133,         2.187,          1.66289             
75,    30,           569.0,        18.967,         1.703,          1.65799             
76,    30,           533.0,        17.767,         2.801,          1.61675             
77,    30,           557.0,        18.567,         2.108,          1.63579             
78,    30,           532.0,        17.733,         2.529,          1.6116              
79,    30,           557.0,        18.567,         1.961,          1.61651             
80,    30,           584.0,        19.467,         1.176,          1.63244             
81,    30,           580.0,        19.333,         1.398,          1.61859             
82,    30,           560.0,        18.667,         2.256,          1.62101             
83,    30,           553.0,        18.433,         3.818,          1.63955             
84,    30,           493.0,        16.433,         4.201,          1.63422             
85,    30,           587.0,        19.567,         1.521,          1.59303             
86,    30,           565.0,        18.833,         1.985,          1.58854             
87,    30,           581.0,        19.367,         1.560,          1.60511             
88,    30,           581.0,        19.367,         1.516,          1.59406             
89,    30,           561.0,        18.700,         2.438,          1.60908             
90,    30,           543.0,        18.100,         3.145,          1.6045              
91,    30,           554.0,        18.467,         2.604,          1.62842             
92,    30,           584.0,        19.467,         1.500,          1.62463             
93,    30,           543.0,        18.100,         2.663,          1.61832             
94,    30,           522.0,        17.400,         4.128,          1.62435             
95,    30,           555.0,        18.500,         2.217,          1.66036             
96,    30,           550.0,        18.333,         2.832,          1.6349              
97,    30,           513.0,        17.100,         2.959,          1.63303             
98,    30,           564.0,        18.800,         1.470,          1.62394             
99,    30,           538.0,        17.933,         2.632,          1.57049             
100,   30,           562.0,        18.733,         1.504,          1.58195             
