Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           1795.0,       59.833,         64.077,         1.92212             
2,     30,           5105.0,       170.167,        75.426,         3.27559             
3,     30,           1805.0,       60.167,         33.726,         4.21348             
4,     30,           4640.0,       154.667,        98.386,         5.3255              
5,     30,           6140.0,       204.667,        102.859,        5.89315             
6,     30,           8025.0,       267.500,        145.395,        6.48264             
7,     30,           11855.0,      395.167,        124.716,        6.89663             
8,     30,           9750.0,       325.000,        153.118,        7.3037              
9,     30,           14545.0,      484.833,        178.103,        7.98713             
10,    30,           8745.0,       291.500,        105.949,        8.69465             
11,    30,           18840.0,      628.000,        145.026,        8.96062             
12,    30,           13925.0,      464.167,        155.049,        9.10932             
13,    30,           15555.0,      518.500,        123.424,        9.13785             
14,    30,           17975.0,      599.167,        192.878,        9.44923             
15,    30,           21330.0,      711.000,        245.467,        9.49352             
16,    30,           9855.0,       328.500,        192.086,        9.50916             
17,    30,           18815.0,      627.167,        182.614,        9.73697             
18,    30,           20425.0,      680.833,        200.379,        10.1935             
19,    30,           19230.0,      641.000,        243.483,        10.1762             
20,    30,           19720.0,      657.333,        251.961,        10.2357             
21,    30,           2990.0,       99.667,         74.184,         10.2675             
22,    30,           18980.0,      632.667,        148.188,        10.534              
23,    30,           19335.0,      644.500,        149.066,        10.6057             
24,    30,           17940.0,      598.000,        133.152,        10.9469             
25,    30,           19870.0,      662.333,        202.891,        10.7462             
26,    30,           18125.0,      604.167,        215.314,        10.7725             
27,    30,           18380.0,      612.667,        344.828,        10.641              
28,    30,           17670.0,      589.000,        107.218,        10.7361             
29,    30,           15600.0,      520.000,        314.862,        11.0316             
30,    30,           22800.0,      760.000,        318.043,        11.106              
31,    30,           21840.0,      728.000,        298.140,        10.9949             
32,    30,           20725.0,      690.833,        258.992,        10.9824             
33,    30,           21590.0,      719.667,        291.362,        11.3498             
34,    30,           21540.0,      718.000,        290.444,        11.6052             
35,    30,           11380.0,      379.333,        210.578,        11.2877             
36,    30,           25095.0,      836.500,        320.892,        11.294              
37,    30,           18575.0,      619.167,        205.966,        11.0705             
38,    30,           20765.0,      692.167,        236.021,        11.0216             
39,    30,           18750.0,      625.000,        202.353,        10.8379             
40,    30,           17725.0,      590.833,        235.340,        10.6348             
41,    30,           18990.0,      633.000,        220.063,        10.9444             
42,    30,           19520.0,      650.667,        251.117,        10.9709             
43,    30,           18225.0,      607.500,        259.772,        11.0024             
44,    30,           18430.0,      614.333,        181.336,        11.2084             
45,    30,           21320.0,      710.667,        309.159,        11.2523             
46,    30,           18435.0,      614.500,        184.343,        11.0371             
47,    30,           22920.0,      764.000,        246.098,        11.1517             
48,    30,           21165.0,      705.500,        299.473,        11.1911             
