Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           4011.0,       133.700,        49.244,         1.121               
2,     30,           9555.0,       318.500,        71.128,         1.83678             
3,     30,           13029.0,      434.300,        131.480,        2.30199             
4,     30,           16684.0,      556.133,        105.618,        2.75985             
5,     30,           19969.0,      665.633,        80.835,         2.94119             
6,     30,           39253.0,      1308.433,       777.748,        3.5456              
7,     30,           38967.0,      1298.900,       596.928,        3.98181             
8,     30,           65919.0,      2197.300,       788.328,        4.55505             
9,     30,           27454.0,      915.133,        186.425,        5.01843             
10,    30,           48694.0,      1623.133,       492.256,        5.54613             
11,    30,           32364.0,      1078.800,       235.819,        5.89348             
12,    30,           52898.0,      1763.267,       441.394,        5.98509             
13,    30,           21177.0,      705.900,        135.799,        6.15104             
14,    30,           106437.0,     3547.900,       847.586,        6.3134              
15,    30,           59153.0,      1971.767,       505.053,        6.42066             
16,    30,           113529.0,     3784.300,       766.286,        6.6735              
17,    30,           69309.0,      2310.300,       622.311,        6.80609             
18,    30,           38879.0,      1295.967,       244.678,        7.09797             
19,    30,           54884.0,      1829.467,       405.307,        7.37881             
20,    30,           66145.0,      2204.833,       692.172,        7.29675             
21,    30,           41549.0,      1384.967,       373.102,        7.3658              
22,    30,           41296.0,      1376.533,       407.820,        7.30417             
23,    30,           49403.0,      1646.767,       374.117,        7.33044             
24,    30,           35019.0,      1167.300,       418.042,        7.28511             
25,    30,           46213.0,      1540.433,       407.222,        7.42156             
26,    30,           56040.0,      1868.000,       556.287,        7.32235             
27,    30,           29739.0,      991.300,        186.792,        7.41153             
28,    30,           49392.0,      1646.400,       320.799,        7.50772             
29,    30,           45443.0,      1514.767,       311.529,        7.56238             
30,    30,           42425.0,      1414.167,       382.605,        7.78518             
31,    30,           38803.0,      1293.433,       267.456,        7.87444             
32,    30,           50152.0,      1671.733,       381.596,        7.89795             
33,    30,           37027.0,      1234.233,       265.915,        7.75372             
34,    30,           45236.0,      1507.867,       338.101,        7.95056             
35,    30,           34680.0,      1156.000,       297.007,        7.75833             
36,    30,           44367.0,      1478.900,       247.168,        7.53958             
37,    30,           47950.0,      1598.333,       310.880,        7.68266             
38,    30,           26803.0,      893.433,        209.704,        7.74181             
39,    30,           43062.0,      1435.400,       420.296,        7.75132             
40,    30,           45773.0,      1525.767,       287.515,        7.70854             
41,    30,           34179.0,      1139.300,       217.814,        7.67597             
42,    30,           39303.0,      1310.100,       292.396,        7.56365             
43,    30,           33177.0,      1105.900,       157.278,        7.59101             
44,    30,           95555.0,      3185.167,       635.277,        7.39314             
45,    30,           31243.0,      1041.433,       220.914,        7.57327             
46,    30,           54252.0,      1808.400,       428.439,        7.65306             
47,    30,           40655.0,      1355.167,       239.603,        7.42546             
48,    30,           34749.0,      1158.300,       232.190,        7.60076             
49,    30,           37443.0,      1248.100,       260.012,        7.5501              
50,    30,           39067.0,      1302.233,       197.177,        7.57302             
51,    30,           59207.0,      1973.567,       482.750,        7.5781              
52,    30,           54274.0,      1809.133,       422.255,        7.48552             
53,    30,           29897.0,      996.567,        257.342,        7.55546             
54,    30,           44013.0,      1467.100,       374.125,        7.53026             
55,    30,           58527.0,      1950.900,       497.780,        7.53919             
56,    30,           23809.0,      793.633,        154.708,        7.66367             
57,    30,           42614.0,      1420.467,       277.796,        7.64763             
58,    30,           44266.0,      1475.533,       341.226,        7.56557             
59,    30,           95870.0,      3195.667,       541.959,        7.55238             
60,    30,           40776.0,      1359.200,       274.653,        7.50578             
61,    30,           33279.0,      1109.300,       310.596,        7.50503             
62,    30,           74024.0,      2467.467,       540.283,        7.4552              
63,    30,           49239.0,      1641.300,       333.511,        7.41484             
64,    30,           28795.0,      959.833,        169.113,        7.49258             
65,    30,           41230.0,      1374.333,       290.829,        7.53357             
66,    30,           47980.0,      1599.333,       262.501,        7.47035             
67,    30,           34293.0,      1143.100,       183.335,        7.43022             
68,    30,           43365.0,      1445.500,       293.169,        7.48679             
69,    30,           35171.0,      1172.367,       193.913,        7.39651             
70,    30,           45443.0,      1514.767,       456.136,        7.42609             
71,    30,           92233.0,      3074.433,       856.547,        7.3485              
72,    30,           52074.0,      1735.800,       347.808,        7.37663             
73,    30,           29184.0,      972.800,        217.433,        7.44771             
74,    30,           44776.0,      1492.533,       358.914,        7.48116             
75,    30,           39309.0,      1310.300,       243.192,        7.52816             
76,    30,           36270.0,      1209.000,       248.233,        7.66536             
77,    30,           42212.0,      1407.067,       356.166,        7.61884             
78,    30,           61549.0,      2051.633,       461.750,        7.5682              
