Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           3120.0,       104.000,        55.459,         1.05796             
2,     30,           4030.0,       134.333,        71.084,         1.81624             
3,     30,           52735.0,      1757.833,       979.039,        2.45172             
4,     30,           111400.0,     3713.333,       1280.841,       3.29048             
5,     30,           106305.0,     3543.500,       2663.538,       3.87603             
6,     30,           163235.0,     5441.167,       2112.796,       4.33943             
7,     30,           26950.0,      898.333,        1323.642,       4.6969              
8,     30,           129095.0,     4303.167,       2515.101,       5.24877             
9,     30,           141295.0,     4709.833,       2351.269,       5.59312             
10,    30,           113715.0,     3790.500,       3250.797,       5.83739             
11,    30,           193225.0,     6440.833,       1764.782,       6.31655             
12,    30,           96905.0,      3230.167,       2262.572,       6.54819             
13,    30,           76680.0,      2556.000,       2145.987,       6.75311             
14,    30,           168975.0,     5632.500,       2198.974,       6.80291             
15,    30,           70425.0,      2347.500,       1541.270,       6.93358             
16,    30,           87270.0,      2909.000,       1489.205,       6.93779             
17,    30,           119825.0,     3994.167,       1732.796,       6.90761             
18,    30,           168300.0,     5610.000,       2658.930,       6.87723             
19,    30,           154045.0,     5134.833,       2195.556,       7.00788             
20,    30,           26040.0,      868.000,        961.522,        7.0637              
21,    30,           220100.0,     7336.667,       1526.119,       7.16027             
22,    30,           82670.0,      2755.667,       2769.011,       7.38256             
23,    30,           171805.0,     5726.833,       2950.679,       7.4228              
24,    30,           134300.0,     4476.667,       2217.371,       7.44277             
25,    30,           90190.0,      3006.333,       2033.406,       7.47265             
26,    30,           131590.0,     4386.333,       2849.206,       7.53523             
27,    30,           83610.0,      2787.000,       2185.442,       7.63031             
28,    30,           172455.0,     5748.500,       2448.656,       7.57731             
29,    30,           100435.0,     3347.833,       1473.656,       7.87704             
30,    30,           187780.0,     6259.333,       2202.841,       7.87845             
31,    30,           148975.0,     4965.833,       2316.797,       7.95034             
32,    30,           139530.0,     4651.000,       2380.750,       7.94042             
33,    30,           72365.0,      2412.167,       1801.996,       7.5414              
34,    30,           75690.0,      2523.000,       1327.566,       7.53504             
35,    30,           131115.0,     4370.500,       1814.928,       7.68849             
36,    30,           204775.0,     6825.833,       1403.543,       7.34451             
37,    30,           166335.0,     5544.500,       2296.651,       7.36765             
38,    30,           127165.0,     4238.833,       2442.044,       7.59697             
39,    30,           112920.0,     3764.000,       2751.295,       7.71505             
