Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.706359            
2,     30,           0.0,          0.000,          0.000,          0.713228            
3,     30,           0.0,          0.000,          0.000,          0.660376            
4,     30,           0.0,          0.000,          0.000,          0.595655            
5,     30,           282.0,        9.400,          9.351,          0.557413            
6,     30,           42.0,         1.400,          3.343,          0.597446            
7,     30,           1.0,          0.033,          0.180,          0.932401            
8,     30,           3104.0,       103.467,        23.944,         2.04682             
9,     30,           2862.0,       95.400,         16.089,         3.6392              
10,    30,           3722.0,       124.067,        20.357,         5.4157              
11,    30,           4770.0,       159.000,        39.213,         7.65042             
12,    30,           6801.0,       226.700,        53.336,         9.2303              
13,    30,           7796.0,       259.867,        31.367,         10.4584             
14,    30,           7616.0,       253.867,        34.337,         11.621              
15,    30,           8249.0,       274.967,        54.014,         13.4428             
16,    30,           6827.0,       227.567,        68.954,         14.7274             
17,    30,           8249.0,       274.967,        24.285,         14.9522             
18,    30,           8093.0,       269.767,        21.293,         15.2905             
19,    30,           8597.0,       286.567,        20.330,         15.9982             
20,    30,           8277.0,       275.900,        20.801,         16.3086             
21,    30,           7129.0,       237.633,        43.606,         16.8926             
22,    30,           5699.0,       189.967,        2.787,          17.1425             
23,    30,           5888.0,       196.267,        21.106,         17.7618             
24,    30,           6484.0,       216.133,        40.356,         17.749              
25,    30,           7862.0,       262.067,        42.859,         17.5051             
26,    30,           5785.0,       192.833,        9.678,          17.2265             
27,    30,           5630.0,       187.667,        2.039,          17.1339             
28,    30,           2662.0,       88.733,         38.170,         17.4408             
29,    30,           6734.0,       224.467,        53.954,         17.403              
30,    30,           6806.0,       226.867,        23.860,         17.2922             
31,    30,           6281.0,       209.367,        29.716,         17.259              
32,    30,           8511.0,       283.700,        31.704,         17.2825             
33,    30,           7425.0,       247.500,        32.325,         17.9257             
34,    30,           7383.0,       246.100,        31.157,         17.4253             
35,    30,           8872.0,       295.733,        37.060,         17.464              
36,    30,           7304.0,       243.467,        31.920,         17.9061             
37,    30,           7142.0,       238.067,        50.200,         17.7504             
38,    30,           6822.0,       227.400,        33.124,         17.5142             
39,    30,           8326.0,       277.533,        36.506,         17.5805             
40,    30,           7411.0,       247.033,        34.071,         17.5244             
41,    30,           8872.0,       295.733,        24.799,         17.7908             
42,    30,           7419.0,       247.300,        49.167,         17.9336             
43,    30,           6768.0,       225.600,        47.916,         17.4082             
44,    30,           4865.0,       162.167,        30.401,         17.5503             
45,    30,           4860.0,       162.000,        32.096,         17.4134             
