Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           5000.0,       166.667,        212.561,        1.22395             
2,     30,           1300.0,       43.333,         101.072,        2.22987             
3,     30,           23340.0,      778.000,        492.513,        4.68488             
4,     30,           17460.0,      582.000,        329.296,        6.30164             
5,     30,           19740.0,      658.000,        448.564,        7.69555             
6,     30,           16500.0,      550.000,        333.097,        7.95469             
7,     30,           7980.0,       266.000,        188.407,        8.38862             
8,     30,           11680.0,      389.333,        274.942,        8.40916             
9,     30,           21380.0,      712.667,        457.806,        8.08787             
10,    30,           17160.0,      572.000,        470.931,        8.09781             
11,    30,           35620.0,      1187.333,       580.586,        8.24313             
12,    30,           40380.0,      1346.000,       596.549,        8.45111             
13,    30,           20460.0,      682.000,        381.098,        8.38576             
14,    30,           14700.0,      490.000,        290.230,        8.5097              
15,    30,           20100.0,      670.000,        307.148,        8.70424             
16,    30,           61900.0,      2063.333,       898.697,        8.51183             
17,    30,           27380.0,      912.667,        558.772,        8.45892             
18,    30,           23040.0,      768.000,        519.759,        8.77909             
19,    30,           39980.0,      1332.667,       769.181,        8.77752             
20,    30,           23880.0,      796.000,        393.460,        8.82663             
21,    30,           16500.0,      550.000,        340.656,        8.65652             
22,    30,           17940.0,      598.000,        331.194,        8.75184             
23,    30,           35720.0,      1190.667,       667.907,        8.84497             
24,    30,           24800.0,      826.667,        489.035,        8.97423             
25,    30,           27440.0,      914.667,        573.363,        9.13414             
26,    30,           47780.0,      1592.667,       710.558,        9.23913             
27,    30,           26580.0,      886.000,        478.920,        9.04329             
28,    30,           62360.0,      2078.667,       1121.141,       9.20076             
29,    30,           30460.0,      1015.333,       606.535,        9.35755             
30,    30,           99640.0,      3321.333,       1174.597,       9.5065              
31,    30,           59120.0,      1970.667,       823.549,        9.74688             
32,    30,           35780.0,      1192.667,       554.148,        9.99184             
33,    30,           67300.0,      2243.333,       739.821,        9.91173             
34,    30,           42400.0,      1413.333,       738.708,        10.0721             
35,    30,           58040.0,      1934.667,       951.895,        9.90837             
36,    30,           93100.0,      3103.333,       1211.688,       10.022              
37,    30,           68280.0,      2276.000,       652.409,        10.2713             
38,    30,           76120.0,      2537.333,       980.989,        10.4703             
39,    30,           78880.0,      2629.333,       1388.109,       10.518              
40,    30,           116700.0,     3890.000,       1658.809,       10.7047             
41,    30,           111380.0,     3712.667,       1338.342,       10.5695             
42,    30,           92680.0,      3089.333,       1607.439,       10.8205             
43,    30,           138440.0,     4614.667,       2113.562,       10.8566             
44,    30,           57220.0,      1907.333,       792.708,        11.0808             
45,    30,           87580.0,      2919.333,       1145.303,       11.0295             
46,    30,           113740.0,     3791.333,       1442.467,       11.3078             
47,    30,           58220.0,      1940.667,       997.804,        11.3634             
48,    30,           134320.0,     4477.333,       1652.576,       11.5112             
49,    30,           94500.0,      3150.000,       1242.264,       11.3052             
50,    30,           87100.0,      2903.333,       1239.797,       11.4776             
51,    30,           130680.0,     4356.000,       1689.776,       11.6661             
52,    30,           110260.0,     3675.333,       1380.779,       11.4939             
53,    30,           64240.0,      2141.333,       1063.390,       11.6018             
54,    30,           121420.0,     4047.333,       1774.722,       11.4964             
