Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           8510.0,       283.667,        224.031,        1.09083             
2,     30,           27530.0,      917.667,        822.406,        2.13913             
3,     30,           54270.0,      1809.000,       1159.049,       2.62301             
4,     30,           107400.0,     3580.000,       1666.659,       2.9788              
5,     30,           167910.0,     5597.000,       2186.728,       3.81536             
6,     30,           38930.0,      1297.667,       1839.438,       4.192               
7,     30,           147320.0,     4910.667,       1285.721,       4.32062             
8,     30,           103950.0,     3465.000,       1330.851,       4.20151             
9,     30,           196680.0,     6556.000,       2508.723,       4.2988              
10,    30,           218710.0,     7290.333,       2396.143,       4.21146             
11,    30,           96200.0,      3206.667,       1672.994,       4.48633             
12,    30,           149800.0,     4993.333,       638.458,        4.37415             
13,    30,           134750.0,     4491.667,       1037.693,       4.61549             
14,    30,           200820.0,     6694.000,       2528.349,       4.81443             
15,    30,           190350.0,     6345.000,       2179.827,       4.92911             
16,    30,           142710.0,     4757.000,       754.869,        4.52623             
17,    30,           199190.0,     6639.667,       2531.089,       4.35146             
18,    30,           143040.0,     4768.000,       1315.311,       4.45455             
19,    30,           213310.0,     7110.333,       2154.820,       4.35423             
20,    30,           125690.0,     4189.667,       1300.970,       4.98518             
21,    30,           95030.0,      3167.667,       1366.425,       5.32045             
22,    30,           181270.0,     6042.333,       1919.329,       5.13824             
23,    30,           142010.0,     4733.667,       2022.179,       5.37936             
24,    30,           147630.0,     4921.000,       937.341,        5.02513             
25,    30,           114380.0,     3812.667,       1404.096,       5.25191             
26,    30,           152080.0,     5069.333,       407.455,        5.37783             
27,    30,           143670.0,     4789.000,       1846.316,       5.50009             
28,    30,           221210.0,     7373.667,       1967.502,       5.57918             
29,    30,           214870.0,     7162.333,       2687.358,       5.77928             
30,    30,           190300.0,     6343.333,       2147.414,       5.7425              
31,    30,           191200.0,     6373.333,       2594.263,       5.79332             
32,    30,           126550.0,     4218.333,       1646.599,       5.59316             
33,    30,           126100.0,     4203.333,       2263.839,       5.52738             
34,    30,           186030.0,     6201.000,       2460.747,       5.65812             
35,    30,           199940.0,     6664.667,       2483.874,       5.63604             
36,    30,           128150.0,     4271.667,       1714.882,       5.79864             
37,    30,           103780.0,     3459.333,       1474.390,       6.02324             
38,    30,           180820.0,     6027.333,       2081.893,       6.05711             
39,    30,           66730.0,      2224.333,       1628.979,       5.97564             
40,    30,           126850.0,     4228.333,       1398.814,       6.26255             
41,    30,           148980.0,     4966.000,       2235.004,       6.20045             
42,    30,           179470.0,     5982.333,       2521.011,       5.94974             
43,    30,           137850.0,     4595.000,       1508.471,       6.00919             
44,    30,           74280.0,      2476.000,       1719.679,       6.03198             
45,    30,           168600.0,     5620.000,       2051.065,       6.09067             
46,    30,           60120.0,      2004.000,       938.938,        6.00307             
47,    30,           156280.0,     5209.333,       1537.608,       5.97912             
48,    30,           71940.0,      2398.000,       1445.781,       5.86844             
49,    30,           172110.0,     5737.000,       2536.452,       5.67118             
50,    30,           108790.0,     3626.333,       2003.930,       5.69106             
51,    30,           161690.0,     5389.667,       1525.998,       5.66745             
52,    30,           147510.0,     4917.000,       2792.291,       5.87577             
53,    30,           87650.0,      2921.667,       1887.840,       5.85486             
54,    30,           187290.0,     6243.000,       2545.599,       5.94237             
55,    30,           150380.0,     5012.667,       683.691,        5.96532             
56,    30,           105910.0,     3530.333,       1162.519,       5.97107             
57,    30,           175900.0,     5863.333,       2996.138,       6.13259             
58,    30,           120790.0,     4026.333,       1301.129,       6.21164             
