Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           -630.0,       -21.000,        0.000,          -0.0458747          
2,     30,           -623.0,       -20.767,        0.423,          -0.312305           
3,     30,           -629.0,       -20.967,        0.180,          -0.559069           
4,     30,           -583.0,       -19.433,        1.257,          -0.659859           
5,     30,           -570.0,       -19.000,        2.380,          -0.553193           
6,     30,           -484.0,       -16.133,        3.294,          -0.351428           
7,     30,           -487.0,       -16.233,        1.783,          -0.114192           
8,     30,           -490.0,       -16.333,        2.599,          -0.0310088          
9,     30,           -482.0,       -16.067,        3.130,          0.0680333           
10,    30,           -443.0,       -14.767,        3.528,          0.0705511           
11,    30,           -303.0,       -10.100,        4.763,          0.0616472           
12,    30,           -357.0,       -11.900,        4.643,          0.095761            
13,    30,           -151.0,       -5.033,         5.056,          0.0907438           
14,    30,           -132.0,       -4.400,         3.620,          0.147836            
15,    30,           32.0,         1.067,          4.016,          0.186633            
16,    30,           -30.0,        -1.000,         3.435,          0.236257            
17,    30,           -213.0,       -7.100,         8.711,          0.269295            
18,    30,           2.0,          0.067,          4.892,          0.275541            
19,    30,           -120.0,       -4.000,         3.454,          0.273146            
20,    30,           -45.0,        -1.500,         3.304,          0.271763            
21,    30,           96.0,         3.200,          5.991,          0.26825             
22,    30,           105.0,        3.500,          3.566,          0.307258            
23,    30,           153.0,        5.100,          3.525,          0.321649            
24,    30,           94.0,         3.133,          3.766,          0.324654            
25,    30,           54.0,         1.800,          6.426,          0.346495            
26,    30,           98.0,         3.267,          4.008,          0.337984            
27,    30,           228.0,        7.600,          4.779,          0.342152            
28,    30,           238.0,        7.933,          5.853,          0.349763            
29,    30,           184.0,        6.133,          4.588,          0.344224            
30,    30,           230.0,        7.667,          4.061,          0.360967            
31,    30,           208.0,        6.933,          5.531,          0.414532            
32,    30,           404.0,        13.467,         6.059,          0.422375            
33,    30,           451.0,        15.033,         3.628,          0.454187            
34,    30,           522.0,        17.400,         2.361,          0.521025            
35,    30,           477.0,        15.900,         3.682,          0.543228            
36,    30,           522.0,        17.400,         1.993,          0.648041            
37,    30,           459.0,        15.300,         3.635,          0.690161            
38,    30,           561.0,        18.700,         2.354,          0.706858            
39,    30,           544.0,        18.133,         1.875,          0.748518            
40,    30,           537.0,        17.900,         1.660,          0.823392            
41,    30,           530.0,        17.667,         3.048,          0.830185            
42,    30,           571.0,        19.033,         1.941,          0.882446            
43,    30,           553.0,        18.433,         2.246,          0.886765            
44,    30,           574.0,        19.133,         1.454,          0.88348             
45,    30,           592.0,        19.733,         0.892,          0.880208            
46,    30,           489.0,        16.300,         6.768,          0.905066            
47,    30,           574.0,        19.133,         1.408,          0.895954            
48,    30,           587.0,        19.567,         1.116,          0.932399            
49,    30,           579.0,        19.300,         1.735,          0.951504            
50,    30,           582.0,        19.400,         1.562,          0.957734            
51,    30,           589.0,        19.633,         1.048,          0.953313            
52,    30,           570.0,        19.000,         1.506,          0.968243            
53,    30,           583.0,        19.433,         1.283,          0.980252            
54,    30,           590.0,        19.667,         1.164,          0.977226            
55,    30,           581.0,        19.367,         1.958,          0.972747            
56,    30,           593.0,        19.767,         1.055,          1.00281             
57,    30,           582.0,        19.400,         1.332,          1.02977             
58,    30,           566.0,        18.867,         1.586,          1.03286             
59,    30,           570.0,        19.000,         1.390,          1.02961             
60,    30,           581.0,        19.367,         1.303,          1.01654             
61,    30,           598.0,        19.933,         0.772,          1.01583             
62,    30,           582.0,        19.400,         1.381,          1.02923             
63,    30,           584.0,        19.467,         1.204,          1.02446             
64,    30,           584.0,        19.467,         1.310,          1.01827             
65,    30,           568.0,        18.933,         1.825,          0.997044            
66,    30,           561.0,        18.700,         1.847,          1.02154             
67,    30,           573.0,        19.100,         1.300,          1.00189             
68,    30,           581.0,        19.367,         1.472,          1.00341             
69,    30,           578.0,        19.267,         1.611,          1.00503             
70,    30,           578.0,        19.267,         1.263,          1.02874             
71,    30,           581.0,        19.367,         1.602,          1.01478             
72,    30,           579.0,        19.300,         1.394,          1.02714             
73,    30,           546.0,        18.200,         1.973,          1.02124             
74,    30,           575.0,        19.167,         1.714,          1.01207             
75,    30,           581.0,        19.367,         1.538,          0.997581            
76,    30,           583.0,        19.433,         1.334,          0.984977            
77,    30,           570.0,        19.000,         1.751,          0.99406             
78,    30,           554.0,        18.467,         1.928,          0.992321            
79,    30,           588.0,        19.600,         0.987,          0.9743              
80,    30,           579.0,        19.300,         1.345,          0.98254             
81,    30,           524.0,        17.467,         4.047,          0.972689            
82,    30,           580.0,        19.333,         1.300,          0.978754            
83,    30,           595.0,        19.833,         1.128,          0.992667            
84,    30,           582.0,        19.400,         1.052,          0.967305            
85,    30,           575.0,        19.167,         1.790,          0.981138            
86,    30,           582.0,        19.400,         1.020,          0.978723            
87,    30,           582.0,        19.400,         1.281,          0.972748            
88,    30,           579.0,        19.300,         1.345,          0.967186            
89,    30,           581.0,        19.367,         1.197,          1.00048             
90,    30,           578.0,        19.267,         1.389,          0.982331            
91,    30,           581.0,        19.367,         1.169,          0.970605            
92,    30,           564.0,        18.800,         1.470,          0.954246            
93,    30,           567.0,        18.900,         1.557,          0.947909            
94,    30,           589.0,        19.633,         1.197,          0.951755            
95,    30,           584.0,        19.467,         1.056,          0.944633            
96,    30,           561.0,        18.700,         1.616,          0.953108            
97,    30,           588.0,        19.600,         1.172,          0.951239            
98,    30,           593.0,        19.767,         1.230,          0.961704            
99,    30,           584.0,        19.467,         1.087,          0.957256            
100,   30,           308.0,        10.267,         5.513,          0.972593            
