Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           3705.0,       123.500,        45.151,         1.0628              
2,     30,           5355.0,       178.500,        8.078,          2.02354             
3,     30,           4780.0,       159.333,        86.011,         2.61281             
4,     30,           7330.0,       244.333,        113.268,        3.36202             
5,     30,           9695.0,       323.167,        87.792,         4.05936             
6,     30,           12575.0,      419.167,        133.959,        4.72489             
7,     30,           12585.0,      419.500,        153.619,        5.01661             
8,     30,           18430.0,      614.333,        193.734,        5.00422             
9,     30,           17615.0,      587.167,        157.065,        5.22241             
10,    30,           17315.0,      577.167,        218.589,        5.71374             
11,    30,           17795.0,      593.167,        133.438,        5.80821             
12,    30,           16115.0,      537.167,        132.726,        5.83723             
13,    30,           21085.0,      702.833,        309.386,        6.10151             
14,    30,           21245.0,      708.167,        262.702,        5.97452             
15,    30,           9950.0,       331.667,        168.010,        5.91565             
16,    30,           20050.0,      668.333,        198.882,        5.95556             
17,    30,           20195.0,      673.167,        238.947,        6.25965             
18,    30,           19335.0,      644.500,        187.680,        6.64056             
19,    30,           18255.0,      608.500,        271.634,        6.69406             
20,    30,           20000.0,      666.667,        176.797,        6.69765             
21,    30,           18825.0,      627.500,        120.525,        6.56638             
22,    30,           22200.0,      740.000,        312.269,        6.4717              
23,    30,           21370.0,      712.333,        206.453,        6.39945             
24,    30,           18425.0,      614.167,        252.320,        6.20925             
25,    30,           21845.0,      728.167,        250.767,        6.30162             
26,    30,           22995.0,      766.500,        248.841,        6.26279             
27,    30,           23755.0,      791.833,        279.602,        6.35028             
28,    30,           20655.0,      688.500,        232.509,        6.31047             
29,    30,           23430.0,      781.000,        264.564,        6.25781             
30,    30,           22830.0,      761.000,        308.754,        6.26847             
31,    30,           19600.0,      653.333,        226.739,        6.19981             
32,    30,           22410.0,      747.000,        323.570,        6.32198             
33,    30,           21105.0,      703.500,        256.707,        6.33967             
34,    30,           23175.0,      772.500,        315.726,        6.29866             
35,    30,           22790.0,      759.667,        213.927,        6.35293             
36,    30,           28100.0,      936.667,        441.562,        6.43288             
37,    30,           23405.0,      780.167,        321.485,        6.67799             
38,    30,           25515.0,      850.500,        367.265,        6.54988             
39,    30,           22860.0,      762.000,        310.874,        6.66577             
40,    30,           23570.0,      785.667,        227.067,        6.52304             
41,    30,           23115.0,      770.500,        312.736,        6.37103             
42,    30,           22685.0,      756.167,        326.368,        6.59666             
43,    30,           24230.0,      807.667,        268.188,        6.66775             
44,    30,           25740.0,      858.000,        277.497,        6.67139             
45,    30,           26570.0,      885.667,        337.887,        6.99242             
46,    30,           23385.0,      779.500,        321.293,        6.98584             
47,    30,           25980.0,      866.000,        379.173,        6.85306             
48,    30,           23215.0,      773.833,        272.022,        6.74747             
49,    30,           24930.0,      831.000,        338.704,        6.87302             
50,    30,           29920.0,      997.333,        339.140,        6.78749             
51,    30,           12235.0,      407.833,        264.366,        6.76016             
52,    30,           22745.0,      758.167,        279.668,        6.9258              
53,    30,           27190.0,      906.333,        299.914,        6.74214             
54,    30,           21800.0,      726.667,        268.018,        6.93958             
55,    30,           26125.0,      870.833,        267.361,        7.1497              
56,    30,           30405.0,      1013.500,       320.047,        7.32091             
57,    30,           21240.0,      708.000,        370.926,        7.38221             
58,    30,           26905.0,      896.833,        276.558,        7.26445             
59,    30,           27085.0,      902.833,        346.717,        7.13814             
60,    30,           25115.0,      837.167,        318.603,        7.17188             
61,    30,           28830.0,      961.000,        400.827,        7.22238             
62,    30,           31715.0,      1057.167,       574.953,        7.28888             
63,    30,           29930.0,      997.667,        378.496,        7.24249             
64,    30,           29135.0,      971.167,        386.729,        7.29222             
65,    30,           36705.0,      1223.500,       393.478,        7.19256             
66,    30,           19955.0,      665.167,        317.764,        7.32927             
67,    30,           25850.0,      861.667,        348.904,        6.87029             
68,    30,           26995.0,      899.833,        319.769,        7.12896             
69,    30,           25080.0,      836.000,        326.699,        7.36222             
70,    30,           35260.0,      1175.333,       462.798,        7.40687             
71,    30,           29110.0,      970.333,        342.145,        7.53117             
72,    30,           32075.0,      1069.167,       305.530,        7.5976              
73,    30,           32685.0,      1089.500,       399.417,        7.62859             
74,    30,           29615.0,      987.167,        314.374,        7.56461             
75,    30,           27900.0,      930.000,        394.441,        7.54246             
76,    30,           15560.0,      518.667,        219.624,        7.54536             
77,    30,           31935.0,      1064.500,       351.260,        7.50415             
78,    30,           31320.0,      1044.000,       300.348,        7.66332             
79,    30,           29910.0,      997.000,        345.414,        7.68074             
80,    30,           33875.0,      1129.167,       279.112,        7.76729             
81,    30,           24175.0,      805.833,        279.973,        7.62339             
82,    30,           31780.0,      1059.333,       357.656,        7.75156             
83,    30,           25755.0,      858.500,        361.357,        7.53563             
84,    30,           30905.0,      1030.167,       402.514,        7.35511             
85,    30,           33650.0,      1121.667,       320.368,        7.6846              
86,    30,           31465.0,      1048.833,       372.388,        7.53851             
87,    30,           29365.0,      978.833,        380.895,        7.44256             
88,    30,           28060.0,      935.333,        352.176,        7.368               
89,    30,           29025.0,      967.500,        315.747,        7.37151             
90,    30,           31490.0,      1049.667,       324.273,        7.44111             
91,    30,           29735.0,      991.167,        326.886,        7.58381             
92,    30,           26715.0,      890.500,        339.198,        7.51141             
93,    30,           33835.0,      1127.833,       466.974,        7.57094             
94,    30,           36410.0,      1213.667,       403.706,        7.55977             
95,    30,           30270.0,      1009.000,       363.266,        7.58175             
96,    30,           20740.0,      691.333,        355.682,        7.63997             
97,    30,           36700.0,      1223.333,       298.134,        7.73575             
98,    30,           19905.0,      663.500,        331.540,        7.67124             
99,    30,           28785.0,      959.500,        474.911,        7.79973             
