Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           14160.0,      472.000,        300.138,        1.12981             
2,     30,           13530.0,      451.000,        262.251,        2.45337             
3,     30,           9050.0,       301.667,        176.863,        3.46629             
4,     30,           11180.0,      372.667,        139.951,        4.47372             
5,     30,           7100.0,       236.667,        107.714,        4.81824             
6,     30,           17640.0,      588.000,        362.541,        5.19616             
7,     30,           33720.0,      1124.000,       639.941,        5.37814             
8,     30,           58550.0,      1951.667,       911.958,        5.67063             
9,     30,           111840.0,     3728.000,       1269.526,       5.76397             
10,    30,           71740.0,      2391.333,       1615.159,       5.55569             
11,    30,           106170.0,     3539.000,       1528.575,       5.42394             
12,    30,           57660.0,      1922.000,       1345.039,       5.19432             
13,    30,           59860.0,      1995.333,       1135.464,       5.11855             
14,    30,           105900.0,     3530.000,       1690.067,       5.16164             
15,    30,           116780.0,     3892.667,       1486.784,       5.16204             
16,    30,           129480.0,     4316.000,       932.122,        5.61245             
17,    30,           115180.0,     3839.333,       1440.972,       5.2035              
18,    30,           124290.0,     4143.000,       1154.793,       4.94314             
19,    30,           91050.0,      3035.000,       1986.945,       4.75544             
20,    30,           143030.0,     4767.667,       1515.809,       4.41764             
21,    30,           148250.0,     4941.667,       634.786,        4.29315             
22,    30,           107550.0,     3585.000,       1389.800,       4.45335             
23,    30,           143700.0,     4790.000,       897.623,        4.70242             
24,    30,           117270.0,     3909.000,       1427.946,       4.89054             
25,    30,           16980.0,      566.000,        530.500,        5.00134             
26,    30,           137890.0,     4596.333,       825.096,        3.41244             
27,    30,           137190.0,     4573.000,       1253.638,       3.99875             
28,    30,           143130.0,     4771.000,       326.122,        4.45234             
29,    30,           88760.0,      2958.667,       1544.074,       4.2837              
30,    30,           135000.0,     4500.000,       1037.866,       4.00636             
31,    30,           136800.0,     4560.000,       953.639,        3.2812              
32,    30,           109020.0,     3634.000,       1432.687,       2.87503             
33,    30,           104850.0,     3495.000,       1472.600,       2.34058             
34,    30,           128340.0,     4278.000,       1490.737,       2.61675             
35,    30,           106420.0,     3547.333,       1363.236,       3.73096             
36,    30,           63190.0,      2106.333,       1386.152,       4.13993             
37,    30,           6000.0,       200.000,        107.703,        5.76958             
38,    30,           141470.0,     4715.667,       644.984,        4.87433             
39,    30,           46210.0,      1540.333,       1068.284,       5.0707              
40,    30,           117990.0,     3933.000,       1054.467,       4.99618             
41,    30,           49830.0,      1661.000,       1151.510,       5.02675             
42,    30,           27160.0,      905.333,        1018.128,       4.86174             
43,    30,           127630.0,     4254.333,       1506.080,       4.79254             
44,    30,           115570.0,     3852.333,       1503.112,       4.41272             
45,    30,           129480.0,     4316.000,       1047.920,       4.71824             
46,    30,           147440.0,     4914.667,       377.277,        4.91653             
47,    30,           147500.0,     4916.667,       645.246,        4.84643             
48,    30,           73020.0,      2434.000,       1258.223,       4.49847             
49,    30,           138710.0,     4623.667,       1140.820,       4.52983             
50,    30,           145720.0,     4857.333,       609.283,        5.05526             
51,    30,           119530.0,     3984.333,       1596.228,       5.2189              
52,    30,           45160.0,      1505.333,       1096.731,       5.5844              
53,    30,           116340.0,     3878.000,       1211.433,       4.03848             
54,    30,           142990.0,     4766.333,       918.145,        3.51043             
55,    30,           107410.0,     3580.333,       1417.320,       3.35423             
56,    30,           117070.0,     3902.333,       1161.710,       2.76714             
57,    30,           118440.0,     3948.000,       1034.168,       2.57195             
58,    30,           120390.0,     4013.000,       1381.705,       2.38766             
59,    30,           58000.0,      1933.333,       1316.868,       2.39199             
60,    30,           56660.0,      1888.667,       1338.909,       3.3428              
61,    30,           5300.0,       176.667,        76.085,         5.98972             
62,    30,           131490.0,     4383.000,       1125.220,       5.92359             
63,    30,           105640.0,     3521.333,       1619.180,       5.8199              
64,    30,           43770.0,      1459.000,       1038.272,       5.40079             
65,    30,           132680.0,     4422.667,       1151.164,       3.75294             
66,    30,           68430.0,      2281.000,       1447.527,       3.47546             
67,    30,           38630.0,      1287.667,       1196.335,       3.61041             
68,    30,           81890.0,      2729.667,       1884.950,       4.37789             
69,    30,           101260.0,     3375.333,       1450.733,       5.52903             
70,    30,           66930.0,      2231.000,       1177.592,       5.65382             
71,    30,           144550.0,     4818.333,       894.890,        5.36568             
72,    30,           106380.0,     3546.000,       1245.856,       4.3182              
73,    30,           102130.0,     3404.333,       1387.784,       4.77908             
74,    30,           84340.0,      2811.333,       1561.663,       6.85233             
75,    30,           142890.0,     4763.000,       606.488,        6.52992             
76,    30,           108130.0,     3604.333,       1352.165,       5.77077             
77,    30,           104170.0,     3472.333,       1222.098,       5.53656             
78,    30,           83220.0,      2774.000,       1233.722,       4.40633             
79,    30,           132450.0,     4415.000,       1284.715,       3.62944             
80,    30,           65280.0,      2176.000,       1505.724,       3.69292             
81,    30,           119480.0,     3982.667,       1131.936,       4.18175             
82,    30,           7570.0,       252.333,        146.781,        5.71066             
83,    30,           87250.0,      2908.333,       1142.737,       5.5519              
84,    30,           117520.0,     3917.333,       1395.017,       5.99953             
