Epoch, Num Episodes, Total Reward, Average Reward, Reward Std,     Mean best Q Value   
1,     30,           0.0,          0.000,          0.000,          0.933317            
2,     30,           0.0,          0.000,          0.000,          1.13567             
3,     30,           0.0,          0.000,          0.000,          1.16825             
4,     30,           0.0,          0.000,          0.000,          1.29115             
5,     30,           34.0,         1.133,          3.964,          1.37236             
6,     30,           0.0,          0.000,          0.000,          1.54924             
7,     30,           8.0,          0.267,          1.263,          1.98125             
8,     30,           1131.0,       37.700,         16.678,         2.75014             
9,     30,           1267.0,       42.233,         20.353,         4.00138             
10,    30,           3841.0,       128.033,        19.773,         5.88062             
11,    30,           73.0,         2.433,          4.738,          8.82376             
12,    30,           1475.0,       49.167,         39.091,         9.57731             
13,    30,           3497.0,       116.567,        28.702,         10.2511             
14,    30,           4302.0,       143.400,        24.467,         10.1018             
15,    30,           2495.0,       83.167,         22.044,         10.7905             
16,    30,           5347.0,       178.233,        38.960,         11.8674             
17,    30,           2475.0,       82.500,         30.045,         12.6118             
18,    30,           1891.0,       63.033,         18.398,         12.5679             
19,    30,           3839.0,       127.967,        33.909,         12.7845             
20,    30,           5490.0,       183.000,        56.255,         13.4905             
21,    30,           2722.0,       90.733,         30.784,         13.5769             
22,    30,           5781.0,       192.700,        59.403,         13.9667             
23,    30,           374.0,        12.467,         9.841,          14.5508             
24,    30,           5625.0,       187.500,        48.301,         14.8186             
25,    30,           3638.0,       121.267,        21.150,         15.0101             
26,    30,           237.0,        7.900,          11.309,         16.1535             
27,    30,           3387.0,       112.900,        24.260,         15.987              
28,    30,           5571.0,       185.700,        40.269,         16.1167             
29,    30,           3097.0,       103.233,        34.298,         15.4364             
30,    30,           2936.0,       97.867,         30.710,         15.3265             
31,    30,           6079.0,       202.633,        55.508,         15.3384             
32,    30,           4851.0,       161.700,        44.764,         15.6452             
33,    30,           4479.0,       149.300,        31.485,         16.1196             
34,    30,           4571.0,       152.367,        36.062,         16.4028             
35,    30,           4709.0,       156.967,        24.707,         17.537              
36,    30,           4358.0,       145.267,        40.678,         17.9209             
37,    30,           4841.0,       161.367,        41.168,         17.532              
38,    30,           3047.0,       101.567,        35.297,         17.1799             
39,    30,           5343.0,       178.100,        57.019,         16.4276             
40,    30,           2112.0,       70.400,         27.078,         16.566              
41,    30,           3700.0,       123.333,        41.903,         16.7612             
42,    30,           1770.0,       59.000,         33.276,         17.3195             
43,    30,           5510.0,       183.667,        31.825,         16.8522             
44,    30,           5017.0,       167.233,        41.404,         17.3165             
45,    30,           5613.0,       187.100,        32.130,         17.8935             
46,    30,           6374.0,       212.467,        43.850,         17.8349             
47,    30,           7121.0,       237.367,        47.724,         17.0667             
48,    30,           3291.0,       109.700,        37.312,         16.6345             
49,    30,           7172.0,       239.067,        58.149,         16.4419             
50,    30,           2085.0,       69.500,         51.987,         16.5081             
51,    30,           1274.0,       42.467,         38.768,         16.4103             
52,    30,           6810.0,       227.000,        55.914,         16.1746             
53,    30,           7707.0,       256.900,        33.876,         16.4244             
54,    30,           2232.0,       74.400,         46.015,         16.1019             
55,    30,           6898.0,       229.933,        41.504,         16.0142             
56,    30,           6831.0,       227.700,        57.297,         16.7442             
57,    30,           5480.0,       182.667,        38.353,         17.0259             
58,    30,           5628.0,       187.600,        31.412,         16.8642             
59,    30,           5725.0,       190.833,        29.333,         16.9267             
60,    30,           6209.0,       206.967,        38.865,         17.1241             
61,    30,           6487.0,       216.233,        35.192,         17.0839             
62,    30,           2275.0,       75.833,         57.380,         17.3731             
63,    30,           4876.0,       162.533,        41.847,         17.9113             
64,    30,           513.0,        17.100,         21.384,         17.5194             
65,    30,           3522.0,       117.400,        48.007,         17.5158             
66,    30,           6501.0,       216.700,        33.117,         17.3398             
67,    30,           3353.0,       111.767,        21.393,         17.493              
68,    30,           5348.0,       178.267,        39.928,         17.4131             
69,    30,           3297.0,       109.900,        28.980,         17.613              
70,    30,           7096.0,       236.533,        39.614,         16.9906             
71,    30,           4124.0,       137.467,        38.586,         17.0274             
72,    30,           2717.0,       90.567,         32.825,         17.4074             
73,    30,           3108.0,       103.600,        44.688,         16.923              
74,    30,           6484.0,       216.133,        25.126,         16.8184             
75,    30,           201.0,        6.700,          9.967,          16.9734             
76,    30,           5292.0,       176.400,        45.527,         16.5832             
77,    30,           2989.0,       99.633,         43.151,         17.4673             
78,    30,           449.0,        14.967,         22.445,         16.7773             
79,    30,           3597.0,       119.900,        42.846,         16.8882             
80,    30,           203.0,        6.767,          23.931,         16.2967             
81,    30,           3833.0,       127.767,        28.864,         17.0289             
82,    30,           4078.0,       135.933,        51.823,         17.893              
83,    30,           5235.0,       174.500,        27.964,         17.8615             
84,    30,           6009.0,       200.300,        28.139,         17.8198             
85,    30,           2959.0,       98.633,         39.434,         18.061              
86,    30,           296.0,        9.867,          11.761,         18.3394             
87,    30,           4372.0,       145.733,        43.327,         18.052              
88,    30,           2726.0,       90.867,         36.275,         18.0101             
89,    30,           3763.0,       125.433,        35.640,         18.5619             
90,    30,           5524.0,       184.133,        36.560,         19.2314             
91,    30,           6481.0,       216.033,        29.299,         19.2976             
92,    30,           5168.0,       172.267,        47.228,         18.7261             
93,    30,           6805.0,       226.833,        41.097,         18.5113             
94,    30,           744.0,        24.800,         19.341,         18.4884             
95,    30,           5216.0,       173.867,        37.765,         18.6943             
96,    30,           2107.0,       70.233,         21.199,         18.1885             
97,    30,           5785.0,       192.833,        36.802,         18.1536             
98,    30,           5533.0,       184.433,        35.643,         17.8525             
99,    30,           373.0,        12.433,         11.690,         17.3853             
100,   30,           4265.0,       142.167,        24.250,         17.1702             
101,   30,           6293.0,       209.767,        32.128,         17.322              
102,   30,           2498.0,       83.267,         37.594,         17.6782             
103,   30,           6785.0,       226.167,        29.653,         18.3284             
104,   30,           4939.0,       164.633,        28.158,         17.9035             
105,   30,           4815.0,       160.500,        28.014,         18.2779             
106,   30,           5102.0,       170.067,        34.154,         18.544              
107,   30,           1171.0,       39.033,         22.036,         18.5337             
108,   30,           4135.0,       137.833,        35.813,         18.6639             
109,   30,           1716.0,       57.200,         27.512,         18.735              
110,   30,           3298.0,       109.933,        27.181,         19.0104             
111,   30,           278.0,        9.267,          22.015,         19.0171             
112,   30,           4215.0,       140.500,        31.534,         19.602              
113,   30,           2742.0,       91.400,         46.641,         19.1216             
114,   30,           4695.0,       156.500,        34.068,         18.58               
115,   30,           1737.0,       57.900,         26.122,         18.4609             
116,   30,           4423.0,       147.433,        31.501,         18.339              
117,   30,           2516.0,       83.867,         33.044,         18.6428             
118,   30,           5079.0,       169.300,        44.515,         18.1091             
119,   30,           6032.0,       201.067,        39.559,         18.694              
120,   30,           1900.0,       63.333,         23.501,         19.1166             
121,   30,           4884.0,       162.800,        35.827,         19.0112             
122,   30,           2640.0,       88.000,         30.974,         19.0573             
123,   30,           2571.0,       85.700,         34.438,         18.7649             
124,   30,           696.0,        23.200,         17.075,         18.6722             
125,   30,           3848.0,       128.267,        43.934,         18.8297             
126,   30,           120.0,        4.000,          13.597,         18.7899             
127,   30,           4147.0,       138.233,        26.564,         18.9118             
128,   30,           5163.0,       172.100,        31.381,         18.6799             
129,   30,           5539.0,       184.633,        35.934,         18.2567             
130,   30,           2571.0,       85.700,         27.347,         18.2331             
131,   30,           3163.0,       105.433,        34.358,         18.6158             
132,   30,           2311.0,       77.033,         25.132,         18.4089             
133,   30,           2120.0,       70.667,         32.882,         18.4344             
134,   30,           4020.0,       134.000,        29.364,         18.9752             
135,   30,           3364.0,       112.133,        27.907,         19.5442             
136,   30,           4061.0,       135.367,        19.378,         19.3152             
137,   30,           3137.0,       104.567,        34.169,         18.6057             
138,   30,           3393.0,       113.100,        33.793,         18.4338             
139,   30,           4613.0,       153.767,        37.743,         18.4786             
140,   30,           4995.0,       166.500,        26.276,         18.134              
141,   30,           4685.0,       156.167,        35.984,         17.8882             
